acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
14.18,6.89,0.68,1.83,1.05,0.30
13.99,6.42,-0.48,2.12,1.09,0.29
13.73,6.95,-2.20,2.66,0.97,0.19
13.41,8.46,-4.53,3.21,0.81,0.29
14.85,10.02,-7.43,3.52,0.63,0.29
17.66,12.58,-10.75,3.03,0.68,0.48
19.28,13.79,-11.05,2.40,0.77,0.13
19.61,14.12,-9.40,1.85,1.33,-0.23
19.27,11.54,-8.79,1.70,2.19,-0.79
16.51,10.86,-11.58,1.37,2.85,-1.18
14.82,13.10,-14.23,0.31,2.77,-1.54
13.38,12.11,-13.35,-0.86,2.34,-1.88
11.58,8.61,-9.98,-1.27,2.01,-2.21
9.59,5.49,-6.25,-0.43,1.91,-2.66
6.51,2.22,-3.88,1.26,1.97,-3.09
1.88,3.74,-5.42,2.82,2.27,-3.45
-4.63,5.57,-9.39,2.43,2.14,-3.38
-7.88,10.99,-12.16,0.32,1.43,-3.23
-10.58,11.82,-10.22,-2.13,1.14,-3.33
-13.81,7.06,-7.64,-3.85,0.76,-3.36
-16.54,4.61,-5.50,-3.95,1.18,-4.37
-19.61,-4.78,-8.62,-3.45,1.60,-4.37
-19.61,-5.06,-10.99,-2.92,1.81,-4.37
-19.61,-9.70,-9.30,-1.17,1.41,-4.37
-19.61,-11.09,-8.63,1.72,1.03,-4.37
-19.61,-6.29,-10.39,4.37,-0.79,-4.34
-19.61,-1.21,-16.37,4.37,-2.31,-3.38
-19.61,3.79,-15.69,4.37,-3.02,-2.12
-14.25,7.58,-12.83,4.37,-2.87,-0.89
-6.62,9.75,-12.29,4.37,-2.24,0.44
-5.79,14.96,-8.92,4.37,-1.48,2.05
-2.49,16.46,-5.85,1.01,-0.11,2.90
-5.61,13.87,-4.37,-2.11,0.62,2.65
-10.04,9.68,-5.82,-4.37,0.87,2.14
-11.63,4.04,-9.33,-4.37,0.01,1.42
-10.94,0.22,-8.74,-4.37,-1.15,0.69
-14.18,-13.42,-7.57,-4.37,-2.30,0.15
-6.61,-4.40,-7.30,-4.37,-2.20,-0.35
-6.15,-7.18,-2.30,-4.37,-1.74,-0.43
-0.30,-4.07,1.22,-4.37,-1.60,-0.87
12.50,9.97,-2.51,-0.57,0.53,-0.72
11.45,9.29,-2.60,-0.31,0.72,-0.72
10.64,8.80,-3.25,-0.17,0.74,-0.53
10.63,8.60,-3.94,-0.22,0.57,-0.29
11.47,8.67,-4.08,-0.34,0.36,-0.19
12.83,9.01,-4.15,-0.52,0.29,-0.29
14.21,8.51,-4.35,-0.59,0.31,-0.62
15.80,7.43,-4.38,-0.38,0.41,-1.08
16.12,6.25,-3.50,0.08,0.66,-1.49
15.94,7.15,-3.62,0.36,0.97,-1.62
13.29,8.38,-4.47,0.19,1.20,-1.42
12.57,9.44,-5.36,-0.57,1.12,-1.20
11.58,8.73,-4.29,-1.45,1.06,-1.20
11.55,6.61,-2.60,-2.07,1.08,-1.51
9.05,4.28,-0.36,-2.38,1.30,-1.93
5.02,1.95,0.23,-2.60,1.67,-2.28
-0.08,-0.38,0.32,-2.75,2.02,-2.51
-6.23,-3.22,1.47,-2.57,2.51,-2.52
-15.77,-4.63,-2.70,-2.30,2.66,-2.37
-19.61,-3.98,0.54,-1.34,2.82,-2.83
-19.61,-9.46,-3.64,-0.06,3.60,-3.74
-19.61,-13.02,-16.99,2.06,3.67,-4.28
-19.61,-9.91,-18.92,4.37,2.10,-4.37
-19.61,1.01,-19.61,4.37,-3.09,-3.72
-19.61,14.48,-19.61,4.37,-4.37,-2.70
-19.61,17.89,-19.61,4.37,-4.37,-0.05
-1.48,19.61,-19.61,4.37,-4.37,2.08
17.80,19.61,-14.52,4.37,-4.37,4.37
8.66,13.32,3.73,1.89,-2.74,4.37
-8.83,12.13,2.92,-2.30,3.09,4.37
-8.19,6.14,-0.16,-4.37,0.71,4.37
-2.20,-9.18,3.01,-4.37,3.63,3.83
-11.19,3.48,-6.88,-4.37,3.52,0.14
-7.28,-2.39,-9.03,-4.37,2.17,-2.74
-10.71,-11.81,-2.10,-4.37,0.96,-3.91
-11.24,-19.49,4.43,-4.17,0.73,-3.83
-12.21,-13.60,7.37,-1.46,0.19,-2.67
-6.70,2.04,8.78,1.03,0.88,-2.41
-4.43,5.59,9.82,2.66,1.34,-2.69
-10.52,-0.95,-2.74,3.03,1.47,-1.41
-19.47,-1.02,1.12,3.36,1.33,0.23
-12.38,7.56,-7.28,3.28,0.88,1.01
-7.85,11.78,-3.83,3.23,-0.15,1.33
-5.61,13.42,-3.38,2.69,-0.42,0.83
-6.30,10.50,-2.67,2.21,0.00,0.43
-7.54,10.89,-6.50,1.23,0.24,0.40
-8.53,9.49,-7.46,0.02,0.24,0.64
-3.70,19.61,-16.16,-1.41,0.03,0.80
-2.93,10.40,-11.15,-1.89,0.36,1.09
-3.43,10.50,-3.48,-2.76,0.48,0.56
-5.36,9.59,-4.70,-2.85,1.10,-0.12
-6.68,5.13,-2.45,-3.04,0.98,-0.48
-8.04,4.21,-3.53,-2.70,0.90,-0.22
-7.08,3.52,-1.41,-2.04,1.08,0.28
-7.98,4.05,-2.54,-1.15,1.24,0.85
-8.49,4.27,-3.53,-0.16,1.18,1.47
-9.02,4.55,-4.96,0.63,1.11,1.95
-8.39,4.30,-5.38,1.15,1.06,2.45
-6.67,6.72,-5.95,1.21,1.26,2.78
-5.66,6.01,-4.04,1.21,1.47,2.80
-19.61,-5.87,-1.53,-2.20,4.30,-2.35
-19.61,-8.38,-3.88,0.21,3.80,-2.70
-19.61,-11.76,-10.63,3.63,2.20,-3.60
-19.61,-10.33,-11.01,4.37,-1.07,-4.37
-19.61,-8.07,-19.61,4.37,-3.82,-3.55
-19.61,-1.63,-19.61,4.37,-4.37,-0.42
-4.42,19.61,-14.96,4.37,-4.37,0.21
-7.48,19.61,-19.61,4.37,-4.37,1.22
6.25,19.61,-8.76,4.37,-3.72,2.36
1.50,19.61,-6.97,2.70,-2.61,1.97
-8.79,13.03,-12.17,-0.93,-0.94,2.67
-3.76,17.02,4.35,-3.68,0.29,3.81
-3.24,12.26,-7.24,-4.37,1.87,2.07
-0.73,5.34,-8.85,-4.37,1.24,1.19
-11.05,1.40,-13.53,-4.37,0.44,-0.10
-12.00,-7.62,-8.74,-4.37,-0.34,-0.36
-9.44,-9.36,-6.54,-4.37,-0.31,-0.01
-6.85,-5.64,-2.34,-4.37,-0.52,-0.15
-3.68,-2.44,1.25,-3.94,-0.21,-0.88
-2.93,-2.28,4.64,-1.41,0.44,-1.29
-5.85,0.46,2.73,0.84,1.09,-1.67
-6.79,4.24,-0.86,2.46,1.29,-1.57
-7.73,6.28,-2.85,3.32,1.02,-1.21
-7.10,5.67,-2.36,3.68,1.12,-0.42
-9.35,8.55,-5.99,3.70,0.71,-0.22
-8.29,7.24,-4.41,3.39,0.67,0.56
-7.65,9.70,-6.26,2.48,0.44,0.84
-6.29,11.69,-5.17,1.29,0.60,0.90
-5.41,11.76,-5.50,0.15,0.52,0.72
-6.24,10.63,-5.50,-0.80,0.42,0.35
-11.91,5.91,-9.78,-1.42,-0.36,0.24
-4.18,8.60,-2.17,-1.97,-0.10,-0.02
-5.19,9.00,-6.45,-1.98,-0.00,-0.61
-6.81,7.40,-6.25,-1.91,0.10,-0.81
-6.53,4.50,-5.06,-1.74,0.23,-0.58
-7.56,4.72,-5.57,-1.40,0.17,-0.13
-7.58,4.86,-5.17,-0.80,0.15,0.28
-7.41,4.60,-5.34,-0.16,0.13,0.67
-7.49,4.79,-5.20,0.33,0.23,1.05
-6.89,5.42,-5.87,0.68,0.31,1.29
15.55,4.82,-0.72,-0.13,1.83,-0.88
13.30,6.70,-4.83,-0.22,1.93,-1.06
12.53,8.53,-8.51,-0.90,1.21,-1.15
13.26,7.97,-7.23,-1.59,0.47,-1.28
13.91,5.22,-2.53,-1.69,0.53,-1.47
15.03,2.37,-0.18,-0.94,1.00,-1.74
12.05,-1.25,3.61,0.60,1.86,-1.84
3.09,0.85,4.96,1.61,3.07,-1.81
-3.53,4.21,-1.04,1.64,3.63,-1.77
-8.52,6.53,-3.91,1.06,3.37,-1.86
-9.92,5.01,-8.91,0.43,2.57,-2.02
-18.56,7.24,-10.08,-0.09,2.07,-2.08
-19.61,0.07,-8.09,0.25,1.25,-2.37
-19.61,-2.90,-13.98,0.70,-0.06,-2.28
-19.61,-6.12,-15.44,1.55,-1.42,-2.01
-19.61,-5.32,-18.33,2.59,-2.81,-2.34
-19.61,-1.44,-13.82,3.96,-3.47,-3.13
-19.61,4.63,-18.11,4.37,-3.84,-3.46
-19.61,5.94,-9.81,4.37,-3.73,-3.28
-15.24,13.95,-10.77,4.37,-2.58,-2.40
-6.95,19.61,-6.28,3.63,-1.32,-0.86
-1.77,14.86,2.21,2.12,-0.74,0.30
-5.37,14.99,-3.79,0.15,-0.07,1.49
-7.65,6.72,-7.80,-1.72,0.10,2.38
-6.31,13.82,-5.08,-2.78,1.22,1.80
-5.81,9.00,-7.66,-3.73,1.01,1.46
-7.20,5.37,-8.85,-4.37,0.17,1.38
-6.54,1.69,-3.79,-4.37,-0.05,1.20
-5.98,1.30,-4.13,-4.37,0.03,1.06
-5.47,0.14,-0.41,-3.97,0.14,1.05
-7.71,0.33,-2.41,-2.98,0.20,0.90
-6.34,1.59,1.06,-1.76,0.16,0.36
-5.69,1.39,0.20,-0.38,0.65,0.07
-3.28,3.41,-1.76,0.54,0.78,-0.20
-4.60,4.93,-0.80,1.30,0.79,-0.34
-5.12,6.00,-2.50,1.84,1.12,-0.45
-6.94,7.64,-3.67,2.00,1.43,-0.50
-6.61,9.22,-4.21,1.77,1.66,-0.48
-8.11,8.89,-4.99,1.21,1.79,-0.36
-8.21,7.89,-5.68,0.56,1.73,-0.11
-17.28,-5.77,-4.09,-1.59,0.84,-0.13
-19.61,-5.84,-2.93,-0.71,1.28,-0.70
-19.61,-6.66,-2.36,0.71,1.55,-2.32
-19.61,-10.14,-6.67,2.85,1.89,-4.04
-19.61,-10.89,-11.31,4.37,0.15,-4.37
-19.61,-0.63,-19.61,4.37,-2.32,-4.37
-19.61,9.75,-19.61,4.37,-3.92,-4.37
-19.61,19.61,-19.61,4.37,-4.12,-3.30
-6.59,19.61,-19.61,4.37,-3.16,-0.58
11.70,19.61,-12.66,4.12,-2.33,2.31
2.67,16.82,-8.20,-1.19,-0.61,4.30
-4.28,11.58,-6.49,-4.37,1.13,3.96
-9.89,14.10,5.65,-4.37,0.88,3.28
-3.22,5.23,-4.25,-4.37,2.27,1.18
-4.65,1.23,-10.51,-4.37,1.23,-0.51
-5.24,-5.04,-8.08,-4.37,0.22,-1.56
-5.13,-5.11,-2.46,-4.37,-0.20,-1.50
-5.06,-6.86,3.18,-3.44,-0.43,-1.35
-3.27,-6.09,4.74,-0.59,-0.30,-0.95
-4.24,0.20,8.44,1.84,0.79,-0.59
-3.71,4.43,4.23,3.36,1.74,0.13
-6.05,8.71,-1.19,3.89,1.76,0.11
-7.48,10.44,-4.91,3.84,1.11,-0.23
-6.14,8.73,-2.68,3.46,0.55,-0.30
-7.67,9.66,-5.51,2.77,0.32,-0.24
-6.61,10.05,-4.77,1.79,0.37,0.29
-5.25,12.14,-5.08,0.79,0.36,0.49
-4.87,12.06,-5.48,-0.32,0.24,0.35
-11.62,-1.82,2.56,-0.78,0.60,0.45
-7.23,12.67,-5.33,-1.91,0.66,0.27
-5.84,7.03,-3.09,-2.17,0.69,0.09
-7.21,4.15,-3.09,-2.37,0.67,0.19
-7.48,5.58,-2.96,-2.16,0.69,0.26
-7.71,5.20,-3.36,-1.85,0.70,0.21
-8.05,4.81,-3.78,-1.57,0.61,0.22
-7.63,4.65,-3.77,-1.11,0.61,0.27
-7.73,4.68,-3.48,-0.63,0.68,0.35
-8.20,3.86,-4.10,-0.17,0.83,0.55
-9.14,3.47,-4.59,0.10,0.87,0.89
-9.25,3.60,-4.48,0.24,1.00,1.31
15.13,10.57,-2.09,-2.21,0.68,-0.71
15.88,8.19,-0.47,-3.08,0.88,-0.67
15.37,5.16,0.50,-3.58,1.12,-0.56
14.42,2.64,1.47,-3.44,0.98,-0.48
12.97,1.41,1.22,-2.56,0.70,-0.33
12.33,0.72,-0.22,-1.63,0.40,-0.27
13.15,2.32,-1.02,-0.98,0.18,-0.27
12.96,4.30,-0.47,-0.58,0.27,-0.44
11.76,5.49,-1.09,-0.50,0.52,-0.78
9.81,4.35,-1.02,-0.16,0.72,-1.29
7.65,2.72,0.69,0.48,1.00,-1.59
3.40,4.54,-0.66,0.89,1.54,-1.56
-1.61,6.60,-3.09,0.50,1.79,-1.53
-4.78,6.69,-6.26,-0.34,1.12,-1.74
-7.61,3.52,-3.19,-1.21,0.78,-1.90
-10.55,-0.04,-1.70,-1.70,1.04,-1.81
-14.58,-2.65,-3.06,-1.92,1.46,-1.48
-19.61,-3.68,-4.54,-1.90,1.82,-1.46
-19.61,-3.63,-5.30,-1.21,2.26,-1.83
-19.61,-4.82,-8.09,0.13,2.29,-3.21
-19.61,-8.44,-7.34,3.25,2.25,-4.37
-19.61,-8.36,-17.41,4.37,0.04,-4.37
-19.61,3.16,-19.61,4.37,-3.48,-4.16
-19.61,19.61,-19.61,4.37,-4.37,-3.74
-12.46,19.61,-19.61,4.37,-4.37,-2.89
-8.63,19.61,-16.91,4.37,-4.37,-0.90
0.72,19.61,-14.98,4.37,-4.37,2.50
6.67,14.52,-6.29,0.13,-2.97,4.37
-5.56,12.74,11.73,-4.12,-0.33,4.37
-4.78,11.40,-4.21,-4.37,3.60,2.51
-11.41,0.93,-13.39,-4.37,2.12,2.30
-10.96,-0.42,-12.11,-4.37,0.37,1.31
-3.29,-5.33,-10.81,-4.37,-0.01,-0.68
-4.16,-7.76,0.99,-4.37,-0.07,-1.71
-7.41,-6.40,2.92,-3.60,-0.01,-1.88
-9.10,-5.41,5.43,-1.08,0.42,-1.24
-7.02,-3.38,5.75,1.19,1.34,-0.43
-6.76,1.84,0.66,2.51,1.87,0.25
-7.66,6.69,-0.80,3.00,1.66,0.37
-4.15,11.51,-0.14,3.42,1.98,-0.27
-5.94,11.84,-4.08,3.36,1.82,-1.27
-7.60,9.58,-7.48,2.48,1.34,-1.93
-10.58,6.68,-7.38,1.33,1.29,-1.29
-8.81,6.67,-5.08,0.27,1.24,-0.18
-7.17,6.95,-3.69,-0.56,1.47,0.55
-6.07,8.23,-4.17,-1.18,1.70,0.70
-7.09,8.70,-3.86,-1.65,1.81,0.43
-8.20,7.30,-4.24,-1.93,1.80,0.12
-9.49,5.36,-4.52,-2.06,1.66,-0.09
-10.28,3.66,-4.12,-1.89,1.41,0.12
-11.14,0.61,-3.39,-1.48,1.15,0.70
-9.84,1.34,-4.87,-0.84,0.82,1.39
-8.04,4.16,-2.83,-0.27,0.86,1.35
-6.39,3.68,-2.22,-0.16,1.07,1.62
-6.68,6.34,-1.71,-0.07,1.48,1.70
-7.07,7.00,-2.68,0.01,1.51,1.42
-8.91,5.04,-2.86,0.02,1.58,1.34
-10.09,4.24,-3.70,0.09,1.47,1.63
-9.26,4.30,-4.40,0.16,1.05,1.94
-6.33,5.08,-4.14,0.19,0.57,2.03
-19.61,-2.15,-6.52,0.32,1.48,-1.68
-19.61,-1.97,-9.48,0.73,1.00,-2.53
-19.61,-2.83,-12.28,1.47,0.07,-3.85
-19.61,-3.69,-13.54,2.65,-1.18,-4.37
-19.61,-2.63,-19.61,4.37,-4.02,-4.37
-19.61,3.95,-19.61,4.37,-4.37,-4.05
-10.61,10.44,-19.61,4.37,-4.37,-3.67
-3.38,19.61,-18.28,4.37,-4.37,-2.54
0.44,19.61,-10.37,4.37,-3.43,0.06
7.39,19.61,-7.42,0.98,-0.87,1.96
-6.11,10.67,-5.29,-2.88,2.08,3.13
-7.82,12.70,7.39,-4.37,4.18,3.53
-5.57,5.98,-6.14,-4.37,4.33,2.04
-11.09,-4.15,-4.14,-4.37,3.13,1.82
-13.42,-1.88,-7.81,-4.37,2.09,0.73
-12.62,-7.91,-4.11,-4.37,1.07,0.42
-7.08,-5.80,-1.38,-4.37,0.41,0.06
-6.66,-3.69,1.30,-4.37,0.20,-0.39
-5.44,-3.76,4.91,-2.83,0.34,-0.90
-6.60,-1.37,3.67,-0.63,0.58,-1.20
-8.99,1.21,1.59,1.12,0.78,-1.10
-8.64,3.75,-1.16,2.20,0.56,-0.60
-7.44,5.26,-1.78,2.95,0.56,-0.15
-6.80,7.70,-3.98,3.47,0.35,0.11
-7.70,8.15,-4.40,3.38,0.28,0.16
-7.98,7.87,-5.79,2.90,0.52,0.83
-5.89,10.56,-4.78,1.94,0.74,1.01
-6.25,10.23,-6.04,1.06,1.04,1.08
-4.25,1.13,1.39,0.53,1.00,1.03
-6.12,5.52,0.62,-0.32,1.28,0.62
-5.67,12.87,-9.14,-1.19,1.06,-0.17
-8.47,7.02,-4.76,-1.56,1.03,-0.39
-7.52,8.28,-7.46,-1.84,1.09,-0.44
-7.48,5.29,-3.78,-1.75,1.04,-0.20
-7.47,7.22,-3.28,-1.41,1.14,-0.10
-6.64,6.35,-3.19,-0.95,1.29,-0.06
-7.49,4.60,-3.75,-0.49,1.24,0.38
-8.05,4.62,-3.39,-0.03,1.16,0.99
-6.74,6.57,-4.80,0.29,1.01,1.10
-6.56,7.11,-5.11,0.44,0.68,1.12
13.96,13.29,-8.15,0.97,0.36,-0.28
11.56,14.51,-7.74,-0.35,0.65,-0.10
7.79,13.71,-6.47,-1.93,1.07,0.39
6.65,12.07,-5.30,-3.43,1.51,0.90
4.62,8.97,-3.17,-4.37,2.12,0.79
1.55,6.01,-2.44,-4.37,2.55,0.20
-1.51,2.60,-0.62,-4.37,2.81,-0.94
-5.94,0.20,-1.43,-3.18,2.72,-2.64
-14.32,-0.40,-2.15,-1.38,2.34,-4.23
-19.15,-7.26,-2.48,0.44,1.79,-4.24
-19.61,-2.30,-5.47,2.54,0.45,-4.37
-19.61,-1.75,-7.91,4.24,-0.88,-4.16
-19.61,0.57,-11.13,4.37,-2.20,-3.15
-19.61,6.40,-14.90,4.37,-3.46,-2.37
-19.61,5.97,-15.90,4.37,-4.24,-1.82
-19.16,7.84,-19.29,4.37,-4.37,-0.21
-10.88,11.67,-19.61,4.37,-4.37,0.91
-6.66,13.92,-17.67,4.37,-4.37,1.75
-1.11,15.10,-13.14,2.73,-3.76,2.34
3.13,14.46,-8.42,0.07,-1.68,2.11
1.96,10.45,-4.81,-2.54,0.28,1.59
-0.01,10.18,9.65,-4.24,2.33,0.58
