acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-1.09,8.57,-10.19,-0.26,-0.16,0.57
-0.61,8.67,-9.43,-0.1,-0.67,0.31
0.82,8.0,-8.56,0.33,-0.35,-0.01
2.26,9.94,-8.06,0.34,-0.25,-0.18
1.95,8.56,-9.25,0.41,-0.38,-0.34
2.06,7.74,-9.77,-0.16,0.1,-0.25
1.72,7.27,-9.35,-0.05,0.44,0.0
1.39,7.81,-9.71,-0.19,0.38,0.01
1.56,7.27,-10.06,0.16,0.21,-0.07
1.05,8.66,-9.26,0.07,0.57,-0.07
-5.06,6.36,-8.3,0.19,0.2,0.09
-4.54,7.54,-8.42,0.35,0.07,0.0
-4.61,7.56,-8.25,0.02,0.04,0.31
-4.59,6.74,-8.63,-0.41,0.15,0.31
-4.27,6.63,-8.07,-0.01,0.09,0.4
-4.77,7.03,-8.74,-0.07,0.08,0.23
-5.13,7.1,-8.53,0.39,0.0,0.38
-5.48,7.26,-9.05,0.61,0.06,0.59
-5.37,7.33,-9.54,0.29,0.2,0.58
-4.91,7.17,-9.62,-0.02,0.31,0.7
-6.49,5.69,-7.65,-0.62,0.11,0.4
-6.28,6.42,-8.06,0.84,-0.05,0.55
-6.22,7.27,-8.78,0.57,0.13,0.42
-5.57,7.43,-9.06,-0.03,0.12,0.55
-6.02,6.37,-8.27,-0.96,0.39,0.67
-4.75,8.5,-8.24,-0.32,0.01,0.66
-3.62,6.34,-9.09,-0.27,-0.05,0.66
-1.9,7.28,-7.86,-0.25,0.46,0.74
-2.57,7.08,-7.86,0.21,0.61,0.63
0.05,8.22,-8.43,0.57,0.53,0.56
-4.74,6.57,-7.8,0.21,0.26,-0.29
-5.29,7.58,-8.24,0.43,0.12,-0.28
-5.9,8.84,-8.23,0.3,-0.1,0.02
-6.3,4.35,-8.36,-0.67,-0.14,0.63
-6.58,4.83,-7.21,-0.94,-0.29,1.77
-4.21,4.61,-8.26,-0.49,0.15,0.93
-4.72,7.97,-7.43,0.72,0.62,0.21
-4.99,11.13,-9.35,1.12,-0.02,-0.01
-5.0,8.22,-9.88,0.29,0.09,0.57
-4.54,5.85,-9.79,-0.8,0.54,0.64
-4.99,5.89,-9.04,-0.35,0.67,-0.18
-5.6,6.28,-8.64,-0.4,0.21,-0.09
