acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-6.49,5.39,-6.17,1.4,-0.17,-0.08
-3.04,10.12,-8.36,0.11,-0.21,-0.03
-3.25,6.67,-8.25,0.37,-0.08,0.04
-2.29,7.46,-8.57,0.33,-0.27,-0.27
-2.29,7.79,-8.66,-0.45,-0.11,-0.21
-2.18,7.44,-8.19,0.23,-0.09,-0.1
-2.15,8.13,-7.81,0.33,-0.04,0.03
-2.63,7.84,-8.33,-0.35,-0.5,-0.16
-1.97,7.57,-8.7,0.4,-0.19,0.0
-0.83,7.3,-7.96,-0.73,0.23,0.12
-3.27,4.94,-8.3,0.9,-0.06,0.56
-1.17,8.25,-9.28,0.62,-0.1,0.31
-1.6,8.3,-7.44,-0.53,0.35,-0.06
-1.19,8.91,-7.13,-0.37,-0.09,-0.09
-0.6,10.21,-7.24,-0.02,0.16,-0.19
-1.6,9.52,-6.99,-0.6,-0.04,0.16
0.79,7.53,-7.22,0.01,0.31,0.2
0.05,7.32,-7.04,0.23,0.0,0.25
-0.52,7.18,-6.87,0.18,0.48,0.13
-2.16,6.89,-7.65,0.83,-0.43,0.43
0.16,7.95,-8.15,0.05,0.36,0.02
1.06,8.33,-8.28,-0.38,0.15,-0.17
0.42,8.29,-7.38,0.07,-0.01,0.13
1.57,8.25,-8.33,-0.26,-0.38,0.36
0.35,7.93,-8.13,-0.25,0.15,0.37
0.71,7.37,-7.56,-0.06,0.01,0.3
1.4,7.06,-8.46,0.12,-0.2,0.19
1.31,7.76,-7.92,0.05,0.07,0.17
1.83,6.85,-8.01,-0.22,0.33,-0.03
1.15,7.55,-7.64,0.03,-0.02,-0.09
-15.31,12.43,-14.1,-0.85,-1.87,0.84
-6.78,8.1,-7.71,-1.43,1.08,1.06
-7.75,7.0,-6.43,1.26,-0.61,0.04
-1.94,10.12,-8.7,-0.54,-0.26,-0.64
-3.83,7.82,-7.24,0.34,0.28,-0.08
-3.26,8.07,-7.05,-0.69,0.04,-0.84
-3.06,9.8,-7.0,0.1,0.04,-0.43
-2.12,8.41,-7.28,0.22,-0.24,0.06
-2.0,6.72,-7.73,-0.43,-0.04,0.1
-4.06,8.05,-8.26,-0.28,-0.27,-0.02
-0.94,6.53,-6.8,-0.5,0.22,0.22
0.1,6.8,-7.62,0.03,0.09,0.28
-1.88,6.65,-5.43,0.04,0.6,-0.02
-0.02,6.93,-5.62,0.4,0.31,-0.38
1.58,8.98,-5.58,1.01,0.05,-0.26
1.14,9.48,-5.63,0.82,0.11,-0.22
0.56,8.76,-6.73,0.54,-0.08,0.0
0.52,7.47,-7.77,-0.08,-0.16,0.04
1.78,8.0,-8.48,-0.06,0.72,-0.22
-1.37,6.95,-8.02,-0.08,0.39,0.0
0.24,6.91,-5.9,0.34,0.07,0.17
-1.55,6.96,-5.95,0.45,0.04,0.16
-0.36,8.64,-7.58,-0.02,-0.29,0.2
-1.71,6.22,-5.94,0.47,0.63,0.39
-1.49,8.58,-7.2,0.07,-0.45,0.2
-0.65,5.79,-7.45,0.72,0.02,0.56
-0.53,7.99,-7.93,-0.09,-0.22,0.49
-0.47,6.74,-8.08,1.13,0.21,0.42
0.59,8.13,-7.99,-0.03,-0.09,0.54
1.61,8.09,-8.66,0.92,-0.03,0.05
-13.79,16.69,-12.79,-3.68,-1.95,-1.18
-4.47,1.88,-9.23,-1.1,1.57,1.78
-7.12,7.26,-4.4,0.97,1.82,-0.41
-3.48,9.32,-6.02,-0.19,-0.05,-0.31
-2.83,7.83,-5.3,-0.18,0.7,-0.38
-3.93,7.8,-5.36,-0.01,-0.14,-0.23
-2.91,7.42,-6.73,0.41,-0.51,0.03
-2.87,7.12,-7.41,0.41,-0.31,-0.11
-2.6,8.19,-7.75,0.18,-0.16,-0.04
-2.15,6.36,-7.39,0.33,0.2,0.35
-2.43,7.11,-7.37,-0.08,0.27,0.08
-3.03,7.58,-7.59,0.29,-0.07,-0.04
-2.98,8.07,-7.64,-0.24,0.12,-0.04
-3.32,8.24,-7.62,-0.55,0.1,-0.03
-2.69,6.26,-7.33,-0.11,-0.1,0.25
-3.15,7.25,-7.51,-0.31,0.03,0.1
-1.91,6.54,-8.04,0.03,-0.12,0.29
-2.7,6.81,-7.04,0.34,0.09,0.49
-2.39,7.35,-7.98,0.03,-0.2,0.25
-1.3,7.62,-7.13,0.11,0.05,0.42
-5.8,6.35,-4.76,-0.12,1.0,0.12
-3.02,6.52,-4.74,0.88,0.33,0.75
-2.04,7.89,-5.93,-0.28,0.32,0.0
-3.19,6.73,-5.0,0.19,0.45,-0.21
-2.28,8.71,-6.21,1.1,-0.61,-0.44
-2.0,8.4,-7.53,0.69,-0.37,-0.24
-1.95,8.63,-7.1,-0.47,0.02,-0.23
-2.52,7.61,-6.66,-0.26,0.01,-0.2
