acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
6.81,4.27,-8.29,0.67,-0.36,-0.04
5.99,5.41,-8.02,0.37,-0.09,0.12
5.23,4.9,-8.35,-0.22,0.13,0.3
6.24,4.31,-8.34,0.25,0.27,0.18
4.94,4.81,-8.07,-0.23,0.29,0.03
6.41,5.34,-7.37,-0.26,0.54,-0.26
5.91,5.28,-7.76,0.53,0.12,-0.32
5.99,6.27,-8.14,-0.06,0.1,-0.19
6.71,7.13,-7.47,-0.37,0.39,-0.16
5.34,6.27,-7.58,-0.03,0.09,-0.25
1.91,6.2,-4.55,1.09,0.0,1.35
7.03,6.07,-6.09,-0.2,-0.58,2.16
6.73,2.87,-6.49,0.59,0.06,1.18
6.8,3.59,-7.05,0.83,-0.44,0.51
6.8,2.63,-7.35,1.35,-0.22,0.42
6.63,2.35,-7.2,0.05,-0.15,0.59
7.29,1.87,-7.73,0.19,0.13,0.03
6.01,0.87,-7.38,0.16,0.04,-0.34
6.36,1.25,-8.66,0.47,-0.36,-0.02
6.8,1.78,-8.51,0.62,-0.03,-0.07
2.86,10.84,-4.28,0.6,-0.43,1.29
0.91,7.94,-5.51,1.08,0.34,0.78
2.47,8.24,-4.89,0.79,0.15,1.24
3.66,6.63,-6.22,0.94,0.1,1.14
5.37,3.49,-6.98,0.74,-0.08,0.95
7.26,2.74,-6.7,0.63,-0.07,0.59
6.54,2.34,-8.26,0.9,-0.09,0.12
7.55,2.06,-6.83,0.83,0.31,0.3
6.35,3.0,-7.13,0.48,0.21,0.23
6.75,3.81,-7.99,0.82,-0.12,-0.07
5.28,7.15,-8.2,0.01,-0.2,-0.2
5.03,6.95,-8.37,-0.09,-0.08,-0.06
4.7,6.86,-8.35,-0.09,-0.07,-0.01
4.54,6.62,-8.45,-0.14,-0.05,0.03
4.48,6.66,-8.3,0.03,-0.04,-0.03
4.36,6.68,-8.37,-0.01,-0.02,0.01
4.51,6.58,-8.36,-0.02,-0.04,-0.02
4.5,6.69,-8.51,0.03,0.0,-0.01
4.62,6.66,-8.31,-0.07,0.0,-0.01
4.52,6.92,-8.26,0.06,-0.01,-0.03
6.21,4.14,-7.0,0.35,-0.25,0.66
4.26,1.13,-5.84,0.3,0.43,0.54
4.75,3.98,-6.74,0.32,-0.02,0.59
4.57,1.71,-5.55,0.44,0.41,0.77
4.22,3.43,-6.32,0.76,-0.01,0.56
5.76,1.68,-6.95,1.65,0.11,0.0
6.14,4.41,-7.91,1.24,-0.47,0.24
7.54,4.11,-7.52,0.51,0.09,0.12
6.99,5.6,-8.36,1.16,0.38,0.33
7.13,4.63,-7.78,-0.76,0.6,-0.23
4.47,5.29,-7.71,0.39,-0.37,1.41
7.16,3.79,-6.94,-0.53,-0.13,1.1
7.22,2.26,-7.65,0.58,-0.16,0.87
7.27,1.83,-7.23,0.24,-0.07,0.84
6.48,1.84,-7.13,0.71,0.08,0.56
5.8,2.82,-6.54,0.81,0.17,0.28
5.89,2.56,-7.39,0.98,0.24,0.26
4.92,2.21,-7.01,0.57,0.4,0.24
5.89,2.46,-7.25,0.82,0.22,0.29
5.61,2.2,-7.76,0.89,0.12,0.01
-0.05,9.66,-6.21,0.34,0.15,0.41
0.17,10.39,-6.08,0.29,-0.03,0.77
