acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-0.37,8.58,-5.31,0.17,0.19,0.31
-1.71,6.09,-7.0,0.5,0.11,0.29
-0.45,8.08,-4.86,0.01,0.52,-0.01
2.07,6.38,-7.46,0.64,-0.04,0.13
3.24,6.79,-5.36,-0.09,0.61,-0.48
4.73,7.78,-6.66,0.46,0.14,-0.06
4.01,6.39,-5.89,-0.14,0.48,-0.22
4.14,7.47,-6.08,0.32,-0.01,0.06
3.34,6.08,-5.92,-0.13,0.15,-0.11
4.03,7.5,-5.41,0.15,0.07,0.0
-1.23,8.34,-4.29,-0.1,0.19,-0.3
-2.0,9.96,-4.27,-0.09,-0.32,0.08
-1.32,8.28,-4.96,0.07,-0.29,0.14
-1.89,8.28,-5.28,0.1,-0.24,0.11
-1.81,8.05,-4.9,0.18,-0.17,0.3
-1.32,7.39,-6.46,0.88,-0.35,0.52
-2.96,7.08,-5.93,-0.35,0.25,0.3
-0.63,8.32,-6.18,0.79,-0.39,0.87
-1.38,6.33,-6.72,0.08,0.4,0.58
1.95,6.58,-6.23,-0.1,0.16,0.51
-0.71,7.61,-4.08,-0.28,0.11,-0.12
-1.5,8.93,-3.48,-0.09,-0.19,0.01
-0.72,7.68,-4.88,0.17,-0.43,0.13
-1.46,7.8,-4.99,0.2,0.04,0.09
-1.32,6.84,-4.81,-0.03,0.08,0.07
-1.19,6.33,-5.76,0.74,-0.18,0.32
-1.93,7.8,-5.07,0.33,-0.03,0.14
-0.48,7.4,-6.07,0.79,-0.05,0.39
-2.62,7.86,-5.61,-0.37,0.41,0.25
0.06,8.74,-5.41,0.53,0.06,0.72
-1.6,2.92,-7.72,-3.04,1.35,0.56
-3.44,7.23,-0.62,-0.03,0.51,-0.48
-0.44,8.51,-4.01,0.54,-0.64,-0.35
-1.6,9.26,-3.68,0.46,-0.04,-0.4
-1.1,9.3,-4.47,-0.32,-0.39,-0.09
-1.04,7.68,-5.5,0.38,-0.38,-0.09
-1.17,8.97,-5.53,-0.08,-0.21,0.0
-1.22,7.47,-5.19,0.0,0.02,0.02
-1.91,7.3,-5.71,0.28,-0.17,0.31
-3.12,7.6,-5.9,0.12,-0.07,0.42
3.83,6.7,-6.19,0.22,0.36,-0.08
3.5,7.25,-6.06,-0.02,0.26,-0.11
3.56,6.76,-5.88,-0.06,0.15,0.0
3.79,6.67,-6.26,-0.07,-0.06,-0.16
3.89,6.9,-6.4,0.49,-0.07,-0.15
3.61,7.63,-6.61,0.0,0.0,-0.01
3.44,6.66,-6.68,-0.14,-0.07,0.08
3.32,6.92,-6.6,-0.14,-0.09,0.03
3.04,6.75,-6.78,0.09,-0.13,-0.01
2.96,7.16,-6.84,0.0,-0.03,-0.02
-1.11,6.43,-5.52,0.55,-0.17,0.0
-1.18,7.6,-4.64,0.0,0.17,-0.03
-2.25,7.11,-4.95,0.53,-0.02,0.16
-2.07,8.8,-4.34,0.33,0.22,0.12
-1.41,6.43,-5.97,0.93,0.0,0.62
-3.92,8.24,-5.35,0.06,0.55,0.43
-0.98,7.37,-6.3,0.85,0.27,0.58
-2.14,6.77,-6.32,0.45,0.52,0.29
1.94,6.34,-6.77,0.59,0.27,0.15
4.31,6.97,-6.1,0.04,0.63,-0.56
-9.62,4.16,-5.23,-1.75,1.77,-0.11
-2.45,7.79,-2.52,0.21,-0.42,-0.1
0.64,9.23,-4.95,-0.19,0.1,-0.56
-2.36,7.43,-5.17,-0.04,0.33,-0.05
-1.16,8.01,-5.59,-0.5,-0.03,-0.19
-2.03,7.16,-6.45,0.39,-0.38,0.07
-2.5,7.96,-6.51,0.06,-0.05,0.2
-1.59,8.88,-5.83,0.11,-0.02,0.65
-2.32,6.63,-7.22,0.81,0.01,0.62
-1.83,8.79,-6.2,0.91,0.13,0.77
3.69,6.75,-7.0,0.09,-0.17,0.02
3.17,7.06,-7.28,0.01,-0.06,-0.11
2.91,7.09,-7.04,-0.03,0.0,0.0
2.86,7.01,-6.93,-0.07,0.0,-0.04
2.61,7.41,-6.79,0.06,0.07,-0.02
2.74,7.37,-6.74,-0.03,0.12,0.0
2.65,7.21,-6.64,0.0,0.24,0.01
2.52,7.35,-6.39,-0.06,0.16,0.08
2.31,7.19,-6.33,0.01,0.1,0.08
2.34,7.3,-6.33,0.01,0.07,0.12
-12.14,18.07,-13.35,1.92,-1.58,-4.34
0.48,11.35,-0.99,-0.86,-0.23,3.2
-5.44,4.61,-6.08,-2.56,1.67,0.08
-0.61,4.46,-3.76,0.89,-0.25,-0.63
-0.34,6.92,-5.15,-0.82,0.27,-0.41
-0.93,6.63,-4.46,-0.22,0.18,-0.03
-1.08,7.11,-5.46,-0.2,-0.06,-0.24
-0.53,7.45,-5.64,0.22,-0.16,-0.19
-0.74,8.18,-5.86,-0.22,0.02,0.04
-1.61,7.24,-5.55,-0.12,0.09,0.0
2.38,7.11,-7.48,0.0,0.06,0.09
2.14,7.25,-7.78,-0.22,0.0,0.07
2.27,7.45,-7.56,-0.15,-0.01,0.06
2.13,7.45,-7.53,0.04,0.03,0.0
2.17,7.6,-7.33,0.05,0.08,0.04
2.0,7.49,-7.28,-0.1,0.11,0.03
1.98,7.52,-7.24,0.08,0.05,0.04
2.17,7.52,-7.34,-0.12,0.14,0.03
2.05,7.35,-7.33,-0.03,0.1,0.03
2.11,7.6,-7.15,0.03,0.04,0.03
-0.69,6.62,3.11,-0.88,-0.69,3.34
-3.98,5.24,-4.94,-2.25,1.76,-0.25
-1.1,6.39,-2.77,0.97,-0.66,-0.5
0.75,10.55,-6.07,-0.05,0.36,-0.27
-1.27,5.74,-4.48,-0.12,0.24,0.34
-0.24,7.69,-5.01,-0.12,0.0,-0.11
0.37,7.23,-5.84,-0.13,-0.02,0.14
0.64,7.78,-6.07,-0.02,-0.1,0.08
0.62,6.67,-5.94,-0.01,0.02,0.19
1.14,6.77,-6.01,0.01,-0.01,0.09
-0.63,-0.42,-7.0,-3.78,2.87,0.44
-10.94,-9.48,-5.25,-0.01,-0.3,0.68
0.83,12.48,-6.23,0.53,-0.65,0.07
-0.16,8.11,-5.21,-0.29,0.41,-0.19
-0.25,8.1,-4.45,-0.2,0.01,-0.02
0.69,6.8,-5.0,-0.22,0.01,-0.09
0.57,8.47,-5.2,-0.31,0.08,-0.12
0.42,6.32,-5.03,0.06,-0.09,0.13
0.14,6.58,-5.38,0.03,0.04,-0.12
0.59,7.18,-4.89,0.0,-0.06,0.11
0.64,6.86,-5.02,-0.1,0.05,-0.08
0.88,7.06,-4.87,0.11,-0.03,0.03
0.59,6.63,-4.87,-0.1,0.04,-0.06
0.76,6.92,-4.77,-0.01,0.02,-0.04
0.68,6.99,-4.93,0.01,-0.05,-0.02
