acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
8.41,2.33,-8.96,-0.2,-2.22,0.29
8.9,9.7,-9.14,1.78,-1.23,-0.76
10.13,5.09,-6.72,-0.6,0.18,0.79
7.96,2.43,-9.83,0.67,-0.26,-0.47
10.82,1.89,-9.57,-0.07,0.28,0.0
5.82,5.48,-7.57,0.97,0.13,-0.4
9.6,2.66,-8.62,-0.33,0.3,0.65
3.59,6.55,-8.32,0.07,0.12,-0.53
6.78,4.84,-7.23,-0.56,-0.15,0.06
3.42,7.28,-7.61,0.54,-0.22,-0.57
8.07,5.14,-8.23,0.12,0.21,-0.17
11.19,5.39,-8.36,0.36,0.51,-0.23
6.08,7.03,-7.2,0.32,0.46,-0.97
6.46,4.17,-7.73,-0.28,0.11,-0.23
7.0,4.28,-9.24,-0.54,-0.35,0.02
6.25,6.15,-7.7,0.09,-0.21,-0.6
6.73,4.86,-8.49,-0.01,-0.34,-0.09
6.21,5.87,-8.1,0.12,-0.13,-0.25
6.49,5.15,-8.71,-0.19,-0.29,0.12
6.46,5.27,-8.57,0.0,-0.1,-0.03
5.91,7.0,-7.05,0.62,-0.3,-0.44
4.68,5.75,-7.37,-0.32,-0.49,-0.14
4.73,7.23,-7.85,-0.02,-0.47,-0.16
5.94,5.63,-8.02,0.11,-0.27,-0.14
4.53,8.4,-7.75,0.5,-0.41,-0.27
6.36,6.02,-8.95,1.1,-0.24,-0.24
4.77,7.94,-8.85,0.59,0.17,-0.28
5.66,5.93,-8.03,0.98,0.37,0.08
4.46,6.68,-9.21,0.74,0.1,-0.02
5.29,5.93,-9.2,0.91,0.31,0.05
5.39,6.5,-8.29,0.08,-0.28,-0.14
6.13,4.1,-9.02,0.19,-0.26,0.15
5.48,4.65,-9.7,-0.32,-0.24,0.11
6.0,4.98,-9.04,0.21,0.06,-0.18
5.36,6.42,-8.35,0.1,-0.14,-0.36
6.68,6.26,-9.15,0.06,-0.05,-0.1
5.67,6.57,-9.3,0.03,0.03,-0.04
5.88,5.63,-8.93,0.06,0.14,0.06
5.54,5.86,-9.04,-0.02,0.16,-0.02
5.15,6.34,-8.68,0.11,0.15,-0.09
5.34,8.94,-7.89,0.7,-0.02,-0.94
4.07,8.94,-7.75,-0.15,0.04,-0.06
2.72,7.62,-8.27,-0.87,0.31,0.61
2.83,7.04,-7.83,-0.33,-0.26,0.43
1.91,7.73,-7.09,0.13,-0.53,-0.06
3.05,6.27,-7.75,0.06,-0.72,0.4
2.94,6.53,-7.51,-0.04,-0.15,0.15
3.09,6.98,-8.46,-0.3,-0.46,0.13
3.82,7.62,-7.84,0.01,-0.03,-0.2
2.63,7.57,-8.18,-0.07,-0.14,-0.08
8.12,5.58,-8.47,0.36,-0.11,-0.41
7.91,6.66,-7.4,0.58,0.5,-0.29
6.93,5.32,-8.07,-0.19,0.23,-0.1
8.06,6.04,-6.97,0.59,0.42,-0.17
6.61,5.97,-6.54,-0.31,0.84,-0.28
4.46,7.49,-7.02,0.28,0.39,-0.15
4.53,6.46,-8.07,-0.22,0.13,0.17
3.8,8.68,-7.72,0.07,0.1,-0.11
3.46,7.41,-7.88,0.24,-0.01,0.07
3.17,6.47,-7.81,0.05,0.11,0.38
3.27,3.54,-7.8,0.4,-0.3,1.49
6.23,3.27,-8.77,-0.03,-0.08,0.72
5.05,4.06,-8.82,0.16,-0.19,-0.06
9.04,4.45,-8.7,0.41,-0.23,0.2
8.2,4.73,-9.97,0.06,-0.69,-0.26
8.15,3.44,-9.68,-0.06,-0.3,-0.34
10.69,4.05,-8.45,0.43,0.2,-0.22
7.03,4.75,-8.63,-0.56,0.27,0.16
7.03,5.58,-9.29,0.7,0.04,-0.6
6.33,2.61,-8.24,0.34,0.12,-0.2
5.01,7.89,-5.98,-0.38,-0.02,-0.43
4.1,8.52,-6.45,0.24,0.21,-0.39
3.69,6.74,-7.11,-0.07,-0.08,0.23
3.88,7.7,-7.59,0.11,0.06,-0.02
2.88,6.64,-7.58,0.08,-0.08,-0.01
3.03,7.71,-7.59,-0.12,-0.25,0.09
3.35,7.34,-7.49,0.11,-0.18,-0.07
2.77,7.57,-7.99,0.46,0.01,-0.08
2.49,8.39,-7.93,0.09,0.07,0.1
2.78,7.77,-7.9,0.13,-0.14,0.18
6.05,3.92,-8.44,-0.87,-0.64,-0.55
7.06,4.76,-5.21,0.06,-0.52,-0.97
5.22,3.09,-7.17,0.07,-0.62,-1.47
4.04,5.91,-6.53,0.71,-0.47,-1.66
4.98,4.96,-6.01,0.86,-0.36,-1.3
5.19,8.76,-5.61,-0.56,0.22,-0.16
4.13,6.02,-6.66,-0.11,0.44,-0.82
3.06,8.01,-7.59,0.11,0.0,-0.93
2.76,7.6,-6.66,0.63,-0.19,-0.48
3.72,7.41,-7.99,0.09,-0.39,-0.28
3.47,6.81,-8.27,-0.05,0.01,0.07
3.51,7.46,-7.95,0.04,-0.12,0.0
4.01,6.69,-8.47,-0.16,0.02,0.19
3.73,6.96,-8.09,0.0,0.11,-0.01
4.14,6.79,-8.26,0.05,-0.09,0.0
3.9,7.19,-8.24,-0.05,0.03,-0.02
3.89,6.87,-8.19,0.02,-0.05,0.01
3.63,7.19,-8.12,-0.07,-0.05,0.03
3.88,6.6,-8.28,0.01,0.02,-0.09
3.71,6.99,-8.36,-0.04,0.01,-0.02
7.1,7.55,-6.26,-0.22,-0.23,-0.27
6.12,7.84,-6.83,0.24,-0.41,0.17
4.15,5.97,-7.78,0.25,-0.2,0.03
4.69,6.76,-8.41,0.35,-0.12,0.15
4.14,6.65,-8.24,0.27,-0.2,0.27
4.55,6.83,-8.12,0.18,-0.16,0.18
4.64,5.54,-8.45,-0.01,-0.01,0.41
4.68,5.98,-8.55,0.24,-0.19,0.01
5.47,6.18,-9.12,0.28,0.01,-0.19
4.9,7.49,-8.58,0.32,0.22,-0.19
4.55,6.07,-8.26,-0.04,-0.06,0.04
4.88,6.81,-8.03,0.14,-0.1,-0.07
4.8,6.26,-8.35,0.02,-0.03,0.02
4.49,7.17,-8.12,0.0,-0.07,-0.05
4.8,6.45,-8.52,-0.06,-0.08,0.13
4.35,6.65,-8.27,-0.04,-0.07,0.06
4.83,6.23,-8.41,-0.05,-0.18,0.04
4.66,6.52,-8.47,0.0,-0.04,-0.04
4.74,6.53,-8.57,-0.1,-0.18,0.03
4.83,6.83,-8.56,0.01,-0.02,-0.21
6.26,8.14,-7.43,0.35,0.61,-1.04
4.82,7.98,-8.2,-0.07,0.18,-0.15
5.75,4.93,-8.49,-0.39,0.28,0.41
4.64,7.75,-7.79,0.09,-0.27,-0.05
5.0,6.35,-8.0,-0.04,-0.42,-0.19
3.81,7.23,-8.39,-0.06,-0.15,0.05
3.75,6.08,-8.66,-0.2,-0.06,0.25
3.37,7.04,-8.52,0.1,-0.12,-0.28
4.04,7.65,-7.84,0.32,-0.13,-0.26
3.85,7.43,-7.97,-0.07,0.03,0.03
5.67,3.01,-9.14,1.36,-0.12,0.54
6.84,5.84,-10.63,0.43,-0.73,0.01
5.6,4.62,-6.55,0.61,-0.57,-0.15
8.85,4.79,-9.51,-0.84,-1.15,0.42
5.79,7.33,-9.33,0.58,-0.92,-0.54
10.01,3.56,-9.57,0.22,-0.59,-0.11
7.89,8.49,-9.91,-0.13,0.35,-0.09
7.47,5.04,-9.58,1.04,0.17,-1.03
7.22,7.17,-8.75,0.05,0.67,-0.64
5.95,8.0,-9.21,0.96,0.54,-0.26
4.26,7.07,-7.93,-0.13,-0.1,0.08
4.53,6.36,-7.93,-0.03,0.09,-0.1
3.97,7.01,-7.65,-0.29,-0.13,0.04
4.61,6.69,-7.81,-0.07,0.05,-0.12
4.12,6.62,-7.72,-0.24,-0.07,0.02
4.58,6.82,-7.5,-0.1,0.17,-0.02
3.81,6.43,-7.37,-0.17,-0.04,0.14
4.66,6.35,-7.38,-0.04,0.07,-0.05
4.07,6.76,-7.28,0.0,-0.08,-0.02
4.21,6.7,-7.2,0.22,-0.22,-0.12
5.53,8.88,-7.62,0.38,-0.11,-1.47
7.64,7.53,-7.77,0.39,0.39,-1.01
5.85,6.35,-7.99,0.27,0.55,-0.29
7.59,6.94,-6.99,-0.13,0.85,-0.24
4.53,6.23,-8.3,-0.17,0.52,-0.12
4.9,6.78,-8.8,-0.13,0.4,-0.09
3.75,6.8,-8.24,-0.22,0.29,0.06
4.26,6.65,-8.47,-0.15,-0.32,0.04
4.47,7.19,-7.85,0.01,-0.42,-0.07
4.85,6.88,-8.55,0.07,-0.31,-0.11
-0.01,14.26,-7.6,1.08,0.22,0.41
-5.11,5.53,-2.35,-0.77,1.36,0.86
-1.39,6.89,-1.43,-0.48,0.09,0.06
-4.17,9.2,-3.55,1.61,-0.64,0.99
-7.67,9.02,-2.5,-0.49,-0.07,1.57
-0.98,14.03,-3.78,0.06,-0.8,2.16
-0.05,6.21,-4.78,0.66,-0.11,2.26
3.39,2.71,-6.72,-1.01,-0.18,1.89
6.87,3.76,-9.59,0.69,-0.02,0.51
10.76,1.49,-9.02,0.78,-0.3,-0.35
4.76,8.09,-6.06,0.51,0.56,-0.82
6.82,6.08,-5.49,0.42,0.43,-0.45
4.15,7.31,-5.97,-0.03,0.29,-0.16
4.92,6.42,-5.86,0.58,0.13,-0.26
3.09,7.67,-6.75,-0.38,-0.3,0.0
4.15,7.4,-7.24,0.19,-0.22,0.06
3.62,7.3,-7.8,-0.06,-0.16,0.09
3.64,7.16,-7.94,0.16,-0.29,0.31
4.09,6.6,-8.6,0.05,-0.09,0.11
3.34,7.34,-8.21,0.26,-0.12,0.01
2.57,7.92,-8.0,-0.56,0.49,0.79
11.13,1.56,-6.72,1.21,0.23,-0.42
9.44,0.33,-8.28,0.09,-0.54,0.2
8.4,6.15,-8.41,0.53,-0.68,-0.6
8.11,7.58,-8.95,1.61,-0.95,-1.35
7.94,5.96,-8.5,0.69,0.12,-0.74
6.08,6.19,-7.74,0.68,1.34,-0.33
