acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
4.28,6.21,-5.63,-0.51,-0.19,0.08
3.5,6.55,-5.4,0.17,-0.17,0.04
3.05,7.39,-5.02,-0.14,-0.13,-0.03
1.62,7.08,-5.7,-0.08,-0.13,0.12
1.41,6.68,-6.07,-0.14,-0.2,0.34
1.66,6.78,-5.9,0.07,-0.15,0.2
1.29,7.44,-5.67,-0.08,-0.21,0.14
1.49,6.71,-5.71,0.05,-0.17,0.11
1.46,6.66,-5.72,0.06,-0.09,0.05
1.88,6.83,-5.43,0.02,0.05,0.0
5.47,5.87,-8.68,-0.93,-0.68,-0.73
6.08,5.72,-7.36,0.2,-0.07,-1.01
9.76,5.83,-7.35,-0.26,0.03,-0.87
7.96,8.11,-6.83,-0.89,0.1,-0.75
5.9,6.64,-6.57,0.52,0.31,-0.55
5.48,5.94,-6.8,0.0,0.29,-0.33
5.05,6.34,-7.03,-0.65,0.15,-0.01
4.97,5.11,-6.46,-0.34,0.0,0.06
4.81,5.23,-6.74,-0.2,-0.15,0.1
4.32,6.35,-5.9,0.0,-0.02,-0.07
6.83,6.86,-8.03,-0.91,-0.4,-0.54
4.98,6.03,-5.45,0.4,-0.05,-0.81
5.3,6.96,-7.5,0.21,0.05,-0.92
5.29,6.98,-7.27,0.01,-0.1,-0.61
5.4,6.8,-6.8,-0.36,0.17,-0.35
4.91,6.96,-7.33,-0.13,0.06,0.17
3.87,6.13,-6.22,-0.37,0.21,0.37
3.11,7.53,-6.12,-0.63,0.17,0.51
2.47,5.87,-5.73,-0.13,-0.18,0.23
2.58,7.23,-5.97,-0.07,-0.09,0.29
6.76,6.54,-5.74,0.08,0.01,-0.41
4.76,7.32,-8.09,-0.35,-0.35,-0.85
6.43,6.39,-6.95,0.17,0.11,-0.44
5.71,7.55,-7.45,-0.55,0.11,-0.55
3.73,6.84,-6.85,0.11,0.31,-0.28
4.17,8.31,-7.32,-0.04,0.09,0.1
3.78,7.0,-6.42,-0.28,0.26,0.17
2.68,6.9,-6.92,-0.13,0.14,0.29
3.1,6.74,-6.56,-0.17,-0.19,0.36
2.87,6.22,-6.33,0.14,-0.14,0.16
7.23,5.94,-8.28,0.04,-0.37,-0.38
5.69,7.15,-8.03,-0.07,-0.46,-0.56
5.64,6.39,-6.94,0.28,0.11,-0.44
4.68,6.98,-7.66,-0.05,0.26,-0.52
4.22,6.51,-7.47,0.14,0.38,-0.21
3.86,6.58,-7.65,-0.45,0.1,0.02
3.83,6.48,-7.39,-0.2,0.0,0.2
3.41,7.65,-6.6,0.04,-0.06,0.0
2.61,7.5,-6.35,0.01,-0.17,0.07
2.34,7.26,-6.55,-0.05,-0.07,0.1
5.2,6.56,-8.02,-0.35,0.25,0.28
4.6,6.07,-7.54,-0.61,0.02,0.58
4.44,6.8,-6.29,-0.35,0.08,0.5
2.93,6.61,-6.1,-0.02,-0.13,0.39
2.76,6.67,-6.03,-0.28,0.01,0.39
2.77,6.48,-5.86,0.03,0.06,0.03
2.54,6.44,-6.2,0.01,0.15,-0.08
2.61,6.9,-6.07,0.11,0.11,-0.07
2.53,6.92,-6.17,0.04,0.15,-0.08
2.43,6.49,-5.84,-0.09,0.09,-0.05
3.55,6.23,-6.52,-0.43,0.18,0.18
3.18,6.73,-6.57,-0.05,-0.07,0.24
2.73,6.64,-5.74,-0.01,-0.17,0.09
2.54,7.37,-5.98,0.16,-0.27,-0.01
2.18,7.27,-5.86,0.16,-0.28,0.03
2.1,6.62,-6.32,-0.06,-0.15,0.07
2.29,6.9,-6.17,-0.07,0.0,0.01
2.26,7.06,-6.21,0.0,0.08,-0.05
2.0,7.06,-6.21,0.0,0.03,0.05
2.12,6.77,-6.01,-0.1,0.04,0.07
3.56,6.41,-5.9,-0.66,0.24,0.57
3.31,6.26,-6.09,-0.01,-0.12,0.48
2.75,7.16,-5.42,-0.35,-0.09,0.43
2.64,6.15,-5.73,0.0,-0.22,0.08
2.02,6.52,-5.68,0.19,-0.06,-0.08
2.42,6.38,-5.69,0.17,0.01,-0.24
2.18,6.64,-5.81,0.21,0.11,-0.15
