acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-0.51,8.23,-8.53,-0.03,0.06,0.01
-0.51,8.2,-8.67,-0.02,0.02,0.02
-0.93,8.4,-8.64,0.01,-0.04,0.04
-0.44,7.71,-8.95,-0.02,0.04,0.04
-0.82,8.13,-8.73,0.02,0.0,0.0
-0.82,8.43,-8.73,-0.09,0.07,-0.07
-0.71,8.22,-8.62,0.01,0.12,0.06
-1.03,7.57,-8.52,-0.11,0.06,0.03
-1.07,7.77,-8.53,0.01,0.0,0.03
-1.0,8.07,-8.59,0.0,0.06,-0.04
-1.59,7.07,-5.48,-1.03,0.67,0.0
3.77,6.9,-8.34,0.93,-0.19,0.25
1.13,8.31,-6.35,0.8,0.0,-0.23
4.93,7.53,-8.04,0.21,0.45,-0.15
0.96,8.58,-10.13,-0.37,-0.36,-0.04
0.3,6.94,-6.79,0.02,0.92,-0.44
3.09,9.47,-10.3,-0.36,0.06,0.4
1.04,7.36,-7.33,-0.11,0.28,-0.23
3.05,8.09,-8.52,0.21,0.24,-0.32
1.18,8.61,-8.67,0.46,-0.27,-0.24
-3.48,8.35,-9.28,0.09,0.39,0.2
-5.8,6.34,-6.85,-0.05,0.02,0.29
-4.82,10.95,-9.63,1.09,0.17,0.55
-5.83,9.52,-6.3,-0.4,0.57,1.08
-3.54,4.47,-7.75,0.53,0.07,0.34
-3.47,7.23,-6.71,0.62,1.96,0.24
-3.0,7.11,-7.85,-0.37,-0.28,-0.05
1.09,6.41,-8.67,1.88,-0.34,-0.59
0.26,9.47,-8.51,0.77,-0.3,-0.81
2.03,7.97,-9.32,0.03,-0.48,-0.09
-3.48,9.47,-7.54,-0.27,0.02,0.62
-2.88,6.26,-6.77,0.08,-0.02,0.01
-2.42,8.55,-7.02,0.52,-0.2,0.63
-2.28,6.86,-7.16,-0.04,-0.05,0.36
-2.41,8.76,-6.06,-0.79,0.28,0.27
-1.65,6.86,-7.04,0.64,0.0,0.4
-3.46,6.95,-4.5,0.24,0.37,-0.04
1.18,7.58,-7.66,-0.03,-0.12,-0.2
-1.68,7.95,-6.06,0.94,-0.42,-0.04
1.82,7.18,-6.98,0.03,0.45,-0.6
0.59,8.07,-8.1,0.06,0.05,-0.12
0.86,8.24,-8.35,0.15,0.07,-0.24
0.3,8.86,-8.53,0.1,-0.09,0.0
-0.17,8.03,-8.21,-0.08,-0.06,0.08
0.13,8.35,-9.27,-0.05,-0.15,0.24
0.01,7.25,-9.09,-0.01,-0.21,0.08
0.75,7.76,-9.15,0.19,-0.1,-0.06
0.28,8.28,-8.62,0.01,-0.14,-0.01
0.45,8.09,-8.95,-0.01,-0.12,-0.02
0.08,8.27,-8.83,-0.1,-0.22,0.09
-4.13,8.05,-7.28,0.68,-0.09,0.26
-0.54,6.29,-8.72,0.2,0.47,0.34
-0.06,8.25,-9.47,1.07,-0.04,-0.2
-2.03,10.14,-8.65,0.71,0.07,-0.07
2.36,9.8,-9.34,-1.28,1.01,0.37
-0.82,8.66,-8.4,-0.34,-0.19,0.45
-2.35,8.15,-8.06,-0.01,0.33,0.45
3.23,9.56,-8.08,-0.8,0.9,0.53
0.14,9.61,-9.6,0.35,-0.48,0.13
1.31,7.79,-6.59,-0.87,1.13,0.36
-1.44,9.08,-7.63,-0.65,0.03,0.01
-3.35,7.93,-6.76,0.39,-0.05,0.0
-1.82,7.36,-6.36,0.0,0.55,-0.05
-2.31,7.53,-7.16,0.72,0.17,0.07
-0.78,7.39,-6.32,0.14,0.45,-0.05
-1.18,7.56,-7.65,-0.04,-0.04,0.29
-2.69,6.82,-7.51,0.2,-0.1,0.16
-0.4,6.53,-7.99,0.37,0.06,0.28
-0.68,6.74,-8.12,0.36,-0.07,-0.09
2.27,7.89,-8.91,0.39,0.21,-0.06
-2.7,7.18,-8.78,-0.15,-0.28,0.0
-2.83,6.18,-7.67,0.08,0.14,-0.15
-1.78,8.4,-8.26,0.38,-0.35,0.01
-2.31,7.95,-8.01,-0.25,-0.07,-0.14
-1.85,7.93,-8.43,0.22,-0.34,0.14
-2.44,7.67,-8.59,0.4,0.18,-0.11
-2.38,9.23,-8.25,-0.25,0.03,0.32
-1.67,7.31,-9.14,0.18,0.01,0.3
-2.37,7.89,-8.5,-0.26,0.36,0.3
-1.49,7.3,-8.03,0.24,0.14,0.18
-6.71,5.82,-7.16,1.8,-0.89,1.27
-3.45,10.93,-8.46,-0.81,-0.5,0.22
-4.23,7.86,-8.53,-0.17,0.51,0.13
-4.8,7.61,-7.86,0.03,-0.12,0.52
-4.49,8.08,-6.79,0.23,-0.12,0.06
-4.28,7.73,-8.36,-0.1,-0.21,0.61
-3.82,7.16,-7.66,0.49,0.18,0.0
-3.38,8.5,-8.8,0.09,-0.3,0.19
-3.88,7.55,-8.43,0.15,0.17,0.0
-1.51,8.26,-8.93,-0.13,-0.29,0.28
1.3,8.27,-9.75,0.35,0.2,-0.38
0.82,8.06,-8.81,0.29,0.27,-0.52
0.03,8.83,-9.74,0.05,-0.09,-0.25
0.49,7.6,-9.77,0.02,0.16,-0.18
-0.03,7.96,-9.67,0.19,-0.04,-0.25
-0.76,8.01,-9.83,0.06,0.06,-0.15
-0.56,8.05,-10.14,0.01,0.03,-0.05
-1.0,8.4,-9.49,0.09,0.06,-0.06
-0.95,8.47,-9.75,-0.04,0.0,0.05
-1.08,8.41,-9.69,-0.01,-0.1,0.1
-2.06,8.05,-8.69,-0.06,0.17,0.54
-1.64,7.81,-8.18,0.8,-0.22,0.48
-0.13,7.26,-8.7,0.3,-0.05,-0.05
0.54,8.78,-8.02,-0.15,-0.14,0.25
1.26,6.6,-7.95,-0.05,-0.03,-0.36
0.62,8.58,-8.29,0.76,-0.46,-0.02
0.28,8.2,-9.1,0.34,0.07,-0.27
1.17,6.71,-8.54,-0.18,0.19,0.14
0.92,7.71,-9.38,-0.19,-0.19,0.36
-0.93,7.82,-8.49,0.6,0.27,-0.26
-0.76,6.68,-9.12,0.29,0.31,0.12
-3.41,8.83,-8.02,0.27,0.18,0.17
-0.68,5.75,-8.91,0.51,0.19,0.06
-1.09,9.18,-8.0,0.68,-0.37,-0.04
0.95,7.68,-8.39,-0.18,0.49,-0.01
-1.5,8.73,-8.55,0.61,-0.53,0.18
0.63,8.2,-7.48,-0.3,0.98,0.04
0.25,7.14,-9.7,0.01,-0.58,0.37
-0.4,6.6,-7.55,0.32,0.44,-0.16
3.53,7.29,-9.98,0.52,0.41,0.04
-2.04,8.49,-9.88,0.14,-0.08,0.37
-3.81,8.4,-6.94,0.73,0.25,0.18
-1.4,8.7,-9.38,0.0,-0.2,0.44
-3.87,8.08,-8.23,0.69,0.11,0.03
-1.57,7.25,-9.13,0.41,0.25,0.19
-1.26,7.81,-8.98,0.06,0.32,-0.42
-1.43,7.73,-8.69,-0.07,0.21,-0.12
-0.18,7.22,-9.01,-0.06,0.36,-0.23
0.11,8.59,-9.48,0.3,-0.02,-0.08
0.46,7.32,-8.38,0.13,0.46,-0.13
-2.93,6.52,-7.01,-0.06,0.06,0.38
-2.8,6.85,-6.14,0.28,0.04,0.02
-2.75,7.51,-7.13,0.52,-0.04,0.02
-3.2,8.44,-7.23,0.19,0.15,0.11
-2.88,7.98,-7.9,0.17,-0.2,0.45
-2.63,6.54,-7.06,0.03,0.52,0.11
-0.76,7.96,-8.62,0.61,-0.33,-0.1
-1.08,7.39,-7.59,0.04,0.64,-0.33
0.04,7.18,-7.92,-0.02,0.16,-0.19
-0.88,8.16,-8.8,0.47,0.05,-0.11
1.86,6.67,-4.81,-0.21,-0.1,0.13
3.38,5.88,-5.4,0.14,0.39,-0.01
3.14,7.44,-9.48,-0.69,-0.18,0.27
4.35,6.38,-4.02,-0.02,0.41,0.15
4.93,7.13,-7.25,0.61,0.41,-0.25
3.45,6.2,-7.5,0.24,0.36,-0.07
3.95,6.76,-6.23,0.26,0.89,0.13
5.01,6.24,-4.28,0.16,0.72,0.03
3.2,6.92,-5.73,-0.19,-0.06,-0.23
2.88,6.77,-6.22,0.44,-0.11,-0.35
0.26,8.07,-5.21,-0.12,0.65,0.08
2.53,6.06,-8.95,-0.7,-0.18,0.3
-1.06,6.61,-5.92,-0.38,-0.15,0.49
2.74,5.8,-6.87,-0.18,0.2,0.04
3.84,7.55,-7.74,-0.47,-0.25,-0.1
3.03,6.51,-5.36,0.2,0.23,0.16
5.87,5.73,-6.24,-0.34,0.6,0.27
4.23,7.6,-6.15,-0.81,-0.26,0.06
5.86,5.77,-5.67,-0.42,-0.22,-0.03
7.34,5.18,-5.43,0.01,-0.1,0.02
0.3,8.54,-5.81,0.91,-0.57,0.04
0.55,7.03,-6.94,0.77,-0.35,-0.11
0.7,7.08,-5.66,0.58,0.24,-0.26
1.74,7.58,-8.18,0.95,-0.13,-0.42
1.0,8.59,-8.13,0.47,-0.53,-0.31
5.15,7.2,-7.33,0.22,0.3,0.11
3.25,7.17,-9.67,-0.37,-0.17,0.11
4.24,6.41,-7.14,0.26,0.22,0.29
4.53,6.87,-9.83,-0.46,0.32,-0.02
4.13,7.21,-8.16,-0.48,0.0,-0.03
-3.26,2.79,-3.68,-1.85,0.37,0.38
-0.38,8.39,-2.51,0.88,0.31,-0.22
-0.57,7.55,-3.0,0.52,-0.2,0.15
-0.69,8.39,-3.29,0.17,-0.03,0.74
-1.07,7.84,-3.44,0.25,0.2,0.73
-0.54,7.45,-3.35,0.13,-0.02,0.86
-1.66,6.45,-3.12,0.61,0.13,0.77
0.22,7.96,-4.54,0.71,-0.13,0.31
0.16,9.73,-5.96,0.12,-0.19,0.12
0.26,7.51,-3.28,0.87,0.58,-0.03
-6.64,5.09,-6.49,0.6,-0.66,-1.68
-2.32,9.59,-4.2,-0.38,-0.95,-0.08
-0.57,6.26,-4.82,-0.5,0.21,0.07
-0.82,7.21,-3.93,-0.19,0.01,0.25
-1.02,7.42,-3.67,-0.17,0.06,0.33
-1.11,7.4,-4.61,0.46,-0.05,0.08
-1.64,8.26,-4.06,0.23,-0.09,0.13
-3.32,7.79,-4.17,0.2,-0.1,0.22
-1.29,7.95,-4.09,0.4,-0.11,0.48
-1.77,8.44,-5.99,0.18,-0.44,0.46
2.03,7.09,-6.15,0.09,0.1,-0.03
1.73,7.33,-6.01,0.03,0.05,-0.01
2.19,6.73,-6.28,-0.13,0.02,0.08
1.9,7.0,-6.18,-0.11,0.03,0.01
1.96,7.32,-5.92,-0.21,0.04,0.06
1.75,6.99,-5.51,-0.29,0.02,0.11
1.44,6.75,-5.85,-0.29,-0.1,0.05
2.02,6.37,-5.45,0.01,-0.09,-0.01
2.1,6.93,-5.92,-0.1,-0.08,-0.04
1.8,6.73,-5.59,0.05,-0.11,0.0
3.77,5.92,-6.26,-0.16,0.24,0.03
3.05,6.45,-6.34,0.17,0.07,-0.02
3.38,6.59,-6.34,-0.01,0.0,0.01
2.94,7.38,-5.93,0.1,0.0,-0.11
2.44,7.34,-6.32,0.09,-0.08,-0.01
2.8,6.85,-6.29,0.0,-0.11,0.14
3.14,6.71,-6.09,-0.11,-0.08,0.12
3.08,6.65,-5.81,-0.12,0.05,-0.02
2.7,6.81,-5.89,0.02,0.08,-0.12
2.6,6.39,-6.28,0.07,-0.01,0.08
0.82,7.92,-4.94,-0.13,0.14,0.32
2.63,6.68,-6.08,0.29,-0.25,0.11
2.54,5.55,-6.7,0.11,-0.29,-0.04
3.68,4.97,-6.01,0.5,-0.11,-0.17
4.48,4.71,-7.28,0.36,0.23,-0.28
3.71,6.07,-7.73,0.12,-0.32,0.0
4.5,5.02,-6.22,0.48,0.1,-0.31
3.94,6.53,-8.49,0.54,0.26,-0.3
3.75,7.58,-7.24,0.39,0.24,0.1
4.97,6.81,-7.91,0.02,0.24,0.41
-1.49,5.8,-4.15,0.16,-0.08,1.02
-0.88,8.44,-4.94,0.35,0.38,-0.08
-2.25,7.2,-4.43,0.55,-0.01,0.2
-1.79,7.84,-4.35,-0.05,-0.11,0.66
-2.11,8.84,-4.4,-0.53,-0.21,0.54
-2.94,8.15,-3.85,0.43,-0.12,0.64
-0.19,9.24,-4.29,0.04,0.01,0.67
-1.12,7.87,-5.55,0.18,-0.38,0.4
-0.11,8.02,-3.72,0.24,0.31,0.37
0.89,6.17,-5.39,0.0,0.15,-0.06
-20.43,11.2,3.51,-2.43,0.31,-2.24
-6.79,2.41,-4.77,2.4,-0.27,-2.81
-0.14,13.18,-3.87,-0.64,-0.63,0.57
-2.38,3.76,-2.53,0.19,-0.21,0.23
-1.26,9.46,-1.64,0.3,0.06,-0.27
-1.13,7.96,-3.53,0.84,-0.18,0.04
-1.03,8.41,-3.77,0.35,-0.06,0.4
-1.86,8.62,-3.97,0.41,-0.03,0.51
-1.66,7.54,-4.27,0.32,0.16,0.32
-0.36,7.69,-4.77,0.2,-0.06,0.33
-14.29,18.07,8.51,-4.29,1.48,-1.16
-2.38,5.6,-16.65,0.08,-2.41,-3.25
-3.29,18.07,5.49,0.91,-0.4,2.27
-3.06,0.88,-5.46,-1.41,-0.38,0.1
-2.22,-1.25,-4.54,1.07,-0.23,1.68
-1.49,7.45,-3.7,0.44,0.17,-0.11
-0.87,8.31,-3.18,-0.33,0.05,0.15
-1.37,6.99,-2.79,-0.56,0.3,0.63
-0.87,7.5,-3.52,0.04,-0.04,0.38
-1.72,6.78,-2.88,0.26,-0.12,0.36
4.95,7.02,-7.25,0.15,0.38,0.01
4.83,6.63,-6.12,-0.09,0.55,0.29
4.44,6.73,-5.53,-0.03,0.63,0.13
3.92,6.56,-5.51,0.04,0.45,0.2
3.77,6.24,-5.7,-0.15,0.04,0.42
4.09,5.92,-5.98,-0.25,0.02,0.31
3.55,6.3,-5.63,-0.01,0.01,-0.04
3.11,6.34,-5.8,0.15,-0.1,-0.18
3.12,6.46,-6.42,-0.02,-0.12,-0.07
3.24,6.72,-6.08,-0.03,0.03,-0.11
3.34,6.6,-6.46,0.21,-0.14,0.18
2.8,6.97,-5.6,0.63,-0.05,0.35
3.67,6.09,-5.49,0.03,0.21,0.65
1.84,6.34,-6.16,0.06,-0.19,0.5
4.35,6.22,-6.05,0.3,0.06,0.34
4.7,5.92,-6.35,-0.09,-0.05,0.49
4.82,5.93,-6.08,-0.3,-0.27,0.23
4.71,5.47,-7.02,0.06,-0.14,0.02
5.18,6.27,-5.96,0.03,0.06,-0.23
4.31,6.59,-6.36,0.27,0.1,-0.25
0.47,8.23,-5.14,0.32,0.01,0.23
0.8,7.61,-5.33,-0.19,-0.01,0.18
-0.28,7.6,-6.07,0.49,-0.34,0.0
1.94,7.44,-4.9,0.0,0.17,0.11
2.28,6.36,-7.13,0.09,-0.32,-0.22
