acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-4.98,12.18,-7.83,0.8,-1.04,-2.77
-5.21,9.83,-8.94,0.37,-0.62,-1.75
-5.77,9.2,-9.42,0.44,-0.49,-1.35
-5.24,7.48,-9.61,0.27,-0.12,-0.87
-6.0,7.18,-9.72,-0.2,0.02,-0.61
-5.17,6.44,-8.99,0.15,0.2,-0.21
-6.04,7.11,-8.97,-0.18,0.09,0.25
-5.31,6.76,-9.18,-0.28,0.0,0.35
-5.87,6.74,-9.36,-0.18,0.08,0.39
-5.59,6.14,-9.13,-0.21,0.1,0.27
4.31,-3.28,-2.22,-0.13,-0.69,-1.75
2.52,0.65,-2.61,-0.25,-1.65,-2.81
3.42,3.17,-5.35,-0.05,-2.84,-3.15
1.12,6.71,-6.72,-1.33,-3.99,-3.96
4.1,4.62,-7.56,-0.81,-4.25,-3.78
3.45,7.45,-10.11,-1.71,-4.38,-3.47
3.39,6.82,-10.64,-1.39,-4.32,-2.93
6.65,9.14,-16.07,-1.15,-4.01,-3.51
0.8,10.52,-14.93,-1.43,-3.83,-4.13
0.79,8.57,-15.24,-0.61,-2.49,-3.18
5.41,-0.14,-3.54,-0.43,-1.55,-1.22
4.68,-1.96,-1.54,-1.6,-1.58,-1.96
-0.5,0.65,-1.9,-0.53,-1.91,-2.87
-1.55,2.46,-6.82,-0.33,-3.68,-3.62
0.93,6.37,-8.88,0.08,-4.38,-4.34
1.24,7.11,-11.96,0.27,-4.38,-4.04
2.62,12.1,-13.37,-3.22,-4.38,-3.59
3.02,7.4,-16.54,0.81,-4.38,-2.06
2.93,10.86,-20.94,-1.52,-4.38,-2.3
2.97,11.02,-17.52,-2.33,-3.61,-3.01
-8.09,2.93,-9.08,-0.14,0.03,0.19
-8.54,3.96,-8.9,-0.09,0.04,0.02
-8.18,3.65,-8.77,-0.2,-0.05,-0.03
-8.1,3.87,-8.75,-0.02,-0.11,-0.05
-7.3,3.3,-8.76,-0.11,-0.21,-0.03
-6.99,3.47,-8.17,-0.75,-0.27,0.16
-8.38,3.75,-8.46,-0.98,-0.45,0.14
-7.86,4.3,-8.3,-0.47,-0.41,-0.04
-8.82,4.48,-7.45,-0.68,-0.21,-0.08
-8.86,4.46,-7.46,-0.47,-0.2,-0.02
-10.88,4.94,-5.98,-0.66,-3.57,-4.34
-12.04,11.16,-8.98,1.79,-4.38,-4.34
-16.82,14.95,-13.35,3.09,-4.38,-4.34
-14.72,7.29,-15.69,2.01,-4.38,-4.34
-20.16,18.07,-19.78,3.05,-3.93,-4.34
-14.47,10.47,-21.08,0.74,-2.94,-1.67
-11.57,10.02,-18.27,-0.24,-1.76,-0.69
-7.9,8.58,-15.2,2.14,1.06,0.78
-5.99,7.29,-13.42,-0.29,-1.27,-0.91
-5.66,5.81,-12.39,0.25,-0.97,0.26
-20.43,18.07,-18.26,-1.41,4.34,4.38
-20.43,4.5,-17.91,-2.37,4.34,4.38
-18.56,1.89,-17.87,0.73,4.34,4.38
-13.75,-1.52,-8.67,2.69,4.34,3.98
-19.15,1.32,5.77,0.81,2.55,1.74
-1.91,2.55,0.2,0.22,-1.61,-1.43
2.01,2.03,-0.72,0.91,-2.53,-1.37
1.43,4.61,-1.66,0.0,-2.09,-2.06
-5.38,0.66,-3.92,-1.45,-3.4,-3.35
-4.78,4.44,-9.68,-1.15,-4.38,-4.34
-7.79,5.1,-12.76,-0.04,0.0,0.0
-7.83,4.78,-12.87,-0.21,-0.02,0.13
-7.32,4.57,-12.58,-0.35,0.02,0.21
-7.7,4.37,-12.8,-0.32,0.03,0.15
-7.6,4.07,-12.89,-0.34,0.05,0.01
-7.7,4.15,-12.7,-0.44,0.13,-0.05
-7.8,3.94,-12.59,-0.54,0.13,-0.11
-7.8,3.93,-12.3,-0.19,0.11,-0.19
-7.65,4.25,-12.19,-0.05,0.17,-0.21
-7.77,4.28,-12.25,-0.2,0.13,-0.18
-8.4,5.13,-6.96,-0.19,-0.3,-0.75
-9.11,5.63,-6.74,-0.1,-0.12,-0.63
-8.16,5.2,-7.99,-0.35,-0.03,-0.26
-7.85,4.69,-8.12,-0.54,-0.03,-0.08
-7.87,4.29,-7.69,-0.18,0.01,-0.08
-8.01,3.86,-7.78,0.14,-0.07,-0.09
-8.01,3.88,-7.8,0.21,-0.01,-0.02
-8.29,3.88,-7.69,0.0,-0.04,0.03
-8.38,3.63,-7.49,0.0,-0.06,0.08
-7.99,3.66,-7.28,0.03,0.04,0.05
6.42,0.37,-2.86,-0.04,-1.45,-1.13
4.44,-3.89,-0.45,-1.45,-0.22,-1.62
-0.95,-3.4,2.28,-0.96,-0.29,-2.76
-6.35,-2.6,0.53,-2.05,-2.12,-4.34
-8.64,2.09,-3.02,-1.99,-4.08,-4.34
-10.37,6.86,-7.97,-0.94,-4.38,-4.34
-9.75,13.13,-11.3,-0.01,-4.38,-4.34
-11.43,15.45,-17.48,-1.54,-4.38,-4.34
-12.37,9.53,-16.23,0.75,-4.37,-4.34
-15.52,16.01,-18.12,1.88,-2.65,-4.34
-15.25,-2.56,-6.34,4.43,4.34,4.06
-14.5,-2.29,3.97,2.14,0.59,-0.41
6.19,5.26,-1.96,0.76,-0.81,-1.22
4.21,0.04,-1.59,-1.07,0.09,-0.78
0.08,-2.24,1.75,-0.5,-0.63,-1.15
-5.2,-0.68,2.73,-0.41,-1.57,-2.18
-9.25,1.58,0.12,-1.01,-3.65,-3.49
-11.28,4.42,-5.51,-1.42,-4.38,-4.34
-12.31,5.27,-12.78,0.2,-4.38,-4.34
-12.33,10.21,-16.77,1.12,-4.38,-4.34
-20.43,15.62,-15.32,-1.58,4.34,0.49
-20.43,15.61,-11.16,-2.65,4.34,4.3
-20.43,15.57,-11.41,-2.71,4.34,4.38
-20.43,12.09,-12.21,-0.21,4.34,4.38
-20.43,11.84,-17.12,0.74,4.34,4.38
-17.91,3.08,-14.71,0.21,4.34,4.38
-11.73,-1.67,-10.58,2.43,4.34,4.38
-12.28,-9.23,-9.8,2.17,4.06,2.04
-8.06,16.42,7.25,1.27,-0.06,1.3
2.28,2.57,7.94,-0.67,-1.58,-0.15
-1.49,5.04,-10.66,-0.54,-0.93,0.61
1.31,-0.1,-8.02,-0.91,0.86,0.37
-0.5,4.1,-7.64,-1.01,-0.25,1.14
2.04,5.34,-3.94,-1.31,-0.69,0.19
0.42,4.6,-6.08,0.01,-0.59,-0.11
-4.75,3.97,-6.96,-0.65,-1.21,0.66
-4.79,10.76,-12.37,1.43,-2.17,-0.25
-5.25,5.13,-13.03,0.81,0.01,-2.34
-17.88,11.96,-16.78,-0.16,2.25,-4.34
-20.43,15.26,-14.03,0.21,4.34,-4.34
-7.52,3.93,-8.84,-0.15,-0.17,-0.32
-7.85,4.15,-8.76,-0.07,-0.23,-0.38
-7.68,3.95,-8.58,-0.29,-0.19,-0.51
-8.55,4.14,-8.52,-0.26,-0.19,-0.62
-8.51,4.33,-8.19,-0.23,-0.03,-0.48
-9.69,4.33,-8.39,-0.19,0.0,-0.29
-9.08,3.88,-8.35,-0.14,0.0,-0.17
-8.82,3.55,-8.2,-0.11,0.08,-0.04
-8.74,3.27,-8.31,-0.01,0.08,-0.01
-8.68,3.24,-8.16,0.11,0.01,-0.02
-6.55,6.57,-10.53,0.44,0.24,0.08
-6.56,5.8,-10.66,-0.26,0.09,0.28
-5.96,6.5,-9.41,-0.35,-0.33,0.25
-5.99,4.13,-8.86,-0.54,-0.76,-0.03
-6.49,5.31,-9.14,0.25,-0.63,-0.57
-6.76,5.4,-9.04,0.16,-0.35,-0.92
-7.85,5.75,-9.81,0.1,-0.37,-0.96
-7.24,6.32,-9.04,-0.12,-0.4,-0.64
-7.21,5.58,-9.23,-0.21,-0.02,-0.37
-7.29,5.71,-9.3,-0.18,0.25,-0.25
-3.66,8.67,-12.35,0.34,-0.24,-1.71
-2.49,8.64,-11.54,0.39,-0.38,-1.84
-4.66,7.67,-11.78,-0.14,-1.34,-0.82
-5.31,6.88,-11.34,-0.17,-1.67,-0.07
-5.23,7.31,-12.25,0.16,-1.38,-0.81
-4.39,7.32,-11.44,0.77,-0.52,-1.41
-5.86,7.65,-10.79,0.72,-0.07,-1.18
-7.52,7.96,-10.51,0.82,-0.3,-0.42
-7.06,7.8,-10.41,0.28,-0.46,0.12
-6.47,6.06,-9.83,-0.74,0.09,0.37
0.52,4.02,0.1,-0.61,-1.88,-1.47
-4.07,3.32,-3.6,-0.45,-3.84,-2.17
-6.15,6.83,-8.53,-0.52,-4.38,-2.87
-7.06,7.71,-15.9,-1.14,-4.38,-3.72
-9.42,11.18,-21.94,-0.33,-4.38,-4.34
-8.85,9.24,-21.54,0.96,-4.38,-4.34
-6.18,8.63,-16.98,-0.37,-4.38,-2.85
-11.76,7.69,-22.22,1.12,-3.1,-2.84
-8.52,9.01,-21.0,-1.04,-3.44,-1.17
