acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
8.18,1.49,-0.27999999999999936,0.52,-0.5,0.16
10.2,0.54,-0.41000000000000014,0.03,-0.27,0.1
9.04,0.0,1.5300000000000011,-0.71,0.31,-0.17
9.08,-2.35,1.9900000000000002,-1.51,0.24,-0.66
8.66,-0.52,2.1400000000000006,-0.47,-0.06,-0.36
6.72,-1.82,2.5100000000000007,-0.35,-0.25,-0.3
8.11,1.0,1.7400000000000002,-0.11,-0.14,-0.67
7.13,0.27,1.42,0.08,-0.41,-0.91
4.2,0.33,1.7300000000000004,0.02,-0.83,-1.12
4.53,0.35,1.3800000000000008,1.33,-1.49,-1.31
-0.03,9.7,-6.059999999999999,-3.59,-3.65,-3.72
1.85,8.03,-5.799999999999999,-2.11,-2.57,-3.65
-2.18,9.29,-4.549999999999999,-0.39,-2.63,-3.56
-5.33,14.06,-5.199999999999999,0.26,-4.06,-3.08
-6.54,9.21,-3.1899999999999995,0.13,-3.04,-2.76
-10.15,7.06,-2.389999999999999,-0.04,-2.14,-1.49
-8.89,7.54,-2.25,-0.08,-2.01,-0.51
-7.88,5.61,-2.1899999999999995,1.5,-1.57,-0.24
-7.92,4.83,-1.8499999999999996,0.94,-0.91,0.39
-7.26,6.19,-2.369999999999999,0.53,-0.63,0.66
4.04,5.83,-3.3599999999999994,-1.38,1.69,-1.92
2.0,9.04,-3.6099999999999994,-1.47,1.8,-1.54
3.05,7.74,-2.99,-0.51,1.84,-1.07
1.4,7.77,-2.369999999999999,-0.29,1.1,-0.92
1.69,8.64,-0.879999999999999,0.48,0.93,-0.33
-0.87,7.32,-0.8499999999999996,-0.13,0.4,-0.41
0.84,9.16,0.33999999999999986,-0.46,-0.69,-0.31
0.71,8.0,-0.10999999999999943,-1.11,-0.73,-0.31
1.36,9.77,-0.40000000000000036,-0.8,-1.11,0.33
1.37,7.23,0.2599999999999998,-0.39,-0.94,-0.3
1.86,4.45,1.9700000000000006,-0.17,-2.7,-0.62
2.12,6.0,0.5400000000000009,-1.0,-4.01,-0.98
-0.12,5.82,-0.8599999999999994,-0.74,-4.23,-2.51
-1.48,3.92,-3.6899999999999995,-0.96,-4.38,-1.79
0.01,3.88,-3.83,2.14,-2.73,-2.35
-15.84,12.01,-15.589999999999998,-0.28,-4.38,-2.11
-5.42,8.25,-7.139999999999999,-0.23,-4.38,-3.07
-11.06,5.0,-11.799999999999999,1.11,-4.38,-3.75
-11.0,9.94,-8.709999999999999,1.23,-4.31,-2.49
-10.72,10.22,-9.209999999999999,0.66,-2.78,-1.96
7.15,2.15,1.9400000000000004,-1.21,-1.61,-0.1
3.91,1.73,0.8000000000000007,-1.13,-1.99,-0.85
3.81,1.96,-1.2599999999999998,-0.86,-2.33,-1.19
2.5,2.21,-3.4000000000000004,-1.15,-3.21,-1.73
0.23,3.76,-3.7299999999999986,-1.98,-3.25,-2.61
-1.01,2.89,-4.869999999999999,-0.75,-2.88,-3.16
-5.18,6.78,-7.779999999999999,0.07,-3.2,-3.89
-5.04,4.57,-7.6,-0.28,-3.55,-3.54
-11.62,8.49,-7.119999999999999,1.56,-3.69,-3.6
-11.46,9.28,-7.659999999999998,-0.45,-3.08,-2.52
-5.67,0.72,1.3100000000000005,1.1,4.34,2.05
-1.85,-0.15,2.420000000000001,-0.42,4.23,2.24
1.56,-4.55,2.2,-2.53,3.47,2.02
9.67,-10.24,4.260000000000001,0.37,1.53,1.77
11.12,3.87,-0.05999999999999872,4.43,-0.94,-2.8
13.16,3.38,3.08,-0.12,0.77,0.82
8.96,-0.57,0.22000000000000064,-2.03,0.69,0.36
8.99,1.43,0.5899999999999999,0.25,0.89,-0.24
7.79,0.96,0.14000000000000057,-1.24,0.2,-0.28
8.99,0.66,-0.3899999999999988,-0.11,0.03,-0.03
-8.96,3.73,-6.99,0.53,0.32,0.88
-8.38,5.19,-5.85,0.04,-0.03,0.63
-9.89,3.32,-0.9599999999999991,-1.04,-0.09,0.44
-7.86,4.33,-1.1099999999999994,-0.93,-0.5,0.35
-8.65,1.91,-1.8599999999999994,-0.81,-0.32,0.56
-8.74,2.3,-1.6799999999999997,-0.4,0.04,0.53
-8.69,3.83,-1.8200000000000003,-0.13,0.17,0.24
-9.28,3.27,-0.7799999999999994,-0.42,0.4,0.21
-8.35,2.17,2.1000000000000005,-0.5,0.27,0.27
-8.35,3.82,0.040000000000000924,-0.13,-0.2,0.03
5.07,1.15,1.3100000000000005,0.56,-1.88,-0.77
4.62,0.13,-0.2400000000000002,0.77,-2.53,-0.37
4.83,1.43,-3.3499999999999996,0.88,-3.04,-0.92
6.84,1.03,-4.389999999999999,0.89,-3.22,-0.74
2.21,0.53,-4.82,0.28,-2.38,-1.59
3.57,2.36,-4.209999999999999,-0.7,-1.68,-0.89
-0.33,4.49,-9.299999999999999,-0.05,-2.55,-1.71
0.03,7.15,-10.6,-0.32,-3.63,-1.89
-1.13,5.98,-9.69,-1.42,-4.34,-2.07
-5.81,6.69,-10.249999999999998,-0.63,-4.0,-1.83
8.73,0.07,3.8600000000000003,-0.11,-0.09,0.02
9.37,1.72,2.2800000000000002,-0.35,-0.65,-0.3
9.77,1.02,1.5700000000000003,0.09,-0.67,-0.12
8.57,1.6,0.17999999999999972,-0.26,-0.13,0.06
8.87,1.02,0.5500000000000007,-0.19,-0.12,0.09
9.24,0.8,0.8200000000000003,-0.26,-0.03,0.01
9.06,1.11,1.1300000000000008,-0.39,-0.14,0.02
8.55,0.73,1.0200000000000014,-0.27,-0.26,-0.05
8.46,0.72,1.290000000000001,-0.39,-0.29,-0.02
7.78,2.1,2.16,-0.84,-0.45,-0.28
-8.82,8.53,-5.029999999999999,0.54,-2.48,-1.97
-8.0,8.72,-6.059999999999999,0.71,-2.03,-1.08
-7.45,6.64,-4.92,1.09,-1.2,-0.74
-7.15,6.12,-3.42,0.58,-0.49,-0.22
-7.6,4.11,-0.8399999999999999,-0.22,-0.14,-0.23
-7.53,4.63,0.2400000000000002,0.15,-0.41,-0.05
-7.38,4.12,-0.7299999999999986,-0.25,-0.03,-0.04
-7.73,3.84,-0.8200000000000003,-0.39,0.68,-0.11
-8.28,4.35,-1.209999999999999,0.0,0.24,-0.02
-7.79,4.57,-0.40000000000000036,-0.23,0.29,-0.08
6.73,2.78,1.1600000000000001,-0.59,-0.35,0.41
6.06,3.37,2.37,-0.15,-0.77,0.24
5.17,4.23,0.6300000000000008,-0.55,-1.32,0.16
5.91,1.88,-0.05999999999999872,-0.76,-2.03,0.06
3.31,2.57,-2.24,-0.36,-2.82,-0.22
3.78,3.1,-5.66,-1.32,-3.44,-0.26
5.05,3.44,-6.909999999999998,-1.49,-3.67,-0.61
1.03,6.02,-8.28,-2.16,-3.36,-0.65
1.81,4.85,-7.549999999999999,-1.93,-2.93,-0.29
0.15,4.63,-6.519999999999998,-1.9,-2.81,-0.58
-20.43,11.91,1.9000000000000004,0.63,4.34,1.46
-20.43,10.79,1.5500000000000007,1.66,4.34,1.24
-20.35,10.88,2.3400000000000007,2.38,4.34,0.87
-12.69,9.99,0.28000000000000114,3.5,4.34,0.7
-4.75,7.81,0.7599999999999998,3.39,4.34,0.26
-2.94,1.81,4.540000000000001,0.3,4.34,0.96
1.63,5.04,8.790000000000001,-2.15,4.34,0.29
-7.3,-13.67,8.14,0.92,1.21,0.42
10.42,0.07,-0.11999999999999922,0.77,-2.19,-1.29
10.34,3.34,-2.1500000000000004,0.4,-0.58,-0.13
-8.63,7.26,-6.709999999999999,-1.61,-3.35,-1.8
-10.58,5.62,-6.33,-0.79,-2.48,-1.71
-10.67,4.55,-6.450000000000001,0.78,-3.05,-1.24
-9.96,5.89,-7.15,1.41,-3.0,-1.18
-7.76,6.84,-5.49,0.51,-1.72,-0.06
-7.47,4.93,-4.35,-1.2,-0.41,-0.23
-9.03,4.96,-3.76,-0.98,-0.3,0.08
-7.96,3.46,-1.4000000000000004,-1.1,-0.02,0.57
-7.58,4.48,2.170000000000001,0.09,0.2,0.83
-9.65,3.77,0.09999999999999964,0.03,0.34,0.33
8.44,2.32,3.0700000000000003,-0.43,-0.42,-0.06
8.02,1.68,2.5600000000000005,-0.4,-0.71,-0.22
7.98,3.18,2.0300000000000002,-0.26,-0.62,-0.31
7.61,1.92,2.1500000000000004,-0.89,-0.45,-0.2
6.14,1.42,4.0600000000000005,-0.94,-0.7,-0.16
3.14,1.28,5.090000000000001,-1.54,-1.73,-0.23
6.07,0.14,2.9300000000000006,0.28,-2.6,-0.86
4.33,3.35,-0.07000000000000028,-0.43,-3.28,-1.28
4.38,3.54,-2.17,-0.78,-3.64,-1.34
2.75,4.39,-3.3200000000000003,-0.63,-3.41,-1.92
-20.43,7.73,-6.549999999999999,-0.16,4.34,1.95
-20.43,7.9,-1.1600000000000001,0.08,4.34,3.03
-20.43,6.66,-0.2699999999999996,1.68,4.34,1.71
-14.72,6.53,-0.27999999999999936,1.68,4.34,1.26
-4.35,6.67,5.92,-0.7,4.34,2.17
1.0,3.14,4.760000000000001,0.4,4.34,1.11
-0.92,1.55,5.9,0.59,3.5,1.71
5.61,-16.17,4.590000000000001,1.68,2.47,-1.88
7.81,2.93,4.140000000000001,-0.34,-0.49,0.01
8.45,1.34,0.5800000000000001,0.35,-0.19,0.37
-16.34,4.77,4.550000000000001,1.55,-4.09,1.96
-14.62,6.8,1.75,1.52,-4.16,2.43
-10.36,6.2,-3.0299999999999994,0.07,-3.84,2.93
-4.55,2.21,-4.32,-1.21,-3.05,2.64
-0.97,-1.36,-6.470000000000001,-0.6,-2.14,1.81
0.52,-2.65,-7.299999999999999,-0.78,-0.16,0.35
-1.09,-3.23,-10.479999999999999,0.12,1.62,-0.71
-10.04,1.38,-15.97,1.19,3.95,-1.91
-20.43,18.07,-15.94,2.13,4.34,-4.34
-20.43,18.07,-4.25,-3.62,4.34,-0.19
-9.36,1.98,-0.5099999999999998,-0.38,0.55,0.0
-9.71,1.02,-0.11999999999999922,-0.64,0.63,-0.16
-10.17,1.35,0.25,-0.46,0.79,-0.1
-9.46,1.67,0.620000000000001,-0.4,0.77,-0.01
-9.54,0.75,0.16000000000000014,-0.18,0.58,-0.02
-7.91,-0.71,1.6100000000000012,-0.37,0.6,-0.24
-9.02,-1.92,2.4300000000000006,0.69,0.1,-0.71
-11.08,-1.1,6.0600000000000005,1.55,-0.61,-0.74
-16.16,2.74,8.89,2.51,-2.22,-0.36
-17.88,1.71,10.64,2.47,-3.11,0.21
-11.43,6.15,-10.049999999999999,0.22,-4.38,-0.56
-9.67,2.03,-7.950000000000001,0.77,-3.95,-0.75
-9.94,5.18,-6.99,0.31,-2.58,-1.03
-10.03,4.57,-5.459999999999999,0.47,-2.25,-0.55
-8.38,4.4,-3.9399999999999995,-0.26,-1.36,-0.75
-8.96,3.71,-2.959999999999999,0.02,-0.81,-0.22
-8.53,1.37,-2.09,0.03,-0.09,-0.06
-8.33,3.14,-2.869999999999999,0.52,0.28,0.23
-9.49,3.14,-1.8499999999999996,-0.01,0.61,0.39
-8.95,2.83,-2.039999999999999,-0.44,0.63,0.16
9.31,3.14,3.2600000000000007,0.27,-0.9,0.22
8.4,2.63,2.8600000000000003,0.35,-0.49,0.06
7.79,3.56,2.7600000000000007,0.01,-0.27,-0.08
7.31,2.19,3.670000000000001,-0.15,-0.41,-0.26
5.43,2.83,3.37,-0.09,-0.68,-0.46
5.08,1.95,3.6000000000000005,-0.01,-1.24,-0.51
3.97,4.08,3.2,0.16,-2.18,-0.68
3.92,3.66,0.11000000000000121,0.18,-2.75,-0.77
4.95,4.55,-0.41000000000000014,-0.08,-3.2,-0.85
2.5,5.65,-4.33,0.09,-3.97,-0.74
-17.76,4.06,-0.03999999999999915,-0.35,4.34,1.82
-11.02,8.2,3.4800000000000004,-0.46,4.34,1.59
-4.55,3.43,10.83,-4.29,4.34,1.78
8.62,-0.66,9.48,4.43,4.04,4.38
1.04,0.24,8.84,-0.58,0.15,-0.44
7.54,3.73,4.78,0.83,0.07,0.49
7.31,0.41,6.0,-0.65,0.67,-0.14
5.79,0.74,7.290000000000001,-0.38,0.36,-0.14
6.37,1.16,6.41,0.09,-0.47,0.08
7.0,1.71,5.5600000000000005,0.2,-0.77,-0.04
-9.9,3.55,-1.8499999999999996,1.01,-3.2,2.51
-5.12,0.66,-5.57,-0.21,-2.82,2.32
1.03,-1.97,-7.950000000000001,-0.48,-2.23,2.06
0.65,-3.82,-10.92,-0.02,0.18,0.72
-9.98,0.0,-16.71,1.03,2.87,-1.22
-20.43,7.72,-19.18,2.08,4.34,-4.34
-20.43,13.22,-13.589999999999998,-1.01,4.34,-4.09
-20.43,2.5,-11.999999999999998,-3.61,4.34,-2.11
-20.43,11.93,-14.31,-0.61,4.34,0.67
-20.43,6.11,-6.799999999999999,-1.99,4.34,2.19
-14.62,1.44,9.110000000000001,1.81,-4.38,0.54
-16.82,3.85,3.9300000000000006,2.4,-4.3,1.6
-13.19,4.02,1.0700000000000003,1.58,-3.95,2.0
-9.78,3.35,-2.1099999999999994,0.97,-3.15,2.3
-4.78,1.23,-4.34,0.07,-2.33,2.12
-0.42,-0.84,-6.290000000000001,-0.08,-1.27,1.32
1.06,-3.36,-7.880000000000001,0.08,0.72,-0.2
-4.21,-2.02,-9.979999999999999,0.3,3.38,-1.31
-18.85,6.95,-19.18,1.2,4.34,-3.7
-20.43,14.04,-19.18,-2.3,4.34,-4.11
-17.95,0.9,5.92,0.39,-4.38,0.28
-15.14,5.38,2.4800000000000004,2.03,-4.38,1.08
-13.06,6.07,-1.4900000000000002,1.18,-4.33,1.4
-7.98,4.5,-3.4399999999999995,0.05,-3.68,1.85
-2.31,1.43,-5.27,-0.42,-2.9,1.74
0.68,-0.84,-6.02,-1.01,-1.19,1.77
1.79,-2.37,-11.450000000000001,1.06,1.31,1.38
-2.12,1.43,-14.88,1.19,3.51,-0.64
-14.74,3.18,-19.18,3.25,4.34,-3.63
-20.43,18.07,-19.18,0.6,4.34,-4.34
-7.29,3.69,-2.5700000000000003,0.29,0.23,0.43
-7.43,2.42,-2.2699999999999996,0.24,0.28,0.24
-6.5,1.32,-1.5399999999999991,0.18,0.32,0.1
-8.4,2.41,1.1799999999999997,-0.59,-0.14,-0.25
-14.88,2.27,5.130000000000001,0.07,-1.45,-0.93
-18.31,4.92,7.32,0.91,-3.43,-0.57
-19.77,6.17,5.870000000000001,1.33,-4.38,0.0
-18.31,2.61,1.8900000000000006,2.15,-4.38,1.68
-15.64,4.89,-1.0,2.04,-4.38,2.59
-11.43,3.8,-2.4499999999999993,1.03,-4.32,3.02
-4.44,5.52,-10.19,-0.41,-2.53,-1.85
-5.8,4.47,-7.3100000000000005,-1.35,-2.98,-2.07
-6.68,4.0,-7.26,0.13,-3.05,-1.75
-9.62,6.92,-6.109999999999999,-0.95,-1.35,-1.72
-8.06,7.28,-6.18,-0.58,-0.54,-1.0
-8.13,5.62,-4.539999999999999,-0.43,-0.2,-0.38
-7.24,5.45,-3.3599999999999994,0.17,-0.28,0.02
-6.9,4.36,-5.129999999999999,0.04,-0.08,0.0
-6.47,-0.2,-2.799999999999999,-0.02,0.68,0.33
-7.43,2.32,0.120000000000001,0.49,0.53,0.17
3.41,4.63,-5.43,-0.99,-4.38,-1.07
-1.84,7.39,-10.51,-0.91,-4.38,-1.48
-0.25,5.8,-10.44,-0.48,-4.38,-1.07
