acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
8.98,-0.55,4.220000000000001,-0.1,-1.21,0.43
13.14,-1.46,1.42,1.15,-0.43,-0.53
8.96,0.4,3.920000000000001,-0.98,-0.24,-0.64
8.04,0.74,2.3500000000000005,-0.11,-0.31,-0.11
9.78,0.81,2.8000000000000007,-0.16,-0.42,-0.44
9.0,1.13,1.6400000000000006,-0.31,-0.36,-0.16
9.42,0.66,1.1300000000000008,-0.33,-0.22,-0.23
9.25,0.9,1.4100000000000001,-0.36,-0.26,-0.12
9.04,0.88,1.5600000000000005,-0.51,-0.2,-0.27
8.91,0.8,1.8500000000000005,-0.43,-0.12,-0.23
8.42,-0.29,3.6000000000000005,-0.2,-0.08,-0.16
8.16,0.15,3.87,0.06,0.08,-0.05
7.8,0.81,3.710000000000001,-0.04,0.13,0.0
8.64,-0.27,3.8400000000000007,0.05,-0.05,0.03
9.33,0.04,3.6100000000000003,-0.16,-0.22,-0.21
9.16,0.24,3.630000000000001,-0.29,-0.23,-0.32
8.61,0.49,3.2200000000000006,-0.33,-0.15,-0.31
8.22,-0.29,3.0900000000000007,-0.27,-0.19,-0.25
8.51,0.27,3.3200000000000003,-0.14,-0.26,-0.2
8.73,0.36,3.4800000000000004,-0.14,-0.23,-0.19
8.83,0.54,3.0900000000000007,-0.05,-0.25,-0.15
8.85,0.75,3.0600000000000005,-0.05,-0.26,-0.09
8.77,1.09,3.08,-0.13,-0.21,-0.13
8.86,0.62,3.1100000000000003,-0.07,-0.21,-0.09
8.78,0.66,2.7800000000000002,-0.1,-0.21,-0.15
8.64,0.77,2.87,-0.1,-0.21,-0.14
8.65,1.04,2.750000000000001,-0.09,-0.18,-0.1
8.72,0.86,2.62,-0.07,-0.16,-0.01
8.9,0.88,2.5700000000000003,-0.02,-0.1,-0.01
8.72,0.79,2.6100000000000003,-0.08,-0.08,-0.04
3.26,0.53,6.800000000000001,0.48,0.04,0.67
6.06,-3.69,3.8600000000000003,-0.42,0.38,0.7
7.27,-0.5,5.19,0.57,0.0,0.41
8.55,-1.87,5.930000000000001,-0.31,0.3,0.0
8.1,-0.9,5.040000000000001,-0.24,0.08,-0.32
8.89,-0.59,4.4,-0.7,-0.53,-0.37
7.89,-0.29,3.9700000000000006,-0.52,-0.43,-0.44
8.15,-1.09,3.2,-0.63,-0.48,-0.47
8.87,-0.63,3.5900000000000007,-0.58,-0.2,-0.46
8.74,-0.38,4.260000000000001,-0.73,-0.32,-0.6
8.6,0.94,3.6100000000000003,-0.08,0.17,-0.12
8.33,0.23,3.880000000000001,-0.24,0.11,-0.28
8.11,0.61,3.95,-0.1,0.07,-0.07
8.24,0.46,4.250000000000001,-0.11,-0.05,-0.1
8.44,0.34,4.340000000000001,0.07,-0.08,-0.04
8.34,0.73,4.08,-0.05,-0.08,-0.06
8.24,0.39,4.140000000000001,0.0,-0.02,-0.02
8.07,0.64,4.23,-0.03,-0.09,-0.04
8.1,0.45,4.23,0.02,-0.13,-0.05
8.31,0.73,3.8600000000000003,0.05,-0.12,-0.02
8.68,-0.44,4.550000000000001,-0.54,-0.53,-0.37
8.49,-0.57,3.9700000000000006,-0.23,-0.55,-0.32
8.85,-0.13,3.7600000000000007,-0.29,-0.43,-0.22
8.56,0.01,3.62,-0.18,-0.28,-0.19
8.33,0.24,3.790000000000001,-0.36,-0.26,-0.33
8.48,0.51,3.58,-0.26,-0.3,-0.3
8.6,0.31,3.4700000000000006,-0.2,-0.16,-0.31
8.45,0.26,3.3600000000000003,-0.26,-0.18,-0.26
8.79,0.61,3.2800000000000002,-0.2,-0.22,-0.17
8.84,0.38,3.380000000000001,-0.16,-0.13,-0.15
