acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-3.49,7.57,0.4800000000000004,-0.03,0.13,-0.02
-3.49,7.63,0.3000000000000007,-0.1,-0.04,-0.05
-3.28,7.63,0.6600000000000001,-0.05,-0.02,-0.07
-3.55,7.75,0.6400000000000006,-0.14,-0.03,-0.04
-3.45,7.54,0.7700000000000014,-0.06,-0.02,-0.02
-3.68,7.37,0.8200000000000003,-0.2,0.02,-0.03
-3.59,7.54,0.75,-0.07,-0.11,-0.02
-3.6,7.5,0.9500000000000011,-0.05,0.0,-0.08
-3.69,7.44,0.7800000000000011,-0.03,-0.1,-0.06
-3.87,7.26,0.6600000000000001,0.0,-0.11,-0.15
5.33,2.31,4.07,-0.03,-2.53,-3.01
3.22,6.77,1.7400000000000002,0.76,-3.13,-3.0
5.04,5.48,1.4299999999999997,0.24,-2.7,-3.09
2.75,9.46,-0.7899999999999991,0.6,-3.15,-2.84
3.97,7.75,-1.42,-0.43,-2.72,-2.77
0.4,10.24,-2.9799999999999986,0.66,-3.09,-2.65
1.85,9.01,-2.09,-0.69,-2.34,-1.99
-1.28,8.13,-2.0999999999999996,0.28,-1.95,-2.2
-1.11,8.91,-1.9299999999999997,0.45,-1.92,-1.54
-3.55,9.07,-2.9000000000000004,0.98,-2.05,-2.1
-7.16,5.07,0.13000000000000078,-0.12,0.05,0.04
-7.28,5.22,0.16000000000000014,-0.01,0.07,0.04
-7.24,5.17,0.3000000000000007,-0.14,0.09,0.05
-7.23,5.1,0.5099999999999998,-0.09,0.09,0.04
-7.3,5.19,0.47000000000000064,-0.17,0.1,0.03
-7.29,5.21,0.4900000000000002,-0.11,0.09,0.0
-7.37,5.26,0.4800000000000004,-0.09,0.07,0.0
-7.18,5.24,0.47000000000000064,-0.09,0.04,0.0
-7.36,5.22,0.47000000000000064,-0.06,0.02,-0.04
-7.34,5.2,0.6400000000000006,-0.03,-0.01,-0.07
5.33,7.79,-2.619999999999999,-0.84,-1.49,-0.38
3.95,6.35,-1.799999999999999,-1.18,-1.01,0.22
4.32,6.98,-1.8099999999999987,-0.08,-1.19,-0.25
1.99,7.01,-0.6500000000000004,-0.83,-0.75,-0.71
3.32,6.41,-0.5099999999999998,-0.7,-1.07,-0.76
3.56,7.97,-1.7799999999999994,0.12,-1.38,-0.24
3.72,7.95,-2.24,0.14,-1.34,-0.27
2.59,6.75,-2.289999999999999,-0.71,-0.85,0.0
3.05,6.77,-1.799999999999999,-0.5,-0.52,0.12
2.96,7.25,-0.879999999999999,-0.13,-0.73,0.0
0.07,11.01,-0.9900000000000002,0.87,-2.94,-3.25
-0.2,9.37,-1.8200000000000003,-0.35,-2.3,-3.15
-1.39,9.89,-0.1899999999999995,0.33,-1.62,-2.62
-2.69,10.01,-1.6199999999999992,0.51,-1.58,-2.57
-3.21,8.82,-0.46999999999999886,0.74,-1.22,-2.57
-5.28,10.6,-1.8200000000000003,0.67,-1.4,-1.94
-5.02,8.36,-0.5899999999999999,0.06,-0.54,-1.92
-6.51,8.97,-0.9399999999999995,0.07,-0.54,-1.1
-6.15,7.17,-0.22999999999999865,0.0,-0.21,-0.74
-6.95,7.11,-0.3200000000000003,-0.27,-0.17,-0.6
4.11,1.09,5.92,-0.47,-1.91,-1.53
4.59,3.36,4.08,0.02,-2.4,-1.34
5.06,3.01,3.3900000000000006,-1.16,-2.56,-2.03
3.41,5.58,1.6100000000000012,-0.37,-2.8,-1.88
4.23,2.63,0.33000000000000007,-1.21,-2.52,-2.68
3.34,8.48,0.8300000000000001,-0.43,-2.54,-2.24
3.59,5.96,-0.6899999999999995,0.01,-2.29,-2.92
1.29,9.54,0.20000000000000107,-0.34,-2.08,-2.2
0.43,5.94,-1.5399999999999991,0.8,-2.17,-3.31
-1.06,9.75,-0.9299999999999997,0.87,-2.09,-2.5
3.24,-3.2,8.96,-0.58,-0.81,-1.62
4.28,-3.64,7.9,0.3,-1.13,-1.33
4.3,-1.98,7.700000000000001,-0.19,-1.28,-1.77
4.1,-3.53,6.8100000000000005,0.46,-1.38,-1.87
3.89,-0.81,6.42,0.19,-1.74,-2.21
3.63,-0.75,5.23,0.97,-1.94,-2.35
4.91,2.59,3.7600000000000007,0.45,-2.44,-2.64
3.05,3.99,2.7600000000000007,0.61,-2.36,-2.83
4.18,5.79,0.6799999999999997,0.2,-2.39,-3.0
2.27,7.04,0.0,0.67,-2.88,-2.84
-20.43,18.07,-19.18,-4.29,4.34,4.38
-20.43,18.07,-19.18,-4.29,4.34,4.38
-20.43,1.11,-17.1,-4.29,4.34,4.38
-20.43,-21.15,-0.8399999999999999,-2.96,4.08,4.38
-12.2,-21.15,7.9,-0.42,1.08,-0.01
2.98,-5.53,6.550000000000001,1.0,-1.51,-0.46
4.63,-2.13,8.280000000000001,-0.04,-0.92,-1.13
4.04,0.49,10.57,0.27,-1.0,-0.7
4.61,-2.21,8.32,-0.84,-0.94,-1.54
4.2,-1.9,7.1000000000000005,0.25,-1.22,-1.37
-7.64,4.74,0.8800000000000008,-0.12,0.08,-0.03
-8.13,4.5,0.8300000000000001,-0.13,0.14,-0.01
-7.78,4.51,0.8800000000000008,0.12,-0.04,-0.09
-7.86,4.77,1.370000000000001,0.18,-0.18,-0.11
-7.86,4.73,1.4100000000000001,0.18,-0.35,-0.1
-7.69,4.34,1.120000000000001,0.13,-0.39,-0.12
-7.73,4.28,0.120000000000001,0.0,-0.37,-0.2
-7.76,4.56,-0.33999999999999986,-0.1,-0.17,-0.21
-7.98,4.92,-0.33000000000000007,-0.05,-0.01,-0.09
-7.57,4.95,-0.05999999999999872,-0.21,0.17,-0.08
-3.59,8.96,-1.58,0.63,-0.74,-2.58
-4.61,9.06,-2.0299999999999994,0.49,-1.34,-1.99
-5.36,8.36,-0.40000000000000036,0.34,-0.83,-1.86
-6.65,8.69,0.0600000000000005,0.51,-1.41,-1.72
-6.86,8.07,0.0600000000000005,0.27,-1.07,-1.25
-6.4,7.79,0.6400000000000006,0.09,-0.9,-0.64
-5.87,7.74,0.5899999999999999,-0.45,-0.73,0.06
-7.07,5.81,-0.22999999999999865,-0.44,-0.33,-0.28
-7.25,7.17,-0.22999999999999865,0.34,-0.51,-0.34
-6.38,6.21,-0.15000000000000036,0.13,-0.6,-0.03
4.49,4.95,1.8500000000000005,0.09,-2.65,-2.82
2.12,6.28,0.25,0.57,-2.96,-2.58
2.24,6.59,-0.2400000000000002,1.14,-3.83,-2.62
2.36,8.16,-2.139999999999999,-0.64,-3.71,-2.86
-0.87,9.69,-5.65,1.04,-3.71,-3.32
1.54,10.47,-3.0599999999999987,-0.85,-1.61,-2.4
-3.7,10.3,-3.9299999999999997,0.32,-0.95,-2.07
