acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-3.22,0.83,9.450000000000001,-1.55,-2.71,-4.34
-2.48,1.29,9.09,-0.99,-3.06,-4.34
-0.02,5.78,3.7,-1.75,-4.07,-4.34
-0.02,7.81,3.290000000000001,-0.5,-4.06,-4.34
1.8,8.66,-0.7299999999999986,-2.29,-4.16,-4.34
1.33,13.31,-2.119999999999999,-1.25,-4.07,-3.93
0.55,7.63,-2.869999999999999,-1.18,-2.84,-4.34
1.33,16.56,-3.5999999999999996,-0.27,-3.75,-2.86
-1.23,7.26,-3.879999999999999,0.25,-2.79,-4.27
-1.97,11.1,-4.029999999999999,1.94,-3.51,-2.3
-3.26,-0.04,11.84,-0.68,-1.0,-2.03
-4.72,-2.74,13.63,-0.93,-1.11,-3.32
-2.86,-0.53,9.56,-1.11,-2.17,-4.28
-2.39,0.79,9.32,-1.48,-2.13,-4.34
-2.98,6.03,5.23,-1.39,-3.47,-4.34
-3.89,6.15,4.6000000000000005,-0.76,-4.22,-4.34
0.27,11.67,0.21000000000000085,-2.84,-4.38,-4.34
-6.53,18.07,-3.5,0.44,-4.38,-4.34
-1.38,7.82,-4.17,-1.74,-3.65,-4.34
-5.16,18.07,-8.67,0.62,-4.38,-4.33
-14.73,-8.3,7.83,0.49,-3.23,2.24
-0.63,-8.29,6.530000000000001,-0.33,-1.68,-0.86
1.23,0.71,7.83,0.47,-0.92,-1.39
-2.12,-0.24,11.86,-1.18,0.22,-2.17
-4.73,-3.63,12.9,-0.23,-0.97,-2.76
-2.67,-1.77,10.58,-1.07,-1.22,-3.86
-3.11,-0.51,9.280000000000001,-0.75,-2.4,-4.34
-3.67,4.02,7.61,-1.19,-2.77,-4.34
-4.06,4.22,6.460000000000001,-0.93,-4.06,-4.34
-0.36,10.86,2.1400000000000006,-1.97,-4.38,-4.34
-20.43,18.07,-19.18,0.04,4.34,4.38
-20.43,18.07,-14.249999999999998,2.05,4.34,4.38
-20.43,16.02,-1.549999999999999,-0.19,4.34,4.38
-20.43,-5.89,20.04,-2.47,3.82,2.98
-12.06,-12.28,7.040000000000001,0.32,-3.99,1.71
-1.7,-5.16,6.58,0.31,-2.74,-1.4
-0.14,2.18,9.56,0.57,-1.28,-2.09
-2.01,1.2,12.4,-0.85,-0.37,-2.68
-3.64,0.23,11.31,-0.73,-1.89,-3.12
-2.38,0.56,9.65,-1.52,-1.83,-3.93
-20.43,18.07,-19.18,-0.1,4.34,4.38
