acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
7.78,-0.88,5.870000000000001,-0.03,-0.13,-0.35
8.66,-1.9,5.65,-0.04,0.08,-0.42
7.7,-1.2,5.930000000000001,-0.3,0.11,-0.09
7.94,-2.23,5.670000000000001,-0.21,0.13,-0.02
7.41,-1.91,5.9,-0.14,-0.26,-0.03
6.53,-2.54,5.66,0.05,-0.24,-0.23
6.65,-2.71,5.220000000000001,0.22,-0.25,-0.58
7.53,-1.49,6.050000000000001,0.23,-0.22,-0.79
7.85,-0.16,6.09,-0.28,-0.24,-0.77
7.97,-1.21,6.17,-0.65,-0.25,-0.65
6.9,-5.79,4.170000000000001,0.01,0.03,-0.65
6.82,-5.27,4.340000000000001,-0.21,-0.14,-0.73
7.07,-5.14,4.040000000000001,-0.29,-0.15,-0.91
6.47,-4.94,4.48,-0.45,-0.1,-1.18
6.79,-4.27,3.7800000000000002,-0.18,-0.3,-1.65
6.76,-3.15,4.420000000000001,-0.9,-0.11,-1.92
6.69,-1.37,4.210000000000001,-0.86,-0.25,-2.36
6.88,-1.9,4.36,-1.31,-0.45,-2.68
6.29,1.75,3.95,-1.6,-0.57,-3.02
7.24,2.93,3.12,-1.5,-0.95,-3.3
4.32,4.11,3.6400000000000006,-0.36,-0.71,-3.33
4.27,7.51,2.8000000000000007,-1.06,-0.84,-3.62
1.78,5.5,3.0300000000000002,0.1,-1.02,-3.69
1.37,8.91,3.4000000000000004,-0.78,-0.97,-3.44
-0.49,11.46,2.5700000000000003,1.74,-1.65,-3.29
-0.99,9.15,2.3100000000000005,-0.87,-1.24,-3.02
-2.73,13.6,1.6600000000000001,1.5,-1.06,-2.85
-3.81,9.91,1.5700000000000003,-0.62,-1.23,-2.61
-4.74,7.65,1.8000000000000007,1.15,-1.21,-2.78
-6.24,8.24,0.6300000000000008,1.45,-1.22,-2.38
0.37,-0.82,4.960000000000001,0.15,0.65,4.38
1.55,-6.5,4.23,0.09,0.34,4.38
1.17,-4.27,5.050000000000001,0.54,0.43,3.84
0.43,-10.86,4.590000000000001,0.55,0.42,2.17
3.5,-7.57,5.050000000000001,-0.43,0.91,1.02
6.4,-7.49,4.8100000000000005,1.28,-0.32,0.25
7.88,-8.35,5.0600000000000005,-0.28,-0.02,0.61
6.98,-7.83,3.9400000000000004,-0.25,-0.02,0.53
7.39,-8.67,3.45,-0.31,-0.07,0.6
6.59,-8.62,3.66,-0.24,0.12,0.44
7.31,-8.2,3.08,-0.17,-0.19,0.13
5.58,-7.36,3.1000000000000005,0.11,-0.08,-0.18
6.69,-8.38,2.9800000000000004,-0.05,-0.4,-0.26
7.34,-6.66,3.7800000000000002,0.08,0.22,-0.54
7.21,-6.76,3.45,-0.14,0.19,-0.3
7.33,-6.88,3.3100000000000005,-0.02,0.14,-0.35
7.34,-6.66,3.3000000000000007,-0.03,0.01,-0.18
7.53,-6.39,3.2600000000000007,0.05,0.01,-0.22
7.18,-6.42,3.37,-0.08,0.01,-0.05
7.43,-6.91,3.6000000000000005,-0.03,0.03,-0.12
-3.55,3.46,2.0700000000000003,-1.06,2.02,4.38
-1.62,0.87,2.960000000000001,-1.37,1.18,4.38
-0.83,-3.53,5.7700000000000005,-1.22,0.38,4.38
0.75,-7.87,4.28,-1.06,0.51,3.02
2.17,-9.88,6.300000000000001,-0.4,0.57,1.64
1.88,-9.55,5.65,-0.14,0.09,0.67
9.5,-4.24,6.010000000000001,0.4,-0.35,-0.23
6.44,-7.26,5.3100000000000005,-0.27,-0.05,-0.41
6.17,-6.64,5.3500000000000005,0.22,-0.31,-0.43
7.65,-6.21,4.99,0.04,-0.24,-0.24
