acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-9.03,10.22,0.6900000000000013,1.44,-1.21,-3.7
-11.72,9.54,-1.6500000000000004,1.51,-1.46,-3.52
-9.5,7.88,0.3200000000000003,1.35,-1.37,-2.8
-8.96,7.35,0.33000000000000007,1.36,-0.89,-1.95
-8.53,5.75,1.0300000000000011,0.78,-0.55,-1.46
-8.65,5.59,1.2700000000000014,0.91,-0.51,-1.09
-9.12,4.95,1.3200000000000003,0.97,-0.44,-0.83
-9.01,4.81,1.5500000000000007,0.72,-0.3,-0.47
-8.86,3.63,1.8500000000000005,0.42,-0.21,-0.21
-8.56,2.94,2.630000000000001,0.26,-0.17,-0.07
0.44,-2.8,7.300000000000001,-0.92,-0.04,-4.34
0.19,-1.35,7.550000000000001,-1.46,-0.2,-4.34
0.72,1.23,7.130000000000001,-1.29,-0.16,-4.34
0.88,4.49,5.82,-1.39,-0.37,-4.34
-0.63,6.69,5.220000000000001,-1.01,-0.42,-4.34
-0.82,8.73,5.130000000000001,-0.54,-0.44,-4.34
-3.61,9.62,4.61,0.44,-1.03,-4.34
-4.53,12.39,2.920000000000001,0.28,-1.05,-4.34
-6.36,12.56,3.08,1.18,-1.18,-4.34
-8.07,11.24,1.0200000000000014,1.19,-1.46,-4.34
-3.06,-9.91,5.15,0.33,0.1,-3.33
-5.43,-7.71,5.7700000000000005,0.56,0.24,-3.79
-3.68,-5.64,7.010000000000001,0.58,0.45,-4.33
-2.42,-4.38,7.430000000000001,-0.08,0.11,-4.34
-2.64,-3.35,7.180000000000001,-0.08,0.0,-4.34
-2.59,-1.27,7.7700000000000005,0.26,-0.57,-4.34
-2.47,3.26,6.0200000000000005,0.13,-1.21,-4.34
-2.39,7.97,4.94,0.24,-1.9,-4.34
-2.09,9.66,5.16,-0.05,-1.75,-4.34
-2.81,11.95,2.62,0.13,-2.45,-4.34
-0.08,-0.34,9.58,-0.62,-0.6,-4.34
-1.32,2.7,7.700000000000001,-1.1,-0.81,-4.34
-0.64,5.77,6.98,-0.84,-1.1,-4.34
-1.18,7.69,5.08,-0.25,-1.73,-4.34
-1.75,9.96,5.260000000000001,-0.58,-1.5,-4.34
-2.79,11.29,2.0600000000000005,0.49,-2.24,-4.34
-3.33,11.51,1.7100000000000009,0.23,-1.94,-4.3
-3.41,13.68,0.6300000000000008,0.4,-1.71,-4.34
-6.08,11.36,-0.22999999999999865,0.36,-1.63,-3.71
-6.09,11.42,-0.09999999999999964,0.85,-1.49,-3.71
-5.56,11.17,7.41,-0.45,-0.9,-4.34
-6.57,11.9,6.030000000000001,-0.13,-1.99,-4.34
-5.19,16.06,4.3100000000000005,-0.37,-1.72,-4.34
-6.02,16.55,1.2300000000000004,-0.07,-2.03,-4.34
-7.38,13.35,1.5700000000000003,0.4,-1.55,-4.34
-6.06,14.92,-0.17999999999999972,-0.09,-1.28,-4.34
-7.06,11.88,0.8800000000000008,1.0,-1.18,-4.22
-8.02,9.27,0.05000000000000071,1.36,-0.99,-3.41
-9.04,9.89,0.41999999999999993,2.14,-1.09,-2.81
-8.78,7.39,-0.5499999999999989,1.94,-1.32,-2.79
1.5,8.14,5.000000000000001,-0.44,-0.39,-4.34
-0.33,9.08,3.95,-0.51,-0.51,-4.34
-2.22,9.65,2.9800000000000004,0.85,-0.57,-4.33
-3.7,10.04,2.2,0.75,-1.0,-4.1
-4.26,11.25,2.4700000000000006,0.68,-0.92,-3.92
-5.6,11.96,1.9300000000000006,0.38,-0.72,-4.28
-7.99,9.85,1.3000000000000007,0.68,-0.99,-4.03
-8.28,8.06,2.0300000000000002,0.65,-1.44,-3.83
-9.44,7.67,1.3499999999999996,1.26,-1.22,-3.8
-10.22,7.48,0.9000000000000004,1.59,-0.71,-3.46
-6.97,9.86,0.3100000000000005,0.33,-0.67,-3.36
-9.57,7.07,0.4299999999999997,0.89,-0.34,-2.62
-9.24,5.86,1.2100000000000009,1.2,-0.5,-2.13
-9.87,5.16,0.5300000000000011,2.13,-0.63,-1.79
-9.23,5.98,1.3100000000000005,1.7,-0.53,-1.36
-8.99,4.85,1.0099999999999998,0.94,-0.38,-0.83
-9.21,4.12,1.7300000000000004,0.77,-0.23,-0.39
-8.97,4.07,1.790000000000001,0.45,-0.2,-0.31
-8.85,2.97,2.0500000000000007,0.33,-0.17,-0.13
-8.96,2.77,2.130000000000001,0.18,-0.09,-0.03
-6.13,12.79,-0.40000000000000036,0.89,-1.52,-3.62
-6.65,10.97,1.1400000000000006,0.93,-1.16,-3.0
-6.94,10.72,0.6400000000000006,0.87,-1.23,-2.89
-8.03,7.05,1.1400000000000006,1.02,-1.11,-2.42
-7.79,7.51,0.5600000000000005,1.17,-0.97,-2.33
-8.06,6.14,1.0,0.7,-0.71,-2.34
-9.25,4.79,1.3000000000000007,1.06,-0.49,-2.1
-8.97,5.31,1.700000000000001,1.33,-0.65,-1.81
-9.12,4.09,1.58,1.11,-0.57,-1.29
-9.07,3.57,2.380000000000001,0.51,-0.5,-0.97
-5.18,14.48,1.8200000000000003,-0.13,-2.14,-4.34
-7.57,11.65,0.34999999999999964,0.41,-2.07,-4.34
-8.09,13.34,-0.29999999999999893,0.58,-1.28,-4.34
-9.61,11.8,-1.2299999999999986,0.92,-1.43,-4.18
-9.33,11.5,-0.7999999999999989,1.04,-1.3,-3.43
-9.71,8.7,-1.5999999999999996,1.22,-1.01,-3.07
-9.94,8.73,-0.5399999999999991,1.39,-1.28,-2.75
-10.23,5.77,-0.4499999999999993,1.64,-1.12,-2.44
-9.86,6.21,-0.2400000000000002,2.55,-1.21,-1.96
-9.71,5.71,0.2599999999999998,2.07,-0.88,-1.72
-0.2,11.36,1.9600000000000009,-1.18,-1.72,-4.34
-2.52,12.87,1.4600000000000009,-0.29,-1.81,-4.34
-3.33,11.6,0.7900000000000009,-0.39,-1.73,-4.34
-5.54,14.2,0.2599999999999998,0.16,-1.74,-4.34
-5.93,12.01,1.1400000000000006,0.46,-1.28,-3.94
-8.7,10.66,-0.8200000000000003,1.03,-1.42,-3.34
-7.02,10.56,-0.07000000000000028,0.23,-1.52,-3.04
-8.24,7.01,0.23000000000000043,0.49,-1.15,-2.79
-8.33,7.99,0.9600000000000009,0.86,-1.07,-2.64
-8.73,6.92,0.7700000000000014,0.67,-0.92,-2.34
-1.46,10.37,3.040000000000001,-0.75,-2.42,-4.34
-1.95,12.94,0.5800000000000001,-0.91,-2.77,-4.34
-2.69,11.05,1.1100000000000012,-0.78,-2.35,-4.34
-4.13,14.83,-0.7199999999999989,-0.15,-2.7,-4.34
-5.97,11.81,-0.7199999999999989,0.61,-2.84,-4.18
-5.82,13.47,-2.1999999999999993,0.31,-2.84,-3.6
-6.53,11.01,-0.5899999999999999,0.77,-2.71,-3.28
-7.88,10.0,-1.2400000000000002,-0.55,-1.97,-2.96
-7.8,7.16,-1.1099999999999994,0.68,-1.46,-3.06
-8.43,8.38,0.2400000000000002,0.75,-1.13,-2.53
-2.46,8.79,3.9400000000000004,-1.66,-1.84,-4.34
-3.06,10.07,2.8100000000000005,-1.35,-1.83,-4.34
-3.2,12.42,1.87,-0.57,-1.92,-4.34
-6.65,13.66,1.5,0.0,-1.82,-4.34
-7.44,15.43,0.370000000000001,0.22,-1.94,-4.34
-7.72,12.61,0.21000000000000085,0.32,-1.72,-4.34
-8.0,13.84,0.9299999999999997,-0.05,-0.9,-3.95
-9.54,8.98,0.09999999999999964,-0.08,-0.59,-3.52
-8.57,7.81,1.4700000000000006,1.0,-0.26,-3.13
-10.42,6.9,1.0700000000000003,1.88,-0.45,-2.79
-7.54,15.76,1.25,-1.05,-2.5,-4.34
-8.62,16.16,-0.21999999999999886,0.1,-2.64,-4.34
-8.89,15.19,-1.1399999999999988,-0.15,-2.29,-4.34
-10.07,15.92,-1.6999999999999993,0.87,-2.23,-4.34
-10.48,11.75,-2.09,0.54,-1.88,-4.34
-10.83,12.45,-2.129999999999999,1.88,-1.72,-3.7
-9.3,10.65,-1.5099999999999998,1.31,-1.55,-2.79
-9.29,7.82,-0.5599999999999987,1.66,-1.15,-2.17
-8.65,6.98,-0.05999999999999872,1.97,-1.1,-1.78
-9.03,5.9,1.0,1.47,-1.36,-1.17
-9.46,16.04,-3.92,1.76,-3.32,-4.34
-10.69,12.31,-4.049999999999999,0.78,-2.83,-3.9
-10.23,11.13,-3.1999999999999993,0.7,-2.19,-4.09
-9.55,9.49,-2.6799999999999997,1.74,-1.65,-3.15
-9.31,9.54,-2.1500000000000004,1.26,-0.91,-2.34
-8.34,8.19,-0.9900000000000002,0.94,-0.6,-1.69
-8.59,6.86,0.19000000000000128,0.95,-0.56,-0.86
-8.13,5.3,0.6500000000000004,0.52,-0.46,-0.36
-8.84,3.85,0.9299999999999997,0.49,-0.37,-0.02
-8.59,3.75,1.2300000000000004,0.44,-0.19,-0.07
-10.34,12.17,-2.25,1.04,-1.71,-4.34
-10.77,10.67,-2.6999999999999993,1.14,-1.3,-3.63
-9.4,8.28,-1.9699999999999989,1.71,-0.74,-3.11
-9.75,7.39,-2.049999999999999,1.84,-0.58,-2.08
-9.36,6.84,-0.2599999999999998,1.76,-0.63,-1.28
-8.9,6.19,-0.02999999999999936,1.49,-0.8,-0.77
-8.68,5.07,1.0500000000000007,1.16,-0.7,-0.36
-8.68,4.37,1.7300000000000004,0.68,-0.3,-0.07
-8.99,3.61,1.7400000000000002,0.46,-0.07,0.12
-8.93,3.05,2.000000000000001,0.33,-0.06,0.13
-8.89,11.24,-0.9000000000000004,0.2,-1.87,-4.34
-8.5,13.59,0.9000000000000004,0.65,-1.36,-3.97
-9.38,10.6,-0.2599999999999998,0.71,-1.11,-3.42
-9.46,10.14,-0.6699999999999999,1.29,-1.11,-2.83
-8.4,8.97,-1.3099999999999987,1.5,-1.13,-2.29
-8.69,7.34,0.030000000000001137,2.05,-0.68,-1.1
-7.57,6.98,-0.4499999999999993,1.53,-0.66,-0.89
-8.27,5.07,0.7599999999999998,1.77,-0.65,-0.65
-7.37,5.22,0.2400000000000002,1.07,-0.5,-0.82
-8.32,3.26,0.9800000000000004,0.14,-0.09,-0.63
-11.52,15.13,-4.5,1.31,-3.24,-4.34
-8.71,12.34,-2.8200000000000003,0.69,-2.19,-4.21
-11.07,11.18,-2.549999999999999,2.01,-1.21,-3.5
-9.57,9.86,-0.5399999999999991,1.51,-0.98,-2.58
-9.44,7.53,-0.6999999999999993,1.69,-1.2,-2.0
-8.03,6.6,0.4299999999999997,1.76,-1.03,-1.31
-8.06,6.84,-0.049999999999998934,0.8,-0.54,-0.7
-8.23,4.55,1.3600000000000012,0.11,-0.07,-0.21
-8.79,3.77,1.8100000000000005,0.25,-0.03,-0.07
-8.39,3.4,2.290000000000001,0.05,0.02,0.04
-7.23,14.46,-2.889999999999999,0.35,-2.93,-4.34
-7.58,15.55,-2.619999999999999,0.03,-2.34,-4.34
-9.01,11.19,-0.5999999999999996,-0.08,-1.27,-4.34
-10.93,10.42,-1.549999999999999,1.02,-1.44,-4.1
-9.81,9.28,-1.0099999999999998,1.85,-1.3,-3.23
-9.88,8.34,-1.1399999999999988,2.06,-1.33,-2.19
-8.47,7.73,0.3200000000000003,1.53,-1.24,-1.47
-8.02,6.47,0.8600000000000012,1.34,-1.19,-0.78
-7.31,5.46,1.3600000000000012,0.82,-0.64,-0.24
-7.92,4.6,1.9000000000000004,1.02,-0.35,0.12
-0.16,7.31,1.7800000000000011,-1.19,-3.2,-4.34
-1.26,13.85,1.7300000000000004,-1.39,-2.92,-4.34
-3.61,11.22,-0.6399999999999988,-1.26,-2.97,-4.34
-3.62,13.8,-0.29999999999999893,-1.62,-2.47,-4.34
-5.52,15.17,-1.6999999999999993,0.49,-3.03,-4.34
-6.53,13.25,-1.0099999999999998,-0.4,-2.08,-4.34
-6.76,13.1,-0.6899999999999995,0.19,-1.82,-4.07
-8.17,10.51,-0.29999999999999893,0.24,-1.59,-3.33
-7.96,8.7,0.5200000000000014,1.03,-1.36,-3.09
-9.0,8.16,-0.03999999999999915,2.07,-1.39,-2.55
-5.16,12.43,4.180000000000001,0.29,-1.58,-4.34
-4.42,11.39,4.4,-0.73,-1.22,-4.34
-6.53,16.07,0.9299999999999997,0.58,-1.6,-4.34
-7.99,12.22,0.7900000000000009,1.31,-1.63,-4.34
-7.26,15.56,0.5999999999999996,0.99,-1.61,-4.34
-9.79,10.43,0.4900000000000002,1.91,-1.64,-4.34
-9.01,11.6,-0.1899999999999995,1.64,-1.82,-3.27
-9.27,8.24,0.25,1.59,-1.28,-3.29
-9.22,8.33,-0.8099999999999987,2.07,-1.31,-2.58
-8.85,7.3,0.0,1.74,-1.07,-2.07
-3.69,-2.14,7.120000000000001,-0.13,-1.05,-4.34
-3.13,0.06,7.95,-0.68,-0.89,-4.34
-3.97,1.63,6.280000000000001,-0.8,-1.19,-4.34
-4.09,6.03,4.99,-1.04,-1.36,-4.34
-4.69,9.29,3.8200000000000003,-0.7,-1.55,-4.34
-5.6,13.26,2.74,-0.42,-1.83,-4.34
-6.28,13.55,1.9500000000000002,0.72,-2.23,-4.34
-6.75,15.03,0.040000000000000924,0.58,-2.37,-4.34
-7.21,16.64,-0.6799999999999997,1.04,-2.6,-4.34
-7.39,13.28,-0.8599999999999994,0.32,-1.97,-4.34
-3.76,-2.44,6.290000000000001,0.02,-0.67,-4.34
-3.89,-1.03,6.930000000000001,-0.43,-0.84,-4.34
-3.62,0.66,6.010000000000001,-0.63,-0.95,-4.34
-4.33,3.86,5.08,-0.66,-1.25,-4.34
-5.25,9.18,2.5200000000000005,0.0,-1.69,-4.34
-7.49,10.33,3.45,0.63,-2.02,-4.34
-8.57,18.07,-0.7599999999999998,1.6,-3.02,-4.34
-8.78,15.31,-1.8699999999999992,0.81,-3.01,-4.34
-8.4,17.46,-1.629999999999999,0.7,-1.98,-4.34
