acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-8.18,5.71,1.4900000000000002,0.41,-0.4,-0.65
-8.58,5.27,1.0200000000000014,0.49,-0.31,-0.32
-8.45,4.19,1.7800000000000011,0.0,-0.18,-0.21
-8.12,2.83,2.5600000000000005,-0.12,-0.18,-0.06
-8.47,2.73,2.790000000000001,-0.01,-0.22,-0.03
-8.55,2.66,2.750000000000001,0.02,-0.17,0.01
-8.27,2.61,2.8100000000000005,0.01,0.0,0.06
-8.63,2.66,2.960000000000001,-0.08,-0.05,-0.03
-8.2,2.82,2.8000000000000007,-0.04,0.02,0.02
-8.7,2.68,3.1000000000000005,0.01,-0.03,-0.02
-3.19,9.42,-1.1600000000000001,-1.03,-3.24,-4.34
-5.78,17.46,-2.42,0.33,-3.78,-4.34
-5.92,13.46,-3.7699999999999996,-1.17,-2.64,-4.34
-7.37,13.55,-2.8200000000000003,0.66,-1.58,-3.77
-8.64,13.52,-3.41,1.11,-3.49,-4.34
-7.86,8.17,-2.7299999999999986,1.1,-3.19,-2.53
-8.37,8.01,-3.01,1.4,-2.35,-2.46
-9.72,6.89,-1.7699999999999996,0.76,-1.66,-2.58
-9.33,8.2,-1.5199999999999996,0.5,-1.53,-2.25
-9.67,6.26,0.19000000000000128,0.48,-1.07,-1.5
-4.61,8.55,2.6500000000000004,-1.02,-4.05,-4.34
-4.43,12.71,0.870000000000001,-0.94,-3.75,-4.34
-2.78,15.52,-2.5700000000000003,-1.27,-3.75,-4.04
-6.36,12.03,-2.08,0.1,-3.95,-4.34
-4.13,14.83,-4.289999999999999,-0.94,-3.32,-3.05
-4.69,13.68,-3.59,-0.51,-2.87,-3.69
-8.36,11.52,-3.139999999999999,0.57,-3.3,-3.1
-5.79,11.51,-3.5299999999999994,0.12,-3.12,-3.38
-7.22,9.06,-2.2799999999999994,0.56,-2.58,-3.25
-6.89,9.21,-2.139999999999999,0.74,-1.52,-2.65
-2.96,10.79,0.8900000000000006,-1.34,-3.81,-4.34
-3.54,10.41,-0.35999999999999943,-0.21,-3.45,-4.34
-1.45,13.8,-1.4000000000000004,-1.14,-3.5,-3.28
-5.53,10.83,-0.9799999999999986,-0.47,-3.51,-4.3
-6.14,12.89,-3.0,0.33,-3.33,-3.07
-4.97,11.76,-2.799999999999999,-0.89,-3.14,-3.48
-6.24,11.93,-2.8499999999999996,-2.02,-1.72,-2.39
-5.72,7.4,0.8499999999999996,-0.2,-0.81,-3.49
-7.25,9.36,0.3000000000000007,0.43,-0.92,-2.29
-6.94,8.07,0.41000000000000014,0.61,-1.03,-2.85
-4.23,8.92,-1.2599999999999998,-0.7,-3.77,-4.34
-0.58,10.24,-1.879999999999999,-1.55,-3.1,-3.81
-4.16,14.04,-3.8099999999999987,-0.23,-3.39,-4.14
-4.79,10.13,-3.379999999999999,-0.38,-3.05,-3.9
-4.73,13.73,-4.34,-0.63,-2.73,-3.43
-6.32,12.71,-5.02,0.0,-2.35,-3.28
-7.82,9.75,-3.129999999999999,0.4,-2.12,-2.7
-7.09,10.94,-4.229999999999999,1.86,-2.75,-2.71
-7.46,8.57,-2.75,0.74,-1.72,-1.92
-7.78,7.31,-2.09,0.02,-1.93,-2.27
-3.27,12.29,0.030000000000001137,-0.93,-3.4,-4.14
-5.51,13.27,-1.8399999999999999,-0.82,-3.53,-4.34
-6.73,13.38,-2.869999999999999,-0.63,-2.97,-4.34
-5.49,13.08,-2.1099999999999994,-0.6,-2.88,-3.99
-7.47,13.33,-1.709999999999999,-0.39,-2.13,-4.34
-7.1,11.51,-1.7899999999999991,-1.46,-1.51,-3.59
-8.86,8.52,0.5600000000000005,-0.64,-0.54,-3.27
-8.93,6.16,0.7400000000000002,0.47,-0.45,-2.81
-9.92,6.16,0.11000000000000121,1.87,-0.22,-2.78
-9.85,6.43,-0.03999999999999915,2.58,-0.57,-1.98
-6.55,15.11,-1.549999999999999,1.48,-2.38,-3.94
-6.2,11.62,-1.3599999999999994,0.47,-2.79,-3.24
-7.94,11.24,-2.51,1.21,-2.23,-2.89
