acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-8.90,-2.79,-19.61,-3.96,3.98,-2.33
-10.14,-4.07,-19.61,-3.69,4.27,-2.24
-12.31,-4.49,-19.61,-3.26,4.37,-2.14
-13.94,-4.43,-19.61,-2.80,4.37,-1.92
-15.05,-3.34,-19.61,-2.55,4.37,-1.65
-16.49,-2.44,-19.61,-2.45,4.37,-1.46
-17.17,-1.47,-19.61,-2.43,4.37,-1.44
-17.98,-1.36,-19.61,-2.33,4.37,-1.65
-18.71,-2.07,-19.61,-2.11,4.37,-2.00
-19.61,-2.59,-19.61,-1.90,4.37,-2.26
-19.61,-3.18,-19.61,-1.92,4.37,-2.55
-19.61,-3.74,-19.61,-2.07,4.37,-2.60
-19.61,-3.24,-19.61,-2.69,4.37,-2.63
-19.61,-4.42,-19.61,-3.11,4.37,-2.55
-19.61,-6.49,-19.61,-3.07,4.37,-2.30
-19.61,-7.59,-19.61,-2.57,4.37,-1.89
-19.61,-8.49,-19.61,-1.93,4.37,-1.58
-19.61,-7.41,-19.61,-1.52,4.37,-1.33
-19.61,-6.22,-19.61,-1.51,4.37,-1.23
-19.32,-5.70,-19.61,-1.79,4.37,-1.30
-10.38,4.19,-6.86,-1.55,4.37,-0.70
-9.27,5.68,-6.30,-1.43,4.37,-0.44
-8.07,8.15,-4.37,-1.35,4.37,-0.09
-6.05,8.27,-4.31,-1.42,4.37,0.17
-4.95,7.12,-2.84,-1.62,4.37,0.33
-4.01,6.58,-0.60,-1.82,4.37,0.33
-2.47,5.80,-0.78,-1.82,4.37,0.20
-4.49,6.90,-2.22,-1.93,4.02,-0.01
-3.33,6.79,-1.40,-2.51,3.56,0.15
-1.66,6.10,-0.44,-3.12,3.14,-0.03
-0.39,4.32,3.23,-3.53,2.95,-0.14
0.03,3.28,6.89,-3.48,2.97,-0.63
-0.54,-0.17,5.72,-3.56,2.59,-0.50
0.65,3.05,13.48,-3.28,2.80,-0.49
0.72,2.61,4.76,-3.13,2.65,-0.28
0.94,2.30,9.30,-3.01,2.25,-0.06
0.80,1.48,7.29,-2.62,1.76,-0.03
2.03,0.51,8.69,-2.11,1.06,0.07
2.16,-0.16,9.22,-1.24,0.46,0.06
3.76,-0.09,9.12,-0.47,0.04,0.14
-6.24,-2.61,-19.61,-2.76,3.38,-2.55
-7.71,-3.59,-19.61,-2.82,3.68,-2.58
-9.33,-3.00,-19.61,-3.41,3.88,-2.59
