acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-19.61,3.45,-3.67,0.98,-2.56,0.98
-19.61,2.69,-3.61,0.95,-3.53,1.24
-19.61,0.90,-1.19,1.20,-4.05,1.58
-19.61,-1.63,0.78,1.47,-4.21,2.11
-17.41,-1.86,-3.69,1.73,-4.34,2.51
-17.67,-1.17,1.19,2.08,-4.13,2.71
-16.00,-0.71,0.74,2.28,-3.59,2.95
-13.79,0.66,-1.68,2.06,-3.11,3.07
-15.56,0.77,-3.45,1.62,-2.76,3.18
-15.67,0.15,-6.36,1.07,-2.65,3.43
-13.86,1.47,-7.52,0.61,-2.72,3.38
-12.31,0.49,-7.94,0.29,-2.59,3.14
-11.20,-0.40,-9.44,-0.02,-2.55,2.90
-10.39,-1.69,-9.71,-0.16,-2.54,2.92
-7.93,-1.95,-9.65,-0.18,-2.45,2.90
-6.85,-1.92,-8.47,0.02,-2.11,2.84
-6.08,-2.94,-9.75,0.13,-1.68,2.81
-5.56,-1.75,-9.98,0.11,-1.76,2.81
-4.16,-1.54,-9.61,0.13,-1.73,2.62
-3.13,-0.38,-9.16,0.27,-1.73,2.11
1.00,-1.48,-4.64,-0.12,-0.28,0.72
1.22,-1.73,-4.08,-0.10,-0.05,0.71
1.92,-2.11,-4.14,-0.02,0.26,0.82
1.80,-3.09,-5.54,0.11,0.55,0.97
1.69,-4.03,-7.97,0.16,0.63,1.15
1.84,-4.94,-9.58,0.18,0.62,1.35
2.32,-5.34,-10.69,0.19,0.67,1.55
3.76,-5.46,-11.37,0.27,0.84,1.43
4.67,-7.54,-13.41,0.52,1.13,1.22
4.87,-9.06,-14.73,1.12,1.71,0.75
2.66,-9.99,-15.80,2.14,2.70,0.07
-0.88,-10.22,-19.61,3.15,3.71,-0.61
-4.49,-8.97,-19.61,3.91,4.34,-1.45
-8.29,-5.32,-19.61,4.18,4.37,-2.28
-13.82,-3.03,-19.61,3.93,4.37,-3.17
-17.59,-1.81,-19.61,3.04,4.37,-3.84
-19.61,0.96,-19.61,1.32,4.37,-4.18
-19.61,2.05,-19.61,0.03,4.37,-4.35
-19.61,3.26,-19.61,-0.54,4.37,-3.91
-19.61,4.79,-19.61,-1.35,4.37,-4.08
-5.86,2.37,-6.79,0.25,4.37,0.59
-5.54,3.58,-6.91,0.89,4.37,0.80
-5.50,5.07,-7.79,1.43,4.37,0.98
-6.60,6.28,-9.36,1.65,4.13,1.04
-5.48,7.55,-9.70,1.50,3.52,1.16
-3.00,8.37,-8.16,1.27,3.02,1.11
0.61,7.78,-7.12,0.86,3.04,1.14
2.57,6.80,-6.72,0.48,2.97,1.30
2.59,4.24,-6.21,0.11,3.00,1.46
3.97,2.73,-6.01,-0.24,3.08,1.46
3.56,1.71,-4.95,-0.33,3.07,1.52
3.22,0.61,-4.46,-0.29,2.93,1.54
3.17,0.23,-3.38,-0.21,2.83,1.57
3.60,0.46,-3.24,-0.10,2.58,1.48
2.89,-0.25,-2.89,0.24,2.13,1.43
4.06,0.23,-1.63,0.55,1.80,1.36
4.64,0.59,-1.28,0.61,1.67,1.27
5.56,0.78,-1.63,0.28,1.55,1.15
6.31,0.84,-0.31,-0.08,1.43,0.91
6.99,0.93,0.87,-0.32,1.35,0.61
6.91,0.50,0.95,-0.53,1.17,0.29
6.48,-0.47,1.06,-0.71,0.90,0.09
6.99,-1.11,1.05,-0.79,0.65,-0.06
7.20,-1.92,1.47,-0.72,0.49,-0.18
7.76,-1.79,1.31,-0.53,0.44,-0.26
8.32,-1.41,0.96,-0.34,0.39,-0.35
8.14,-1.49,0.96,-0.04,0.29,-0.40
8.40,-1.28,0.67,0.28,0.19,-0.41
8.94,-1.00,0.16,0.51,0.10,-0.39
9.23,-0.68,-0.42,0.64,0.04,-0.35
9.74,-0.13,-0.68,0.73,0.03,-0.32
9.98,0.47,-1.01,0.78,0.08,-0.32
9.86,0.88,-1.43,0.75,0.10,-0.35
9.74,1.40,-1.77,0.65,0.10,-0.37
10.04,1.53,-1.82,0.54,0.03,-0.40
10.27,1.66,-1.73,0.47,-0.00,-0.44
10.07,1.73,-2.06,0.38,-0.04,-0.49
9.89,1.78,-2.21,0.31,-0.08,-0.52
9.90,1.91,-2.30,0.25,-0.06,-0.50
9.88,1.91,-2.34,0.23,-0.04,-0.46
-19.61,2.29,-4.26,0.06,-4.05,0.16
-19.61,1.45,-2.94,0.45,-4.37,0.23
-19.61,0.39,-1.00,1.19,-4.37,0.23
-19.61,-0.09,-2.01,2.06,-4.37,0.49
-18.25,0.68,-4.17,2.37,-4.37,1.02
-15.31,1.50,-5.29,2.28,-4.37,1.69
-12.69,2.47,-7.13,1.93,-4.37,2.14
-9.78,3.86,-6.84,1.64,-4.04,2.22
-9.21,4.64,-6.39,1.67,-3.39,1.88
-9.99,4.34,-6.99,1.88,-2.93,1.63
-10.64,4.14,-7.24,1.94,-2.67,1.47
-10.09,3.38,-7.10,1.85,-2.43,1.54
-9.96,3.08,-6.72,1.80,-2.24,1.73
-9.33,2.76,-7.58,1.64,-2.19,1.95
-8.75,2.81,-7.70,1.43,-2.27,2.13
-7.92,2.77,-7.68,1.20,-2.32,2.19
-6.96,2.79,-7.94,0.95,-2.37,2.19
-6.29,2.86,-7.79,0.72,-2.40,2.14
-5.80,2.63,-7.41,0.59,-2.40,2.02
-5.07,2.10,-6.78,0.54,-2.33,1.84
-6.22,-3.62,-19.61,3.98,4.37,-1.21
-7.06,2.95,-19.61,2.37,4.37,-1.41
-8.11,8.14,-19.61,-0.05,4.37,-1.75
-11.70,9.61,-19.61,-1.68,4.37,-2.40
-11.12,6.75,-19.61,-2.85,4.37,-3.10
-10.85,0.99,-19.61,-3.17,4.37,-3.47
-9.85,-3.56,-19.61,-2.96,4.37,-3.56
-12.11,-6.77,-19.61,-2.67,4.37,-3.19
-15.34,-8.03,-19.61,-2.14,4.37,-2.82
-18.92,-7.87,-19.61,-0.74,4.37,-2.46
-19.61,-4.12,-19.61,0.70,4.37,-2.30
-17.84,-0.03,-19.61,1.33,4.37,-2.36
-19.29,0.95,-19.61,0.97,4.37,-2.35
-18.34,2.13,-19.61,0.53,4.37,-2.51
-19.61,1.94,-19.61,0.04,4.37,-3.06
-19.61,0.96,-19.61,-0.58,4.37,-3.63
-19.61,1.80,-19.61,-1.05,4.37,-3.90
-19.61,3.56,-19.61,-1.51,4.37,-3.56
-19.61,5.77,-19.26,-1.61,4.37,-2.82
-19.61,7.47,-19.35,-2.55,4.37,-1.93
-19.61,1.01,-0.73,1.61,-3.61,1.45
-19.61,2.53,-2.72,1.10,-4.17,2.00
-19.61,3.24,-0.91,0.84,-4.33,2.01
-17.51,3.82,-0.12,0.60,-4.26,1.91
-16.00,4.65,1.06,0.38,-4.18,1.76
-14.29,4.05,1.57,0.43,-4.01,1.33
-13.84,2.28,0.20,0.67,-3.83,0.98
-13.41,0.53,-1.84,0.99,-3.59,0.89
-12.04,-1.33,-3.52,1.34,-3.27,1.01
-11.97,-2.49,-5.99,1.77,-2.94,1.26
-11.71,-2.51,-8.99,2.18,-2.64,1.53
-10.36,-1.98,-11.02,2.62,-2.42,1.76
-9.42,-1.47,-13.14,2.87,-2.28,2.02
-9.38,-0.74,-14.52,2.70,-2.18,2.34
-9.16,-0.44,-16.23,2.24,-2.43,2.70
-8.55,1.36,-15.00,1.71,-2.85,2.73
-7.42,1.91,-12.75,1.56,-3.03,2.35
-7.20,1.32,-11.81,1.48,-3.11,2.01
-5.91,1.07,-10.56,1.42,-3.10,1.84
-5.30,0.67,-9.71,1.40,-2.94,1.77
-7.77,2.66,-19.61,0.58,3.36,-2.15
-8.14,4.17,-19.61,-0.86,3.83,-2.42
-6.28,3.56,-19.61,-1.71,4.37,-2.57
-7.00,1.70,-19.61,-2.36,4.37,-2.25
-10.39,-2.15,-19.61,-2.33,4.37,-2.16
-14.92,-3.92,-19.61,-1.88,4.37,-2.49
