acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-5.21,11.93,-20.51,0.32,1.54,-1.17
-12.66,15.55,-23.75,-0.98,3.67,0.15
-18.81,8.15,-24.69,-1.6,4.38,1.9
-18.81,12.67,-28.74,-1.81,4.38,2.66
-18.81,11.95,-27.13,-1.09,4.38,3.82
-18.81,12.88,-25.85,-2.48,4.38,4.1
-18.81,12.13,-21.82,-4.31,4.38,4.36
-18.81,4.18,-14.86,-4.31,4.38,4.36
-18.81,5.35,-12.6,-4.29,4.38,4.36
-18.81,-0.14,-11.45,-4.31,3.55,4.36
-18.81,-4.28,-9.25,-4.31,1.97,4.36
-16.53,-14.73,-6.94,-3.3,-0.99,4.36
-9.13,-16.77,-7.74,-1.18,-1.63,4.26
-8.67,-20.44,-6.14,-0.73,-1.3,1.42
-5.31,-19.11,-6.9,0.93,-1.05,-0.9
-3.04,-15.97,-7.66,1.86,-1.02,-3.2
-3.13,-9.6,-6.11,1.51,0.01,-4.36
-5.6,-6.23,-3.38,1.26,-0.05,-4.36
-3.54,-3.14,-4.21,0.76,-0.04,-4.36
-6.49,-0.51,-2.24,0.29,-0.46,-4.36
-13.78,14.38,-4.81,2.19,-3.06,-4.36
-12.72,14.49,-10.78,1.13,-4.34,-4.36
-16.83,10.12,-11.63,2.86,-3.88,-4.36
-18.15,14.4,-18.26,3.87,-4.34,-4.36
-18.81,10.64,-20.42,3.26,-4.34,-4.36
-18.81,8.56,-20.41,2.98,-4.34,-4.36
-14.39,8.32,-21.17,3.98,-4.34,-2.65
-10.42,7.09,-18.47,1.68,-2.9,-1.78
-11.27,3.92,-14.92,2.83,-1.85,-1.58
-9.5,5.96,-15.88,3.4,-2.16,-1.05
-7.64,5.74,-13.07,1.82,-2.07,-0.34
-9.35,5.41,-12.33,1.71,-0.79,0.77
-6.54,3.16,-12.82,0.76,-1.02,0.02
-6.54,5.3,-11.33,1.32,0.13,0.12
-6.71,5.86,-10.57,0.06,-0.38,0.23
-6.46,5.39,-8.99,-0.17,-0.39,0.19
-6.11,6.73,-8.25,-0.66,-0.41,0.38
-7.02,6.89,-6.09,-0.91,-0.14,0.86
-5.36,6.13,-7.08,-0.85,-0.44,1.1
-6.2,3.41,-6.06,-0.77,-0.27,1.01
-9.81,6.45,-22.41,0.25,1.57,-1.06
-18.81,4.96,-25.11,-0.5,4.38,-0.84
-18.81,6.71,-26.86,-2.14,4.38,-0.02
-18.81,5.15,-27.92,-4.29,4.38,1.56
-18.81,5.28,-25.06,-4.12,4.38,2.48
-18.81,4.13,-23.07,-4.31,4.38,4.23
-18.81,5.37,-17.62,-4.31,4.38,4.36
-18.81,6.46,-14.68,-4.31,4.38,4.36
-18.81,1.32,-10.12,-4.31,4.01,4.36
-18.35,-0.8,-6.49,-3.46,2.3,4.36
-16.57,-5.2,-5.02,-2.54,2.26,4.36
-14.93,-9.29,-4.05,-2.76,-0.44,4.36
-10.37,-14.19,-1.91,-0.36,-0.92,4.36
-8.59,-17.96,-1.02,-0.44,-1.59,2.43
-5.65,-18.19,-3.53,0.4,-1.67,0.12
-1.9,-13.18,-5.26,0.64,-1.25,-1.6
-0.63,-10.47,-4.93,0.71,-0.28,-2.85
-2.02,-8.52,-3.84,0.51,0.19,-3.75
-3.45,-7.22,-2.49,0.58,0.27,-4.36
-3.98,-3.69,-1.77,0.35,-0.17,-4.36
-14.76,14.44,-6.29,2.43,-3.7,-4.36
-15.04,11.5,-10.64,2.11,-4.34,-4.36
-15.44,15.61,-15.13,3.05,-3.97,-4.36
-15.76,13.37,-18.57,3.63,-4.34,-4.18
-14.69,10.29,-20.09,2.18,-4.27,-3.06
-13.48,9.49,-21.06,4.12,-4.25,-2.32
-11.58,7.52,-20.2,1.7,-4.34,-2.05
-11.35,4.71,-19.44,3.17,-4.11,-1.74
-9.23,5.69,-20.41,3.74,-3.79,-1.23
-8.8,4.55,-17.46,1.93,-2.17,-0.75
-10.57,6.31,-23.15,-1.39,1.38,-1.37
-16.08,7.58,-23.3,-2.35,3.12,0.05
-18.81,4.46,-25.65,-2.74,4.22,1.14
-18.81,7.47,-26.71,-3.56,4.38,2.07
-18.81,5.24,-25.1,-4.31,4.38,3.82
-18.81,4.21,-24.1,-4.31,4.38,4.36
-18.81,7.17,-18.04,-4.03,4.38,4.36
-18.81,3.81,-13.68,-4.04,4.38,4.36
-18.81,3.58,-9.79,-3.1,4.38,4.36
-18.81,0.41,-6.33,-3.53,2.94,4.36
-15.55,-2.6,-5.77,-3.59,1.53,4.36
-14.09,-10.17,-3.12,-2.96,-0.03,4.36
-9.94,-17.7,-2.19,-0.63,-1.71,4.36
-5.69,-16.33,-2.62,0.03,-1.76,2.46
-3.62,-17.24,-4.21,0.12,-1.4,0.43
-1.41,-14.0,-5.79,0.89,-0.84,-1.29
-1.04,-9.39,-5.64,1.01,-0.17,-2.34
-1.96,-9.39,-3.21,0.25,0.17,-3.27
-2.86,-7.31,-2.49,0.31,0.12,-4.25
-3.08,-4.41,-1.94,0.36,-0.34,-4.36
-11.31,8.11,-2.34,1.3,-2.74,-4.36
-8.61,14.11,-7.49,-0.02,-3.26,-4.36
-14.15,9.06,-6.5,0.91,-3.15,-4.36
-15.95,15.01,-13.64,3.14,-3.46,-4.36
-17.81,13.9,-16.0,2.37,-3.56,-4.36
-13.69,8.9,-16.5,2.21,-3.01,-4.36
-15.06,7.78,-16.77,3.43,-2.14,-3.7
-13.6,6.51,-17.65,3.83,-2.71,-3.17
-10.14,5.05,-17.82,4.17,-1.99,-2.04
-11.19,4.09,-17.36,3.48,-1.55,-1.24
-8.66,5.84,-16.61,2.41,-1.81,-0.95
-8.82,3.68,-13.74,1.51,-1.44,-0.28
-7.52,3.41,-13.16,1.1,-0.94,-0.04
-8.63,1.53,-11.06,1.3,-0.12,-0.15
-8.15,3.87,-11.68,1.13,-0.46,-0.71
-7.89,3.67,-10.92,0.6,-0.14,-0.12
-8.47,2.59,-9.81,0.44,-0.02,0.0
-8.92,3.14,-9.36,-0.06,-0.18,-0.08
-10.11,5.17,-7.36,-0.88,-0.26,-0.26
-10.75,1.94,-6.2,-1.15,-1.0,0.38
-18.81,3.67,-24.06,-3.28,3.89,2.05
-18.81,1.39,-23.79,-4.31,4.38,3.56
-18.81,4.94,-23.28,-4.17,4.38,4.36
-18.81,7.38,-24.51,-4.31,4.38,4.36
-18.81,5.62,-18.8,-3.86,4.38,4.36
-18.81,3.46,-13.1,-3.36,4.38,4.36
-18.81,2.0,-8.05,-1.76,4.12,4.36
-18.15,1.08,-6.52,-2.13,3.01,4.36
-17.69,-1.97,-4.77,-2.98,2.11,4.36
-13.8,-4.1,-4.71,-4.3,0.29,4.36
-10.39,-13.49,-3.78,-3.15,-1.0,4.36
-7.62,-17.9,-5.6,-1.34,-1.79,3.02
-3.67,-20.44,-7.22,0.82,-1.13,0.56
-3.63,-16.97,-7.39,0.82,0.43,-1.88
-2.77,-12.6,-5.78,1.33,0.86,-3.28
-4.34,-11.06,-3.42,2.04,1.29,-4.14
