acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
8.18,1.49,-10.09,0.52,-0.5,0.16
10.2,0.54,-10.22,0.03,-0.27,0.1
9.04,0.0,-8.28,-0.71,0.31,-0.17
9.08,-2.35,-7.82,-1.51,0.24,-0.66
8.66,-0.52,-7.67,-0.47,-0.06,-0.36
6.72,-1.82,-7.3,-0.35,-0.25,-0.3
8.11,1.0,-8.07,-0.11,-0.14,-0.67
7.13,0.27,-8.39,0.08,-0.41,-0.91
4.2,0.33,-8.08,0.02,-0.83,-1.12
4.53,0.35,-8.43,1.33,-1.49,-1.31
-0.03,9.7,-15.87,-3.59,-3.65,-3.72
1.85,8.03,-15.61,-2.11,-2.57,-3.65
-2.18,9.29,-14.36,-0.39,-2.63,-3.56
-5.33,14.06,-15.01,0.26,-4.06,-3.08
-6.54,9.21,-13.0,0.13,-3.04,-2.76
-10.15,7.06,-12.2,-0.04,-2.14,-1.49
-8.89,7.54,-12.06,-0.08,-2.01,-0.51
-7.88,5.61,-12.0,1.5,-1.57,-0.24
-7.92,4.83,-11.66,0.94,-0.91,0.39
-7.26,6.19,-12.18,0.53,-0.63,0.66
4.04,5.83,-13.17,-1.38,1.69,-1.92
2.0,9.04,-13.42,-1.47,1.8,-1.54
3.05,7.74,-12.8,-0.51,1.84,-1.07
1.4,7.77,-12.18,-0.29,1.1,-0.92
1.69,8.64,-10.69,0.48,0.93,-0.33
-0.87,7.32,-10.66,-0.13,0.4,-0.41
0.84,9.16,-9.47,-0.46,-0.69,-0.31
0.71,8.0,-9.92,-1.11,-0.73,-0.31
1.36,9.77,-10.21,-0.8,-1.11,0.33
1.37,7.23,-9.55,-0.39,-0.94,-0.3
1.86,4.45,-7.84,-0.17,-2.7,-0.62
2.12,6.0,-9.27,-1.0,-4.01,-0.98
-0.12,5.82,-10.67,-0.74,-4.23,-2.51
-1.48,3.92,-13.5,-0.96,-4.38,-1.79
0.01,3.88,-13.64,2.14,-2.73,-2.35
-15.84,12.01,-25.4,-0.28,-4.38,-2.11
-5.42,8.25,-16.95,-0.23,-4.38,-3.07
-11.06,5.0,-21.61,1.11,-4.38,-3.75
-11.0,9.94,-18.52,1.23,-4.31,-2.49
-10.72,10.22,-19.02,0.66,-2.78,-1.96
7.15,2.15,-7.87,-1.21,-1.61,-0.1
3.91,1.73,-9.01,-1.13,-1.99,-0.85
3.81,1.96,-11.07,-0.86,-2.33,-1.19
2.5,2.21,-13.21,-1.15,-3.21,-1.73
0.23,3.76,-13.54,-1.98,-3.25,-2.61
-1.01,2.89,-14.68,-0.75,-2.88,-3.16
-5.18,6.78,-17.59,0.07,-3.2,-3.89
-5.04,4.57,-17.41,-0.28,-3.55,-3.54
-11.62,8.49,-16.93,1.56,-3.69,-3.6
-11.46,9.28,-17.47,-0.45,-3.08,-2.52
-5.67,0.72,-8.5,1.1,4.34,2.05
-1.85,-0.15,-7.39,-0.42,4.23,2.24
1.56,-4.55,-7.61,-2.53,3.47,2.02
9.67,-10.24,-5.55,0.37,1.53,1.77
11.12,3.87,-9.87,4.43,-0.94,-2.8
13.16,3.38,-6.73,-0.12,0.77,0.82
8.96,-0.57,-9.59,-2.03,0.69,0.36
8.99,1.43,-9.22,0.25,0.89,-0.24
7.79,0.96,-9.67,-1.24,0.2,-0.28
8.99,0.66,-10.2,-0.11,0.03,-0.03
