acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
8.98,-0.55,-5.59,-0.1,-1.21,0.43
13.14,-1.46,-8.39,1.15,-0.43,-0.53
8.96,0.4,-5.89,-0.98,-0.24,-0.64
8.04,0.74,-7.46,-0.11,-0.31,-0.11
9.78,0.81,-7.01,-0.16,-0.42,-0.44
9.0,1.13,-8.17,-0.31,-0.36,-0.16
9.42,0.66,-8.68,-0.33,-0.22,-0.23
9.25,0.9,-8.4,-0.36,-0.26,-0.12
9.04,0.88,-8.25,-0.51,-0.2,-0.27
8.91,0.8,-7.96,-0.43,-0.12,-0.23
8.42,-0.29,-6.21,-0.2,-0.08,-0.16
8.16,0.15,-5.94,0.06,0.08,-0.05
7.8,0.81,-6.1,-0.04,0.13,0.0
8.64,-0.27,-5.97,0.05,-0.05,0.03
9.33,0.04,-6.2,-0.16,-0.22,-0.21
9.16,0.24,-6.18,-0.29,-0.23,-0.32
8.61,0.49,-6.59,-0.33,-0.15,-0.31
8.22,-0.29,-6.72,-0.27,-0.19,-0.25
8.51,0.27,-6.49,-0.14,-0.26,-0.2
8.73,0.36,-6.33,-0.14,-0.23,-0.19
8.83,0.54,-6.72,-0.05,-0.25,-0.15
8.85,0.75,-6.75,-0.05,-0.26,-0.09
8.77,1.09,-6.73,-0.13,-0.21,-0.13
8.86,0.62,-6.7,-0.07,-0.21,-0.09
8.78,0.66,-7.03,-0.1,-0.21,-0.15
8.64,0.77,-6.94,-0.1,-0.21,-0.14
8.65,1.04,-7.06,-0.09,-0.18,-0.1
8.72,0.86,-7.19,-0.07,-0.16,-0.01
8.9,0.88,-7.24,-0.02,-0.1,-0.01
8.72,0.79,-7.2,-0.08,-0.08,-0.04
3.26,0.53,-3.01,0.48,0.04,0.67
6.06,-3.69,-5.95,-0.42,0.38,0.7
7.27,-0.5,-4.62,0.57,0.0,0.41
8.55,-1.87,-3.88,-0.31,0.3,0.0
8.1,-0.9,-4.77,-0.24,0.08,-0.32
8.89,-0.59,-5.41,-0.7,-0.53,-0.37
7.89,-0.29,-5.84,-0.52,-0.43,-0.44
8.15,-1.09,-6.61,-0.63,-0.48,-0.47
8.87,-0.63,-6.22,-0.58,-0.2,-0.46
8.74,-0.38,-5.55,-0.73,-0.32,-0.6
8.6,0.94,-6.2,-0.08,0.17,-0.12
8.33,0.23,-5.93,-0.24,0.11,-0.28
8.11,0.61,-5.86,-0.1,0.07,-0.07
8.24,0.46,-5.56,-0.11,-0.05,-0.1
8.44,0.34,-5.47,0.07,-0.08,-0.04
8.34,0.73,-5.73,-0.05,-0.08,-0.06
8.24,0.39,-5.67,0.0,-0.02,-0.02
8.07,0.64,-5.58,-0.03,-0.09,-0.04
8.1,0.45,-5.58,0.02,-0.13,-0.05
8.31,0.73,-5.95,0.05,-0.12,-0.02
8.68,-0.44,-5.26,-0.54,-0.53,-0.37
8.49,-0.57,-5.84,-0.23,-0.55,-0.32
8.85,-0.13,-6.05,-0.29,-0.43,-0.22
8.56,0.01,-6.19,-0.18,-0.28,-0.19
8.33,0.24,-6.02,-0.36,-0.26,-0.33
8.48,0.51,-6.23,-0.26,-0.3,-0.3
8.6,0.31,-6.34,-0.2,-0.16,-0.31
8.45,0.26,-6.45,-0.26,-0.18,-0.26
8.79,0.61,-6.53,-0.2,-0.22,-0.17
8.84,0.38,-6.43,-0.16,-0.13,-0.15
-8.69,-1.28,3.02,-2.17,1.68,0.53
1.18,-4.45,-0.36,0.42,-0.79,0.87
6.71,-2.49,-3.92,0.11,-1.42,0.26
6.71,-0.31,-1.64,-0.72,-1.37,0.55
8.94,-0.23,-2.25,-0.72,-0.74,-0.52
7.53,0.3,-4.96,-0.06,-0.68,-0.35
8.29,1.89,-5.47,-0.06,-0.48,-0.19
