acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-3.49,7.57,-9.33,-0.03,0.13,-0.02
-3.49,7.63,-9.51,-0.1,-0.04,-0.05
-3.28,7.63,-9.15,-0.05,-0.02,-0.07
-3.55,7.75,-9.17,-0.14,-0.03,-0.04
-3.45,7.54,-9.04,-0.06,-0.02,-0.02
-3.68,7.37,-8.99,-0.2,0.02,-0.03
-3.59,7.54,-9.06,-0.07,-0.11,-0.02
-3.6,7.5,-8.86,-0.05,0.0,-0.08
-3.69,7.44,-9.03,-0.03,-0.1,-0.06
-3.87,7.26,-9.15,0.0,-0.11,-0.15
5.33,2.31,-5.74,-0.03,-2.53,-3.01
3.22,6.77,-8.07,0.76,-3.13,-3.0
5.04,5.48,-8.38,0.24,-2.7,-3.09
2.75,9.46,-10.6,0.6,-3.15,-2.84
3.97,7.75,-11.23,-0.43,-2.72,-2.77
0.4,10.24,-12.79,0.66,-3.09,-2.65
1.85,9.01,-11.9,-0.69,-2.34,-1.99
-1.28,8.13,-11.91,0.28,-1.95,-2.2
-1.11,8.91,-11.74,0.45,-1.92,-1.54
-3.55,9.07,-12.71,0.98,-2.05,-2.1
-7.16,5.07,-9.68,-0.12,0.05,0.04
-7.28,5.22,-9.65,-0.01,0.07,0.04
-7.24,5.17,-9.51,-0.14,0.09,0.05
-7.23,5.1,-9.3,-0.09,0.09,0.04
-7.3,5.19,-9.34,-0.17,0.1,0.03
-7.29,5.21,-9.32,-0.11,0.09,0.0
-7.37,5.26,-9.33,-0.09,0.07,0.0
-7.18,5.24,-9.34,-0.09,0.04,0.0
-7.36,5.22,-9.34,-0.06,0.02,-0.04
-7.34,5.2,-9.17,-0.03,-0.01,-0.07
5.33,7.79,-12.43,-0.84,-1.49,-0.38
3.95,6.35,-11.61,-1.18,-1.01,0.22
4.32,6.98,-11.62,-0.08,-1.19,-0.25
1.99,7.01,-10.46,-0.83,-0.75,-0.71
3.32,6.41,-10.32,-0.7,-1.07,-0.76
3.56,7.97,-11.59,0.12,-1.38,-0.24
3.72,7.95,-12.05,0.14,-1.34,-0.27
2.59,6.75,-12.1,-0.71,-0.85,0.0
3.05,6.77,-11.61,-0.5,-0.52,0.12
2.96,7.25,-10.69,-0.13,-0.73,0.0
0.07,11.01,-10.8,0.87,-2.94,-3.25
-0.2,9.37,-11.63,-0.35,-2.3,-3.15
-1.39,9.89,-10.0,0.33,-1.62,-2.62
-2.69,10.01,-11.43,0.51,-1.58,-2.57
-3.21,8.82,-10.28,0.74,-1.22,-2.57
-5.28,10.6,-11.63,0.67,-1.4,-1.94
-5.02,8.36,-10.4,0.06,-0.54,-1.92
-6.51,8.97,-10.75,0.07,-0.54,-1.1
-6.15,7.17,-10.04,0.0,-0.21,-0.74
-6.95,7.11,-10.13,-0.27,-0.17,-0.6
4.11,1.09,-3.89,-0.47,-1.91,-1.53
4.59,3.36,-5.73,0.02,-2.4,-1.34
5.06,3.01,-6.42,-1.16,-2.56,-2.03
3.41,5.58,-8.2,-0.37,-2.8,-1.88
4.23,2.63,-9.48,-1.21,-2.52,-2.68
3.34,8.48,-8.98,-0.43,-2.54,-2.24
3.59,5.96,-10.5,0.01,-2.29,-2.92
1.29,9.54,-9.61,-0.34,-2.08,-2.2
0.43,5.94,-11.35,0.8,-2.17,-3.31
-1.06,9.75,-10.74,0.87,-2.09,-2.5
3.24,-3.2,-0.85,-0.58,-0.81,-1.62
4.28,-3.64,-1.91,0.3,-1.13,-1.33
4.3,-1.98,-2.11,-0.19,-1.28,-1.77
4.1,-3.53,-3.0,0.46,-1.38,-1.87
3.89,-0.81,-3.39,0.19,-1.74,-2.21
3.63,-0.75,-4.58,0.97,-1.94,-2.35
4.91,2.59,-6.05,0.45,-2.44,-2.64
3.05,3.99,-7.05,0.61,-2.36,-2.83
4.18,5.79,-9.13,0.2,-2.39,-3.0
