acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-3.22,0.83,-0.36,-1.55,-2.71,-4.34
-2.48,1.29,-0.72,-0.99,-3.06,-4.34
-0.02,5.78,-6.11,-1.75,-4.07,-4.34
-0.02,7.81,-6.52,-0.5,-4.06,-4.34
1.8,8.66,-10.54,-2.29,-4.16,-4.34
1.33,13.31,-11.93,-1.25,-4.07,-3.93
0.55,7.63,-12.68,-1.18,-2.84,-4.34
1.33,16.56,-13.41,-0.27,-3.75,-2.86
-1.23,7.26,-13.69,0.25,-2.79,-4.27
-1.97,11.1,-13.84,1.94,-3.51,-2.3
-3.26,-0.04,2.03,-0.68,-1.0,-2.03
-4.72,-2.74,3.82,-0.93,-1.11,-3.32
-2.86,-0.53,-0.25,-1.11,-2.17,-4.28
-2.39,0.79,-0.49,-1.48,-2.13,-4.34
-2.98,6.03,-4.58,-1.39,-3.47,-4.34
-3.89,6.15,-5.21,-0.76,-4.22,-4.34
0.27,11.67,-9.6,-2.84,-4.38,-4.34
-6.53,18.07,-13.31,0.44,-4.38,-4.34
-1.38,7.82,-13.98,-1.74,-3.65,-4.34
-5.16,18.07,-18.48,0.62,-4.38,-4.33
-14.73,-8.3,-1.98,0.49,-3.23,2.24
-0.63,-8.29,-3.28,-0.33,-1.68,-0.86
1.23,0.71,-1.98,0.47,-0.92,-1.39
-2.12,-0.24,2.05,-1.18,0.22,-2.17
-4.73,-3.63,3.09,-0.23,-0.97,-2.76
-2.67,-1.77,0.77,-1.07,-1.22,-3.86
-3.11,-0.51,-0.53,-0.75,-2.4,-4.34
-3.67,4.02,-2.2,-1.19,-2.77,-4.34
-4.06,4.22,-3.35,-0.93,-4.06,-4.34
-0.36,10.86,-7.67,-1.97,-4.38,-4.34
-20.43,18.07,-28.99,0.04,4.34,4.38
-20.43,18.07,-24.06,2.05,4.34,4.38
-20.43,16.02,-11.36,-0.19,4.34,4.38
-20.43,-5.89,10.23,-2.47,3.82,2.98
-12.06,-12.28,-2.77,0.32,-3.99,1.71
-1.7,-5.16,-3.23,0.31,-2.74,-1.4
-0.14,2.18,-0.25,0.57,-1.28,-2.09
-2.01,1.2,2.59,-0.85,-0.37,-2.68
-3.64,0.23,1.5,-0.73,-1.89,-3.12
-2.38,0.56,-0.16,-1.52,-1.83,-3.93
-20.43,18.07,-28.99,-0.1,4.34,4.38
-20.43,18.07,-23.6,-0.27,4.34,4.38
-20.43,18.07,-17.39,0.54,4.34,4.38
-20.43,2.87,-3.52,-1.68,4.34,4.38
-20.43,-19.35,10.23,-2.89,0.18,1.07
-4.01,-4.82,-7.82,1.63,-4.38,1.88
2.95,-4.14,-4.66,-0.12,-1.39,-1.47
-2.32,-4.92,0.37,-0.14,-0.5,-1.87
-3.67,-2.44,1.8,-0.33,-0.92,-2.75
-3.6,-2.28,0.15,-0.84,-1.45,-3.57
-20.43,18.07,-28.99,0.02,4.34,4.38
-20.43,18.07,-28.99,-0.51,4.34,4.38
-20.43,16.3,-12.93,0.56,4.34,4.38
-20.43,10.72,-4.45,-0.37,4.34,4.38
-20.43,-12.2,10.23,-4.28,3.78,2.8
-12.58,-10.79,-3.73,-0.11,-3.71,1.28
-1.1,-10.58,-4.79,0.35,-2.45,-0.43
1.27,-3.08,-2.24,0.55,-0.4,-1.23
-0.61,-2.72,0.02,-0.7,0.37,-1.68
-3.03,-5.2,1.49,-0.71,-0.08,-2.54
-20.43,12.15,-28.99,1.43,4.34,2.78
-20.43,18.07,-28.99,0.77,4.34,2.7
-20.43,18.07,-28.99,1.83,4.34,4.34
-20.43,18.07,-28.03,1.95,4.34,4.38
-20.43,18.07,-11.89,2.81,4.34,4.38
-20.43,13.15,-2.39,1.81,4.34,4.38
-20.43,-0.37,10.23,-2.25,3.01,3.27
-11.62,-11.94,4.25,0.1,-2.37,1.92
-0.01,-3.53,-1.51,-0.21,-2.01,-0.96
2.09,2.15,-1.49,0.29,-1.17,-1.0
-6.92,3.79,-9.95,-0.13,0.07,-0.17
-6.68,4.14,-11.67,-0.18,0.15,-0.34
-7.04,5.2,-13.83,-0.29,0.37,-0.55
-6.76,8.27,-17.07,-0.46,1.07,-0.22
-6.04,10.18,-20.58,-1.1,1.91,0.26
-8.38,13.61,-26.07,-1.58,3.02,1.14
-15.41,13.08,-28.99,-2.34,4.34,2.34
-20.43,18.07,-28.99,-2.27,4.34,4.38
-20.43,18.07,-28.99,-2.71,4.34,4.38
-20.43,18.07,-28.99,-3.45,4.34,4.38
-7.14,4.87,-11.4,0.0,-0.21,-0.12
-6.81,4.49,-12.02,0.14,-0.03,-0.09
-6.74,4.57,-13.85,0.24,0.25,-0.09
-4.84,5.28,-17.06,-0.08,0.9,-0.06
-6.6,6.05,-20.31,-0.83,1.77,0.02
-8.04,6.93,-21.79,-1.13,2.42,-0.12
-11.82,9.9,-28.28,-0.82,2.99,0.26
-20.43,18.07,-28.99,-1.86,4.34,0.75
-20.43,18.07,-28.99,-1.93,4.34,4.38
-20.43,18.07,-28.99,-2.06,4.34,4.38
-9.05,5.97,-6.62,0.59,-1.86,-0.37
-8.68,6.93,-8.03,0.49,-2.13,-0.09
-9.43,4.86,-9.21,0.36,-1.8,0.18
-7.93,5.25,-10.49,0.36,-1.89,0.13
-7.26,4.57,-10.41,0.55,-1.73,-0.02
-5.64,4.64,-11.57,0.38,-1.31,-0.06
-6.02,4.37,-12.31,0.1,-0.47,-0.04
-4.6,4.46,-13.54,-0.05,0.0,-0.24
-5.62,5.51,-14.17,0.0,0.61,-0.24
-5.13,7.21,-15.41,-0.11,1.35,-0.24
-6.72,6.14,-10.68,0.33,-0.31,-0.02
-6.43,6.4,-10.85,-0.1,-0.35,0.05
-6.93,6.17,-10.02,-0.22,-0.39,0.0
-5.47,5.45,-10.27,0.12,-0.26,0.05
-6.55,5.78,-9.33,0.22,-0.38,-0.02
-5.88,5.6,-10.04,0.07,-0.05,-0.07
-6.42,5.74,-9.87,0.3,-0.24,-0.07
-6.23,6.11,-9.81,0.18,-0.11,-0.1
-6.81,6.12,-9.89,0.19,-0.18,-0.14
-6.13,6.12,-9.99,0.21,-0.14,-0.1
-20.43,-21.15,4.42,-3.58,0.47,1.6
-5.84,-10.34,-4.36,0.3,-3.56,1.38
2.25,-6.25,-2.44,0.27,-1.38,-1.3
1.33,0.47,0.72,-0.33,-0.08,-1.53
-0.07,-4.25,0.65,-0.59,-0.33,-1.92
-1.53,-5.31,-0.33,-0.23,-0.51,-2.36
-1.89,-5.06,-0.22,-0.61,-0.64,-3.52
-1.99,-4.06,-0.48,-0.41,-0.73,-3.84
-1.96,-3.01,-0.11,-0.29,-1.29,-4.34
-1.96,-0.9,-0.8,-0.39,-2.05,-4.34
-18.6,-21.15,3.84,-0.7,-0.35,-0.53
-7.19,-11.37,-2.3,0.9,-2.85,-3.34
-1.67,-0.58,-1.86,0.0,-2.01,-4.21
-0.37,-0.44,-3.6,-0.8,-1.13,-4.25
1.1,0.44,-2.82,-0.27,-1.1,-3.91
1.48,-0.76,-1.64,-0.77,-1.02,-4.03
0.1,-0.71,-1.41,-0.9,-0.85,-4.34
-0.2,2.52,-2.78,-0.33,-2.19,-4.34
0.51,3.87,-4.78,-0.73,-2.74,-4.34
-1.71,9.83,-8.64,0.58,-4.31,-4.34
-6.63,5.43,-18.13,-0.23,0.88,0.0
-5.44,8.11,-22.9,-0.59,2.18,0.61
-6.81,12.16,-28.99,-1.59,3.29,0.41
-18.04,18.07,-28.99,-2.39,4.34,2.06
-20.43,18.07,-28.99,-0.49,4.34,4.38
-20.43,18.07,-28.99,-0.89,4.34,4.38
-20.43,18.07,-28.99,1.66,4.34,4.38
-20.43,18.07,-15.3,0.55,4.34,4.38
-20.43,14.31,-10.05,0.29,4.34,4.38
-20.43,14.21,-4.9,-1.59,4.34,4.38
-7.76,5.14,-9.71,0.17,-0.36,-0.58
-7.42,5.67,-11.08,-0.08,-0.14,-0.58
-7.71,4.79,-12.36,-0.03,-0.07,-0.47
-6.51,8.86,-18.81,2.19,0.43,0.02
-2.83,11.66,-27.28,-0.89,1.14,0.59
-13.55,10.23,-28.99,-2.16,4.34,0.69
-20.43,14.39,-28.99,-1.75,4.34,3.42
-20.43,18.07,-28.99,-1.96,4.34,4.38
-20.43,18.07,-28.99,-2.36,4.34,4.38
-20.43,18.07,-28.99,-1.61,4.34,4.38
-6.9,5.68,-10.19,0.12,0.0,-0.09
-7.04,5.51,-9.96,0.02,0.04,-0.08
-7.02,5.6,-10.02,0.08,-0.02,-0.06
-7.13,5.58,-10.1,0.03,0.05,-0.09
-7.04,5.84,-10.27,0.05,-0.03,-0.02
-7.06,5.25,-10.17,0.07,0.01,-0.03
-6.98,5.82,-10.44,0.02,0.0,-0.02
-6.99,5.48,-10.28,0.02,0.0,0.0
-6.99,5.62,-10.38,0.04,-0.01,0.0
-7.27,5.34,-10.29,-0.02,0.03,-0.01
-2.11,-4.06,1.48,-1.44,-0.22,-2.32
-2.28,-4.19,0.12,0.01,-0.61,-1.86
-0.63,-3.01,-0.81,-0.57,-0.55,-2.57
0.08,-3.19,-1.39,-0.34,-0.53,-2.72
0.09,-2.63,-0.14,-0.1,-0.62,-2.69
1.77,-1.69,-0.08,-0.26,-1.02,-2.67
2.5,-1.78,-1.17,-0.43,-1.09,-2.6
2.98,-2.32,-0.64,-0.78,-1.44,-2.72
4.36,-2.37,-2.72,0.16,-1.66,-2.49
4.42,-0.25,-3.16,-0.1,-1.69,-2.57
4.63,5.0,-5.55,-0.52,-2.04,-3.57
5.57,6.16,-6.21,-0.24,-2.14,-3.37
4.38,6.9,-6.84,-0.52,-2.04,-2.95
4.28,8.01,-8.12,-0.46,-2.03,-3.01
2.53,7.78,-8.62,-0.51,-1.83,-2.74
2.7,9.84,-9.45,0.38,-2.08,-2.61
0.87,8.7,-9.67,0.18,-2.23,-2.38
1.1,9.61,-11.59,0.74,-2.58,-2.05
-0.7,9.81,-12.22,0.47,-2.61,-1.95
0.55,9.75,-13.62,0.3,-2.24,-1.49
2.08,-0.93,-2.02,-0.01,-1.18,-1.5
1.58,-2.69,-1.64,-0.56,-0.91,-1.09
2.14,-4.42,-0.74,-0.15,-0.53,-1.1
3.37,-2.99,-2.2,0.09,-0.29,-0.72
2.12,-4.09,0.32,-0.13,0.08,-0.63
1.61,-3.47,-0.32,0.1,0.2,-0.68
0.83,-3.73,0.37,-0.51,0.39,-0.95
0.34,-3.93,1.11,-0.16,0.15,-1.0
1.16,-3.62,0.13,-0.65,0.09,-1.15
1.75,-4.66,-0.32,-0.47,-0.12,-1.2
3.82,-0.85,1.22,-0.03,-0.04,-0.82
0.14,-1.69,0.92,-0.81,0.29,-0.7
-1.63,-4.52,1.16,-0.64,0.21,-0.92
-0.77,-4.75,-1.17,-0.73,0.24,-1.34
-0.66,-3.99,-0.88,-0.31,0.07,-1.57
-0.43,-2.45,0.66,-0.53,0.26,-1.64
-0.06,-4.63,0.7,-0.51,-0.1,-1.5
1.26,-5.21,-0.54,-0.85,-0.06,-1.55
0.98,-6.02,-1.02,-0.55,-0.18,-1.64
1.55,-4.68,-1.36,-0.1,-0.45,-1.35
3.95,-2.48,-2.31,-1.21,0.07,-1.16
0.54,-4.38,0.69,-0.11,-0.07,-1.28
0.0,-4.01,-0.03,-0.67,0.22,-1.51
0.52,-3.95,-0.61,-0.3,-0.06,-1.41
0.5,-3.34,-0.28,-0.39,0.2,-1.29
0.76,-4.53,-0.13,-0.34,0.11,-1.16
0.37,-4.71,-0.33,-0.37,0.03,-1.03
0.85,-5.13,0.12,-0.26,-0.22,-1.04
1.36,-4.7,-0.96,-0.21,-0.16,-0.84
0.86,-5.22,-0.73,-0.38,-0.2,-0.92
2.17,-4.65,-1.51,-0.48,-0.04,-1.66
2.19,-5.28,-0.95,-0.57,-0.1,-1.78
2.92,-4.99,-1.38,-0.41,-0.34,-1.75
2.85,-5.16,-1.55,-0.43,-0.56,-1.97
3.24,-3.97,-1.44,-0.22,-0.6,-1.79
4.19,-3.9,-2.79,-0.44,-0.76,-2.18
4.29,-2.62,-1.96,-0.19,-0.82,-2.01
4.61,-2.24,-3.15,-0.52,-0.51,-2.32
5.25,-2.64,-2.79,-0.34,-1.1,-2.44
4.82,-0.98,-3.25,-0.11,-0.93,-2.47
1.63,-4.79,-1.3,-0.58,-0.23,-1.41
1.56,-4.93,0.13,-0.32,-0.49,-1.79
2.26,-3.24,-0.56,-0.36,-0.45,-1.88
2.43,-3.14,-0.17,-0.61,-0.64,-2.26
3.14,-2.11,-0.73,-0.66,-0.8,-2.35
3.8,-1.61,-0.92,-1.02,-1.1,-2.64
4.9,-0.68,-2.3,-0.91,-1.47,-2.72
5.0,-0.94,-3.09,-1.16,-1.29,-2.78
5.86,0.67,-4.38,-1.08,-1.77,-2.82
5.47,1.16,-4.47,-1.36,-1.82,-2.74
-0.68,-4.48,-0.28,0.05,-0.08,-0.92
-0.85,-4.17,-0.13,-0.02,0.15,-0.77
-0.94,-4.7,0.11,0.11,-0.12,-0.98
-0.59,-5.15,-0.34,-0.02,-0.18,-1.23
0.19,-5.31,-0.61,-0.22,-0.29,-1.58
-0.45,-4.7,0.06,-0.36,-0.45,-1.86
0.74,-4.64,-0.48,-0.22,-0.54,-2.03
0.91,-4.3,-0.59,-0.36,-0.81,-2.37
1.4,-3.22,-1.02,-0.27,-0.97,-2.25
3.21,-3.27,-2.31,-0.19,-1.56,-2.29
5.32,-1.64,-3.77,-0.53,-1.61,-2.67
5.1,0.24,-4.35,-0.56,-1.49,-3.05
6.42,0.73,-5.73,-0.37,-1.89,-2.78
6.25,2.32,-6.15,-0.27,-1.95,-2.67
6.8,3.43,-8.13,-0.06,-2.29,-2.67
6.29,4.9,-7.76,-0.11,-2.06,-2.65
5.62,6.77,-9.83,0.09,-2.44,-2.32
5.94,6.09,-10.34,-0.6,-1.99,-2.43
4.35,7.32,-11.45,0.04,-2.1,-1.94
2.92,7.27,-10.86,-0.27,-1.75,-2.04
4.05,4.27,-8.52,0.64,-2.48,-3.14
3.69,8.06,-11.14,0.5,-3.21,-2.97
2.48,7.52,-12.36,0.93,-2.79,-2.94
2.17,8.82,-12.79,0.19,-2.42,-1.83
0.08,9.27,-15.15,0.77,-2.48,-1.84
0.16,8.85,-14.9,-0.14,-1.72,-1.28
-0.72,9.19,-14.97,0.26,-1.65,-1.11
-1.36,8.18,-14.5,0.42,-1.31,-1.09
-2.25,8.8,-14.83,0.44,-1.64,-1.13
-2.35,7.63,-14.38,0.42,-1.26,-0.99
-10.73,-15.3,-6.35,0.42,-3.78,1.78
3.84,-4.17,-6.41,-0.06,-1.99,-0.14
0.64,-6.36,-0.78,0.42,-0.32,-0.32
-1.07,-5.33,-1.68,0.1,0.15,-0.31
-3.59,-8.76,-0.54,-0.27,0.34,-0.78
-3.03,-7.79,-1.21,0.08,-0.09,-1.02
-1.99,-7.59,-1.51,-0.16,-0.01,-1.6
-0.76,-6.79,-1.74,-0.01,-0.02,-1.71
-1.36,-6.18,-1.74,-0.12,-0.04,-2.11
0.21,-6.48,-0.96,-0.23,-0.15,-2.25
5.09,-2.01,-2.15,-0.64,-0.54,-2.25
6.75,-2.26,-4.66,-0.26,-0.69,-2.27
6.48,-0.88,-3.77,-0.21,-0.92,-2.19
7.57,-0.66,-4.58,-0.23,-0.72,-2.07
7.46,0.33,-4.66,-0.06,-0.92,-2.08
8.17,1.54,-5.39,-0.05,-0.57,-1.95
6.62,0.82,-4.31,-0.02,-0.64,-1.77
5.72,1.81,-4.78,0.41,-0.94,-2.23
6.33,2.92,-5.68,0.2,-1.31,-2.16
5.61,4.36,-7.0,0.34,-1.27,-2.35
-20.43,17.81,-10.35,1.13,4.34,4.38
-20.43,4.86,1.56,-2.84,4.34,4.38
-20.43,-19.28,4.43,-0.66,-0.2,3.71
-6.03,-8.13,-4.79,-0.52,-1.41,1.26
0.51,-3.85,-0.39,0.0,0.0,0.8
-1.39,-3.83,1.06,-0.12,-0.27,0.7
-2.69,-5.94,1.36,-0.43,-0.29,0.09
-0.47,-4.55,-1.37,-0.02,-0.7,0.05
0.23,-3.56,-1.75,-0.37,-0.18,-0.09
-0.48,-5.02,-0.16,-0.25,-0.07,0.08
-0.02,-6.78,-1.43,-0.17,0.26,-1.63
1.17,-5.96,-1.72,-0.07,0.25,-1.61
1.77,-5.76,-1.62,-0.21,0.24,-1.65
2.25,-6.52,-2.16,-0.36,0.55,-1.63
1.37,-6.81,-0.72,-0.26,0.31,-1.71
3.06,-5.89,-2.18,-0.08,0.18,-1.59
2.22,-5.79,-1.5,-0.19,0.31,-1.49
1.33,-6.32,-0.83,-0.22,-0.15,-1.75
1.87,-6.2,-1.24,-0.07,-0.64,-2.0
2.09,-4.74,-1.58,-0.07,-0.93,-2.42
2.42,-5.21,-1.12,0.03,-0.06,-0.04
2.67,-5.04,-1.23,0.03,-0.07,-0.05
2.5,-5.23,-1.11,0.01,-0.06,-0.07
2.8,-5.2,-1.08,0.0,-0.12,-0.1
2.79,-5.12,-0.99,-0.01,-0.11,-0.12
2.99,-5.15,-0.94,-0.09,-0.11,-0.17
2.98,-5.21,-1.25,-0.15,-0.11,-0.21
3.06,-4.99,-1.06,-0.19,-0.07,-0.24
3.15,-5.21,-1.24,-0.26,-0.01,-0.3
2.95,-5.21,-1.3,-0.31,0.0,-0.35
2.67,-4.15,-0.81,0.01,-0.03,-0.34
3.26,-4.11,-0.86,-0.15,-0.02,-0.18
2.94,-4.07,-0.41,-0.16,0.04,0.02
2.26,-4.33,-0.68,-0.27,0.02,-0.01
1.83,-4.67,-0.92,-0.34,-0.04,-0.15
1.96,-5.61,-0.89,-0.38,-0.02,-0.25
2.11,-5.4,-0.64,-0.18,-0.19,-0.39
2.32,-5.28,-1.09,-0.12,-0.29,-0.64
2.18,-4.76,-1.26,-0.11,-0.39,-0.93
1.99,-4.48,-0.99,-0.22,-0.54,-1.21
1.09,-5.54,-0.94,0.09,0.05,-0.11
1.28,-5.78,-0.75,0.04,-0.01,-0.19
1.57,-5.6,-0.83,0.0,-0.02,-0.24
1.79,-5.69,-0.82,-0.01,0.0,-0.21
1.91,-5.48,-1.14,-0.03,0.02,-0.13
1.77,-5.75,-0.77,-0.01,0.02,-0.07
1.42,-4.22,-0.57,0.3,0.03,0.01
1.4,-6.13,-1.16,-0.08,-0.03,-0.04
1.24,-5.92,-1.13,0.01,-0.01,-0.22
1.28,-5.48,-0.85,-0.04,-0.04,-0.31
2.74,-4.8,-0.56,-0.09,0.01,-0.66
3.0,-4.51,-1.45,0.01,0.02,-0.51
2.25,-4.65,-0.75,-0.06,0.14,-0.37
2.36,-4.65,-0.69,0.05,0.07,-0.31
1.94,-4.84,-0.55,-0.09,0.14,-0.27
1.95,-4.95,-0.41,-0.02,0.14,-0.31
1.9,-4.27,-0.75,-0.04,0.21,-0.23
1.65,-4.67,-0.38,-0.04,0.14,-0.27
1.74,-4.3,-0.83,-0.06,0.15,-0.21
1.64,-4.73,-0.45,-0.04,0.09,-0.21
2.91,-4.3,-1.12,-0.12,-0.04,-1.45
3.18,-3.08,-1.16,-0.14,0.02,-1.36
3.53,-3.8,-0.5,-0.3,0.04,-1.26
3.79,-3.04,-0.9,-0.08,-0.27,-1.2
4.17,-2.94,-1.0,-0.27,-0.23,-1.17
4.79,-2.49,-1.34,-0.12,-0.23,-1.07
4.73,-2.72,-1.41,-0.38,-0.11,-0.94
4.86,-3.01,-1.58,-0.14,-0.23,-0.92
4.71,-2.61,-1.51,-0.28,-0.06,-0.96
4.34,-2.86,-1.3,-0.16,-0.08,-1.04
2.42,6.16,-7.42,0.74,-2.18,-2.59
2.67,9.31,-9.38,0.57,-2.12,-1.96
0.5,8.9,-9.6,1.16,-2.07,-2.3
1.4,9.47,-11.02,0.35,-1.71,-1.27
-0.33,8.41,-10.85,0.94,-1.76,-1.6
0.18,9.19,-12.15,1.0,-1.51,-1.14
-1.06,8.66,-12.31,0.74,-1.14,-1.11
-1.41,8.52,-12.8,0.78,-1.04,-0.88
-1.88,7.78,-13.11,0.43,-0.98,-0.71
-2.33,7.65,-12.79,0.85,-1.01,-0.54
0.02,-2.38,-1.15,-0.05,-0.57,-0.25
-0.02,-3.08,-0.91,-0.28,-0.24,-0.51
0.17,-4.72,-0.66,-0.23,-0.2,-0.86
-0.06,-4.97,-0.46,-0.19,-0.25,-1.15
1.07,-3.95,-0.78,-0.23,-0.34,-1.4
0.34,-4.02,-0.07,-0.34,0.01,-1.68
-0.74,-4.07,-0.18,-0.16,-0.09,-2.08
-0.16,-4.76,-0.14,-0.09,-0.47,-2.39
1.72,-2.79,-0.61,0.11,-1.09,-2.56
2.12,-2.0,-1.23,0.05,-1.15,-2.91
2.92,-4.69,-0.93,-0.43,-0.24,-2.17
2.65,-3.71,-1.58,-0.28,-0.31,-2.42
3.32,-2.55,-1.92,-0.06,-0.79,-2.64
3.24,-1.55,-1.73,-0.32,-0.62,-2.89
4.24,-1.77,-2.65,0.14,-1.04,-2.96
3.67,0.71,-3.31,-0.12,-1.06,-3.28
3.83,0.78,-3.86,0.63,-1.14,-3.48
2.67,4.21,-4.54,1.47,-1.97,-3.35
2.29,7.56,-7.53,1.47,-2.29,-2.73
1.82,6.01,-8.06,0.94,-2.13,-3.19
3.99,7.08,-10.08,0.1,-1.46,-1.11
4.02,7.64,-10.65,0.05,-1.49,-1.14
2.88,7.9,-10.77,0.21,-1.28,-0.88
3.05,8.01,-10.84,-0.03,-1.32,-0.92
2.28,8.4,-11.55,-0.02,-1.17,-0.83
1.9,7.75,-11.42,-0.24,-0.83,-0.78
1.41,8.75,-11.91,-0.02,-1.05,-0.93
