acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
7.78,-0.88,-3.94,-0.03,-0.13,-0.35
8.66,-1.9,-4.16,-0.04,0.08,-0.42
7.7,-1.2,-3.88,-0.3,0.11,-0.09
7.94,-2.23,-4.14,-0.21,0.13,-0.02
7.41,-1.91,-3.91,-0.14,-0.26,-0.03
6.53,-2.54,-4.15,0.05,-0.24,-0.23
6.65,-2.71,-4.59,0.22,-0.25,-0.58
7.53,-1.49,-3.76,0.23,-0.22,-0.79
7.85,-0.16,-3.72,-0.28,-0.24,-0.77
7.97,-1.21,-3.64,-0.65,-0.25,-0.65
6.9,-5.79,-5.64,0.01,0.03,-0.65
6.82,-5.27,-5.47,-0.21,-0.14,-0.73
7.07,-5.14,-5.77,-0.29,-0.15,-0.91
6.47,-4.94,-5.33,-0.45,-0.1,-1.18
6.79,-4.27,-6.03,-0.18,-0.3,-1.65
6.76,-3.15,-5.39,-0.9,-0.11,-1.92
6.69,-1.37,-5.6,-0.86,-0.25,-2.36
6.88,-1.9,-5.45,-1.31,-0.45,-2.68
6.29,1.75,-5.86,-1.6,-0.57,-3.02
7.24,2.93,-6.69,-1.5,-0.95,-3.3
4.32,4.11,-6.17,-0.36,-0.71,-3.33
4.27,7.51,-7.01,-1.06,-0.84,-3.62
1.78,5.5,-6.78,0.1,-1.02,-3.69
1.37,8.91,-6.41,-0.78,-0.97,-3.44
-0.49,11.46,-7.24,1.74,-1.65,-3.29
-0.99,9.15,-7.5,-0.87,-1.24,-3.02
-2.73,13.6,-8.15,1.5,-1.06,-2.85
-3.81,9.91,-8.24,-0.62,-1.23,-2.61
-4.74,7.65,-8.01,1.15,-1.21,-2.78
-6.24,8.24,-9.18,1.45,-1.22,-2.38
0.37,-0.82,-4.85,0.15,0.65,4.38
1.55,-6.5,-5.58,0.09,0.34,4.38
1.17,-4.27,-4.76,0.54,0.43,3.84
0.43,-10.86,-5.22,0.55,0.42,2.17
3.5,-7.57,-4.76,-0.43,0.91,1.02
6.4,-7.49,-5.0,1.28,-0.32,0.25
7.88,-8.35,-4.75,-0.28,-0.02,0.61
6.98,-7.83,-5.87,-0.25,-0.02,0.53
7.39,-8.67,-6.36,-0.31,-0.07,0.6
6.59,-8.62,-6.15,-0.24,0.12,0.44
7.31,-8.2,-6.73,-0.17,-0.19,0.13
5.58,-7.36,-6.71,0.11,-0.08,-0.18
6.69,-8.38,-6.83,-0.05,-0.4,-0.26
