acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-9.03,10.22,-9.12,1.44,-1.21,-3.7
-11.72,9.54,-11.46,1.51,-1.46,-3.52
-9.5,7.88,-9.49,1.35,-1.37,-2.8
-8.96,7.35,-9.48,1.36,-0.89,-1.95
-8.53,5.75,-8.78,0.78,-0.55,-1.46
-8.65,5.59,-8.54,0.91,-0.51,-1.09
-9.12,4.95,-8.49,0.97,-0.44,-0.83
-9.01,4.81,-8.26,0.72,-0.3,-0.47
-8.86,3.63,-7.96,0.42,-0.21,-0.21
-8.56,2.94,-7.18,0.26,-0.17,-0.07
0.44,-2.8,-2.51,-0.92,-0.04,-4.34
0.19,-1.35,-2.26,-1.46,-0.2,-4.34
0.72,1.23,-2.68,-1.29,-0.16,-4.34
0.88,4.49,-3.99,-1.39,-0.37,-4.34
-0.63,6.69,-4.59,-1.01,-0.42,-4.34
-0.82,8.73,-4.68,-0.54,-0.44,-4.34
-3.61,9.62,-5.2,0.44,-1.03,-4.34
-4.53,12.39,-6.89,0.28,-1.05,-4.34
-6.36,12.56,-6.73,1.18,-1.18,-4.34
-8.07,11.24,-8.79,1.19,-1.46,-4.34
-3.06,-9.91,-4.66,0.33,0.1,-3.33
-5.43,-7.71,-4.04,0.56,0.24,-3.79
-3.68,-5.64,-2.8,0.58,0.45,-4.33
-2.42,-4.38,-2.38,-0.08,0.11,-4.34
-2.64,-3.35,-2.63,-0.08,0.0,-4.34
-2.59,-1.27,-2.04,0.26,-0.57,-4.34
-2.47,3.26,-3.79,0.13,-1.21,-4.34
-2.39,7.97,-4.87,0.24,-1.9,-4.34
-2.09,9.66,-4.65,-0.05,-1.75,-4.34
-2.81,11.95,-7.19,0.13,-2.45,-4.34
-0.08,-0.34,-0.23,-0.62,-0.6,-4.34
-1.32,2.7,-2.11,-1.1,-0.81,-4.34
-0.64,5.77,-2.83,-0.84,-1.1,-4.34
-1.18,7.69,-4.73,-0.25,-1.73,-4.34
-1.75,9.96,-4.55,-0.58,-1.5,-4.34
-2.79,11.29,-7.75,0.49,-2.24,-4.34
-3.33,11.51,-8.1,0.23,-1.94,-4.3
-3.41,13.68,-9.18,0.4,-1.71,-4.34
-6.08,11.36,-10.04,0.36,-1.63,-3.71
-6.09,11.42,-9.91,0.85,-1.49,-3.71
-5.56,11.17,-2.4,-0.45,-0.9,-4.34
-6.57,11.9,-3.78,-0.13,-1.99,-4.34
-5.19,16.06,-5.5,-0.37,-1.72,-4.34
-6.02,16.55,-8.58,-0.07,-2.03,-4.34
-7.38,13.35,-8.24,0.4,-1.55,-4.34
-6.06,14.92,-9.99,-0.09,-1.28,-4.34
-7.06,11.88,-8.93,1.0,-1.18,-4.22
-8.02,9.27,-9.76,1.36,-0.99,-3.41
-9.04,9.89,-9.39,2.14,-1.09,-2.81
-8.78,7.39,-10.36,1.94,-1.32,-2.79
1.5,8.14,-4.81,-0.44,-0.39,-4.34
-0.33,9.08,-5.86,-0.51,-0.51,-4.34
-2.22,9.65,-6.83,0.85,-0.57,-4.33
-3.7,10.04,-7.61,0.75,-1.0,-4.1
-4.26,11.25,-7.34,0.68,-0.92,-3.92
-5.6,11.96,-7.88,0.38,-0.72,-4.28
-7.99,9.85,-8.51,0.68,-0.99,-4.03
-8.28,8.06,-7.78,0.65,-1.44,-3.83
-9.44,7.67,-8.46,1.26,-1.22,-3.8
-10.22,7.48,-8.91,1.59,-0.71,-3.46
-6.97,9.86,-9.5,0.33,-0.67,-3.36
-9.57,7.07,-9.38,0.89,-0.34,-2.62
-9.24,5.86,-8.6,1.2,-0.5,-2.13
-9.87,5.16,-9.28,2.13,-0.63,-1.79
-9.23,5.98,-8.5,1.7,-0.53,-1.36
-8.99,4.85,-8.8,0.94,-0.38,-0.83
-9.21,4.12,-8.08,0.77,-0.23,-0.39
-8.97,4.07,-8.02,0.45,-0.2,-0.31
-8.85,2.97,-7.76,0.33,-0.17,-0.13
-8.96,2.77,-7.68,0.18,-0.09,-0.03
-6.13,12.79,-10.21,0.89,-1.52,-3.62
-6.65,10.97,-8.67,0.93,-1.16,-3.0
-6.94,10.72,-9.17,0.87,-1.23,-2.89
-8.03,7.05,-8.67,1.02,-1.11,-2.42
-7.79,7.51,-9.25,1.17,-0.97,-2.33
-8.06,6.14,-8.81,0.7,-0.71,-2.34
-9.25,4.79,-8.51,1.06,-0.49,-2.1
-8.97,5.31,-8.11,1.33,-0.65,-1.81
-9.12,4.09,-8.23,1.11,-0.57,-1.29
-9.07,3.57,-7.43,0.51,-0.5,-0.97
-5.18,14.48,-7.99,-0.13,-2.14,-4.34
-7.57,11.65,-9.46,0.41,-2.07,-4.34
-8.09,13.34,-10.11,0.58,-1.28,-4.34
-9.61,11.8,-11.04,0.92,-1.43,-4.18
-9.33,11.5,-10.61,1.04,-1.3,-3.43
-9.71,8.7,-11.41,1.22,-1.01,-3.07
-9.94,8.73,-10.35,1.39,-1.28,-2.75
-10.23,5.77,-10.26,1.64,-1.12,-2.44
-9.86,6.21,-10.05,2.55,-1.21,-1.96
-9.71,5.71,-9.55,2.07,-0.88,-1.72
-0.2,11.36,-7.85,-1.18,-1.72,-4.34
-2.52,12.87,-8.35,-0.29,-1.81,-4.34
-3.33,11.6,-9.02,-0.39,-1.73,-4.34
-5.54,14.2,-9.55,0.16,-1.74,-4.34
-5.93,12.01,-8.67,0.46,-1.28,-3.94
-8.7,10.66,-10.63,1.03,-1.42,-3.34
-7.02,10.56,-9.88,0.23,-1.52,-3.04
-8.24,7.01,-9.58,0.49,-1.15,-2.79
-8.33,7.99,-8.85,0.86,-1.07,-2.64
-8.73,6.92,-9.04,0.67,-0.92,-2.34
-1.46,10.37,-6.77,-0.75,-2.42,-4.34
-1.95,12.94,-9.23,-0.91,-2.77,-4.34
-2.69,11.05,-8.7,-0.78,-2.35,-4.34
-4.13,14.83,-10.53,-0.15,-2.7,-4.34
-5.97,11.81,-10.53,0.61,-2.84,-4.18
-5.82,13.47,-12.01,0.31,-2.84,-3.6
-6.53,11.01,-10.4,0.77,-2.71,-3.28
-7.88,10.0,-11.05,-0.55,-1.97,-2.96
-7.8,7.16,-10.92,0.68,-1.46,-3.06
-8.43,8.38,-9.57,0.75,-1.13,-2.53
-2.46,8.79,-5.87,-1.66,-1.84,-4.34
