acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-8.18,5.71,-8.32,0.41,-0.4,-0.65
-8.58,5.27,-8.79,0.49,-0.31,-0.32
-8.45,4.19,-8.03,0.0,-0.18,-0.21
-8.12,2.83,-7.25,-0.12,-0.18,-0.06
-8.47,2.73,-7.02,-0.01,-0.22,-0.03
-8.55,2.66,-7.06,0.02,-0.17,0.01
-8.27,2.61,-7.0,0.01,0.0,0.06
-8.63,2.66,-6.85,-0.08,-0.05,-0.03
-8.2,2.82,-7.01,-0.04,0.02,0.02
-8.7,2.68,-6.71,0.01,-0.03,-0.02
-3.19,9.42,-10.97,-1.03,-3.24,-4.34
-5.78,17.46,-12.23,0.33,-3.78,-4.34
-5.92,13.46,-13.58,-1.17,-2.64,-4.34
-7.37,13.55,-12.63,0.66,-1.58,-3.77
-8.64,13.52,-13.22,1.11,-3.49,-4.34
-7.86,8.17,-12.54,1.1,-3.19,-2.53
-8.37,8.01,-12.82,1.4,-2.35,-2.46
-9.72,6.89,-11.58,0.76,-1.66,-2.58
-9.33,8.2,-11.33,0.5,-1.53,-2.25
-9.67,6.26,-9.62,0.48,-1.07,-1.5
-4.61,8.55,-7.16,-1.02,-4.05,-4.34
-4.43,12.71,-8.94,-0.94,-3.75,-4.34
-2.78,15.52,-12.38,-1.27,-3.75,-4.04
-6.36,12.03,-11.89,0.1,-3.95,-4.34
-4.13,14.83,-14.1,-0.94,-3.32,-3.05
-4.69,13.68,-13.4,-0.51,-2.87,-3.69
-8.36,11.52,-12.95,0.57,-3.3,-3.1
-5.79,11.51,-13.34,0.12,-3.12,-3.38
-7.22,9.06,-12.09,0.56,-2.58,-3.25
-6.89,9.21,-11.95,0.74,-1.52,-2.65
-2.96,10.79,-8.92,-1.34,-3.81,-4.34
-3.54,10.41,-10.17,-0.21,-3.45,-4.34
-1.45,13.8,-11.21,-1.14,-3.5,-3.28
-5.53,10.83,-10.79,-0.47,-3.51,-4.3
-6.14,12.89,-12.81,0.33,-3.33,-3.07
-4.97,11.76,-12.61,-0.89,-3.14,-3.48
-6.24,11.93,-12.66,-2.02,-1.72,-2.39
-5.72,7.4,-8.96,-0.2,-0.81,-3.49
-7.25,9.36,-9.51,0.43,-0.92,-2.29
-6.94,8.07,-9.4,0.61,-1.03,-2.85
-4.23,8.92,-11.07,-0.7,-3.77,-4.34
-0.58,10.24,-11.69,-1.55,-3.1,-3.81
-4.16,14.04,-13.62,-0.23,-3.39,-4.14
-4.79,10.13,-13.19,-0.38,-3.05,-3.9
-4.73,13.73,-14.15,-0.63,-2.73,-3.43
-6.32,12.71,-14.83,0.0,-2.35,-3.28
-7.82,9.75,-12.94,0.4,-2.12,-2.7
-7.09,10.94,-14.04,1.86,-2.75,-2.71
-7.46,8.57,-12.56,0.74,-1.72,-1.92
-7.78,7.31,-11.9,0.02,-1.93,-2.27
-3.27,12.29,-9.78,-0.93,-3.4,-4.14
-5.51,13.27,-11.65,-0.82,-3.53,-4.34
-6.73,13.38,-12.68,-0.63,-2.97,-4.34
-5.49,13.08,-11.92,-0.6,-2.88,-3.99
-7.47,13.33,-11.52,-0.39,-2.13,-4.34
-7.1,11.51,-11.6,-1.46,-1.51,-3.59
-8.86,8.52,-9.25,-0.64,-0.54,-3.27
-8.93,6.16,-9.07,0.47,-0.45,-2.81
-9.92,6.16,-9.7,1.87,-0.22,-2.78
-9.85,6.43,-9.85,2.58,-0.57,-1.98
-6.55,15.11,-11.36,1.48,-2.38,-3.94
-6.2,11.62,-11.17,0.47,-2.79,-3.24
-7.94,11.24,-12.32,1.21,-2.23,-2.89
-7.29,9.06,-12.77,0.7,-2.14,-2.8
-8.22,7.59,-12.31,0.75,-1.56,-2.49
-8.69,7.8,-11.83,1.63,-1.7,-2.71
-9.01,7.14,-11.25,0.76,-1.05,-1.87
-8.86,5.61,-9.75,0.48,-0.7,-1.84
-9.1,5.28,-9.5,0.98,-0.92,-1.23
-8.52,4.86,-8.93,0.73,-0.58,-0.98
-7.15,13.36,-11.18,0.3,-2.05,-4.21
-6.02,12.84,-10.62,0.54,-2.28,-4.07
-6.93,8.68,-10.94,0.9,-2.07,-3.39
-7.82,10.11,-11.71,1.4,-1.6,-3.32
-9.25,7.21,-10.69,1.39,-1.37,-2.44
-8.35,7.73,-10.69,1.62,-1.3,-2.26
-9.12,6.23,-10.4,0.88,-0.73,-1.96
-8.31,5.63,-9.36,0.91,-0.5,-1.79
-9.72,4.55,-7.93,0.49,-0.66,-1.23
-8.58,4.29,-7.77,0.76,-0.54,-0.99
-6.11,11.21,-12.42,0.42,-2.61,-2.94
-6.94,10.67,-11.07,0.44,-1.2,-3.04
-6.35,10.12,-11.53,-0.19,-1.04,-3.09
-8.22,10.3,-11.69,1.36,-0.7,-3.51
-8.84,9.0,-11.23,1.35,-0.87,-2.38
-7.64,6.85,-10.37,0.96,-0.92,-2.2
-8.86,6.02,-10.98,1.52,-0.65,-1.93
-8.49,7.31,-10.31,0.84,-0.32,-1.53
-8.93,5.81,-9.46,0.67,-0.32,-0.96
-8.89,4.73,-8.31,0.28,-0.2,-0.83
-7.07,8.31,-11.46,0.51,-1.58,-2.16
-7.86,7.46,-10.48,0.23,-1.11,-2.01
-7.28,7.6,-10.12,0.11,-0.76,-1.63
-8.22,6.49,-9.73,-0.22,-0.59,-1.43
-7.88,5.09,-8.97,-0.02,-0.32,-1.53
-8.28,5.43,-8.43,-0.18,-0.12,-1.35
-8.0,3.78,-8.5,-0.18,0.11,-1.35
-9.28,3.44,-7.91,0.28,0.25,-1.0
-9.85,3.48,-8.09,0.33,0.06,-0.57
-9.32,3.07,-8.31,0.28,-0.36,-0.55
-0.39,10.26,-8.68,-0.5,-2.43,-4.12
-0.32,8.73,-9.71,-0.3,-2.91,-3.45
-0.85,10.0,-11.15,-0.29,-2.31,-3.51
-0.17,12.3,-12.55,-0.18,-2.06,-2.84
-3.37,9.32,-10.92,-0.25,-1.17,-3.71
-2.6,12.6,-10.59,0.42,-1.29,-2.41
-3.59,10.24,-10.51,0.65,-1.41,-2.74
-5.54,9.72,-10.96,0.71,-1.4,-2.34
-5.23,10.17,-10.11,0.57,-1.44,-1.89
-6.64,8.03,-10.61,0.41,-1.34,-1.9
0.64,11.73,-10.45,-1.33,-3.05,-3.71
-1.47,12.63,-12.32,-0.64,-3.38,-3.96
-2.59,9.37,-12.98,-0.71,-2.52,-3.86
-3.82,11.68,-11.77,0.37,-2.67,-3.49
-4.61,11.05,-12.49,-0.5,-1.54,-3.22
-7.18,10.17,-11.82,-0.29,-1.84,-2.65
-6.5,10.71,-10.88,0.29,-1.65,-2.76
-7.99,7.22,-10.94,0.4,-1.58,-2.52
-7.67,8.88,-10.44,0.8,-1.57,-2.58
-9.14,6.84,-10.84,0.24,-0.87,-1.84
-2.69,11.63,-12.66,0.17,-2.72,-3.92
-2.23,11.94,-11.23,-0.35,-2.08,-2.77
-3.08,12.09,-11.28,-0.12,-1.61,-3.02
-4.57,9.91,-11.33,-0.04,-1.69,-2.29
-4.66,11.42,-11.04,0.33,-1.24,-2.18
-5.76,8.51,-10.79,0.38,-1.56,-2.23
-6.02,9.79,-11.01,0.95,-1.62,-2.18
-6.93,7.23,-9.97,0.37,-1.31,-1.8
-7.03,7.71,-9.48,0.52,-0.99,-1.73
-7.88,5.74,-9.02,0.38,-0.94,-1.56
-1.13,12.66,-10.77,-0.26,-1.43,-2.39
-3.17,9.3,-10.31,-0.3,-1.26,-2.39
-4.25,9.76,-10.3,0.5,-1.4,-2.09
-4.88,8.77,-9.99,0.39,-1.29,-2.0
-6.11,8.53,-10.38,0.66,-1.63,-1.97
-6.23,8.57,-10.59,1.0,-1.47,-1.84
-6.5,7.66,-9.56,0.52,-1.31,-1.67
-7.61,6.13,-9.82,0.7,-1.24,-1.55
-7.82,5.63,-9.48,0.69,-1.24,-1.97
-7.9,6.56,-9.99,0.88,-0.54,-1.62
-5.3,10.23,-12.26,0.05,-1.93,-2.36
-5.92,9.83,-11.93,-0.16,-1.8,-2.62
-6.26,8.92,-11.78,0.7,-2.3,-2.34
-6.08,9.66,-11.65,0.36,-2.18,-2.42
-7.24,8.38,-12.02,-0.18,-0.71,-2.19
-8.02,7.46,-10.5,0.42,-0.51,-1.85
-8.79,5.84,-10.62,0.5,-0.74,-0.9
-7.38,5.48,-10.6,0.56,-0.81,-0.63
-8.23,4.95,-10.29,0.59,-0.61,-0.38
-8.84,4.79,-10.29,0.65,-0.43,-0.23
-1.27,13.04,-9.68,-0.6,-3.15,-4.25
-3.37,10.07,-11.74,-1.1,-2.87,-4.34
-4.01,11.47,-10.34,-0.4,-2.5,-3.86
-5.71,9.85,-10.08,-0.34,-2.44,-3.9
-7.63,13.1,-10.91,-0.27,-1.87,-3.68
-6.73,10.84,-9.08,-0.34,-0.81,-3.38
-8.6,7.75,-8.75,0.28,-0.67,-2.79
-9.22,8.13,-9.25,0.87,-0.85,-3.0
-9.74,6.72,-9.84,1.65,-1.2,-2.59
-9.31,7.64,-10.02,1.17,-1.03,-2.01
-6.32,13.38,-13.5,1.19,-3.01,-4.07
-5.56,13.79,-12.34,1.16,-2.57,-3.38
-6.32,10.4,-12.7,-0.55,-1.94,-3.08
-8.32,10.98,-11.65,0.86,-1.73,-2.35
-8.91,6.58,-10.77,0.79,-1.7,-2.24
-8.14,6.65,-11.53,0.76,-2.32,-2.22
-8.92,7.01,-11.41,0.91,-1.38,-2.66
-8.86,7.39,-11.24,0.88,-0.27,-2.41
-9.11,5.96,-9.7,0.24,-0.33,-1.58
-9.28,4.4,-8.77,0.14,-0.34,-0.98
-6.27,13.56,-9.55,0.17,-2.06,-3.2
-6.53,7.79,-10.14,-0.75,-1.42,-3.31
-8.05,11.69,-8.64,1.07,-1.18,-2.84
-6.75,8.27,-9.84,-0.12,-1.02,-2.24
-7.73,8.6,-9.09,0.31,-0.86,-1.93
-7.93,6.79,-8.65,0.35,-0.67,-2.17
-8.41,6.22,-8.33,1.36,-0.62,-2.3
-8.43,6.69,-8.44,1.68,-0.79,-1.73
-8.5,5.15,-8.45,0.81,-0.59,-1.16
-7.84,4.0,-8.07,0.49,-0.53,-1.28
-6.05,11.64,-12.9,0.86,-2.88,-3.11
-4.55,11.05,-13.94,-0.23,-1.89,-1.64
-5.27,8.99,-12.58,-1.07,-1.53,-2.6
-7.51,8.08,-10.65,0.19,-1.88,-1.95
-7.25,9.2,-12.45,0.68,-1.91,-2.68
-8.51,8.19,-11.19,0.3,-1.42,-1.97
-7.03,7.42,-10.67,0.48,-1.11,-2.19
-8.69,6.55,-9.01,-0.11,-0.86,-1.49
-7.69,5.5,-9.06,0.2,-0.77,-1.46
-8.82,5.17,-8.09,0.38,-0.63,-0.87
-2.11,8.24,-8.66,-0.53,-2.89,-4.34
-1.16,11.41,-10.94,0.39,-3.06,-3.74
-2.39,11.75,-12.11,-0.43,-2.95,-3.71
-1.88,12.18,-12.53,-0.08,-2.24,-3.3
-4.57,12.54,-11.6,0.35,-2.47,-3.15
-4.04,11.81,-11.91,-0.15,-1.86,-2.57
-4.81,11.41,-11.83,-0.12,-2.02,-2.78
-6.17,9.93,-11.35,-0.39,-1.04,-2.48
-6.86,8.17,-9.7,0.77,-1.6,-2.39
-7.88,9.24,-10.63,0.47,-1.78,-2.48
0.43,6.39,-7.81,-0.63,-2.9,-4.34
-0.21,9.61,-7.96,-1.01,-2.2,-4.19
-1.37,11.57,-11.64,-0.02,-3.08,-4.34
-1.38,11.67,-10.58,-0.72,-2.34,-3.92
-3.53,12.17,-11.82,0.64,-2.56,-3.95
-4.47,11.77,-10.97,-0.46,-2.04,-3.38
-5.3,11.95,-11.87,0.54,-2.27,-3.11
-5.85,10.35,-9.77,-0.56,-1.05,-2.74
-6.91,7.48,-10.39,0.47,-1.51,-2.74
-7.5,10.21,-9.53,-0.03,-1.6,-2.4
-3.36,13.38,-11.34,1.01,-3.38,-4.34
-4.33,14.62,-11.61,1.05,-2.48,-4.11
-5.11,12.71,-11.86,0.92,-3.29,-4.04
-7.38,12.33,-12.57,0.86,-2.48,-3.14
-6.33,11.62,-12.64,-0.11,-2.47,-3.0
-7.81,7.55,-11.24,0.08,-1.23,-2.97
-8.6,8.25,-9.8,0.2,-1.22,-2.99
-9.55,6.23,-10.72,0.23,-1.67,-2.25
-8.19,5.77,-9.89,1.31,-0.99,-1.48
-9.46,4.1,-7.85,0.85,-0.72,-0.87
-1.11,9.22,-8.41,-0.17,-1.86,-3.92
-3.28,13.03,-9.65,0.44,-1.93,-3.8
-3.33,11.54,-9.91,1.0,-2.23,-3.47
-4.92,11.74,-11.01,-0.48,-1.77,-3.5
-5.09,8.81,-8.96,1.1,-1.3,-3.5
-7.46,9.87,-11.22,1.1,-1.28,-2.85
-6.95,8.81,-10.26,0.3,-0.96,-2.91
-8.64,7.65,-9.77,0.94,-1.05,-2.66
-8.48,7.59,-10.22,0.79,-0.97,-2.44
-8.02,6.21,-9.57,0.7,-0.86,-1.55
-6.31,14.2,-12.56,-0.22,-2.57,-3.95
-7.72,9.89,-10.96,0.0,-2.07,-3.66
-8.91,10.96,-12.54,1.15,-2.48,-3.3
-7.62,10.06,-11.61,-0.41,-1.08,-2.67
-8.71,6.43,-9.94,0.35,-1.23,-2.5
-9.42,7.24,-10.0,0.39,-1.14,-2.51
-9.59,6.66,-8.67,0.35,-1.37,-2.31
-8.63,3.81,-9.83,0.32,-0.23,-2.23
-10.64,3.6,-7.49,0.88,-0.14,-1.89
-9.54,2.78,-9.06,0.72,-0.06,-1.33
-8.43,9.76,-10.11,0.26,-1.54,-2.79
-8.22,6.99,-10.73,0.95,-1.87,-3.23
-9.36,6.87,-11.21,1.07,-1.15,-2.99
-8.85,7.43,-11.06,1.15,-0.69,-2.88
-9.8,6.43,-10.02,0.87,-0.18,-1.85
-8.8,4.92,-9.07,0.5,-0.38,-1.39
-9.94,3.87,-8.84,0.82,-0.32,-1.17
-8.85,3.99,-9.04,0.39,0.1,-1.13
-9.87,2.87,-8.27,0.52,0.46,-0.7
-9.84,2.83,-8.13,0.59,0.0,0.13
-8.85,7.91,-11.06,0.64,-1.13,-2.6
-9.71,6.95,-10.6,0.53,-0.41,-2.43
-9.59,5.64,-8.93,0.72,-0.59,-1.84
-9.31,4.44,-9.04,0.68,-0.36,-1.15
-9.42,3.32,-8.31,0.46,-0.34,-0.94
-9.7,2.01,-8.08,0.43,-0.07,-0.68
-9.43,2.07,-7.98,0.43,-0.06,-0.55
-9.87,1.68,-7.85,0.37,0.0,-0.14
-9.62,1.41,-7.82,0.24,-0.01,-0.05
-9.72,1.32,-7.88,0.19,0.06,0.02
-2.59,8.7,-8.43,-1.05,-3.85,-4.34
-4.53,10.29,-10.12,-1.59,-3.2,-4.34
-6.69,10.0,-10.5,0.34,-3.83,-4.34
-6.01,13.78,-12.93,0.49,-3.54,-3.88
-6.64,12.18,-14.26,0.24,-3.37,-4.34
-8.49,13.35,-13.54,-0.33,-2.1,-3.84
-8.06,12.43,-12.49,0.87,-2.46,-3.78
-8.31,9.53,-12.29,0.46,-1.43,-3.2
-9.21,9.23,-12.23,0.72,-1.2,-3.08
