acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
9.04,-0.05,-11.5,-0.04,-0.23,-0.04
9.14,1.07,-11.73,-0.16,-0.24,-0.12
9.28,1.55,-11.41,0.15,-0.22,-0.22
9.1,1.73,-11.55,-0.07,-0.16,0.01
9.18,0.66,-12.01,0.0,-0.12,0.21
8.45,0.42,-12.28,0.06,0.0,-0.1
8.7,0.58,-11.73,-0.2,0.08,-0.2
8.69,1.58,-12.03,-0.05,0.2,-0.3
9.16,2.18,-11.48,-0.13,-0.08,-0.26
8.86,2.04,-11.33,-0.06,-0.22,-0.1
-5.97,-2.97,-9.12,-1.06,1.37,0.81
-17.22,18.07,-0.29,-0.27,2.59,-4.34
-2.47,14.1,-6.64,-0.89,0.06,-4.32
-12.63,8.17,-2.47,2.93,-1.95,2.66
4.09,3.82,-3.58,4.43,1.0,2.9
9.68,-4.66,-8.88,2.07,0.1,-0.72
18.79,-5.49,-9.91,1.34,-0.96,0.1
18.79,-6.6,-12.22,0.14,-1.2,-1.05
15.98,-10.25,-11.32,0.35,-1.92,-2.49
4.03,-5.09,-14.75,-1.22,3.9,-2.24
-2.15,-1.31,-4.84,0.06,0.71,-0.16
8.25,0.97,-9.04,1.73,-0.86,1.33
14.07,-1.39,-9.23,1.02,0.02,0.57
17.69,-3.02,-12.51,0.88,-0.95,0.08
16.35,-0.64,-12.52,1.23,0.0,-0.75
17.94,-0.12,-10.23,0.69,0.37,-1.24
12.84,1.29,-10.82,-0.61,0.71,-0.86
9.71,1.71,-10.43,-0.28,1.03,-0.26
9.58,1.98,-9.99,0.0,0.31,0.28
8.75,1.43,-9.34,0.08,-0.16,0.24
11.81,-0.95,-8.77,0.2,-0.04,1.57
16.8,-3.53,-15.12,-0.01,-1.6,0.62
18.79,-9.97,-12.08,0.87,-1.71,0.46
12.08,-2.5,-10.79,-1.67,-0.23,0.16
10.51,0.1,-13.28,-0.1,-0.18,-1.32
8.24,-0.08,-13.66,0.55,-0.68,-0.97
11.0,1.87,-11.73,0.03,-0.36,-0.4
9.38,2.35,-12.32,-0.81,-0.36,0.03
9.33,1.23,-11.53,-0.4,-0.26,0.3
9.4,2.36,-11.1,-0.17,0.11,-0.34
13.78,-2.31,-14.49,1.21,-1.59,-1.09
14.25,3.1,-15.05,-1.52,-0.7,-0.99
10.27,1.75,-16.82,-0.94,-0.45,-0.93
11.33,3.09,-14.94,0.55,-0.21,-0.47
9.48,1.81,-13.71,-0.72,0.47,0.21
8.55,2.13,-13.47,-0.45,0.42,0.36
9.5,1.97,-13.54,0.74,-0.06,-0.01
8.4,1.62,-12.6,0.43,-0.02,-0.07
8.45,2.0,-11.97,-0.03,0.2,-0.14
8.1,1.74,-12.13,-0.45,0.17,0.03
9.23,0.81,-10.67,0.01,-0.1,-0.23
8.89,0.68,-11.08,0.0,-0.39,-0.14
9.0,1.02,-11.37,0.58,-0.29,-0.21
8.75,0.96,-11.71,-0.02,-0.42,0.0
9.13,0.65,-12.03,0.0,-0.04,-0.18
8.74,1.12,-12.04,-0.09,-0.03,-0.18
9.17,1.56,-11.57,-0.04,-0.01,-0.15
8.92,1.41,-11.49,-0.09,0.0,-0.02
8.93,1.11,-11.55,0.0,-0.04,0.01
8.97,1.07,-11.64,0.02,-0.08,0.0
8.95,0.44,-11.03,-0.27,-0.35,0.17
9.34,0.58,-10.97,-0.28,-0.53,0.45
9.18,-0.78,-10.72,-0.06,-0.55,0.34
