acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
9.04,-0.05,-1.6899999999999995,-0.04,-0.23,-0.04
9.14,1.07,-1.92,-0.16,-0.24,-0.12
9.28,1.55,-1.5999999999999996,0.15,-0.22,-0.22
9.1,1.73,-1.7400000000000002,-0.07,-0.16,0.01
9.18,0.66,-2.1999999999999993,0.0,-0.12,0.21
8.45,0.42,-2.469999999999999,0.06,0.0,-0.1
8.7,0.58,-1.92,-0.2,0.08,-0.2
8.69,1.58,-2.219999999999999,-0.05,0.2,-0.3
9.16,2.18,-1.67,-0.13,-0.08,-0.26
8.86,2.04,-1.5199999999999996,-0.06,-0.22,-0.1
-5.97,-2.97,0.6900000000000013,-1.06,1.37,0.81
-17.22,18.07,9.520000000000001,-0.27,2.59,-4.34
-2.47,14.1,3.170000000000001,-0.89,0.06,-4.32
-12.63,8.17,7.34,2.93,-1.95,2.66
4.09,3.82,6.23,4.43,1.0,2.9
9.68,-4.66,0.9299999999999997,2.07,0.1,-0.72
18.79,-5.49,-0.09999999999999964,1.34,-0.96,0.1
18.79,-6.6,-2.41,0.14,-1.2,-1.05
15.98,-10.25,-1.5099999999999998,0.35,-1.92,-2.49
4.03,-5.09,-4.9399999999999995,-1.22,3.9,-2.24
-2.15,-1.31,4.970000000000001,0.06,0.71,-0.16
8.25,0.97,0.7700000000000014,1.73,-0.86,1.33
14.07,-1.39,0.5800000000000001,1.02,0.02,0.57
17.69,-3.02,-2.6999999999999993,0.88,-0.95,0.08
16.35,-0.64,-2.709999999999999,1.23,0.0,-0.75
17.94,-0.12,-0.41999999999999993,0.69,0.37,-1.24
12.84,1.29,-1.0099999999999998,-0.61,0.71,-0.86
9.71,1.71,-0.6199999999999992,-0.28,1.03,-0.26
9.58,1.98,-0.17999999999999972,0.0,0.31,0.28
8.75,1.43,0.47000000000000064,0.08,-0.16,0.24
11.81,-0.95,1.040000000000001,0.2,-0.04,1.57
16.8,-3.53,-5.309999999999999,-0.01,-1.6,0.62
18.79,-9.97,-2.2699999999999996,0.87,-1.71,0.46
12.08,-2.5,-0.9799999999999986,-1.67,-0.23,0.16
10.51,0.1,-3.469999999999999,-0.1,-0.18,-1.32
8.24,-0.08,-3.8499999999999996,0.55,-0.68,-0.97
11.0,1.87,-1.92,0.03,-0.36,-0.4
9.38,2.35,-2.51,-0.81,-0.36,0.03
9.33,1.23,-1.7199999999999989,-0.4,-0.26,0.3
9.4,2.36,-1.2899999999999991,-0.17,0.11,-0.34
13.78,-2.31,-4.68,1.21,-1.59,-1.09
14.25,3.1,-5.24,-1.52,-0.7,-0.99
10.27,1.75,-7.01,-0.94,-0.45,-0.93
11.33,3.09,-5.129999999999999,0.55,-0.21,-0.47
9.48,1.81,-3.9000000000000004,-0.72,0.47,0.21
8.55,2.13,-3.66,-0.45,0.42,0.36
9.5,1.97,-3.7299999999999986,0.74,-0.06,-0.01
8.4,1.62,-2.789999999999999,0.43,-0.02,-0.07
8.45,2.0,-2.16,-0.03,0.2,-0.14
