acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
18.79,1.98,-8.87,0.88,0.55,-1.19
18.79,3.89,-6.869999999999999,-1.13,1.23,0.99
18.54,-3.72,-5.979999999999999,-0.97,0.32,1.29
2.38,-0.25,1.33,1.92,0.29,2.24
-10.83,18.07,0.6400000000000006,-4.1,-2.89,-1.31
0.9,1.98,-0.629999999999999,-1.33,-0.9,-2.76
-3.36,5.04,1.5899999999999999,0.53,0.38,-0.33
-10.72,-0.04,0.9299999999999997,1.9,0.92,0.32
-5.33,0.42,0.4400000000000013,1.05,-0.3,1.97
10.86,-0.71,-3.41,0.03,-1.22,0.85
6.85,-4.23,-2.629999999999999,0.36,-0.09,0.75
18.79,-1.31,-2.049999999999999,2.72,-0.25,0.26
18.79,-3.5,-1.5399999999999991,0.86,-0.27,-0.67
18.79,-10.96,1.9500000000000002,1.82,1.07,0.68
7.58,2.97,0.34999999999999964,-0.95,0.26,0.37
8.46,-2.29,0.8000000000000007,-0.4,-0.23,-0.72
8.41,-1.87,0.23000000000000043,0.14,-0.35,0.11
8.97,-1.18,-0.2699999999999996,-0.2,-0.49,0.26
9.32,-0.08,-0.019999999999999574,-0.08,-0.09,-0.07
8.57,-0.79,-0.4900000000000002,0.01,0.02,-0.2
9.08,0.08,-0.629999999999999,0.31,0.5,-0.89
8.75,2.22,-0.5899999999999999,0.21,-0.12,-0.49
9.27,1.86,-0.9399999999999995,-0.04,-0.45,0.02
9.92,0.72,-0.8899999999999988,-0.61,-0.45,0.49
9.4,0.68,-1.1999999999999993,0.22,-0.07,0.22
8.57,-0.11,-1.7899999999999991,0.4,0.06,0.01
8.56,0.79,-1.299999999999999,0.27,0.16,0.12
8.95,0.69,-1.1099999999999994,0.0,0.13,0.1
9.11,0.59,-0.4499999999999993,0.07,0.23,-0.12
9.35,0.59,0.09999999999999964,0.13,0.36,-0.18
9.58,-1.44,-0.2599999999999998,-0.13,0.03,-0.16
9.98,-1.2,-0.25,-0.18,-0.05,-0.07
9.74,-0.95,-0.3200000000000003,-0.15,-0.13,-0.03
9.21,-1.01,-0.6899999999999995,-0.03,-0.16,-0.05
8.86,-1.25,-0.9699999999999989,-0.04,-0.23,0.01
9.0,-1.26,-1.0199999999999996,0.0,-0.15,0.01
9.35,-1.69,-1.2599999999999998,-0.04,-0.08,-0.11
9.46,-1.38,-1.0399999999999991,0.01,0.0,-0.18
9.39,-1.03,-0.9000000000000004,0.01,-0.04,-0.18
9.67,-1.08,-0.7899999999999991,-0.08,-0.13,-0.1
7.9,0.37,-3.0999999999999996,1.32,0.0,-0.45
7.68,-0.9,-2.9399999999999995,-0.16,0.16,0.25
8.69,-1.02,-1.8499999999999996,-1.35,0.21,0.84
9.38,-1.38,-1.2799999999999994,-0.72,0.4,0.71
9.32,-1.7,-1.9699999999999989,0.31,0.12,0.0
9.56,-1.88,-1.67,0.11,-0.21,-0.26
9.51,-1.59,-2.4000000000000004,0.19,0.01,-0.39
9.32,-1.27,-1.959999999999999,-0.25,0.29,-0.27
8.86,-1.17,-2.25,-0.22,0.25,0.0
9.3,-1.44,-1.549999999999999,-0.25,0.23,0.12
18.79,0.69,2.8400000000000007,-0.51,-0.37,1.73
18.79,-3.88,-4.35,-2.2,-0.64,0.81
18.79,-2.63,-3.9000000000000004,0.13,-0.51,1.34
17.8,-5.11,-6.85,-1.54,-0.69,0.51
8.07,-4.58,-3.969999999999999,1.06,-0.8,-0.27
-7.02,2.04,4.890000000000001,-0.35,0.93,-0.4
-5.7,6.44,0.6300000000000008,-0.33,0.88,-3.37
-1.01,2.68,3.3400000000000007,2.14,1.53,-1.54
-7.75,4.07,0.5500000000000007,1.1,0.7,0.44
-7.87,-0.78,0.3100000000000005,-1.41,-0.98,1.62
17.62,-2.84,-5.91,-1.37,1.34,-0.68
-1.23,-3.92,-1.0599999999999987,1.07,1.18,-1.33
-20.43,7.01,4.790000000000001,1.22,0.43,-2.02
1.5,6.77,5.24,1.38,-0.31,-2.37
-3.23,-2.05,-1.2799999999999994,1.31,-0.16,1.27
-7.23,2.36,0.75,-0.1,0.38,2.15
-4.04,-4.35,1.0899999999999999,0.09,1.5,0.26
