acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
9.43,-0.76,0.5200000000000014,-0.01,-0.15,0.17
9.54,-0.39,0.030000000000001137,0.21,0.0,0.28
9.79,-0.1,0.14000000000000057,-0.03,0.03,0.13
9.7,-0.96,0.21000000000000085,-0.1,0.22,0.09
9.35,-1.14,0.33999999999999986,-0.3,0.11,0.19
9.13,-1.23,0.370000000000001,-0.04,-0.07,0.13
8.97,-1.28,0.4800000000000004,-0.09,-0.23,0.03
9.17,-1.22,0.33000000000000007,0.0,-0.09,-0.03
9.14,-1.06,0.07000000000000028,-0.11,0.02,-0.04
9.54,-1.29,0.030000000000001137,-0.18,0.0,-0.04
5.1,7.76,6.82,2.5,-4.38,0.03
-6.62,-4.55,-0.4900000000000002,4.1,1.66,4.38
-12.93,-0.5,0.7700000000000014,-2.77,2.87,2.45
-2.39,-0.55,3.7200000000000006,-1.31,2.04,1.35
18.12,-10.54,0.09999999999999964,0.91,0.21,-0.25
18.79,14.47,0.4299999999999997,2.76,-4.38,-0.84
18.79,-9.28,7.380000000000001,1.84,-1.19,-1.71
14.78,-2.48,1.9300000000000006,0.81,-1.07,-0.21
8.41,3.26,-0.8699999999999992,-0.49,-0.52,0.04
9.07,0.33,0.030000000000001137,-0.59,0.09,0.58
-7.11,-5.65,-2.3499999999999996,-1.7,2.01,1.72
6.35,-4.2,1.17,0.4,0.54,0.61
5.47,-2.63,1.8600000000000003,2.14,-0.48,-2.04
18.79,-0.55,7.24,0.19,1.8,-3.31
18.79,-1.84,6.050000000000001,1.2,-0.72,0.22
15.38,-8.24,2.0300000000000002,0.23,0.38,0.48
8.71,-0.28,0.5400000000000009,0.66,0.47,-0.31
6.88,-2.16,-0.9399999999999995,0.46,-0.06,-0.32
8.6,-1.06,-0.5299999999999994,0.36,-0.16,-0.33
9.04,-0.51,-0.1999999999999993,-0.12,-0.18,-0.24
-0.16,-3.91,-1.1399999999999988,-0.62,1.7,0.66
8.18,-3.92,1.67,-0.93,0.45,0.39
18.79,18.07,-4.869999999999999,3.68,-0.89,-0.2
18.79,-6.07,5.08,1.38,-1.22,-0.94
18.79,-4.64,2.3600000000000003,0.67,-0.03,-1.28
13.43,-2.23,1.3200000000000003,1.76,-0.04,0.07
8.36,-1.45,-0.34999999999999964,0.68,-0.18,-0.03
7.6,-0.08,-0.8399999999999999,0.06,0.16,-0.04
7.87,-0.66,-0.41000000000000014,-0.34,0.25,-0.08
8.93,-0.38,-0.28999999999999915,-0.6,-0.08,-0.05
18.79,-4.89,5.390000000000001,-1.45,-0.62,-2.43
