acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
9.12,-1.36,1.8500000000000005,-0.1,-0.01,-0.03
9.28,-1.04,2.2,-0.24,-0.03,-0.01
9.18,-1.41,1.7400000000000002,-0.14,0.02,-0.12
9.36,-1.1,1.6400000000000006,-0.17,-0.02,-0.11
9.54,-1.18,1.75,-0.23,0.06,-0.08
9.41,-1.25,1.790000000000001,0.05,-0.06,0.02
9.81,-1.08,1.8500000000000005,-0.02,0.0,-0.02
9.47,-0.71,1.8800000000000008,-0.08,0.11,-0.08
9.5,-0.39,2.2200000000000006,-0.24,0.17,0.01
8.98,-0.9,2.6000000000000005,-0.31,0.22,0.0
9.21,2.01,0.4400000000000013,0.06,-0.18,-0.18
8.75,2.03,0.33000000000000007,-0.12,-0.22,-0.25
8.76,1.78,0.5600000000000005,-0.06,-0.09,-0.21
8.98,1.9,0.6600000000000001,-0.02,-0.12,-0.43
9.17,2.89,0.7599999999999998,-0.16,-0.26,-0.47
8.62,2.83,0.7800000000000011,0.06,-0.15,-0.45
8.29,3.06,0.5600000000000005,-0.05,-0.27,-0.32
8.0,2.88,0.620000000000001,-0.15,-0.05,-0.18
7.39,3.06,-0.16999999999999993,-0.06,-0.09,-0.18
7.74,3.34,-0.10999999999999943,-0.16,0.02,-0.25
9.25,-11.23,0.11000000000000121,0.94,1.74,0.35
-2.01,-1.93,3.8600000000000003,-3.11,0.69,-2.03
-5.13,5.64,3.16,-0.53,1.29,-4.32
2.14,4.21,-1.5999999999999996,-1.23,-0.69,-1.4
6.47,-1.65,3.2600000000000007,1.91,-0.17,0.9
0.32,-2.03,4.53,1.33,1.0,1.04
3.68,1.78,6.430000000000001,0.26,-0.37,0.78
6.3,1.59,5.790000000000001,2.26,-1.3,0.75
7.51,0.42,5.420000000000001,0.0,-1.59,0.64
10.94,-0.28,0.5099999999999998,0.86,-1.42,0.93
9.2,-17.92,4.460000000000001,-0.02,-0.25,1.03
-3.08,0.49,1.5700000000000003,-1.6,-0.91,-3.5
-2.11,14.12,1.1799999999999997,-0.75,-0.84,-3.26
5.27,8.0,1.040000000000001,-1.24,0.22,-0.6
3.68,-0.03,1.8100000000000005,-0.16,0.65,1.62
4.93,-2.69,2.040000000000001,-0.8,0.68,1.56
1.85,-1.12,3.9800000000000004,-0.27,-0.05,1.49
-0.17,2.36,2.9800000000000004,-0.4,-0.12,0.38
5.2,-2.44,-1.1600000000000001,0.85,-1.28,0.71
12.0,-10.88,-0.9299999999999997,0.14,-0.46,1.0
8.8,-4.36,1.9100000000000001,0.0,-0.12,-0.09
8.98,-4.2,1.6900000000000013,0.01,-0.07,-0.02
8.73,-4.85,1.6799999999999997,-0.06,-0.01,-0.06
8.61,-4.6,1.7700000000000014,0.03,0.01,-0.14
8.82,-4.53,1.8100000000000005,0.0,0.0,-0.2
8.89,-4.14,1.6799999999999997,0.11,-0.02,-0.27
9.35,-3.43,1.8500000000000005,0.11,-0.11,-0.13
9.23,-3.52,1.7700000000000014,-0.05,0.04,-0.06
9.04,-3.91,1.8200000000000003,-0.02,-0.04,0.07
9.08,-4.16,1.700000000000001,-0.04,0.01,0.02
7.42,-2.63,2.1900000000000004,0.02,-0.58,0.62
9.45,-3.17,2.2600000000000007,0.34,-0.55,0.24
8.98,-2.58,2.3600000000000003,0.07,-0.41,0.1
9.13,-2.95,2.170000000000001,-0.04,0.18,0.1
8.62,-4.17,1.5300000000000011,-0.37,0.1,0.17
8.78,-4.02,1.3900000000000006,-0.04,0.03,-0.03
8.95,-3.63,1.9400000000000004,-0.04,-0.02,-0.01
8.83,-3.6,2.130000000000001,0.07,-0.06,0.02
9.06,-4.09,2.08,-0.02,0.07,-0.01
9.0,-3.64,1.9000000000000004,0.04,0.04,-0.07
10.78,-2.51,4.430000000000001,-0.05,0.48,-1.54
9.89,1.15,1.4800000000000004,-0.16,0.26,0.08
6.64,-3.88,1.9000000000000004,-0.28,0.08,0.09
8.15,-4.52,2.6400000000000006,-0.16,-0.44,-0.12
8.66,-4.49,2.420000000000001,-0.11,-0.16,-0.41
9.59,-3.61,2.83,-0.06,-0.2,-0.3
9.35,-4.24,2.2800000000000002,-0.44,0.3,-0.18
9.08,-4.23,1.620000000000001,-0.32,0.12,-0.09
8.96,-4.18,2.0200000000000005,-0.05,-0.05,0.01
8.83,-3.73,2.3900000000000006,0.09,-0.13,0.03
-1.64,4.88,-1.1199999999999992,1.02,-0.22,2.35
-7.66,2.68,-0.5099999999999998,-1.37,1.1,2.77
0.92,-6.15,-1.9900000000000002,0.68,-0.24,1.62
11.73,-10.09,-1.209999999999999,0.68,-1.02,0.81
18.79,-21.15,2.4700000000000006,1.36,0.43,0.54
17.05,-17.24,6.83,0.91,1.68,-0.12
11.27,-0.28,1.75,1.54,1.19,-2.11
9.05,-2.64,2.8000000000000007,-1.18,1.05,0.85
6.23,-7.68,3.3200000000000003,-0.07,0.67,-0.05
7.24,-6.32,3.960000000000001,0.65,-0.95,-0.08
6.83,-4.82,-0.9699999999999989,1.19,-1.04,-0.14
18.79,-4.37,-0.8099999999999987,-0.25,-1.42,-0.2
18.79,-21.15,3.83,1.93,-0.57,1.38
15.73,-11.37,6.870000000000001,-0.69,0.45,-2.2
7.94,1.72,4.750000000000001,1.32,0.7,-1.18
9.1,-3.17,2.2700000000000005,-1.18,0.09,0.36
6.25,-4.15,2.2800000000000002,0.42,-0.2,-0.13
8.8,-5.15,2.1000000000000005,-0.37,-0.7,0.23
8.12,-6.0,3.9000000000000004,-0.22,-0.04,-0.08
8.85,-4.76,2.3100000000000005,-0.77,0.11,0.27
16.74,-7.95,0.4299999999999997,-0.05,-1.06,0.13
18.79,-21.15,1.200000000000001,3.81,-0.33,0.24
11.86,-10.35,11.31,0.36,0.37,-1.53
7.06,2.38,2.2600000000000007,1.73,-0.03,-0.01
4.6,-5.09,3.9800000000000004,-0.52,-0.14,0.38
5.94,-6.4,2.0500000000000007,0.1,-0.54,0.09
9.55,-4.69,2.880000000000001,0.33,-0.66,-0.23
10.06,-2.26,3.2200000000000006,-0.04,0.0,-0.59
8.96,-2.83,3.41,-0.55,0.12,0.28
8.95,-5.45,2.380000000000001,-0.43,0.06,0.16
-4.44,2.24,2.380000000000001,-1.47,0.34,2.3
2.08,-7.39,4.94,1.24,-0.37,1.31
13.68,-10.66,-3.1500000000000004,1.04,-2.3,-0.47
18.79,-21.15,3.5500000000000007,0.03,-0.25,1.73
17.37,-15.5,7.040000000000001,0.66,0.27,-2.99
11.57,2.03,4.4,0.19,1.03,-1.44
7.91,-3.77,1.370000000000001,-0.53,0.63,0.52
5.61,-5.74,2.4400000000000004,0.32,-0.07,0.23
7.39,-5.24,2.1100000000000003,-0.16,-0.2,-0.25
8.97,-4.32,2.5500000000000007,0.38,-0.21,-0.48
0.46,11.33,-1.08,-4.02,0.52,-2.84
2.12,2.25,-1.0199999999999996,1.64,-0.58,2.1
-5.45,-1.27,1.6799999999999997,0.63,0.52,2.9
