acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
18.79,-0.16,-5.68,-0.82,0.07,-4.07
17.28,1.12,-1.709999999999999,0.97,1.31,-2.58
17.52,3.87,-1.2799999999999994,-0.26,0.56,-0.4
8.58,4.29,0.16999999999999993,0.04,0.46,0.01
8.4,3.52,0.47000000000000064,0.52,0.14,0.17
7.79,3.34,1.9500000000000002,-0.2,0.73,0.31
7.87,2.48,1.5999999999999996,0.14,0.12,0.06
8.52,2.26,0.9700000000000006,-0.18,0.21,-0.2
8.36,3.15,0.6600000000000001,0.1,-0.02,-0.14
8.61,2.74,0.21000000000000085,-0.09,0.06,-0.19
18.79,0.81,-1.5700000000000003,-0.38,0.71,-3.94
18.29,1.68,-1.2799999999999994,0.21,0.21,-3.27
15.82,4.67,2.1800000000000006,1.19,1.11,-1.86
10.6,5.33,1.5999999999999996,0.65,0.86,-0.46
9.03,5.93,0.6500000000000004,0.46,-0.38,-0.07
8.27,3.38,-0.35999999999999943,0.58,-0.11,-0.2
7.09,4.81,0.3800000000000008,-0.03,-0.14,0.22
7.61,3.42,0.0600000000000005,0.14,0.15,0.11
7.1,3.67,0.370000000000001,0.31,-0.1,0.13
7.95,3.3,-0.09999999999999964,0.37,-0.28,0.07
8.2,2.67,-0.9199999999999999,-0.02,-0.01,0.0
8.47,2.64,-0.9399999999999995,-0.02,-0.07,0.0
8.2,2.62,-1.049999999999999,-0.04,-0.01,-0.04
8.38,2.82,-1.0899999999999999,-0.04,-0.01,-0.02
8.25,2.7,-1.0399999999999991,-0.05,0.03,-0.02
8.46,2.41,-0.9499999999999993,-0.09,0.0,-0.02
8.51,2.87,-0.8899999999999988,-0.05,0.0,-0.07
8.52,3.1,-0.9599999999999991,-0.06,-0.04,0.04
8.52,3.09,-0.9000000000000004,-0.08,-0.02,0.1
8.19,2.71,-1.0,-0.09,-0.08,0.14
18.79,-0.44,0.16999999999999993,1.94,1.14,2.37
18.79,-0.43,1.6500000000000004,0.61,-1.21,4.38
11.22,-2.17,-1.629999999999999,-0.19,-0.65,1.76
