acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
9.7,-0.93,0.14000000000000057,-0.01,-0.01,-0.04
9.46,-1.01,0.040000000000000924,-0.12,-0.02,-0.02
9.29,-1.21,-0.07000000000000028,-0.03,-0.1,0.03
9.54,-1.32,-0.2699999999999996,-0.07,-0.05,0.0
9.52,-1.09,-0.21999999999999886,-0.11,-0.04,0.01
9.4,-1.24,-0.1999999999999993,0.0,-0.01,0.0
9.39,-1.24,-0.3200000000000003,-0.05,-0.04,0.0
9.57,-1.19,-0.16999999999999993,0.0,0.0,-0.01
9.44,-1.12,-0.27999999999999936,-0.05,0.01,0.02
9.34,-1.16,-0.2699999999999996,0.02,0.0,0.03
16.02,-1.94,0.39000000000000057,-0.5,0.26,-0.03
13.25,1.12,-1.459999999999999,-0.15,-0.1,1.08
8.26,-0.69,-1.3499999999999996,-0.05,-0.02,1.24
8.45,-0.82,-1.08,-0.24,-0.15,0.82
7.55,-1.25,-0.6500000000000004,-0.21,0.02,0.43
8.77,-1.95,-0.3200000000000003,-0.25,-0.19,0.27
9.43,-2.01,-0.46999999999999886,-0.08,-0.01,0.0
9.57,-2.04,-0.5199999999999996,-0.03,0.08,-0.07
9.39,-1.45,-0.5199999999999996,-0.07,0.0,-0.01
9.39,-1.93,-0.629999999999999,0.0,0.0,-0.02
-5.74,1.42,2.24,0.46,1.51,-0.72
6.65,-1.07,-0.15000000000000036,0.55,-0.18,-1.16
13.43,-3.22,-1.9299999999999997,0.47,-1.87,0.69
18.79,-3.75,-1.549999999999999,-1.96,1.42,-2.11
18.79,-1.17,0.7300000000000004,-0.45,0.8,-1.89
15.48,-1.03,-0.3200000000000003,-0.17,0.38,0.0
11.78,-0.92,0.6699999999999999,-0.07,-0.34,1.32
9.99,-0.24,-1.0899999999999999,-0.61,-0.28,0.95
7.75,-1.48,-0.8300000000000001,0.01,-0.39,0.58
7.72,-1.25,-0.05999999999999872,-0.02,-0.26,0.25
-11.6,1.16,3.880000000000001,-0.84,0.69,0.79
-20.43,10.14,4.050000000000001,0.22,1.5,-2.49
-17.1,-1.8,1.700000000000001,1.66,0.88,-1.66
-5.99,-0.74,3.1900000000000004,1.16,0.76,-0.55
4.94,0.77,-1.1999999999999993,-0.39,-0.67,-2.14
18.79,4.25,-2.8499999999999996,-0.04,-1.94,-1.86
18.79,-6.21,-13.159999999999998,-1.47,-0.83,-2.51
18.79,2.62,-5.42,1.59,-0.49,2.58
18.79,3.24,-7.339999999999998,-1.3,-1.34,4.38
4.32,3.36,-0.8200000000000003,1.73,-1.06,2.7
18.79,-4.39,-2.389999999999999,0.35,-1.22,0.95
18.79,-7.35,-8.549999999999999,0.06,-1.8,2.93
18.79,-0.87,-6.950000000000001,2.34,-1.14,1.93
4.69,3.99,1.17,-2.14,-0.8,2.6
-8.63,4.79,7.120000000000001,-1.41,0.29,1.04
-17.73,6.35,6.19,0.42,1.64,-0.77
-18.38,0.07,1.290000000000001,1.18,0.99,-1.24
-9.7,3.92,2.8900000000000006,0.96,0.12,-1.05
0.2,2.79,0.14000000000000057,0.12,-0.48,-1.21
18.66,-1.42,-5.639999999999999,-0.37,-2.72,-0.1
18.28,6.32,-1.8699999999999992,1.24,-0.83,1.56
-0.4,3.41,4.000000000000001,-1.75,-0.68,1.4
