acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
9.24,-3.62,-0.6500000000000004,-0.01,-0.26,-0.12
9.77,-2.76,-0.7799999999999994,-0.18,-0.12,0.04
9.2,-3.74,-1.0399999999999991,-0.13,0.15,0.08
8.91,-3.56,-0.8099999999999987,0.02,-0.07,0.01
9.29,-3.27,-0.9399999999999995,-0.03,0.07,0.06
9.08,-3.83,-0.8599999999999994,-0.04,0.11,0.0
9.09,-3.35,-0.5700000000000003,0.01,0.03,0.02
9.13,-3.65,-0.8200000000000003,-0.1,0.07,0.01
9.24,-3.39,-0.75,0.05,-0.01,-0.05
9.42,-3.34,-0.7400000000000002,-0.03,0.07,0.01
8.35,-3.71,-0.3200000000000003,0.11,0.0,-0.28
9.23,-2.21,-0.6099999999999994,0.25,-0.21,-0.05
9.12,-2.08,-1.209999999999999,0.37,-0.22,-0.23
9.68,-1.81,-0.8099999999999987,-0.06,0.22,0.11
9.49,-2.76,-1.1500000000000004,0.22,-0.1,-0.24
9.77,-1.39,-1.1399999999999988,0.03,-0.15,0.06
9.55,-1.72,-1.2599999999999998,0.16,-0.01,0.01
9.5,-2.28,-1.0199999999999996,-0.14,0.22,0.08
9.41,-2.63,-1.0899999999999999,0.0,-0.09,0.0
9.68,-2.67,-1.1999999999999993,0.05,-0.06,0.05
10.06,-3.62,-0.2400000000000002,0.0,-0.14,-0.31
10.68,-2.07,-0.7099999999999991,0.23,-0.13,-0.03
9.05,-2.47,-0.11999999999999922,-0.19,0.16,0.23
8.24,-3.2,-0.6699999999999999,0.12,-0.18,0.24
8.91,-2.96,-0.6999999999999993,-0.13,-0.07,0.09
9.43,-3.39,-1.1600000000000001,-0.05,-0.2,0.06
9.94,-3.03,-1.0599999999999987,-0.03,-0.11,-0.09
9.29,-3.33,-1.0,0.22,-0.04,-0.15
9.23,-2.73,-0.75,0.07,0.09,0.02
9.13,-2.63,-0.9699999999999989,0.11,0.05,0.06
7.99,-4.37,-0.35999999999999943,-0.71,0.73,0.1
8.01,-2.22,0.3100000000000005,0.02,-0.71,0.24
9.1,-2.68,-0.3200000000000003,-0.09,-0.34,0.1
9.54,-1.99,-0.7299999999999986,-0.27,0.3,0.28
9.63,-4.26,-1.1899999999999995,-0.22,0.03,0.05
9.22,-2.62,-0.6399999999999988,0.11,0.21,0.02
8.99,-2.65,-0.27999999999999936,0.02,0.17,0.08
9.0,-2.7,-0.17999999999999972,-0.14,0.1,0.22
9.01,-3.11,-0.35999999999999943,-0.04,0.03,0.14
9.61,-3.13,-0.8099999999999987,-0.02,-0.2,0.02
9.27,-3.35,-0.7299999999999986,-0.55,0.86,1.07
7.16,-5.02,-0.8099999999999987,-0.04,0.06,0.61
8.05,-3.27,-0.8899999999999988,0.05,-0.16,0.38
8.55,-4.41,-0.6799999999999997,-0.5,0.27,-0.07
9.27,-4.16,-0.5,0.14,-0.14,-0.31
9.61,-1.97,-0.3200000000000003,0.03,-0.05,-0.18
9.25,-2.88,-0.40000000000000036,-0.09,0.04,0.18
9.44,-4.05,-1.1199999999999992,-0.02,-0.21,0.05
9.75,-3.04,-0.8099999999999987,-0.02,0.09,-0.14
9.68,-2.8,-0.8899999999999988,-0.14,-0.05,0.19
13.95,-4.49,-1.4699999999999989,0.43,0.54,0.33
8.14,-3.78,-0.7899999999999991,-0.44,0.26,0.16
8.42,-1.6,-1.0999999999999996,0.56,-0.47,0.2
8.07,-4.23,-0.7199999999999989,-0.34,-0.09,0.01
8.89,-3.42,-0.27999999999999936,0.12,-0.32,0.17
9.81,-4.68,-1.08,-0.24,-0.12,-0.03
9.25,-3.87,-1.1600000000000001,-0.05,-0.04,0.02
8.69,-4.41,-1.2299999999999986,0.05,-0.01,0.06
8.57,-4.36,-0.9499999999999993,-0.14,0.14,0.07
8.92,-3.82,-0.8899999999999988,-0.12,0.0,-0.03
9.24,-1.54,-0.2599999999999998,-0.04,0.22,0.43
9.22,-3.12,-0.21999999999999886,0.02,0.01,0.14
8.82,-2.99,-0.009999999999999787,-0.05,0.04,0.11
9.45,-2.5,-0.3099999999999987,0.2,-0.05,-0.01
9.73,-3.24,-0.4599999999999991,-0.21,0.12,0.17
9.4,-3.1,-0.3699999999999992,0.17,-0.06,-0.01
9.06,-2.88,-0.46999999999999886,0.13,-0.18,0.05
9.06,-2.66,-0.2400000000000002,0.08,-0.09,0.04
9.17,-2.89,-0.41999999999999993,-0.03,-0.18,0.0
9.54,-2.35,-0.6600000000000001,0.06,-0.23,-0.06
9.67,-2.5,-0.3099999999999987,-0.15,-0.04,-0.01
9.43,-2.48,-0.6099999999999994,0.05,0.06,-0.03
9.17,-2.45,-0.4499999999999993,-0.19,0.15,0.13
8.76,-2.61,-0.34999999999999964,-0.07,0.01,0.02
9.15,-2.94,-0.9499999999999993,0.01,-0.25,-0.01
9.3,-2.76,-1.2400000000000002,-0.03,-0.14,-0.1
9.63,-2.53,-1.1899999999999995,0.0,-0.06,-0.09
9.56,-2.47,-0.7799999999999994,0.05,0.06,-0.08
9.35,-2.45,-0.41999999999999993,-0.05,0.02,-0.06
9.35,-2.29,-0.4499999999999993,-0.01,0.04,-0.07
9.27,-3.38,-1.0899999999999999,0.0,-0.05,0.02
9.26,-3.23,-0.9199999999999999,0.11,-0.04,0.05
8.98,-3.64,-0.7699999999999996,0.0,0.05,0.02
9.11,-3.3,-0.5599999999999987,0.09,0.0,0.04
9.22,-3.59,-0.8399999999999999,0.03,0.0,-0.02
9.22,-3.32,-0.6199999999999992,-0.02,0.0,-0.02
9.19,-3.54,-0.8300000000000001,0.0,-0.01,0.0
9.29,-3.41,-0.879999999999999,0.02,0.01,-0.04
9.18,-3.59,-0.6600000000000001,-0.02,0.03,-0.01
9.43,-3.13,-0.8599999999999994,0.0,-0.03,-0.05
7.8,-5.07,-2.0199999999999996,-0.13,0.42,0.26
8.46,-3.59,-1.67,0.16,0.05,-0.08
8.89,-2.81,-1.6500000000000004,-0.14,0.18,-0.33
9.08,-3.06,-1.3599999999999994,-0.04,0.01,-0.21
10.15,-2.58,-1.5999999999999996,0.18,-0.06,-0.06
9.47,-3.4,-1.3099999999999987,-0.18,0.23,-0.06
9.5,-2.38,-1.17,0.35,-0.08,0.02
9.27,-2.85,-1.0599999999999987,0.01,0.2,0.09
8.9,-3.25,-0.8499999999999996,0.14,0.01,0.13
9.24,-3.47,-1.3499999999999996,0.11,-0.05,0.0
9.31,-3.19,-1.3099999999999987,-0.3,0.08,-0.05
9.66,-3.17,-1.459999999999999,0.22,-0.08,-0.03
9.34,-2.45,-1.1500000000000004,-0.07,0.18,0.09
8.88,-3.0,-1.3200000000000003,0.04,-0.09,0.01
9.5,-3.01,-1.3200000000000003,0.13,-0.01,0.0
9.36,-3.1,-0.9000000000000004,-0.04,0.07,0.05
9.27,-3.18,-1.1500000000000004,0.09,0.0,-0.04
9.08,-2.52,-0.9399999999999995,0.05,0.01,-0.04
9.37,-2.71,-0.9399999999999995,0.04,0.0,0.0
9.26,-3.01,-0.8699999999999992,-0.01,-0.01,0.0
9.34,-2.82,-1.6799999999999997,-0.05,-0.26,-0.01
9.05,-3.2,-1.5199999999999996,-0.24,0.13,-0.1
