acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
18.79,1.98,-18.68,0.88,0.55,-1.19
18.79,3.89,-16.68,-1.13,1.23,0.99
18.54,-3.72,-15.79,-0.97,0.32,1.29
2.38,-0.25,-8.48,1.92,0.29,2.24
-10.83,18.07,-9.17,-4.1,-2.89,-1.31
0.9,1.98,-10.44,-1.33,-0.9,-2.76
-3.36,5.04,-8.22,0.53,0.38,-0.33
-10.72,-0.04,-8.88,1.9,0.92,0.32
-5.33,0.42,-9.37,1.05,-0.3,1.97
10.86,-0.71,-13.22,0.03,-1.22,0.85
6.85,-4.23,-12.44,0.36,-0.09,0.75
18.79,-1.31,-11.86,2.72,-0.25,0.26
18.79,-3.5,-11.35,0.86,-0.27,-0.67
18.79,-10.96,-7.86,1.82,1.07,0.68
7.58,2.97,-9.46,-0.95,0.26,0.37
8.46,-2.29,-9.01,-0.4,-0.23,-0.72
8.41,-1.87,-9.58,0.14,-0.35,0.11
8.97,-1.18,-10.08,-0.2,-0.49,0.26
9.32,-0.08,-9.83,-0.08,-0.09,-0.07
8.57,-0.79,-10.3,0.01,0.02,-0.2
9.08,0.08,-10.44,0.31,0.5,-0.89
8.75,2.22,-10.4,0.21,-0.12,-0.49
9.27,1.86,-10.75,-0.04,-0.45,0.02
9.92,0.72,-10.7,-0.61,-0.45,0.49
9.4,0.68,-11.01,0.22,-0.07,0.22
8.57,-0.11,-11.6,0.4,0.06,0.01
8.56,0.79,-11.11,0.27,0.16,0.12
8.95,0.69,-10.92,0.0,0.13,0.1
9.11,0.59,-10.26,0.07,0.23,-0.12
9.35,0.59,-9.71,0.13,0.36,-0.18
9.58,-1.44,-10.07,-0.13,0.03,-0.16
9.98,-1.2,-10.06,-0.18,-0.05,-0.07
9.74,-0.95,-10.13,-0.15,-0.13,-0.03
9.21,-1.01,-10.5,-0.03,-0.16,-0.05
8.86,-1.25,-10.78,-0.04,-0.23,0.01
9.0,-1.26,-10.83,0.0,-0.15,0.01
9.35,-1.69,-11.07,-0.04,-0.08,-0.11
9.46,-1.38,-10.85,0.01,0.0,-0.18
9.39,-1.03,-10.71,0.01,-0.04,-0.18
9.67,-1.08,-10.6,-0.08,-0.13,-0.1
7.9,0.37,-12.91,1.32,0.0,-0.45
7.68,-0.9,-12.75,-0.16,0.16,0.25
8.69,-1.02,-11.66,-1.35,0.21,0.84
9.38,-1.38,-11.09,-0.72,0.4,0.71
9.32,-1.7,-11.78,0.31,0.12,0.0
9.56,-1.88,-11.48,0.11,-0.21,-0.26
9.51,-1.59,-12.21,0.19,0.01,-0.39
9.32,-1.27,-11.77,-0.25,0.29,-0.27
8.86,-1.17,-12.06,-0.22,0.25,0.0
9.3,-1.44,-11.36,-0.25,0.23,0.12
18.79,0.69,-6.97,-0.51,-0.37,1.73
18.79,-3.88,-14.16,-2.2,-0.64,0.81
18.79,-2.63,-13.71,0.13,-0.51,1.34
17.8,-5.11,-16.66,-1.54,-0.69,0.51
8.07,-4.58,-13.78,1.06,-0.8,-0.27
-7.02,2.04,-4.92,-0.35,0.93,-0.4
-5.7,6.44,-9.18,-0.33,0.88,-3.37
-1.01,2.68,-6.47,2.14,1.53,-1.54
-7.75,4.07,-9.26,1.1,0.7,0.44
-7.87,-0.78,-9.5,-1.41,-0.98,1.62
17.62,-2.84,-15.72,-1.37,1.34,-0.68
-1.23,-3.92,-10.87,1.07,1.18,-1.33
-20.43,7.01,-5.02,1.22,0.43,-2.02
1.5,6.77,-4.57,1.38,-0.31,-2.37
-3.23,-2.05,-11.09,1.31,-0.16,1.27
-7.23,2.36,-9.06,-0.1,0.38,2.15
-4.04,-4.35,-8.72,0.09,1.5,0.26
7.88,-0.1,-9.95,0.59,1.34,1.08
18.79,1.82,-16.73,-0.4,-2.71,-0.26
18.79,-9.34,-16.22,-0.91,-1.33,-1.19
8.97,-0.72,-11.21,-0.1,-0.01,0.07
9.53,-0.61,-11.8,-0.11,-0.08,-0.07
9.46,-1.03,-11.61,0.09,-0.09,-0.13
9.76,-0.39,-11.51,0.1,0.04,-0.07
9.85,-0.78,-12.46,0.12,-0.12,-0.03
9.7,-0.62,-11.27,-0.06,0.02,0.08
9.23,-0.37,-11.54,-0.14,0.18,-0.05
9.23,-0.71,-11.59,-0.17,-0.11,-0.08
15.47,-1.76,-12.09,-0.48,-0.34,0.22
18.79,-3.5,-18.77,-0.61,-0.84,0.65
9.0,-0.15,-9.94,0.04,0.12,-0.15
9.39,0.5,-9.99,-0.18,-0.01,-0.05
9.57,0.0,-9.94,-0.16,0.09,-0.08
9.19,-0.14,-10.3,-0.22,-0.02,-0.01
8.98,-0.15,-9.96,-0.13,0.15,0.03
8.99,0.38,-10.39,0.08,0.08,-0.04
9.53,-0.37,-9.72,0.12,0.02,-0.09
14.51,-0.93,-8.58,-0.56,0.09,0.17
18.79,-1.91,-12.25,-0.71,-0.22,0.78
18.79,-2.36,-12.3,-1.59,-0.02,0.99
9.12,0.27,-10.45,-0.06,0.22,0.1
8.82,-0.39,-10.37,-0.17,0.02,0.05
9.22,-0.15,-10.58,0.06,-0.17,0.09
9.18,-0.43,-10.64,0.13,-0.15,-0.09
9.43,-0.14,-10.79,0.23,-0.06,-0.08
9.34,-0.05,-10.66,0.05,-0.05,-0.17
8.94,0.28,-9.67,-0.23,0.23,-0.1
9.03,0.49,-10.69,-0.16,-0.04,0.13
10.06,0.14,-11.1,-0.11,-0.43,0.18
17.92,-0.98,-11.12,-0.74,-0.23,0.37
9.08,0.37,-10.66,-0.14,0.03,0.01
9.45,-0.04,-10.58,-0.27,-0.08,0.17
9.19,-0.32,-10.92,-0.18,0.0,0.12
9.01,-0.5,-10.88,-0.09,0.0,-0.06
8.95,-0.16,-10.98,0.03,-0.08,-0.16
9.14,0.04,-11.09,0.08,-0.01,-0.33
9.81,0.3,-11.18,0.35,0.08,-0.37
17.85,-0.38,-12.76,0.07,-0.19,-0.12
18.79,-1.35,-12.63,-0.5,0.44,1.45
18.79,-0.95,-16.9,-0.57,-0.02,0.78
9.23,0.24,-11.25,-0.04,-0.24,0.21
9.16,-0.17,-11.23,-0.16,0.0,0.01
8.86,0.15,-11.24,-0.01,0.04,-0.05
8.69,-0.31,-11.16,-0.17,-0.06,-0.11
9.26,0.31,-10.99,0.16,-0.09,-0.01
8.84,-0.08,-11.41,0.29,0.12,-0.3
9.42,0.66,-11.01,-0.15,-0.08,-0.14
9.16,0.58,-11.05,0.07,0.04,0.01
9.01,0.81,-11.27,0.0,-0.03,0.0
9.14,0.21,-10.87,0.09,-0.04,0.1
8.52,-1.93,-10.01,-0.35,0.01,0.59
9.07,-1.04,-10.51,0.17,-0.19,-0.38
9.97,-1.03,-10.8,0.4,-0.12,-0.78
9.64,-0.53,-11.56,0.43,0.05,-0.63
9.05,-0.29,-11.24,0.03,-0.03,-0.22
9.31,0.42,-11.24,-0.28,-0.09,-0.05
9.5,0.33,-10.9,-0.21,0.14,0.03
8.96,0.29,-10.89,0.0,0.21,-0.04
8.86,0.31,-10.42,-0.17,0.09,0.07
9.21,-0.06,-10.52,-0.13,0.0,0.01
8.06,0.45,-8.76,0.12,-0.2,-0.1
9.17,-0.33,-9.22,0.36,-0.11,0.07
9.86,-0.37,-9.77,0.47,-0.17,0.01
9.53,-0.77,-10.23,0.58,-0.03,-0.29
9.61,-0.63,-10.9,0.7,0.13,-0.56
9.84,0.11,-10.45,0.11,-0.08,-0.08
9.72,0.24,-10.14,-0.57,-0.08,0.12
9.24,0.15,-10.47,0.15,-0.01,0.13
9.58,0.56,-10.58,-0.16,-0.36,0.08
9.16,-0.71,-10.92,0.15,-0.24,0.24
