acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
9.43,-0.76,-9.29,-0.01,-0.15,0.17
9.54,-0.39,-9.78,0.21,0.0,0.28
9.79,-0.1,-9.67,-0.03,0.03,0.13
9.7,-0.96,-9.6,-0.1,0.22,0.09
9.35,-1.14,-9.47,-0.3,0.11,0.19
9.13,-1.23,-9.44,-0.04,-0.07,0.13
8.97,-1.28,-9.33,-0.09,-0.23,0.03
9.17,-1.22,-9.48,0.0,-0.09,-0.03
9.14,-1.06,-9.74,-0.11,0.02,-0.04
9.54,-1.29,-9.78,-0.18,0.0,-0.04
5.1,7.76,-2.99,2.5,-4.38,0.03
-6.62,-4.55,-10.3,4.1,1.66,4.38
-12.93,-0.5,-9.04,-2.77,2.87,2.45
-2.39,-0.55,-6.09,-1.31,2.04,1.35
18.12,-10.54,-9.71,0.91,0.21,-0.25
18.79,14.47,-9.38,2.76,-4.38,-0.84
18.79,-9.28,-2.43,1.84,-1.19,-1.71
14.78,-2.48,-7.88,0.81,-1.07,-0.21
8.41,3.26,-10.68,-0.49,-0.52,0.04
9.07,0.33,-9.78,-0.59,0.09,0.58
-7.11,-5.65,-12.16,-1.7,2.01,1.72
6.35,-4.2,-8.64,0.4,0.54,0.61
5.47,-2.63,-7.95,2.14,-0.48,-2.04
18.79,-0.55,-2.57,0.19,1.8,-3.31
18.79,-1.84,-3.76,1.2,-0.72,0.22
15.38,-8.24,-7.78,0.23,0.38,0.48
8.71,-0.28,-9.27,0.66,0.47,-0.31
6.88,-2.16,-10.75,0.46,-0.06,-0.32
8.6,-1.06,-10.34,0.36,-0.16,-0.33
9.04,-0.51,-10.01,-0.12,-0.18,-0.24
-0.16,-3.91,-10.95,-0.62,1.7,0.66
8.18,-3.92,-8.14,-0.93,0.45,0.39
18.79,18.07,-14.68,3.68,-0.89,-0.2
18.79,-6.07,-4.73,1.38,-1.22,-0.94
18.79,-4.64,-7.45,0.67,-0.03,-1.28
13.43,-2.23,-8.49,1.76,-0.04,0.07
8.36,-1.45,-10.16,0.68,-0.18,-0.03
7.6,-0.08,-10.65,0.06,0.16,-0.04
7.87,-0.66,-10.22,-0.34,0.25,-0.08
8.93,-0.38,-10.1,-0.6,-0.08,-0.05
18.79,-4.89,-4.42,-1.45,-0.62,-2.43
18.79,-4.72,-5.09,-1.39,-0.65,-2.54
18.72,-1.93,-6.36,1.23,-0.81,0.05
10.83,-0.9,-7.65,0.87,-0.34,0.33
8.78,0.76,-9.64,-0.38,0.16,-0.07
8.33,-0.31,-10.0,-0.26,0.64,-0.34
8.57,-0.29,-9.82,-0.22,0.23,0.03
9.33,-1.32,-9.24,-0.03,-0.15,0.04
9.49,-0.65,-9.08,0.03,-0.34,0.09
9.23,0.13,-8.81,0.05,-0.4,0.24
9.48,-2.35,-9.33,0.15,-0.4,-0.66
8.71,-1.38,-9.7,-0.69,0.07,-0.66
9.68,-0.66,-10.06,-0.69,-0.01,-0.19
9.34,-0.13,-9.32,-0.44,-0.08,-0.1
9.73,-0.78,-9.65,-0.11,0.02,-0.04
9.34,-0.69,-9.35,-0.14,0.0,0.03
9.61,-0.82,-9.53,-0.19,0.05,-0.04
9.32,-0.6,-9.46,-0.05,0.1,-0.02
9.44,-0.58,-9.26,-0.17,-0.07,0.08
9.07,-0.63,-9.67,-0.71,-0.32,0.28
9.99,-0.84,-9.15,0.02,-0.39,0.36
9.88,-0.76,-9.52,-0.57,-0.04,0.01
8.67,-1.42,-9.74,-0.3,0.2,-0.17
8.97,-1.06,-9.53,-0.22,0.02,-0.02
9.15,-1.7,-9.44,-0.18,-0.04,-0.15
9.5,-1.43,-9.62,-0.14,-0.03,-0.2
9.85,-1.31,-9.35,-0.12,-0.09,-0.07
9.63,-1.05,-9.46,-0.17,0.05,-0.1
9.36,-0.78,-9.67,-0.09,0.05,-0.08
9.29,-0.88,-9.47,0.04,-0.06,-0.02
9.47,-0.79,-9.56,-0.18,0.07,0.09
8.99,-0.99,-9.79,0.0,0.13,0.03
9.34,-1.05,-9.49,0.05,0.01,0.09
9.44,-0.83,-9.32,-0.04,0.02,0.17
9.7,-0.98,-9.54,-0.2,-0.04,0.14
9.34,-1.29,-9.39,0.05,0.02,0.19
9.45,-1.29,-9.3,-0.13,0.1,0.06
9.06,-1.69,-9.62,-0.03,0.03,0.03
9.26,-1.49,-9.2,0.13,0.0,-0.04
9.26,-1.49,-9.52,0.0,0.09,-0.12
8.62,-1.23,-8.87,-0.11,-0.67,-0.44
9.0,-1.98,-9.12,-0.47,-0.51,-0.29
10.08,-1.27,-9.54,-0.76,-0.46,-0.08
10.38,-1.91,-9.75,0.0,-0.06,-0.02
9.45,-1.26,-9.53,0.34,-0.03,0.08
9.18,-1.49,-9.29,0.13,0.13,0.14
8.94,-1.16,-9.51,0.03,0.0,0.0
9.04,-1.66,-9.48,-0.02,-0.24,-0.03
9.7,-1.8,-9.5,-0.03,-0.16,-0.03
9.64,-1.72,-9.8,0.07,-0.03,-0.01
9.77,-0.51,-10.45,0.04,-0.29,0.4
9.61,-1.17,-10.26,0.0,-0.09,0.48
9.61,-1.35,-10.69,-0.14,0.09,0.37
9.43,-2.1,-10.46,-0.17,0.18,0.12
9.2,-2.39,-10.31,0.23,0.19,0.17
9.14,-1.75,-9.57,0.21,0.27,0.24
9.01,-1.87,-9.74,0.03,0.33,0.17
9.39,-1.8,-9.42,-0.01,0.17,0.08
9.29,-2.12,-9.15,0.0,0.04,0.08
9.28,-2.32,-9.36,0.0,-0.16,0.12
9.61,-1.75,-9.7,-0.81,0.15,0.06
9.22,-2.15,-9.3,-0.64,0.37,0.05
9.06,-1.89,-9.44,-0.17,0.21,0.15
9.38,-2.76,-9.3,0.05,0.17,0.18
9.17,-2.57,-9.62,0.59,-0.06,0.38
9.56,-1.61,-8.58,0.47,-0.16,0.01
9.52,-1.84,-8.71,0.04,0.09,-0.25
9.15,-1.79,-8.5,-0.42,0.06,-0.16
9.25,-1.89,-8.84,-0.19,0.02,-0.01
9.4,-1.6,-8.98,0.17,-0.14,0.03
8.97,-1.53,-9.5,0.02,-0.08,0.08
9.44,-1.53,-9.38,0.02,-0.11,0.09
9.35,-1.91,-9.49,0.03,0.0,-0.01
9.45,-1.92,-9.82,-0.1,0.01,-0.01
9.59,-1.85,-9.64,0.15,0.13,-0.16
9.2,-1.2,-9.38,0.05,0.09,-0.06
9.48,-1.52,-9.29,-0.02,0.03,0.07
9.41,-1.67,-9.4,-0.02,-0.03,0.14
9.75,-1.52,-9.52,0.09,-0.02,0.09
9.41,-1.65,-9.56,0.12,0.0,0.06
9.2,-1.41,-8.93,-0.45,0.0,0.33
8.78,-1.71,-8.8,-0.56,0.14,0.24
9.33,-1.12,-9.49,-0.56,0.18,-0.46
10.11,-0.97,-9.77,0.38,-0.06,-0.39
9.08,-1.09,-8.55,0.13,-0.15,-0.06
9.57,-1.26,-9.53,-0.36,-0.04,0.18
10.01,-2.01,-9.61,-0.29,0.0,0.17
9.6,-2.38,-9.64,0.23,-0.04,0.16
9.21,-2.4,-9.18,0.14,0.05,0.07
9.03,-2.04,-8.96,0.0,0.12,-0.04
9.59,-1.79,-10.27,0.06,0.36,0.04
9.42,-1.89,-10.51,0.24,0.05,0.03
9.32,-2.16,-9.61,0.76,-0.08,-0.05
9.56,-0.99,-9.41,0.68,0.0,0.05
9.53,-0.54,-10.03,0.34,0.07,0.11
9.53,-1.26,-10.11,-0.06,0.16,0.11
9.46,-1.71,-9.77,0.0,0.3,0.05
9.2,-2.16,-9.47,0.22,0.28,-0.07
9.19,-1.76,-9.1,-0.17,-0.02,-0.06
9.44,-1.65,-9.32,-0.03,0.09,0.0
9.78,-3.13,-9.87,0.01,0.03,-0.03
7.45,-1.27,-9.11,-0.61,0.0,-0.44
9.14,-1.81,-9.09,-0.36,0.1,-0.14
9.36,-1.16,-8.98,-0.54,-0.08,0.09
9.69,-2.33,-9.15,-1.33,-0.17,0.08
9.42,-2.29,-9.24,-0.29,0.15,0.43
9.37,-0.82,-9.07,-0.07,0.18,0.51
9.3,-1.61,-9.09,0.04,0.09,0.07
9.72,-1.49,-9.01,0.66,0.15,-0.35
9.1,-0.94,-8.86,0.37,0.11,-0.4
8.54,-0.91,-8.58,-0.49,-0.3,0.58
9.37,-1.75,-8.57,-0.7,-0.26,0.43
9.36,-0.05,-8.39,-0.68,-0.16,0.48
9.94,-2.32,-8.84,-0.32,-0.24,-0.2
9.17,-2.08,-8.88,-0.02,-0.14,-0.21
9.36,-1.47,-9.11,0.04,-0.24,-0.23
9.4,-1.41,-9.18,-0.15,-0.18,-0.27
9.58,-1.4,-9.44,-0.36,-0.18,-0.12
9.5,-1.48,-9.65,-0.36,-0.16,0.0
9.89,-1.4,-9.74,0.01,0.15,-0.02
9.08,-2.08,-9.38,-0.04,-0.09,-0.11
8.92,-2.71,-9.6,-0.24,0.03,-0.18
9.19,-2.79,-9.54,-0.37,0.05,-0.1
9.73,-2.2,-9.97,0.03,0.1,-0.19
9.54,-1.89,-9.6,0.12,-0.03,-0.16
9.24,-1.99,-9.4,0.07,-0.12,0.02
9.39,-1.97,-9.36,-0.06,-0.06,0.0
9.42,-2.31,-9.53,0.0,0.0,-0.02
9.63,-2.21,-9.47,0.05,-0.04,-0.06
9.63,-2.17,-9.67,-0.02,-0.03,-0.04
9.41,-1.65,-9.79,-0.65,0.12,-0.35
9.48,-2.04,-9.45,-0.36,0.35,-0.29
8.83,-0.87,-9.04,-0.1,0.25,-0.01
9.52,-1.58,-9.14,-0.41,0.06,-0.3
8.85,-2.63,-9.01,-0.08,0.12,-0.35
9.36,-1.94,-8.89,0.03,-0.22,-0.05
9.66,-1.32,-9.28,0.08,-0.19,0.02
9.39,-1.23,-9.29,-0.09,-0.03,0.03
9.57,-1.56,-9.43,-0.08,0.0,0.04
9.7,-1.81,-9.33,0.0,0.21,0.16
9.65,-2.54,-9.19,-0.43,-0.23,-0.07
9.69,-2.18,-9.42,-0.05,-0.06,-0.23
9.24,-2.1,-9.44,0.0,0.0,-0.14
9.48,-1.48,-9.76,-0.08,-0.08,-0.03
9.51,-2.22,-9.88,-0.26,-0.09,-0.06
9.48,-1.92,-9.59,-0.23,0.02,0.03
9.47,-1.87,-9.63,-0.1,0.02,0.03
9.45,-1.78,-9.28,-0.01,0.02,-0.03
9.12,-2.27,-9.49,-0.39,-0.02,-0.05
9.2,-1.84,-9.89,-0.24,-0.11,-0.04
9.25,-0.42,-8.7,-0.67,-0.03,-0.21
10.0,-1.42,-9.54,-0.54,0.13,0.11
9.92,-1.05,-8.52,-0.05,0.21,0.18
9.83,-1.96,-8.96,0.06,0.05,0.15
9.63,-1.58,-9.03,0.11,0.04,0.0
9.05,-2.26,-8.92,-0.07,0.07,0.01
9.36,-1.9,-9.13,-0.22,0.13,0.01
9.24,-2.16,-9.19,-0.22,0.18,-0.12
9.35,-1.86,-8.79,-0.32,0.16,-0.15
9.89,-1.59,-9.56,-0.02,0.0,-0.14
9.24,-1.79,-9.59,0.0,0.09,0.09
9.21,-1.78,-9.34,-0.03,0.12,0.0
9.08,-1.65,-9.2,-0.08,0.1,0.0
9.09,-2.03,-9.7,0.02,0.01,0.04
9.35,-1.54,-8.93,0.2,0.04,-0.07
9.29,-1.41,-9.07,-0.02,-0.01,-0.02
9.62,-1.85,-9.44,0.03,-0.05,-0.05
9.7,-1.68,-8.9,0.2,-0.02,-0.06
9.71,-1.82,-9.3,-0.03,0.08,0.03
9.49,-1.8,-9.19,-0.06,-0.01,0.04
9.94,-1.36,-8.89,-0.08,0.15,0.08
9.28,-1.25,-9.53,-0.45,0.15,0.3
9.16,-1.84,-9.38,-0.09,0.2,0.15
8.53,-2.15,-9.15,0.04,0.08,0.05
9.28,-1.62,-9.31,0.07,-0.05,0.03
9.04,-1.81,-9.09,0.1,-0.11,-0.1
9.31,-1.37,-9.0,0.04,-0.12,-0.15
9.51,-1.25,-9.35,0.17,-0.08,-0.16
9.82,-1.31,-9.11,0.08,-0.06,-0.05
9.79,-1.31,-9.26,-0.45,-0.06,0.06
9.7,-1.26,-9.26,-0.79,-0.01,0.34
9.47,-1.18,-9.08,-0.22,0.12,0.35
9.24,-0.15,-8.82,0.06,0.15,0.11
9.71,-1.62,-8.5,0.13,0.07,-0.23
9.51,-0.77,-8.41,0.1,0.05,-0.22
9.69,-1.15,-8.71,0.01,-0.11,-0.1
9.28,-0.91,-8.85,0.03,-0.08,0.0
9.23,-0.98,-9.02,0.01,0.04,-0.04
9.13,-0.86,-8.87,-0.14,0.02,-0.08
9.37,-0.92,-8.89,-0.02,0.06,-0.07
9.08,-1.71,-9.69,-0.2,0.1,0.18
9.68,-1.85,-9.45,0.0,0.04,-0.04
9.36,-1.57,-9.39,0.34,0.14,-0.08
9.38,-1.24,-9.19,0.13,0.01,0.0
9.55,-1.4,-9.06,0.05,0.07,-0.09
9.3,-1.46,-8.94,0.0,0.08,0.09
9.65,-1.47,-9.1,-0.02,0.04,0.11
9.29,-1.55,-9.24,-0.04,0.03,0.06
9.54,-1.49,-9.35,0.01,-0.03,0.08
9.29,-1.85,-9.11,-0.02,-0.02,0.12
9.79,-1.05,-9.34,-0.26,-0.11,0.28
9.99,-0.23,-9.03,0.07,0.02,0.17
9.65,-0.56,-9.31,0.55,-0.2,0.17
9.23,-0.5,-8.61,0.46,0.01,0.09
9.59,-0.45,-9.54,0.26,0.08,0.13
9.33,-0.93,-9.49,-0.01,0.05,0.15
9.45,-0.74,-8.77,-0.02,0.1,0.1
9.51,-0.99,-9.04,-0.03,0.11,-0.07
9.43,-0.82,-8.77,-0.03,0.11,-0.06
9.29,-0.66,-8.69,-0.06,0.1,-0.03
9.79,-1.51,-9.51,-0.65,-0.13,-0.27
9.7,-1.32,-9.64,0.07,-0.07,-0.04
9.42,-0.57,-9.29,0.05,-0.19,0.0
9.46,-0.85,-9.33,-0.14,-0.03,0.11
9.39,-1.29,-9.62,-0.2,0.16,0.07
9.42,-1.4,-9.62,-0.04,0.16,0.01
9.42,-1.03,-9.36,-0.12,0.14,0.1
9.47,-1.35,-9.06,-0.19,0.19,-0.06
9.33,-1.24,-9.21,-0.11,-0.02,0.1
9.48,-1.39,-9.09,0.05,-0.01,0.02
10.78,-1.87,-8.45,0.07,-0.19,0.05
9.61,-1.07,-8.42,-0.26,0.35,0.29
8.79,-0.7,-8.72,-0.89,0.23,-0.06
8.73,-1.77,-9.3,-0.34,0.01,-0.21
8.86,-1.37,-8.95,0.28,-0.16,0.0
9.83,-1.04,-8.74,0.1,-0.13,0.02
9.71,-1.36,-8.87,-0.04,0.05,-0.06
9.85,-1.34,-9.12,-0.18,-0.02,0.0
9.76,-1.17,-8.82,-0.07,0.0,0.08
9.31,-1.56,-9.36,-0.27,-0.09,0.19
8.53,-0.78,-9.58,-0.47,0.07,0.19
9.45,-1.01,-9.04,-0.6,0.0,0.15
9.39,-1.84,-9.79,-0.38,-0.22,0.03
10.35,-1.87,-9.05,0.02,-0.34,0.16
9.88,-1.82,-9.19,0.07,-0.29,0.16
9.34,-1.98,-9.56,0.33,-0.19,0.26
9.14,-1.66,-9.52,0.22,-0.06,0.09
9.22,-1.78,-9.82,-0.27,0.0,-0.05
9.05,-1.76,-9.59,-0.23,0.07,-0.1
9.28,-1.65,-9.76,-0.16,0.07,-0.08
9.37,-1.44,-9.27,0.03,0.05,-0.11
9.45,-1.53,-9.66,0.0,0.05,-0.14
9.56,-1.25,-9.51,0.05,0.04,-0.14
9.88,-1.25,-9.72,0.05,-0.01,-0.03
9.52,-1.56,-9.79,0.02,0.01,-0.05
9.41,-1.24,-9.54,0.29,0.11,-0.05
9.35,-1.06,-9.42,0.11,0.17,-0.08
9.33,-1.14,-9.3,-0.22,0.07,0.02
9.34,-1.28,-9.23,-0.08,0.0,0.08
9.7,-1.35,-9.21,0.0,-0.02,0.01
9.62,-0.75,-8.55,0.61,-0.01,0.45
8.95,-1.18,-8.34,0.61,0.0,0.17
9.22,-1.71,-8.87,0.84,0.11,0.02
8.75,-1.14,-8.85,0.5,0.05,-0.02
9.25,-0.56,-9.5,0.52,0.0,-0.05
9.05,-1.06,-9.26,0.76,-0.09,-0.2
9.08,-0.28,-9.21,1.11,-0.04,0.1
10.08,-0.88,-9.22,-0.42,-0.21,0.09
9.77,-0.97,-9.35,-0.88,0.03,-0.08
9.9,-2.33,-9.27,-0.69,0.15,0.09
9.37,-1.13,-9.5,-0.11,-0.01,0.05
9.58,-1.18,-9.38,0.01,0.01,0.11
9.52,-1.59,-9.45,0.07,0.1,0.05
9.4,-1.54,-9.82,0.15,0.05,0.06
9.53,-1.38,-9.42,0.05,0.01,0.06
9.25,-1.27,-9.44,0.01,0.05,0.03
9.25,-1.46,-9.39,0.07,-0.01,0.09
9.41,-1.5,-9.26,0.04,-0.06,0.04
9.51,-1.42,-9.39,-0.09,-0.05,-0.01
9.36,-1.97,-9.19,-0.06,0.06,-0.08
9.39,-1.59,-8.86,-0.07,0.03,-0.18
9.51,-1.41,-9.25,0.18,0.0,-0.02
9.34,-1.28,-8.94,-0.03,-0.18,0.03
8.91,-0.82,-7.8,-0.87,-0.29,0.11
9.64,-2.24,-9.7,-0.98,-0.19,0.25
9.75,-2.55,-10.64,-0.25,0.02,0.0
9.57,-2.25,-10.69,0.21,0.0,-0.22
9.42,-1.66,-9.83,0.07,0.08,-0.06
9.35,-1.71,-9.74,-0.28,0.05,-0.02
9.45,-1.87,-9.4,0.04,0.12,0.04
9.45,-1.72,-8.82,0.65,0.34,-0.33
9.33,-2.14,-8.3,0.66,0.66,-0.26
11.0,-3.25,-6.0,1.75,1.42,0.01
8.95,-1.72,-8.85,0.18,0.14,-0.21
8.73,-1.38,-7.55,-0.39,-0.16,-0.29
8.79,-0.84,-7.56,-0.46,-0.42,0.18
9.37,-1.27,-7.98,-0.45,-0.44,0.54
9.52,-1.24,-8.29,-0.52,-0.5,0.65
9.57,-2.59,-8.84,-0.75,-0.28,0.22
9.41,-0.58,-8.84,-0.21,0.05,-0.04
9.44,-1.7,-9.33,-0.49,-0.21,-0.16
9.66,-2.25,-9.74,0.12,-0.46,-0.22
9.41,-2.15,-9.54,0.62,-0.36,0.0
10.19,-1.74,-9.8,0.41,-0.19,-0.09
9.49,-1.7,-10.45,0.33,-0.1,-0.1
9.41,-1.73,-9.11,0.42,0.14,-0.04
9.17,-1.45,-8.97,-0.36,0.16,0.11
9.56,-1.88,-9.34,-0.38,0.13,0.14
9.35,-2.37,-9.35,0.24,0.13,0.03
9.17,-1.95,-8.68,0.17,0.15,-0.04
9.59,-1.21,-9.18,-0.06,-0.01,0.02
9.22,-1.7,-9.31,0.09,0.0,0.1
9.36,-1.01,-9.09,-0.01,0.02,0.03
9.26,-1.36,-9.25,-0.04,0.02,0.07
9.34,-1.36,-9.02,-0.01,0.04,0.04
9.28,-1.65,-9.18,0.0,0.04,-0.02
9.33,-1.22,-9.09,0.01,0.05,-0.09
9.34,-1.15,-8.96,0.0,-0.01,-0.06
9.58,-1.14,-8.94,-0.03,-0.05,-0.01
9.57,-1.07,-9.05,0.02,-0.04,0.0
9.32,-2.08,-9.17,-0.03,0.0,-0.04
9.45,-1.88,-9.27,-0.11,0.08,-0.08
9.34,-1.96,-9.26,-0.05,0.05,-0.06
9.56,-1.85,-9.17,-0.01,0.01,0.0
9.42,-2.01,-9.3,0.03,0.04,0.0
9.47,-1.86,-9.27,0.07,0.02,0.02
9.3,-1.89,-9.11,0.01,0.03,0.07
9.36,-1.92,-9.08,0.05,0.03,0.08
9.25,-2.19,-9.07,0.02,-0.02,0.08
9.3,-2.07,-8.98,0.07,0.0,-0.03
9.25,-1.8,-9.49,0.18,0.2,-0.02
9.33,-1.91,-9.57,-0.07,0.21,-0.06
9.2,-2.32,-9.34,-0.01,0.14,-0.18
9.4,-1.49,-8.87,-0.04,0.04,-0.04
9.62,-1.56,-8.87,-0.05,0.09,-0.11
9.22,-1.85,-9.19,0.05,-0.05,-0.09
9.63,-1.18,-9.19,0.43,0.0,-0.1
9.33,-1.56,-9.14,-0.02,-0.02,0.07
9.51,-1.3,-8.9,-0.01,0.1,0.04
9.3,-1.52,-9.3,-0.07,0.05,0.04
9.23,-1.26,-9.46,0.02,0.02,-0.08
9.27,-1.42,-9.54,-0.01,0.05,-0.13
9.45,-1.27,-9.34,0.04,0.06,-0.04
9.48,-1.37,-9.31,0.01,0.08,0.0
9.54,-1.3,-9.26,-0.15,0.02,0.14
9.61,-1.83,-9.47,0.03,-0.01,0.14
9.33,-1.67,-9.14,0.1,0.04,0.07
9.14,-1.76,-9.38,0.01,0.08,0.04
9.37,-1.65,-9.02,0.0,-0.01,0.01
9.48,-1.7,-9.0,0.08,-0.04,0.01
9.88,-2.09,-9.59,0.08,0.02,0.22
9.81,-1.67,-9.54,0.36,0.06,0.16
9.51,-1.76,-9.36,-0.18,0.18,0.2
9.62,-2.39,-9.55,-0.23,0.13,0.11
9.08,-2.44,-9.34,0.06,0.03,-0.05
9.17,-2.27,-9.33,0.01,0.0,-0.07
9.32,-2.14,-9.4,0.02,0.0,-0.1
9.53,-1.99,-9.24,0.02,-0.05,-0.07
9.54,-2.02,-9.51,0.0,-0.06,0.02
9.61,-1.83,-9.17,-0.05,-0.04,0.0
9.39,-1.95,-9.28,-0.19,0.05,0.23
9.49,-2.47,-9.34,0.04,0.16,0.15
9.03,-2.55,-9.27,0.02,0.1,0.01
9.15,-2.47,-9.04,0.0,0.03,-0.05
9.35,-2.37,-9.23,0.08,-0.06,-0.03
9.41,-2.05,-9.27,0.08,-0.06,-0.04
9.59,-2.21,-9.45,-0.02,0.03,-0.01
9.42,-2.01,-9.18,-0.01,0.04,-0.01
9.42,-2.17,-9.25,-0.02,0.05,0.09
9.43,-2.14,-9.36,0.01,0.03,0.09
7.71,-0.68,-8.25,-1.22,-0.27,-0.29
9.3,-2.64,-8.8,-0.64,-0.75,0.28
9.8,-2.39,-8.45,0.64,-0.25,-0.02
9.15,-1.82,-8.62,0.35,-0.04,0.07
9.3,-1.76,-8.74,-0.26,0.0,0.0
8.98,-2.63,-8.86,-0.11,0.13,0.0
9.57,-2.09,-9.21,0.12,-0.01,-0.09
9.64,-2.37,-9.21,0.25,-0.13,-0.09
9.31,-1.93,-8.8,-0.13,-0.03,0.08
9.65,-2.29,-9.16,-0.23,0.0,0.15
