acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
9.12,-1.36,-7.96,-0.1,-0.01,-0.03
9.28,-1.04,-7.61,-0.24,-0.03,-0.01
9.18,-1.41,-8.07,-0.14,0.02,-0.12
9.36,-1.1,-8.17,-0.17,-0.02,-0.11
9.54,-1.18,-8.06,-0.23,0.06,-0.08
9.41,-1.25,-8.02,0.05,-0.06,0.02
9.81,-1.08,-7.96,-0.02,0.0,-0.02
9.47,-0.71,-7.93,-0.08,0.11,-0.08
9.5,-0.39,-7.59,-0.24,0.17,0.01
8.98,-0.9,-7.21,-0.31,0.22,0.0
9.21,2.01,-9.37,0.06,-0.18,-0.18
8.75,2.03,-9.48,-0.12,-0.22,-0.25
8.76,1.78,-9.25,-0.06,-0.09,-0.21
8.98,1.9,-9.15,-0.02,-0.12,-0.43
9.17,2.89,-9.05,-0.16,-0.26,-0.47
8.62,2.83,-9.03,0.06,-0.15,-0.45
8.29,3.06,-9.25,-0.05,-0.27,-0.32
8.0,2.88,-9.19,-0.15,-0.05,-0.18
7.39,3.06,-9.98,-0.06,-0.09,-0.18
7.74,3.34,-9.92,-0.16,0.02,-0.25
9.25,-11.23,-9.7,0.94,1.74,0.35
-2.01,-1.93,-5.95,-3.11,0.69,-2.03
-5.13,5.64,-6.65,-0.53,1.29,-4.32
2.14,4.21,-11.41,-1.23,-0.69,-1.4
6.47,-1.65,-6.55,1.91,-0.17,0.9
0.32,-2.03,-5.28,1.33,1.0,1.04
3.68,1.78,-3.38,0.26,-0.37,0.78
6.3,1.59,-4.02,2.26,-1.3,0.75
7.51,0.42,-4.39,0.0,-1.59,0.64
10.94,-0.28,-9.3,0.86,-1.42,0.93
9.2,-17.92,-5.35,-0.02,-0.25,1.03
-3.08,0.49,-8.24,-1.6,-0.91,-3.5
-2.11,14.12,-8.63,-0.75,-0.84,-3.26
5.27,8.0,-8.77,-1.24,0.22,-0.6
3.68,-0.03,-8.0,-0.16,0.65,1.62
4.93,-2.69,-7.77,-0.8,0.68,1.56
1.85,-1.12,-5.83,-0.27,-0.05,1.49
-0.17,2.36,-6.83,-0.4,-0.12,0.38
5.2,-2.44,-10.97,0.85,-1.28,0.71
12.0,-10.88,-10.74,0.14,-0.46,1.0
8.8,-4.36,-7.9,0.0,-0.12,-0.09
8.98,-4.2,-8.12,0.01,-0.07,-0.02
8.73,-4.85,-8.13,-0.06,-0.01,-0.06
8.61,-4.6,-8.04,0.03,0.01,-0.14
8.82,-4.53,-8.0,0.0,0.0,-0.2
8.89,-4.14,-8.13,0.11,-0.02,-0.27
9.35,-3.43,-7.96,0.11,-0.11,-0.13
9.23,-3.52,-8.04,-0.05,0.04,-0.06
9.04,-3.91,-7.99,-0.02,-0.04,0.07
9.08,-4.16,-8.11,-0.04,0.01,0.02
7.42,-2.63,-7.62,0.02,-0.58,0.62
9.45,-3.17,-7.55,0.34,-0.55,0.24
8.98,-2.58,-7.45,0.07,-0.41,0.1
9.13,-2.95,-7.64,-0.04,0.18,0.1
8.62,-4.17,-8.28,-0.37,0.1,0.17
8.78,-4.02,-8.42,-0.04,0.03,-0.03
8.95,-3.63,-7.87,-0.04,-0.02,-0.01
8.83,-3.6,-7.68,0.07,-0.06,0.02
9.06,-4.09,-7.73,-0.02,0.07,-0.01
9.0,-3.64,-7.91,0.04,0.04,-0.07
