acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
18.79,-0.16,-15.49,-0.82,0.07,-4.07
17.28,1.12,-11.52,0.97,1.31,-2.58
17.52,3.87,-11.09,-0.26,0.56,-0.4
8.58,4.29,-9.64,0.04,0.46,0.01
8.4,3.52,-9.34,0.52,0.14,0.17
7.79,3.34,-7.86,-0.2,0.73,0.31
7.87,2.48,-8.21,0.14,0.12,0.06
8.52,2.26,-8.84,-0.18,0.21,-0.2
8.36,3.15,-9.15,0.1,-0.02,-0.14
8.61,2.74,-9.6,-0.09,0.06,-0.19
18.79,0.81,-11.38,-0.38,0.71,-3.94
18.29,1.68,-11.09,0.21,0.21,-3.27
15.82,4.67,-7.63,1.19,1.11,-1.86
10.6,5.33,-8.21,0.65,0.86,-0.46
9.03,5.93,-9.16,0.46,-0.38,-0.07
8.27,3.38,-10.17,0.58,-0.11,-0.2
7.09,4.81,-9.43,-0.03,-0.14,0.22
7.61,3.42,-9.75,0.14,0.15,0.11
7.1,3.67,-9.44,0.31,-0.1,0.13
7.95,3.3,-9.91,0.37,-0.28,0.07
8.2,2.67,-10.73,-0.02,-0.01,0.0
8.47,2.64,-10.75,-0.02,-0.07,0.0
8.2,2.62,-10.86,-0.04,-0.01,-0.04
8.38,2.82,-10.9,-0.04,-0.01,-0.02
8.25,2.7,-10.85,-0.05,0.03,-0.02
8.46,2.41,-10.76,-0.09,0.0,-0.02
8.51,2.87,-10.7,-0.05,0.0,-0.07
8.52,3.1,-10.77,-0.06,-0.04,0.04
8.52,3.09,-10.71,-0.08,-0.02,0.1
8.19,2.71,-10.81,-0.09,-0.08,0.14
18.79,-0.44,-9.64,1.94,1.14,2.37
18.79,-0.43,-8.16,0.61,-1.21,4.38
11.22,-2.17,-11.44,-0.19,-0.65,1.76
-2.03,-1.14,-9.04,0.1,-0.82,1.6
-17.5,-2.24,-9.65,2.05,1.2,-1.8
-10.28,1.35,-7.09,-0.58,0.88,-0.73
-10.58,0.19,-7.66,0.54,1.65,-1.55
-1.42,4.16,-8.34,0.82,0.56,-2.28
9.12,2.47,-10.36,-1.82,0.01,-2.04
18.79,1.85,-11.95,0.01,-1.0,-2.95
8.35,2.69,-9.66,0.0,0.04,0.08
8.21,2.4,-9.88,0.0,0.0,0.0
8.26,2.64,-9.72,-0.03,-0.04,0.01
8.52,2.83,-9.97,0.01,-0.09,0.0
8.33,2.61,-9.89,-0.07,-0.02,0.02
8.57,2.82,-10.13,0.0,-0.09,0.0
8.48,2.44,-10.27,-0.06,-0.05,0.05
8.35,2.56,-10.22,-0.01,-0.02,0.01
8.64,2.71,-10.18,0.0,-0.04,0.01
8.32,2.67,-9.77,-0.08,-0.01,0.06
12.23,3.84,-8.87,-0.86,-0.17,-3.27
17.12,6.39,-9.51,0.8,-0.95,-3.26
18.79,7.0,-12.17,-0.05,-0.78,-3.2
15.86,7.84,-9.21,0.22,0.32,-2.63
12.81,7.57,-10.29,0.76,0.53,-0.67
7.28,6.99,-8.7,-0.25,0.52,0.03
4.97,5.79,-9.45,0.84,-0.12,0.15
5.81,4.9,-9.9,0.0,0.01,0.09
6.06,5.06,-9.88,0.25,-0.02,-0.18
7.98,5.54,-10.0,-0.01,0.06,-0.1
-13.63,1.21,-7.34,-0.14,1.96,-1.5
-8.45,-1.54,-8.04,-0.59,1.49,-1.7
