acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
9.7,-0.93,-9.67,-0.01,-0.01,-0.04
9.46,-1.01,-9.77,-0.12,-0.02,-0.02
9.29,-1.21,-9.88,-0.03,-0.1,0.03
9.54,-1.32,-10.08,-0.07,-0.05,0.0
9.52,-1.09,-10.03,-0.11,-0.04,0.01
9.4,-1.24,-10.01,0.0,-0.01,0.0
9.39,-1.24,-10.13,-0.05,-0.04,0.0
9.57,-1.19,-9.98,0.0,0.0,-0.01
9.44,-1.12,-10.09,-0.05,0.01,0.02
9.34,-1.16,-10.08,0.02,0.0,0.03
16.02,-1.94,-9.42,-0.5,0.26,-0.03
13.25,1.12,-11.27,-0.15,-0.1,1.08
8.26,-0.69,-11.16,-0.05,-0.02,1.24
8.45,-0.82,-10.89,-0.24,-0.15,0.82
7.55,-1.25,-10.46,-0.21,0.02,0.43
8.77,-1.95,-10.13,-0.25,-0.19,0.27
9.43,-2.01,-10.28,-0.08,-0.01,0.0
9.57,-2.04,-10.33,-0.03,0.08,-0.07
9.39,-1.45,-10.33,-0.07,0.0,-0.01
9.39,-1.93,-10.44,0.0,0.0,-0.02
-5.74,1.42,-7.57,0.46,1.51,-0.72
6.65,-1.07,-9.96,0.55,-0.18,-1.16
13.43,-3.22,-11.74,0.47,-1.87,0.69
18.79,-3.75,-11.36,-1.96,1.42,-2.11
18.79,-1.17,-9.08,-0.45,0.8,-1.89
15.48,-1.03,-10.13,-0.17,0.38,0.0
11.78,-0.92,-9.14,-0.07,-0.34,1.32
9.99,-0.24,-10.9,-0.61,-0.28,0.95
7.75,-1.48,-10.64,0.01,-0.39,0.58
7.72,-1.25,-9.87,-0.02,-0.26,0.25
-11.6,1.16,-5.93,-0.84,0.69,0.79
-20.43,10.14,-5.76,0.22,1.5,-2.49
-17.1,-1.8,-8.11,1.66,0.88,-1.66
-5.99,-0.74,-6.62,1.16,0.76,-0.55
4.94,0.77,-11.01,-0.39,-0.67,-2.14
18.79,4.25,-12.66,-0.04,-1.94,-1.86
18.79,-6.21,-22.97,-1.47,-0.83,-2.51
18.79,2.62,-15.23,1.59,-0.49,2.58
18.79,3.24,-17.15,-1.3,-1.34,4.38
4.32,3.36,-10.63,1.73,-1.06,2.7
18.79,-4.39,-12.2,0.35,-1.22,0.95
18.79,-7.35,-18.36,0.06,-1.8,2.93
18.79,-0.87,-16.76,2.34,-1.14,1.93
4.69,3.99,-8.64,-2.14,-0.8,2.6
-8.63,4.79,-2.69,-1.41,0.29,1.04
-17.73,6.35,-3.62,0.42,1.64,-0.77
-18.38,0.07,-8.52,1.18,0.99,-1.24
-9.7,3.92,-6.92,0.96,0.12,-1.05
0.2,2.79,-9.67,0.12,-0.48,-1.21
18.66,-1.42,-15.45,-0.37,-2.72,-0.1
18.28,6.32,-11.68,1.24,-0.83,1.56
-0.4,3.41,-5.81,-1.75,-0.68,1.4
-11.54,9.91,-5.92,-1.35,1.49,-0.97
-16.73,3.4,-7.75,0.56,0.56,-1.97
-12.62,2.09,-6.29,0.84,0.18,-0.66
-8.15,-1.22,-8.74,0.92,0.85,-1.14
1.49,2.38,-10.66,-0.66,0.41,-1.69
13.22,1.55,-12.9,0.59,-3.5,-1.27
18.79,-2.5,-19.51,-3.95,-0.19,-3.57
18.79,-2.87,-18.11,1.86,-0.19,0.12
9.3,-1.3,-10.24,0.12,0.0,-0.1
9.31,-1.17,-10.33,0.0,-0.04,-0.04
9.37,-1.3,-10.29,0.04,-0.02,-0.06
9.73,-1.64,-10.4,0.07,-0.02,-0.07
11.19,-2.32,-10.61,0.05,-0.06,0.0
18.79,-8.58,-13.14,0.22,-0.61,1.1
18.79,-7.58,-13.0,-1.07,-0.15,3.07
18.79,-3.18,-12.94,0.59,-0.44,2.36
0.39,5.42,-5.37,-2.39,-0.46,1.06
-9.23,7.52,-4.85,-1.39,0.52,-0.67
9.31,-0.74,-10.7,0.03,-0.04,0.09
9.42,-0.77,-10.79,-0.12,-0.11,0.08
9.49,-0.89,-10.72,-0.04,-0.06,0.1
9.39,-1.04,-10.87,-0.13,-0.02,0.07
9.19,-0.97,-10.82,0.0,-0.04,0.07
9.36,-0.99,-10.88,-0.05,-0.02,0.0
9.13,-0.8,-10.77,0.01,0.02,-0.04
9.37,-0.88,-10.67,-0.01,-0.01,0.0
9.46,-0.72,-10.64,0.02,0.04,-0.02
9.35,-0.92,-10.78,-0.04,-0.03,0.05
-4.02,-1.48,-8.85,0.12,0.87,-0.05
9.45,-0.9,-12.05,-0.2,-0.37,-1.14
18.79,0.1,-12.57,1.0,-0.99,-0.55
18.79,0.83,-11.07,-1.44,0.43,-2.75
18.79,-3.55,-13.67,-1.38,0.38,-1.87
