acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
9.24,-3.62,-10.46,-0.01,-0.26,-0.12
9.77,-2.76,-10.59,-0.18,-0.12,0.04
9.2,-3.74,-10.85,-0.13,0.15,0.08
8.91,-3.56,-10.62,0.02,-0.07,0.01
9.29,-3.27,-10.75,-0.03,0.07,0.06
9.08,-3.83,-10.67,-0.04,0.11,0.0
9.09,-3.35,-10.38,0.01,0.03,0.02
9.13,-3.65,-10.63,-0.1,0.07,0.01
9.24,-3.39,-10.56,0.05,-0.01,-0.05
9.42,-3.34,-10.55,-0.03,0.07,0.01
8.35,-3.71,-10.13,0.11,0.0,-0.28
9.23,-2.21,-10.42,0.25,-0.21,-0.05
9.12,-2.08,-11.02,0.37,-0.22,-0.23
9.68,-1.81,-10.62,-0.06,0.22,0.11
9.49,-2.76,-10.96,0.22,-0.1,-0.24
9.77,-1.39,-10.95,0.03,-0.15,0.06
9.55,-1.72,-11.07,0.16,-0.01,0.01
9.5,-2.28,-10.83,-0.14,0.22,0.08
9.41,-2.63,-10.9,0.0,-0.09,0.0
9.68,-2.67,-11.01,0.05,-0.06,0.05
10.06,-3.62,-10.05,0.0,-0.14,-0.31
10.68,-2.07,-10.52,0.23,-0.13,-0.03
9.05,-2.47,-9.93,-0.19,0.16,0.23
8.24,-3.2,-10.48,0.12,-0.18,0.24
8.91,-2.96,-10.51,-0.13,-0.07,0.09
9.43,-3.39,-10.97,-0.05,-0.2,0.06
9.94,-3.03,-10.87,-0.03,-0.11,-0.09
9.29,-3.33,-10.81,0.22,-0.04,-0.15
9.23,-2.73,-10.56,0.07,0.09,0.02
9.13,-2.63,-10.78,0.11,0.05,0.06
7.99,-4.37,-10.17,-0.71,0.73,0.1
8.01,-2.22,-9.5,0.02,-0.71,0.24
9.1,-2.68,-10.13,-0.09,-0.34,0.1
9.54,-1.99,-10.54,-0.27,0.3,0.28
9.63,-4.26,-11.0,-0.22,0.03,0.05
9.22,-2.62,-10.45,0.11,0.21,0.02
8.99,-2.65,-10.09,0.02,0.17,0.08
9.0,-2.7,-9.99,-0.14,0.1,0.22
9.01,-3.11,-10.17,-0.04,0.03,0.14
9.61,-3.13,-10.62,-0.02,-0.2,0.02
9.27,-3.35,-10.54,-0.55,0.86,1.07
7.16,-5.02,-10.62,-0.04,0.06,0.61
8.05,-3.27,-10.7,0.05,-0.16,0.38
