acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
0.72,18.07,-5.15,1.82,0.56,-4.34
8.17,18.07,-0.03,0.38,0.62,-0.24
0.55,18.07,0.26,-2.87,0.62,3.51
-1.12,14.46,-7.58,-1.42,-1.69,4.38
-4.73,-6.96,-15.11,-1.49,-1.77,4.38
-3.64,-13.41,-15.08,-0.53,0.43,1.65
-4.93,-15.03,-13.12,0.59,1.87,-3.58
-6.02,-1.33,-10.97,2.47,1.39,-4.34
-2.05,18.07,-4.15,1.66,1.28,-4.32
2.9,18.07,-3.44,2.26,0.02,-1.45
2.11,-9.98,-8.78,-0.45,0.61,-1.29
5.05,-0.53,-5.35,0.06,0.12,-1.84
7.99,3.8,-4.81,0.68,-0.1,-1.82
9.2,6.32,-5.0,1.51,-0.28,-0.72
8.39,5.45,-5.64,0.63,-0.01,-0.5
7.55,5.75,-5.29,0.45,0.38,-0.32
6.16,5.62,-5.43,0.21,0.27,-0.09
6.16,4.74,-5.58,0.11,0.12,-0.08
6.14,4.64,-6.05,0.11,-0.05,0.12
6.32,4.48,-5.79,0.11,-0.15,0.11
5.42,5.16,-7.4,-0.04,0.01,0.41
4.98,3.83,-7.76,-0.43,0.01,0.13
5.05,4.4,-7.28,-0.06,0.13,0.0
5.41,4.8,-6.72,-0.08,0.0,-0.02
5.85,5.41,-6.18,0.16,-0.01,0.07
6.08,5.7,-6.15,-0.04,-0.04,0.05
6.27,6.07,-5.89,-0.04,0.0,0.13
6.33,5.98,-6.05,-0.19,0.04,0.22
6.35,5.77,-6.1,-0.22,-0.05,0.5
6.31,4.83,-6.11,-0.18,-0.01,0.53
6.38,3.94,-5.46,0.0,-0.01,-0.01
6.32,4.03,-5.52,0.04,-0.03,0.03
6.38,4.03,-5.4,0.03,-0.01,0.03
6.49,3.96,-5.48,0.07,-0.05,0.05
6.53,4.03,-5.5,-0.07,0.01,-0.02
6.47,4.04,-5.56,0.02,0.0,0.01
6.36,4.08,-5.55,-0.07,0.0,0.03
6.54,4.15,-5.43,-0.03,0.0,0.08
6.46,3.96,-5.24,-0.11,-0.07,0.12
6.73,3.97,-5.14,-0.05,-0.14,0.2
6.37,4.4,-5.94,0.1,-0.01,0.01
6.47,4.16,-5.9,0.02,-0.01,0.01
6.43,4.06,-5.73,0.06,0.02,-0.01
6.39,4.1,-5.77,-0.01,-0.03,-0.01
6.51,4.34,-5.9,0.16,0.03,0.0
6.41,4.13,-5.96,-0.08,-0.03,0.0
6.55,4.14,-5.92,0.09,-0.01,0.02
6.52,4.38,-5.98,-0.07,-0.04,0.03
6.56,4.34,-5.82,0.04,-0.05,0.07
6.53,4.4,-5.88,-0.11,-0.02,0.03
6.1,4.3,-5.57,0.22,-0.06,0.13
6.42,4.77,-5.52,0.06,-0.1,0.15
6.35,4.39,-5.56,0.17,0.05,0.03
6.26,4.54,-5.5,-0.12,0.05,0.0
6.0,4.03,-5.77,0.0,0.02,-0.05
5.97,4.84,-5.62,-0.13,-0.05,-0.01
6.12,4.01,-5.91,-0.09,-0.1,0.03
6.58,4.8,-5.69,0.05,-0.19,0.22
6.58,3.81,-5.91,-0.03,-0.16,0.15
6.67,4.52,-6.06,0.02,-0.04,0.07
5.98,4.04,-5.03,0.19,0.0,-0.04
6.15,4.04,-4.89,0.21,-0.09,0.0
6.35,4.36,-4.88,0.33,-0.15,0.02
6.27,4.37,-5.54,0.24,-0.08,-0.06
6.5,4.24,-5.36,0.01,-0.04,-0.1
6.05,4.38,-5.72,0.2,-0.03,-0.03
6.23,4.38,-5.75,0.09,-0.04,0.0
6.18,4.58,-5.63,0.03,0.0,0.01
6.27,4.52,-5.55,0.02,-0.06,0.04
6.3,4.87,-5.48,0.03,0.0,0.07
5.64,5.32,-5.25,0.05,0.29,-0.37
5.28,5.49,-5.7,0.18,-0.02,0.06
5.61,4.96,-5.67,-0.12,-0.1,0.07
5.76,4.94,-5.83,0.34,-0.2,0.27
6.25,4.27,-5.89,-0.16,-0.06,0.0
5.81,5.15,-5.76,0.09,0.0,-0.06
5.9,4.61,-5.8,0.05,0.0,-0.03
5.68,5.54,-5.86,0.08,0.03,0.0
6.03,5.06,-5.83,0.11,0.0,0.06
6.64,6.63,-5.16,-0.1,0.06,0.1
6.3,3.09,-5.98,0.25,0.07,-0.17
6.41,4.31,-5.78,0.16,0.1,-0.22
6.59,4.37,-5.73,0.11,-0.01,-0.24
6.69,4.58,-5.62,0.15,0.0,-0.19
6.57,5.07,-5.66,0.1,-0.05,-0.09
6.81,4.62,-5.81,0.1,-0.14,0.03
7.15,4.92,-5.87,0.02,-0.15,0.08
7.21,4.34,-6.19,-0.04,-0.11,0.07
7.19,4.89,-6.11,-0.07,-0.01,0.14
6.74,4.89,-5.88,-0.16,-0.04,0.31
7.01,2.77,-5.49,0.0,0.01,-0.12
7.26,3.63,-5.63,0.09,-0.1,-0.06
7.27,3.8,-5.71,0.03,-0.03,0.02
7.24,4.09,-5.5,0.09,0.01,0.1
7.07,3.72,-5.3,-0.15,0.14,0.01
7.21,4.05,-5.18,0.19,0.14,0.08
6.91,3.89,-5.04,-0.2,0.26,0.05
6.54,3.39,-4.97,-0.07,0.12,0.13
6.24,2.56,-5.0,-0.27,0.09,0.11
6.51,2.25,-5.45,0.08,-0.18,0.16
6.21,3.57,-4.83,-0.09,-0.06,-0.05
6.67,3.76,-4.68,0.12,-0.08,-0.08
6.45,3.86,-4.99,0.0,-0.13,-0.03
6.54,4.06,-5.0,0.01,-0.08,-0.07
6.33,3.76,-5.26,-0.06,-0.03,-0.04
6.55,3.88,-4.89,0.0,-0.07,0.03
6.41,3.38,-5.22,0.08,-0.01,0.04
6.18,3.33,-5.22,-0.07,-0.05,0.04
5.97,3.35,-5.28,0.15,0.0,-0.04
6.17,3.67,-5.13,-0.08,-0.07,-0.1
8.17,5.15,-3.71,1.01,-0.61,0.06
8.53,4.83,-4.7,0.68,-0.31,0.04
7.87,4.43,-5.69,0.09,0.37,-0.31
7.04,4.58,-4.65,-0.01,0.57,-0.13
5.72,2.84,-4.97,0.08,0.12,0.03
6.25,3.88,-4.54,0.38,-0.19,0.28
6.59,3.83,-5.19,0.26,-0.07,0.04
6.71,3.66,-5.44,0.03,0.11,-0.07
6.37,3.77,-4.76,0.02,0.07,0.05
6.36,3.55,-4.88,0.02,-0.02,-0.03
8.05,4.72,-2.8,0.22,-0.18,0.0
7.46,4.31,-3.05,0.65,-0.04,-0.01
7.37,3.84,-3.9,-0.04,0.13,-0.04
6.18,2.75,-4.64,-0.08,0.06,-0.05
6.27,2.63,-4.88,-0.06,0.08,0.0
6.12,2.26,-4.64,-0.03,0.1,-0.03
6.34,2.81,-4.16,0.04,0.07,-0.08
6.17,3.0,-3.75,0.02,0.0,-0.05
6.22,3.28,-3.63,0.13,-0.02,0.02
6.15,3.13,-3.74,-0.05,-0.01,-0.05
7.79,5.21,-3.31,0.54,0.08,-0.11
6.66,4.16,-3.7,-0.03,0.31,-0.05
6.23,3.14,-3.7,0.01,0.15,0.04
5.97,3.28,-3.93,-0.01,0.05,0.08
6.25,2.88,-4.33,0.17,-0.04,0.06
6.16,3.26,-4.19,-0.07,0.13,-0.01
6.0,2.67,-4.22,0.14,0.0,0.05
6.21,3.28,-3.65,0.05,0.0,0.09
5.78,2.68,-3.85,0.03,-0.06,0.01
6.19,2.74,-3.86,0.06,-0.15,-0.02
7.44,4.7,-2.54,0.3,0.29,-0.87
7.06,5.48,-2.92,0.56,0.0,-0.29
6.51,4.9,-3.27,0.26,-0.11,-0.13
6.25,4.49,-3.73,0.31,-0.09,0.15
5.72,4.06,-4.24,0.1,-0.15,0.01
5.65,4.05,-4.25,0.25,-0.18,0.0
5.17,3.32,-4.43,-0.08,-0.34,-0.09
5.77,3.14,-4.78,0.23,-0.36,-0.02
6.11,3.14,-4.51,-0.09,-0.2,-0.18
6.21,3.55,-4.7,0.16,-0.18,-0.16
-2.63,-1.79,-11.66,-1.5,0.15,2.98
-1.18,-5.93,-10.82,-1.17,-0.05,1.54
0.68,-2.82,-9.06,-0.7,0.0,-0.01
2.57,0.38,-7.27,-0.28,0.11,-0.39
5.24,3.07,-6.59,0.68,-0.39,-0.28
6.64,3.97,-5.97,0.51,-0.15,-0.11
7.83,5.45,-5.94,0.1,-0.02,-0.31
6.64,4.88,-5.28,0.1,0.27,-0.1
6.36,5.13,-5.56,0.8,-0.26,0.34
7.53,5.12,-5.96,0.53,0.06,0.01
5.94,4.91,-5.9,0.0,0.19,-0.1
6.93,4.71,-5.53,-0.15,0.05,0.15
7.06,4.96,-5.45,0.33,0.03,0.3
7.02,4.09,-6.66,0.24,-0.17,0.47
8.17,4.64,-7.3,-0.05,-0.12,0.28
6.39,2.44,-6.46,-0.46,0.27,0.18
6.21,4.25,-6.33,0.08,0.02,0.3
6.67,3.8,-6.11,-0.11,0.13,0.25
6.61,3.42,-6.21,0.0,-0.03,0.33
7.03,2.93,-6.07,0.05,0.04,0.26
-0.61,-6.09,-11.28,-0.49,0.11,0.77
1.94,-1.76,-9.0,-0.09,0.11,-0.16
3.83,0.0,-7.82,0.21,0.06,-0.43
6.98,3.53,-6.04,0.66,0.01,-0.34
8.47,4.19,-4.99,-0.13,0.02,-0.38
8.49,5.21,-4.74,0.57,0.02,-0.05
7.95,4.62,-5.53,-0.07,-0.04,0.0
7.02,3.37,-5.88,0.22,0.13,0.03
6.65,3.74,-6.1,0.03,0.03,0.02
6.81,3.37,-6.19,0.4,0.03,0.09
6.3,3.25,-5.05,0.26,0.08,-0.04
6.89,3.83,-5.3,0.39,-0.01,0.13
6.8,3.37,-5.12,-0.06,0.11,-0.04
6.9,3.64,-4.82,0.0,0.1,0.01
6.66,3.17,-4.86,0.08,0.01,-0.01
6.73,3.65,-5.03,-0.06,-0.04,0.02
