acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
0.72,18.07,4.66,1.82,0.56,-4.34
8.17,18.07,9.780000000000001,0.38,0.62,-0.24
0.55,18.07,10.07,-2.87,0.62,3.51
-1.12,14.46,2.2300000000000004,-1.42,-1.69,4.38
-4.73,-6.96,-5.299999999999999,-1.49,-1.77,4.38
-3.64,-13.41,-5.27,-0.53,0.43,1.65
-4.93,-15.03,-3.3099999999999987,0.59,1.87,-3.58
-6.02,-1.33,-1.1600000000000001,2.47,1.39,-4.34
-2.05,18.07,5.66,1.66,1.28,-4.32
2.9,18.07,6.370000000000001,2.26,0.02,-1.45
2.11,-9.98,1.0300000000000011,-0.45,0.61,-1.29
5.05,-0.53,4.460000000000001,0.06,0.12,-1.84
7.99,3.8,5.000000000000001,0.68,-0.1,-1.82
9.2,6.32,4.8100000000000005,1.51,-0.28,-0.72
8.39,5.45,4.170000000000001,0.63,-0.01,-0.5
7.55,5.75,4.5200000000000005,0.45,0.38,-0.32
6.16,5.62,4.380000000000001,0.21,0.27,-0.09
6.16,4.74,4.23,0.11,0.12,-0.08
6.14,4.64,3.7600000000000007,0.11,-0.05,0.12
6.32,4.48,4.0200000000000005,0.11,-0.15,0.11
5.42,5.16,2.41,-0.04,0.01,0.41
4.98,3.83,2.0500000000000007,-0.43,0.01,0.13
5.05,4.4,2.5300000000000002,-0.06,0.13,0.0
5.41,4.8,3.0900000000000007,-0.08,0.0,-0.02
5.85,5.41,3.630000000000001,0.16,-0.01,0.07
6.08,5.7,3.66,-0.04,-0.04,0.05
6.27,6.07,3.920000000000001,-0.04,0.0,0.13
6.33,5.98,3.7600000000000007,-0.19,0.04,0.22
6.35,5.77,3.710000000000001,-0.22,-0.05,0.5
6.31,4.83,3.7,-0.18,-0.01,0.53
6.38,3.94,4.3500000000000005,0.0,-0.01,-0.01
6.32,4.03,4.290000000000001,0.04,-0.03,0.03
6.38,4.03,4.41,0.03,-0.01,0.03
6.49,3.96,4.33,0.07,-0.05,0.05
6.53,4.03,4.3100000000000005,-0.07,0.01,-0.02
6.47,4.04,4.250000000000001,0.02,0.0,0.01
6.36,4.08,4.260000000000001,-0.07,0.0,0.03
6.54,4.15,4.380000000000001,-0.03,0.0,0.08
6.46,3.96,4.57,-0.11,-0.07,0.12
6.73,3.97,4.670000000000001,-0.05,-0.14,0.2
6.37,4.4,3.87,0.1,-0.01,0.01
6.47,4.16,3.91,0.02,-0.01,0.01
6.43,4.06,4.08,0.06,0.02,-0.01
6.39,4.1,4.040000000000001,-0.01,-0.03,-0.01
6.51,4.34,3.91,0.16,0.03,0.0
6.41,4.13,3.8500000000000005,-0.08,-0.03,0.0
6.55,4.14,3.8900000000000006,0.09,-0.01,0.02
6.52,4.38,3.83,-0.07,-0.04,0.03
6.56,4.34,3.99,0.04,-0.05,0.07
6.53,4.4,3.9300000000000006,-0.11,-0.02,0.03
6.1,4.3,4.24,0.22,-0.06,0.13
6.42,4.77,4.290000000000001,0.06,-0.1,0.15
6.35,4.39,4.250000000000001,0.17,0.05,0.03
6.26,4.54,4.3100000000000005,-0.12,0.05,0.0
6.0,4.03,4.040000000000001,0.0,0.02,-0.05
5.97,4.84,4.19,-0.13,-0.05,-0.01
6.12,4.01,3.9000000000000004,-0.09,-0.1,0.03
6.58,4.8,4.12,0.05,-0.19,0.22
6.58,3.81,3.9000000000000004,-0.03,-0.16,0.15
6.67,4.52,3.750000000000001,0.02,-0.04,0.07
5.98,4.04,4.78,0.19,0.0,-0.04
6.15,4.04,4.920000000000001,0.21,-0.09,0.0
6.35,4.36,4.930000000000001,0.33,-0.15,0.02
6.27,4.37,4.2700000000000005,0.24,-0.08,-0.06
6.5,4.24,4.45,0.01,-0.04,-0.1
6.05,4.38,4.090000000000001,0.2,-0.03,-0.03
6.23,4.38,4.0600000000000005,0.09,-0.04,0.0
6.18,4.58,4.180000000000001,0.03,0.0,0.01
6.27,4.52,4.260000000000001,0.02,-0.06,0.04
6.3,4.87,4.33,0.03,0.0,0.07
5.64,5.32,4.5600000000000005,0.05,0.29,-0.37
5.28,5.49,4.11,0.18,-0.02,0.06
5.61,4.96,4.140000000000001,-0.12,-0.1,0.07
5.76,4.94,3.9800000000000004,0.34,-0.2,0.27
6.25,4.27,3.920000000000001,-0.16,-0.06,0.0
5.81,5.15,4.050000000000001,0.09,0.0,-0.06
5.9,4.61,4.010000000000001,0.05,0.0,-0.03
5.68,5.54,3.95,0.08,0.03,0.0
6.03,5.06,3.9800000000000004,0.11,0.0,0.06
6.64,6.63,4.65,-0.1,0.06,0.1
6.3,3.09,3.83,0.25,0.07,-0.17
6.41,4.31,4.03,0.16,0.1,-0.22
6.59,4.37,4.08,0.11,-0.01,-0.24
6.69,4.58,4.19,0.15,0.0,-0.19
6.57,5.07,4.15,0.1,-0.05,-0.09
6.81,4.62,4.000000000000001,0.1,-0.14,0.03
7.15,4.92,3.9400000000000004,0.02,-0.15,0.08
7.21,4.34,3.62,-0.04,-0.11,0.07
7.19,4.89,3.7,-0.07,-0.01,0.14
6.74,4.89,3.9300000000000006,-0.16,-0.04,0.31
7.01,2.77,4.32,0.0,0.01,-0.12
7.26,3.63,4.180000000000001,0.09,-0.1,-0.06
7.27,3.8,4.1000000000000005,0.03,-0.03,0.02
7.24,4.09,4.3100000000000005,0.09,0.01,0.1
7.07,3.72,4.510000000000001,-0.15,0.14,0.01
7.21,4.05,4.630000000000001,0.19,0.14,0.08
6.91,3.89,4.7700000000000005,-0.2,0.26,0.05
6.54,3.39,4.840000000000001,-0.07,0.12,0.13
6.24,2.56,4.8100000000000005,-0.27,0.09,0.11
6.51,2.25,4.36,0.08,-0.18,0.16
6.21,3.57,4.98,-0.09,-0.06,-0.05
6.67,3.76,5.130000000000001,0.12,-0.08,-0.08
6.45,3.86,4.82,0.0,-0.13,-0.03
6.54,4.06,4.8100000000000005,0.01,-0.08,-0.07
6.33,3.76,4.550000000000001,-0.06,-0.03,-0.04
6.55,3.88,4.920000000000001,0.0,-0.07,0.03
6.41,3.38,4.590000000000001,0.08,-0.01,0.04
6.18,3.33,4.590000000000001,-0.07,-0.05,0.04
5.97,3.35,4.53,0.15,0.0,-0.04
6.17,3.67,4.680000000000001,-0.08,-0.07,-0.1
8.17,5.15,6.1000000000000005,1.01,-0.61,0.06
8.53,4.83,5.11,0.68,-0.31,0.04
7.87,4.43,4.12,0.09,0.37,-0.31
7.04,4.58,5.16,-0.01,0.57,-0.13
5.72,2.84,4.840000000000001,0.08,0.12,0.03
6.25,3.88,5.2700000000000005,0.38,-0.19,0.28
6.59,3.83,4.62,0.26,-0.07,0.04
6.71,3.66,4.37,0.03,0.11,-0.07
6.37,3.77,5.050000000000001,0.02,0.07,0.05
6.36,3.55,4.930000000000001,0.02,-0.02,-0.03
8.05,4.72,7.010000000000001,0.22,-0.18,0.0
7.46,4.31,6.760000000000001,0.65,-0.04,-0.01
7.37,3.84,5.91,-0.04,0.13,-0.04
6.18,2.75,5.170000000000001,-0.08,0.06,-0.05
6.27,2.63,4.930000000000001,-0.06,0.08,0.0
6.12,2.26,5.170000000000001,-0.03,0.1,-0.03
6.34,2.81,5.65,0.04,0.07,-0.08
6.17,3.0,6.0600000000000005,0.02,0.0,-0.05
6.22,3.28,6.180000000000001,0.13,-0.02,0.02
