acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
4.29,6.34,2.8600000000000003,0.0,0.03,0.05
4.32,6.57,2.8000000000000007,-0.05,0.01,0.04
4.34,6.36,3.0600000000000005,0.0,0.06,0.08
4.28,6.32,2.87,0.0,0.02,0.05
4.5,6.26,3.0600000000000005,0.06,-0.03,0.04
4.32,6.44,3.0100000000000007,0.04,0.01,0.0
4.32,6.51,2.880000000000001,-0.01,-0.04,-0.01
4.36,6.62,3.0300000000000002,0.0,-0.04,-0.02
4.29,6.53,2.91,-0.03,-0.05,0.0
4.43,6.52,3.0100000000000007,-0.03,0.0,0.01
4.76,6.27,3.1400000000000006,0.1,0.03,-0.02
4.72,6.03,3.1500000000000004,0.07,0.01,0.03
4.56,6.27,3.1500000000000004,0.09,-0.03,-0.04
4.44,6.32,3.3500000000000005,0.02,-0.09,-0.05
4.38,6.36,3.2800000000000002,-0.09,-0.04,0.01
4.52,6.22,3.0600000000000005,0.01,-0.06,0.06
4.7,6.38,2.960000000000001,0.12,-0.13,0.11
4.83,6.43,3.0900000000000007,0.0,-0.08,0.11
4.71,6.43,2.7300000000000004,0.06,-0.17,0.15
4.74,6.17,2.83,0.07,-0.19,0.11
4.41,6.19,2.290000000000001,-0.12,0.1,-0.18
4.33,6.08,2.3600000000000003,-0.7,-0.04,-0.13
4.44,6.07,2.630000000000001,0.0,-0.03,-0.06
4.04,6.67,2.3000000000000007,0.23,0.03,-0.07
4.42,6.98,2.1800000000000006,0.93,0.13,0.01
4.43,7.17,2.1400000000000006,0.48,0.15,0.05
4.86,6.98,1.87,0.04,0.0,0.06
5.18,6.32,2.0900000000000007,-0.3,0.0,-0.02
5.08,6.54,1.87,-0.3,-0.11,-0.04
4.89,5.92,1.7400000000000002,-0.27,0.0,-0.06
3.49,7.22,3.8000000000000007,0.17,0.12,-0.04
3.52,7.34,3.670000000000001,0.06,0.12,0.12
3.19,7.3,3.2200000000000006,-0.07,0.0,0.1
3.55,6.68,3.4300000000000006,-0.14,0.03,0.08
3.74,6.57,3.3100000000000005,0.09,0.02,0.1
3.44,6.6,3.2300000000000004,-0.06,0.01,-0.01
3.67,6.27,3.3600000000000003,0.09,0.13,0.01
3.39,6.58,3.380000000000001,-0.1,0.13,0.0
3.64,6.66,3.6400000000000006,-0.07,-0.04,-0.02
3.64,6.53,3.7200000000000006,-0.01,-0.08,0.01
3.22,6.56,2.4000000000000004,-0.04,-0.02,0.01
3.37,5.39,2.5100000000000007,-0.04,0.0,-0.11
3.41,5.73,3.33,0.11,-0.07,-0.11
3.79,6.64,3.99,0.17,-0.09,0.0
3.76,7.07,3.41,0.01,-0.01,0.03
3.88,7.22,4.130000000000001,0.1,0.03,0.1
3.67,7.22,3.66,0.0,0.0,0.11
3.7,6.44,3.710000000000001,-0.01,0.03,0.12
3.34,6.84,3.37,-0.08,0.11,0.12
3.79,6.27,3.5900000000000007,-0.02,-0.01,0.11
4.05,6.62,3.0500000000000007,0.12,-0.07,-0.07
4.03,6.95,3.0500000000000007,-0.08,-0.01,-0.06
4.06,6.52,3.290000000000001,-0.18,0.05,-0.06
3.93,6.7,3.2800000000000002,-0.07,0.03,-0.01
3.64,6.33,3.540000000000001,-0.07,0.0,0.0
3.47,6.78,3.3500000000000005,0.28,-0.3,0.11
4.42,7.2,3.4800000000000004,0.24,-0.27,0.11
4.47,6.19,3.2800000000000002,-0.09,-0.13,0.02
4.06,6.57,3.1800000000000006,-0.04,-0.27,-0.01
3.92,6.28,2.9800000000000004,-0.37,-0.34,-0.13
4.06,8.06,3.2200000000000006,-0.03,-0.04,0.03
3.71,7.17,3.0900000000000007,-0.05,0.17,0.12
3.25,6.77,3.0500000000000007,-0.12,0.18,0.13
3.3,6.37,3.3500000000000005,-0.13,0.03,0.14
3.59,6.06,3.7,-0.07,-0.01,0.11
3.54,6.36,3.500000000000001,-0.04,-0.11,0.04
4.15,6.38,3.5500000000000007,-0.05,-0.19,0.01
3.88,6.66,3.3000000000000007,-0.02,-0.19,0.01
3.96,6.93,3.3500000000000005,0.03,-0.08,-0.02
4.08,6.59,3.3400000000000007,0.0,-0.03,0.03
4.76,6.71,3.540000000000001,0.01,-0.11,0.07
4.42,6.15,3.74,-0.04,0.02,0.08
4.53,6.3,3.5600000000000005,-0.06,0.1,0.15
4.1,5.8,3.8400000000000007,-0.11,0.09,0.05
3.7,5.72,4.130000000000001,-0.05,0.1,0.07
4.33,5.94,3.87,0.0,0.0,0.03
4.79,5.79,3.880000000000001,-0.01,-0.12,0.0
4.75,6.32,3.8100000000000005,0.18,-0.14,0.08
4.6,6.2,3.7200000000000006,-0.1,-0.04,0.03
4.64,6.16,3.5300000000000002,0.13,0.02,0.0
3.66,6.28,3.1800000000000006,0.11,0.07,0.08
3.95,6.8,3.2200000000000006,-0.01,0.17,-0.02
4.0,6.34,3.2600000000000007,-0.05,-0.05,-0.04
3.63,6.84,3.3200000000000003,-0.11,-0.24,-0.05
3.97,6.26,3.2600000000000007,0.18,-0.38,-0.01
3.91,6.61,3.040000000000001,0.07,-0.28,0.02
3.95,6.66,2.8400000000000007,-0.07,-0.19,0.02
4.03,6.4,2.960000000000001,0.01,-0.08,0.07
4.22,6.56,2.960000000000001,0.0,-0.03,0.1
4.19,6.69,3.0300000000000002,-0.1,-0.07,0.02
4.37,5.75,4.32,0.26,0.06,0.05
4.32,5.41,4.250000000000001,0.26,0.08,0.12
4.45,6.03,4.16,0.05,-0.07,0.07
4.51,5.5,4.430000000000001,0.06,-0.07,0.05
4.44,5.52,4.36,0.17,-0.05,0.07
4.55,5.49,4.11,0.33,-0.09,0.03
4.71,6.28,3.83,0.1,-0.15,0.0
4.62,6.02,3.8200000000000003,-0.08,-0.13,-0.05
4.54,6.11,3.710000000000001,-0.03,-0.03,-0.03
4.41,5.6,3.3600000000000003,-0.07,-0.04,-0.07
3.86,6.63,2.9700000000000006,-0.07,-0.07,0.24
2.84,6.96,2.6000000000000005,0.0,-0.06,0.17
3.82,5.97,2.9700000000000006,-0.13,-0.03,-0.03
3.92,6.63,2.5700000000000003,0.03,-0.1,-0.12
4.01,7.05,2.7700000000000005,-0.36,-0.1,-0.24
3.88,6.94,2.41,0.06,0.16,-0.1
3.87,7.38,2.3100000000000005,-0.39,0.03,-0.09
3.66,6.6,2.9300000000000006,-0.04,0.0,0.06
3.62,6.67,3.0100000000000007,-0.01,0.13,0.07
