acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
3.75,8.76,5.61,0.05,-0.69,-0.47
4.26,8.65,4.5200000000000005,-0.55,0.05,-0.52
3.8,6.45,4.78,-0.24,0.21,-0.13
3.5,6.08,4.540000000000001,-0.07,-0.03,0.11
3.5,5.83,4.78,-0.16,0.03,0.05
3.54,5.2,4.840000000000001,0.08,-0.04,0.09
3.58,5.68,4.8100000000000005,-0.03,-0.09,-0.02
3.33,6.12,4.840000000000001,0.05,-0.13,0.0
4.17,6.07,4.69,0.08,-0.26,0.0
3.47,5.68,5.03,0.05,-0.18,-0.04
3.98,5.33,5.420000000000001,-0.16,0.14,-0.11
3.82,5.48,5.260000000000001,-0.01,0.05,-0.07
3.85,5.51,5.380000000000001,0.1,-0.1,-0.01
3.99,5.36,5.19,0.02,-0.1,-0.02
4.14,5.73,5.340000000000001,0.16,-0.04,0.01
3.76,5.26,5.340000000000001,-0.1,-0.1,-0.01
3.97,5.63,5.08,0.13,-0.29,0.04
4.33,5.42,4.8100000000000005,0.15,-0.35,0.03
4.1,5.28,4.550000000000001,0.0,-0.16,-0.09
4.6,5.49,4.590000000000001,0.11,0.07,-0.2
3.72,5.86,3.8900000000000006,-0.39,-0.36,-0.02
3.32,5.97,4.49,0.08,-0.07,-0.02
3.17,7.05,4.08,-0.28,-0.15,0.0
3.25,6.6,4.390000000000001,-0.24,-0.03,-0.09
3.44,6.46,4.5600000000000005,-0.08,-0.16,-0.13
3.42,6.16,4.66,-0.14,-0.22,-0.04
3.09,6.1,4.36,0.05,-0.15,-0.11
3.74,6.16,4.420000000000001,-0.07,0.09,-0.1
3.01,6.55,4.28,-0.05,0.21,-0.07
3.22,6.57,4.6000000000000005,-0.24,0.2,-0.07
2.95,5.54,5.53,0.27,-0.12,-0.03
2.96,6.94,4.290000000000001,0.51,-0.18,0.0
3.32,6.49,4.5600000000000005,0.21,-0.04,-0.04
3.36,6.48,4.290000000000001,0.17,-0.14,0.0
3.5,5.8,3.7800000000000002,0.25,-0.32,-0.08
2.8,6.33,3.8400000000000007,0.61,-0.29,-0.28
2.73,7.13,4.03,0.21,-0.19,-0.23
2.79,7.26,3.5900000000000007,-0.11,-0.07,-0.1
3.12,7.17,4.170000000000001,-0.47,-0.11,0.06
2.51,5.83,3.9000000000000004,0.02,-0.22,0.16
3.36,5.98,4.170000000000001,0.02,0.01,-0.04
2.75,5.86,3.710000000000001,0.09,-0.03,0.04
3.54,6.86,4.0200000000000005,0.06,0.03,-0.04
3.59,6.6,4.58,-0.03,0.02,-0.05
3.88,7.1,4.58,0.0,-0.02,0.0
3.47,6.57,4.6000000000000005,0.13,0.0,0.03
3.11,5.91,3.95,0.09,-0.06,-0.04
3.3,6.71,3.8200000000000003,0.21,0.01,-0.05
3.35,6.43,3.8000000000000007,-0.09,-0.03,-0.03
3.17,6.64,3.87,0.01,-0.1,0.01
3.26,6.58,4.640000000000001,-0.22,-0.07,-0.04
3.22,6.35,4.87,-0.08,-0.02,0.0
3.61,6.46,4.7,-0.06,0.06,0.02
3.25,6.07,4.44,-0.25,-0.04,-0.07
3.2,5.84,4.61,0.07,0.19,-0.07
3.19,5.17,4.040000000000001,0.21,0.09,-0.11
3.12,5.81,4.750000000000001,0.26,0.17,-0.14
3.02,7.17,4.840000000000001,0.39,0.11,-0.06
3.42,7.45,4.750000000000001,-0.05,-0.02,-0.06
3.08,6.77,4.7700000000000005,-0.14,-0.2,0.06
3.05,7.25,4.210000000000001,0.1,-0.01,-0.26
2.58,7.27,4.1000000000000005,-0.05,0.09,-0.19
2.59,7.02,4.57,0.13,0.0,-0.1
2.45,6.44,4.390000000000001,0.28,0.03,-0.05
2.36,7.08,4.61,0.0,0.01,-0.06
2.46,6.87,4.5600000000000005,-0.04,-0.12,0.01
2.48,6.37,4.290000000000001,-0.05,-0.14,0.01
2.79,6.71,4.590000000000001,0.14,-0.14,0.0
2.27,6.81,3.8000000000000007,-0.25,-0.06,-0.09
2.19,6.77,4.32,-0.03,0.01,0.03
1.97,4.95,4.83,0.21,-0.14,0.13
1.55,7.58,4.65,0.01,-0.15,0.03
1.47,7.66,5.62,-0.05,-0.04,-0.02
1.8,7.3,5.62,-0.26,-0.34,0.08
2.65,5.65,5.03,-0.1,-0.48,0.14
3.31,5.34,4.23,0.29,-0.39,0.12
2.49,5.96,4.1000000000000005,0.37,0.34,0.02
1.47,7.45,3.9300000000000006,0.04,0.28,-0.02
1.95,7.27,4.760000000000001,0.25,-0.09,0.16
2.26,7.35,4.78,0.16,-0.2,0.15
2.79,6.49,4.11,0.03,0.12,-0.19
2.6,6.92,4.19,-0.49,0.2,-0.28
2.63,5.76,4.550000000000001,-0.41,0.21,-0.13
3.21,6.7,4.45,0.09,-0.04,0.07
2.84,6.45,4.37,-0.08,-0.19,0.08
3.51,6.47,4.45,0.12,-0.08,0.09
2.98,6.26,4.5200000000000005,-0.09,0.01,0.03
2.56,6.43,4.680000000000001,0.01,-0.01,0.04
3.08,6.66,4.57,-0.06,-0.08,0.04
3.33,6.23,4.8500000000000005,-0.07,-0.03,0.03
2.59,6.87,4.07,0.05,-0.09,-0.21
2.73,6.68,3.8400000000000007,-0.22,0.0,-0.12
2.55,6.59,3.960000000000001,0.1,0.22,-0.08
2.8,6.59,3.9400000000000004,0.12,0.05,-0.02
2.79,7.2,4.090000000000001,0.09,0.16,0.0
2.49,6.65,4.0600000000000005,-0.13,0.15,0.03
2.58,6.81,4.2,0.0,0.11,0.04
2.22,6.62,4.36,-0.07,-0.07,0.06
2.76,6.85,4.2,0.12,-0.08,0.02
2.38,6.78,4.28,0.05,-0.03,0.02
