acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
5.93,4.51,4.390000000000001,0.11,-0.01,-0.02
6.07,4.49,4.12,0.24,0.0,0.04
5.98,4.59,4.040000000000001,0.15,0.0,0.03
6.05,4.57,4.180000000000001,0.0,0.12,0.01
5.77,4.33,4.180000000000001,0.13,0.08,-0.02
5.83,4.66,4.420000000000001,0.09,0.01,0.0
5.78,4.51,4.090000000000001,0.13,-0.02,0.0
5.97,4.99,4.090000000000001,0.06,-0.07,0.0
5.85,4.88,4.090000000000001,0.03,-0.01,0.03
5.9,4.82,4.24,0.0,0.0,0.01
14.87,18.07,18.35,0.18,1.39,-1.19
5.03,18.07,17.66,-1.59,0.4,2.94
-2.81,17.05,5.19,-1.58,-2.58,4.38
-7.79,2.58,-5.629999999999999,-0.7,-1.74,4.38
-4.51,-7.81,-6.1,-0.63,-0.34,3.23
-0.49,-4.79,1.200000000000001,-0.96,0.61,0.58
3.61,-0.97,3.83,0.38,0.13,-0.34
7.57,3.32,4.95,0.08,0.06,-0.65
7.11,4.69,4.66,0.32,-0.3,-0.24
7.59,5.09,4.41,0.11,0.03,-0.21
9.02,18.07,20.04,-0.35,2.31,-0.33
0.47,18.07,17.29,-0.92,-1.22,3.1
-3.5,13.16,2.880000000000001,-1.35,-2.41,4.38
-6.05,0.53,-6.290000000000001,-1.23,-1.56,4.32
-2.58,-7.22,-4.0,-0.21,-0.63,2.4
-0.06,-6.76,-0.5800000000000001,-0.82,0.41,-0.1
3.65,0.32,3.6100000000000003,0.06,0.13,-0.86
7.64,6.67,5.08,0.14,0.02,-0.67
7.42,6.47,4.430000000000001,0.32,-0.04,-0.1
6.9,6.12,4.720000000000001,0.21,-0.02,0.07
1.81,18.07,7.050000000000001,2.27,1.26,-3.88
8.38,18.07,20.04,-0.71,2.02,-0.03
0.53,18.07,17.83,-1.05,-1.11,3.53
-4.33,11.98,3.6400000000000006,-1.15,-3.28,4.38
-4.11,-1.23,-8.63,-0.57,-1.96,4.38
-0.89,-6.65,-5.309999999999999,-1.87,0.93,1.14
0.48,-5.42,0.16000000000000014,-0.43,0.72,-0.44
5.13,0.54,5.040000000000001,-0.16,0.08,-0.61
6.09,4.78,5.91,0.17,-0.08,-0.47
7.41,6.27,5.07,0.44,-0.15,-0.25
5.11,18.07,19.17,-0.39,1.73,-0.34
0.8,18.07,19.21,-0.74,-0.76,2.92
-2.99,14.48,7.780000000000001,-1.04,-3.23,4.14
-3.69,4.91,-3.51,-0.34,-2.52,4.38
-2.6,-7.0,-6.1899999999999995,-0.79,-0.48,3.5
-0.33,-4.17,-0.41999999999999993,-1.15,0.37,0.66
2.96,-2.87,2.8600000000000003,-0.24,0.26,-0.23
5.56,1.79,4.57,0.09,0.22,-0.92
7.35,4.26,4.970000000000001,0.07,-0.23,-0.5
7.59,5.7,4.590000000000001,0.41,-0.14,-0.4
0.85,18.07,19.59,0.06,-0.42,2.32
-5.34,15.29,11.5,-1.4,-3.07,3.05
-3.62,9.6,-0.9499999999999993,-0.42,-3.35,4.34
-3.61,0.4,-5.539999999999999,-0.69,-1.26,3.87
-1.61,-4.62,-2.91,-0.86,0.26,1.66
0.52,-4.57,2.170000000000001,-0.87,0.72,-0.23
4.89,-0.01,4.470000000000001,-0.22,0.22,-0.79
6.55,5.38,5.5600000000000005,0.4,-0.38,-0.5
7.17,6.73,5.15,0.29,-0.14,-0.14
6.86,6.06,5.130000000000001,0.17,-0.06,0.01
5.89,18.07,12.760000000000002,1.12,1.43,-2.93
9.34,18.07,19.93,0.59,0.0,1.8
2.31,18.07,12.760000000000002,-1.46,-1.39,3.9
-6.64,14.42,-0.16000000000000014,-1.18,-1.97,4.38
-8.0,-0.03,-7.3199999999999985,0.09,-1.17,4.38
-5.72,-10.53,-4.229999999999999,-1.52,0.97,2.24
-0.96,-4.37,3.16,-0.98,0.91,-1.26
6.44,3.75,4.73,0.08,-0.66,-0.56
7.81,6.23,3.8200000000000003,0.59,-0.45,-0.42
7.88,5.95,3.750000000000001,0.1,0.02,0.0
-6.13,-5.93,-0.7299999999999986,-0.73,0.98,-0.11
3.41,-1.27,4.960000000000001,0.04,0.26,-0.77
10.22,6.06,5.32,0.44,-0.74,-0.6
8.02,7.66,3.880000000000001,0.47,-0.78,0.13
7.1,6.42,3.16,0.09,0.21,-0.07
6.72,5.68,4.08,-0.1,0.21,0.1
5.79,3.96,3.630000000000001,0.04,0.08,0.09
6.09,4.23,3.7300000000000004,-0.04,0.01,0.04
6.13,4.39,3.5700000000000003,-0.1,0.04,-0.02
6.49,4.89,3.7800000000000002,0.17,-0.07,0.01
-2.81,-3.15,1.6500000000000004,-0.77,0.53,-0.09
5.87,1.29,3.45,0.09,-0.44,-0.04
6.8,4.04,4.0600000000000005,0.33,0.04,-0.34
7.84,5.04,4.07,0.22,-0.13,-0.16
7.26,5.21,4.220000000000001,0.25,-0.06,-0.07
