acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
6.35,2.33,5.5200000000000005,0.11,-0.04,-0.07
6.47,3.27,5.550000000000001,-0.18,-0.13,0.0
6.51,2.57,5.3100000000000005,0.19,-0.17,0.04
6.62,2.81,5.300000000000001,0.0,0.15,-0.05
6.49,2.18,5.630000000000001,0.0,0.0,-0.06
6.61,2.54,5.880000000000001,0.01,-0.04,-0.03
6.81,2.79,5.250000000000001,0.14,-0.19,-0.01
6.74,3.01,5.210000000000001,-0.01,0.0,-0.04
6.76,2.99,5.24,0.09,0.03,-0.01
6.56,2.83,5.28,0.0,0.06,-0.02
8.0,4.0,5.540000000000001,0.14,0.15,-0.27
6.78,2.98,5.69,-0.18,0.19,-0.11
6.27,3.16,5.6000000000000005,0.12,0.03,0.01
6.22,2.54,5.010000000000001,0.1,0.05,-0.06
6.19,2.61,5.170000000000001,0.02,0.06,-0.09
6.34,2.68,5.470000000000001,-0.1,-0.02,-0.14
6.55,3.94,5.800000000000001,0.0,0.1,-0.08
6.35,3.04,5.590000000000001,0.02,0.03,-0.03
6.15,3.37,5.800000000000001,0.0,0.06,0.01
5.95,2.87,5.710000000000001,0.13,0.0,0.06
7.05,2.94,4.78,0.06,0.08,-0.08
7.17,2.6,4.5600000000000005,-0.03,-0.08,-0.07
7.06,2.98,4.420000000000001,0.01,-0.05,-0.04
7.11,2.65,4.260000000000001,0.0,0.14,-0.11
6.78,2.53,4.640000000000001,-0.11,0.11,-0.07
7.02,2.82,4.930000000000001,0.02,0.09,-0.08
6.79,2.47,4.82,-0.03,0.01,-0.09
7.04,2.77,4.970000000000001,0.02,0.04,-0.07
6.76,2.87,5.000000000000001,0.0,0.07,-0.12
6.8,3.03,5.12,0.1,0.03,-0.07
5.85,2.67,6.84,0.26,0.01,0.02
5.93,2.21,6.65,-0.07,-0.01,-0.19
6.0,2.45,6.8500000000000005,0.05,0.04,-0.06
5.85,2.24,6.59,0.04,-0.09,-0.03
5.72,2.55,6.550000000000001,0.29,-0.1,0.05
5.92,2.36,6.19,0.07,-0.09,0.02
5.93,2.18,6.200000000000001,-0.01,-0.07,-0.03
6.0,2.73,6.290000000000001,0.21,0.01,0.0
5.91,2.47,6.3100000000000005,-0.02,0.02,-0.08
5.45,3.44,6.5200000000000005,0.0,0.02,-0.04
6.59,4.24,3.9700000000000006,0.01,0.17,-0.46
6.32,4.26,3.5500000000000007,-0.07,0.13,-0.44
6.5,5.7,3.790000000000001,0.27,0.11,0.02
6.55,4.39,4.65,-0.24,0.29,0.2
6.42,3.21,5.4,-0.1,0.17,0.28
6.4,3.17,5.220000000000001,0.08,0.04,0.09
6.54,3.19,4.98,0.06,0.1,-0.01
6.5,3.25,4.91,-0.07,0.13,-0.02
6.46,3.48,5.0600000000000005,0.02,0.08,-0.02
6.31,3.47,4.930000000000001,0.06,0.0,0.0
7.99,4.37,5.12,-0.04,0.04,-0.35
7.76,3.61,3.6100000000000003,0.71,0.08,-0.37
7.12,4.05,4.640000000000001,-0.54,0.46,-0.22
6.17,2.54,5.23,0.0,0.23,-0.17
6.06,3.83,5.5600000000000005,0.12,0.05,-0.17
6.12,3.26,4.420000000000001,0.44,0.02,-0.09
6.12,3.61,4.640000000000001,-0.04,0.33,-0.26
6.06,4.15,5.23,-0.12,0.27,-0.17
5.94,3.63,5.84,-0.06,0.12,-0.1
5.91,4.01,5.74,0.0,-0.05,0.0
6.98,5.23,3.5600000000000005,0.03,0.3,-0.37
6.39,4.75,4.710000000000001,-0.24,0.23,-0.26
6.1,4.58,4.750000000000001,0.12,0.01,-0.18
5.96,4.49,4.65,-0.05,0.08,-0.11
5.86,4.57,4.58,0.01,-0.03,-0.06
6.01,4.09,4.37,0.06,0.0,0.0
6.15,4.41,4.7,-0.04,0.0,-0.03
6.03,4.18,4.800000000000001,-0.04,0.09,-0.04
6.18,4.28,4.95,-0.14,-0.03,0.0
6.02,4.02,4.710000000000001,0.02,0.03,0.04
2.99,-1.79,3.6400000000000006,-0.48,0.03,-0.17
5.73,-1.25,3.5700000000000003,0.35,-0.42,-0.43
8.25,2.42,4.61,-0.06,-0.08,-0.77
8.68,2.94,4.57,-0.45,-0.03,-0.94
8.92,2.71,4.49,0.0,-0.05,-0.58
8.72,3.2,4.37,0.12,-0.07,-0.18
8.02,3.39,4.32,0.22,-0.07,-0.1
7.16,3.33,4.0600000000000005,-0.01,-0.08,-0.12
6.65,3.55,4.090000000000001,-0.15,-0.11,-0.1
7.08,3.15,4.430000000000001,-0.19,-0.03,0.0
8.51,3.19,4.930000000000001,-0.3,0.05,-0.65
7.45,3.94,4.4,0.29,-0.05,-0.22
7.45,4.08,4.6000000000000005,0.0,0.1,-0.14
6.93,3.16,4.23,0.04,-0.01,-0.02
7.15,3.53,4.16,0.09,-0.18,0.0
7.24,3.21,4.0200000000000005,0.0,-0.02,-0.06
7.4,3.14,3.6500000000000004,0.09,-0.1,-0.01
7.5,3.14,3.9300000000000006,-0.04,0.09,-0.05
7.25,2.92,4.010000000000001,0.0,0.06,-0.02
7.08,3.31,4.390000000000001,-0.07,0.09,-0.02
7.53,4.88,4.8500000000000005,0.04,0.31,-0.91
5.91,4.79,3.49,-0.13,-0.15,-0.39
5.68,5.14,2.95,0.17,-0.47,-0.13
6.2,3.45,2.460000000000001,0.16,-0.12,0.3
6.61,4.72,3.1000000000000005,0.37,-0.18,0.2
7.38,3.75,3.250000000000001,0.02,-0.12,0.05
7.58,4.46,3.4400000000000004,0.12,0.17,-0.07
7.24,4.3,3.420000000000001,-0.03,0.07,0.0
6.86,4.71,3.4300000000000006,-0.04,0.0,0.07
6.87,4.08,3.2,0.02,0.07,0.03
