acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
7.04,4.05,5.8100000000000005,-0.13,-0.51,-0.16
7.76,3.39,4.98,0.34,-0.66,-0.02
7.15,4.57,5.66,0.37,-0.27,0.1
6.9,4.09,4.57,-0.3,-0.19,-0.01
6.85,3.78,4.140000000000001,-0.08,-0.17,-0.03
6.66,3.59,3.960000000000001,0.2,-0.01,-0.12
6.43,3.74,3.91,0.09,0.07,-0.17
6.55,4.01,3.95,-0.02,0.07,-0.21
6.35,4.27,4.170000000000001,-0.04,0.04,-0.16
6.39,4.3,4.380000000000001,0.01,0.1,-0.08
-1.17,-3.26,-0.5599999999999987,-0.82,-0.01,0.88
2.83,-0.09,1.8100000000000005,-0.69,-0.02,0.17
5.33,2.04,3.0100000000000007,0.4,0.0,-0.19
7.03,3.66,4.420000000000001,0.33,0.09,-0.04
7.22,3.69,4.37,0.39,0.1,-0.17
6.52,5.3,4.720000000000001,0.32,0.18,-0.15
6.36,4.59,4.15,0.25,0.15,-0.09
6.1,4.96,4.380000000000001,0.26,0.21,-0.02
5.96,5.41,4.15,0.29,0.21,0.06
6.13,5.36,3.9800000000000004,0.23,0.33,0.21
-5.01,16.72,8.66,-1.59,-0.97,3.64
-6.86,5.54,0.6500000000000004,-0.28,-2.22,3.48
-4.29,0.91,-3.1899999999999995,0.94,-1.29,3.42
-2.06,-2.02,-2.219999999999999,-0.14,-0.09,2.31
0.82,-2.43,-1.5700000000000003,-0.47,0.03,0.87
4.31,0.37,2.250000000000001,0.51,0.18,0.15
5.81,3.68,3.630000000000001,-0.16,0.09,0.16
7.2,2.99,4.500000000000001,0.01,0.11,0.01
7.42,3.97,3.91,0.13,0.0,-0.15
6.73,4.13,3.7800000000000002,-0.04,0.0,-0.11
-1.29,16.34,8.66,-2.03,1.02,3.75
-5.03,4.25,1.7800000000000011,-1.02,-1.45,3.46
-2.35,-1.41,-2.51,0.45,-1.1,2.7
-1.25,-3.9,-2.51,-0.81,0.23,1.32
1.83,-3.57,1.6100000000000012,-0.42,0.41,0.11
4.56,0.93,4.010000000000001,0.14,-0.15,-0.12
7.29,4.52,4.960000000000001,0.36,-0.22,-0.53
7.04,5.46,4.130000000000001,0.1,-0.23,-0.46
6.68,6.37,3.8100000000000005,0.1,-0.21,-0.28
6.47,5.41,3.8600000000000003,-0.1,-0.04,-0.08
6.36,3.8,4.78,-0.1,-0.08,-0.05
6.07,5.47,3.710000000000001,0.11,-0.09,-0.18
5.9,5.37,4.420000000000001,-0.15,-0.11,-0.04
5.53,5.48,3.7200000000000006,-0.06,-0.07,-0.05
5.69,5.07,4.03,-0.01,0.06,-0.05
5.5,5.15,4.000000000000001,-0.13,0.04,-0.07
5.54,4.83,3.7300000000000004,-0.04,-0.03,-0.07
5.57,5.0,3.9000000000000004,0.03,0.0,-0.06
5.39,5.09,4.03,-0.09,0.07,-0.11
5.38,5.04,4.03,0.0,-0.02,0.0
5.79,5.53,4.49,0.06,0.1,-0.07
5.28,5.29,3.8900000000000006,-0.06,0.1,-0.05
5.51,4.76,4.33,0.08,-0.05,-0.1
5.37,4.97,3.6100000000000003,0.09,0.05,-0.1
5.21,5.1,4.1000000000000005,0.08,0.07,-0.11
5.34,5.43,3.8400000000000007,0.08,-0.03,-0.08
5.33,5.35,4.090000000000001,-0.04,0.01,-0.06
5.26,5.31,3.7800000000000002,-0.01,-0.01,-0.02
5.22,5.35,3.8600000000000003,0.05,0.0,-0.08
5.2,5.65,4.12,-0.02,0.02,-0.07
5.23,5.65,3.8900000000000006,-0.06,0.0,-0.13
5.32,5.34,3.4700000000000006,0.0,-0.03,-0.12
5.11,5.4,3.87,0.1,0.09,-0.15
4.92,5.6,4.010000000000001,0.06,0.01,-0.09
5.27,5.57,3.960000000000001,-0.01,0.02,-0.09
5.15,5.41,3.920000000000001,0.09,-0.02,-0.09
4.91,5.96,3.8600000000000003,0.06,0.0,-0.04
4.89,5.68,3.8500000000000005,0.03,-0.03,0.0
4.97,5.65,3.83,0.01,0.03,-0.01
4.87,5.74,3.9000000000000004,0.05,-0.01,-0.02
5.11,7.05,3.4400000000000004,-0.01,-0.07,-0.03
5.11,5.87,3.170000000000001,-0.11,-0.03,0.07
5.14,5.73,2.8900000000000006,-0.02,0.06,-0.12
5.09,5.72,3.16,0.0,0.09,0.01
5.14,5.92,3.2,-0.12,0.03,-0.02
5.0,5.55,3.1000000000000005,-0.01,0.05,0.01
4.93,5.75,3.2,0.04,-0.01,-0.09
5.28,6.07,3.4400000000000004,-0.01,-0.02,0.0
5.0,6.04,3.1900000000000004,-0.08,0.03,0.0
4.93,5.78,3.1400000000000006,-0.03,0.0,0.0
5.51,5.22,4.5600000000000005,0.23,0.14,-0.19
5.48,5.45,3.8100000000000005,-0.08,-0.08,0.03
5.58,4.93,3.2800000000000002,0.0,0.07,-0.12
4.95,5.24,3.290000000000001,0.08,0.04,-0.2
5.29,5.92,3.33,0.04,-0.01,-0.11
5.22,5.74,3.3600000000000003,-0.03,0.07,-0.06
5.0,5.42,3.2200000000000006,-0.01,0.01,-0.08
5.24,5.6,3.7800000000000002,0.0,0.03,-0.11
5.08,5.93,3.4400000000000004,-0.01,-0.07,-0.05
5.02,5.69,3.3600000000000003,-0.05,0.0,-0.03
4.93,6.12,4.130000000000001,0.17,-0.05,-0.09
4.87,5.54,3.7200000000000006,0.07,-0.02,-0.09
4.58,5.66,3.12,0.08,-0.08,-0.21
5.05,6.01,3.130000000000001,0.15,-0.07,-0.13
4.67,6.4,3.2,0.16,0.03,-0.21
4.72,6.35,3.3000000000000007,0.0,-0.05,-0.12
4.71,6.25,3.41,-0.09,-0.03,-0.01
4.54,6.19,3.08,0.02,-0.1,-0.04
4.82,6.12,3.2,-0.1,-0.09,-0.04
4.67,6.29,3.0900000000000007,-0.1,-0.04,-0.08
4.96,5.59,3.2,-0.1,0.1,-0.01
5.1,5.6,3.4400000000000004,0.1,0.17,-0.19
4.76,5.84,3.4800000000000004,0.02,-0.03,-0.02
5.0,5.62,3.3100000000000005,-0.05,-0.05,-0.08
4.89,5.75,3.1800000000000006,0.14,0.01,-0.12
4.87,6.04,3.3600000000000003,0.12,0.06,-0.16
4.81,6.23,3.3900000000000006,0.02,0.04,-0.16
4.84,6.21,3.3200000000000003,0.0,-0.11,0.05
4.88,6.04,3.250000000000001,0.0,-0.01,0.01
4.75,6.13,3.2800000000000002,-0.04,-0.08,0.04
4.78,5.96,2.41,0.02,0.06,-0.04
4.61,6.32,2.3200000000000003,-0.25,-0.01,-0.09
4.72,6.38,2.45,-0.04,-0.03,0.06
4.55,6.27,2.7200000000000006,-0.09,0.14,-0.01
4.76,6.55,2.750000000000001,0.05,-0.09,0.11
4.7,6.14,2.41,-0.14,0.0,-0.01
4.63,6.37,2.5600000000000005,0.05,0.01,0.02
4.59,6.44,2.630000000000001,-0.05,0.03,0.03
4.7,6.23,2.7200000000000006,-0.05,0.05,0.0
4.61,6.22,2.790000000000001,-0.04,0.0,0.0
5.31,6.73,2.750000000000001,-0.06,0.03,-0.09
4.77,6.18,2.7600000000000007,-0.32,0.01,0.03
5.04,5.25,2.790000000000001,-0.11,-0.03,0.0
4.61,5.93,2.750000000000001,0.02,-0.03,-0.13
4.89,6.29,2.920000000000001,0.07,-0.05,-0.11
4.78,6.24,2.9000000000000004,-0.03,0.03,-0.09
4.9,6.21,2.8600000000000003,0.04,-0.07,-0.01
4.84,6.29,2.7700000000000005,0.0,0.0,-0.05
4.76,6.44,2.7700000000000005,0.0,-0.06,0.01
4.68,6.18,2.920000000000001,-0.04,0.01,-0.04
5.17,6.11,3.3600000000000003,0.07,0.03,-0.16
4.88,6.07,3.2800000000000002,0.06,-0.02,-0.03
5.05,5.75,3.16,-0.04,0.04,-0.12
4.94,5.74,3.2200000000000006,0.04,-0.04,-0.04
4.72,6.23,3.12,-0.01,-0.05,-0.09
4.72,5.95,3.2700000000000005,-0.01,-0.05,-0.07
4.82,6.12,2.9300000000000006,0.04,-0.05,-0.06
4.91,6.28,3.0600000000000005,0.0,0.0,-0.1
4.73,6.21,3.0600000000000005,0.01,-0.01,-0.03
4.66,6.11,3.170000000000001,0.03,0.04,-0.04
5.71,5.71,3.710000000000001,0.13,-0.07,-0.39
5.52,5.71,3.49,0.04,-0.07,-0.2
5.49,5.96,3.8600000000000003,0.34,-0.07,-0.17
5.55,5.81,3.74,-0.06,-0.07,-0.01
5.45,5.25,3.08,0.0,0.02,-0.11
4.96,5.45,3.5900000000000007,0.11,-0.06,-0.08
5.11,6.01,3.6500000000000004,0.01,-0.04,-0.12
5.13,5.63,3.3900000000000006,-0.02,-0.02,-0.11
4.87,5.73,3.4000000000000004,-0.01,-0.05,-0.07
5.01,6.03,3.5700000000000003,0.04,-0.13,-0.09
-0.71,18.07,8.99,-1.05,0.38,3.57
-7.97,10.44,2.540000000000001,-0.66,-0.55,3.88
-7.57,0.22,-3.8599999999999994,-0.49,-0.77,3.3
-2.83,-1.01,-1.75,-0.56,-0.01,2.04
-0.93,-2.37,-2.42,-0.5,-0.21,0.91
2.22,0.08,2.37,-0.54,0.25,0.64
3.93,3.34,2.45,0.0,-0.05,0.0
5.15,4.8,3.66,0.36,-0.09,-0.31
5.08,6.99,3.7600000000000007,0.41,-0.08,-0.16
4.87,6.23,3.6500000000000004,-0.14,-0.04,-0.12
2.76,-2.74,2.6400000000000006,-0.66,-0.04,0.54
2.86,2.85,1.3399999999999999,-0.32,0.18,-0.12
5.49,3.84,3.45,1.15,-0.22,-0.27
4.9,7.68,3.0200000000000005,0.11,-0.27,-0.17
4.4,7.57,2.880000000000001,0.04,-0.26,-0.02
4.73,6.67,1.9800000000000004,-0.21,0.0,-0.12
4.44,6.52,2.3400000000000007,-0.12,0.02,-0.06
4.04,6.86,2.45,-0.01,0.08,-0.18
4.38,6.79,2.33,-0.14,0.0,-0.07
4.32,6.7,2.540000000000001,-0.09,0.01,-0.01
5.27,6.26,4.12,0.75,-0.35,-0.29
4.92,7.59,3.420000000000001,-0.15,-0.24,-0.13
4.46,6.88,2.880000000000001,-0.45,-0.13,0.03
4.53,6.53,2.8000000000000007,-0.19,-0.09,-0.01
4.21,6.24,3.2200000000000006,-0.32,0.08,0.0
4.36,5.9,3.1800000000000006,-0.28,0.03,-0.03
4.46,5.83,3.3500000000000005,-0.16,-0.07,0.01
4.54,6.14,3.12,0.03,0.0,-0.03
4.49,6.33,3.3900000000000006,-0.01,0.03,-0.05
4.23,6.48,3.41,-0.04,0.0,-0.03
4.43,6.1,2.710000000000001,-0.05,0.07,0.01
4.01,6.5,2.7300000000000004,-0.05,0.07,-0.09
4.22,6.73,2.91,-0.12,0.01,0.06
4.35,6.16,2.9300000000000006,-0.1,0.01,0.04
3.99,6.17,3.0500000000000007,0.0,-0.01,0.01
4.24,6.49,2.9400000000000004,0.04,-0.03,-0.01
4.21,6.49,2.95,-0.06,-0.01,-0.01
4.19,6.43,2.87,0.01,0.0,-0.04
4.1,6.38,3.0300000000000002,0.03,-0.01,-0.05
4.22,6.75,2.880000000000001,-0.01,-0.04,-0.05
4.65,6.22,3.24,0.07,-0.02,-0.02
4.38,6.15,3.3200000000000003,0.16,0.01,-0.21
4.47,6.26,3.3200000000000003,0.04,0.02,-0.09
4.08,6.24,3.1100000000000003,0.04,-0.04,-0.18
4.37,6.71,3.1400000000000006,0.11,-0.13,-0.08
4.42,6.58,3.1500000000000004,0.03,-0.02,-0.04
4.29,6.47,3.250000000000001,-0.03,-0.01,-0.06
4.12,6.44,3.2700000000000005,-0.08,-0.06,-0.07
4.35,6.53,3.1800000000000006,-0.02,-0.02,-0.02
4.27,6.71,3.1800000000000006,-0.14,0.02,-0.03
4.48,6.06,3.1500000000000004,0.14,0.03,-0.14
4.06,6.61,2.7800000000000002,0.14,-0.02,-0.24
4.56,6.95,3.130000000000001,-0.04,-0.03,-0.03
4.32,6.7,2.9400000000000004,0.0,0.01,-0.07
4.26,6.65,3.0600000000000005,-0.11,-0.01,0.05
4.24,5.94,2.8100000000000005,0.03,0.01,-0.02
3.97,6.43,3.2700000000000005,0.01,0.01,-0.04
4.2,6.76,3.2,0.04,-0.02,-0.05
4.15,6.55,3.170000000000001,-0.14,-0.04,0.01
4.22,6.37,3.0700000000000003,0.04,-0.03,-0.01
4.58,6.01,3.0600000000000005,-0.21,0.0,0.0
4.11,6.48,2.750000000000001,-0.07,0.08,-0.04
3.85,6.45,2.9300000000000006,-0.06,-0.02,0.04
4.2,6.22,3.1000000000000005,-0.07,-0.01,0.0
4.19,6.34,2.710000000000001,0.03,-0.03,-0.08
4.14,6.66,3.130000000000001,0.0,-0.03,-0.01
4.1,6.79,3.000000000000001,0.0,-0.03,0.0
4.03,6.34,2.9700000000000006,-0.12,-0.02,0.02
4.16,6.33,2.8400000000000007,0.0,-0.01,-0.01
4.1,6.76,2.8900000000000006,-0.04,-0.02,-0.02
4.2,6.7,2.5700000000000003,0.01,-0.04,-0.03
3.99,6.34,2.5600000000000005,-0.09,0.08,-0.14
3.99,6.76,2.6500000000000004,0.04,-0.05,-0.1
4.07,7.04,2.6500000000000004,0.0,0.0,-0.04
3.9,6.95,2.6500000000000004,-0.08,-0.07,-0.01
4.2,6.66,2.7700000000000005,-0.19,-0.02,0.06
4.02,6.48,2.7,-0.07,0.02,-0.02
3.96,6.56,2.8200000000000003,0.0,0.0,-0.01
4.01,6.7,2.790000000000001,-0.01,0.02,-0.04
3.98,6.54,2.790000000000001,-0.05,0.01,0.01
4.63,6.76,2.500000000000001,0.48,0.07,-0.24
4.51,7.9,2.58,-0.04,0.07,-0.09
4.05,6.72,2.1900000000000004,-0.09,0.0,0.08
4.21,6.38,2.4300000000000006,-0.03,0.0,-0.05
4.2,6.63,2.16,-0.04,0.03,-0.14
