acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-10.18,15.68,7.86,-3.54,-1.61,3.75
-12.98,0.45,-11.1,-1.69,-3.19,4.38
-5.75,-17.14,-16.409999999999997,-0.06,0.87,1.98
-11.85,-21.15,-18.43,1.01,-1.84,0.48
4.25,0.51,15.09,-3.9,1.72,-4.34
-10.04,16.19,2.0500000000000007,4.43,-1.6,-4.34
17.78,18.07,7.99,3.18,-1.04,-1.33
18.79,18.07,0.620000000000001,1.0,-0.59,-0.22
7.36,18.07,16.810000000000002,-4.08,4.04,2.39
-6.19,7.68,1.0500000000000007,-1.09,-2.57,3.45
-4.88,18.07,20.04,2.3,-2.27,3.58
18.79,18.07,5.300000000000001,4.43,-2.31,3.22
7.86,18.07,7.17,-4.29,3.04,3.34
-10.78,8.76,-0.46999999999999886,-3.06,-0.3,4.38
-12.76,-5.23,-12.24,-0.94,0.28,3.59
-8.85,-15.56,-19.18,-0.3,-0.73,-0.83
-20.43,-4.8,-14.08,-4.29,-0.68,-4.34
-11.28,6.66,-4.08,3.2,3.8,-3.97
2.6,18.07,8.0,2.3,-1.69,-1.31
18.79,18.07,-0.29999999999999893,3.09,-3.9,-1.43
18.79,18.07,-2.9499999999999993,2.26,-1.25,-0.62
11.36,18.07,5.92,-3.42,2.45,2.37
-3.04,17.53,1.540000000000001,-2.31,0.17,4.38
-11.9,-3.24,-8.209999999999999,-1.7,0.65,4.09
-13.35,-21.15,-13.12,0.18,2.34,-0.02
-19.28,-21.15,-14.13,1.0,-0.62,-2.13
-20.43,-9.1,-19.18,3.73,2.98,-4.34
2.24,18.07,5.890000000000001,0.79,-1.94,-2.6
18.79,18.07,-8.53,4.43,-4.38,2.93
18.79,18.07,0.6900000000000013,-3.29,4.22,2.02
3.26,1.5,3.000000000000001,0.24,-0.5,-0.01
9.04,7.65,1.3100000000000005,0.71,-0.32,-0.17
7.38,5.72,1.200000000000001,-0.23,0.32,-0.06
6.26,4.78,2.7600000000000007,-0.07,0.14,-0.22
6.15,4.94,2.380000000000001,0.09,0.07,-0.11
5.97,5.15,2.0600000000000005,0.17,-0.04,-0.06
5.77,5.03,2.170000000000001,-0.01,0.12,-0.15
5.83,5.66,2.7,0.22,0.05,-0.09
5.95,5.54,1.9800000000000004,0.02,-0.04,-0.12
5.82,5.52,2.460000000000001,0.21,0.04,-0.11
5.6,5.53,2.3500000000000005,0.0,0.0,-0.07
5.71,5.89,2.3900000000000006,0.01,-0.05,0.01
5.59,5.41,2.5600000000000005,-0.03,-0.03,-0.02
5.66,5.54,2.130000000000001,-0.02,-0.05,-0.03
5.63,5.89,2.37,-0.01,-0.02,-0.07
5.65,5.45,1.9400000000000004,-0.09,-0.03,-0.04
5.94,5.8,2.1800000000000006,0.01,-0.01,-0.05
5.9,5.65,2.16,-0.01,0.01,0.01
5.61,5.79,2.1800000000000006,-0.04,0.03,0.02
5.6,5.58,2.1900000000000004,0.02,0.03,0.03
5.6,5.23,2.2600000000000007,-0.05,0.04,-0.07
5.73,5.47,2.210000000000001,0.04,-0.06,-0.03
5.91,5.7,2.130000000000001,0.05,-0.04,-0.09
5.66,5.71,2.0100000000000007,-0.07,-0.02,-0.04
5.84,5.47,2.1500000000000004,0.1,-0.09,-0.03
5.79,5.61,2.12,0.06,-0.04,-0.06
5.86,5.96,2.0100000000000007,0.0,-0.05,-0.04
5.8,5.61,2.0500000000000007,-0.02,-0.04,-0.02
