acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
13.46,19.61,-10.90,1.53,3.93,3.76
10.66,19.61,-9.69,-0.02,4.37,3.30
7.32,19.61,-8.46,-1.03,4.37,3.25
1.58,19.61,-8.91,-1.87,4.37,3.24
-1.81,19.61,-6.05,-2.67,4.37,3.52
-4.40,16.81,-4.49,-3.09,4.37,3.96
-6.76,12.61,-2.84,-3.36,4.37,4.26
-5.69,9.92,-2.42,-3.35,4.34,4.14
-5.60,5.88,-2.56,-3.53,3.50,3.98
-5.13,3.00,-0.61,-3.58,2.82,3.74
-6.28,0.79,-2.88,-3.46,2.30,3.51
-4.39,-1.32,-1.50,-3.14,1.76,3.15
-2.23,-3.06,-0.39,-2.58,1.38,2.81
-1.30,-4.41,0.70,-1.93,1.31,2.43
-1.00,-4.91,-0.03,-1.53,1.36,1.97
-1.63,-5.19,-0.79,-1.36,1.33,1.62
-3.02,-6.10,-2.60,-1.22,0.94,1.51
-3.01,-6.94,-3.51,-1.15,0.52,1.19
-2.94,-8.27,-4.86,-0.84,0.26,0.89
-3.77,-10.96,-7.02,-0.66,0.03,0.72
-5.32,-12.25,-7.03,-0.37,-0.13,0.61
-7.28,-12.29,-8.79,-0.09,-0.15,0.54
-7.11,-11.48,-7.98,0.06,0.07,0.34
-6.04,-10.42,-7.30,0.04,0.53,-0.25
-6.90,-9.24,-7.54,-0.02,0.72,-0.69
-5.78,-8.53,-5.21,-0.09,0.68,-1.11
-3.96,-6.66,-2.51,0.06,1.06,-1.84
-4.18,-5.47,-0.15,0.75,1.28,-2.49
-6.13,-5.03,-1.74,1.32,1.38,-2.74
-7.01,-4.77,-2.17,1.62,1.09,-2.54
-7.71,-2.21,-2.68,1.83,0.60,-2.36
-8.22,-0.61,-1.94,2.11,-0.12,-2.21
-7.86,1.35,-1.89,2.58,-0.42,-1.91
-8.35,4.13,0.68,3.28,-0.55,-1.47
-4.73,7.91,-0.94,3.91,-0.34,-1.04
0.60,13.73,-0.27,4.23,-0.76,-1.23
11.02,19.61,-0.18,4.37,-1.26,-2.59
17.16,19.61,-3.08,4.37,-2.45,-3.32
19.61,19.61,-2.12,4.37,-3.55,-3.08
12.69,19.61,-12.35,4.37,-3.19,-2.45
19.61,19.61,-12.11,4.37,-3.61,-0.42
19.61,19.61,-15.82,4.37,-3.32,1.65
19.61,19.61,-17.68,3.65,-2.58,2.21
19.61,19.61,-10.70,1.92,-1.31,1.96
19.61,19.61,-7.39,0.48,1.90,1.47
17.56,19.61,-8.57,-1.49,4.37,2.52
12.63,19.61,-11.02,-3.29,4.37,1.92
-0.07,19.61,-15.44,-4.37,4.37,2.13
-1.27,12.74,-10.68,-4.37,4.16,1.92
-0.79,5.27,-6.33,-4.37,3.50,2.88
-2.49,3.58,-4.04,-4.37,2.73,3.61
-2.53,-0.66,-0.82,-4.37,2.13,4.15
-2.38,1.00,-1.55,-3.56,1.68,3.53
-0.57,0.46,-1.84,-2.87,1.38,2.80
-0.21,-1.37,-1.90,-2.23,0.96,2.05
0.12,-3.25,-1.01,-1.53,0.77,1.38
-0.28,-2.62,0.25,-1.00,1.01,0.85
0.12,-4.12,-1.57,-0.68,1.08,0.45
-1.78,-3.79,-0.10,-0.59,1.13,0.31
-2.08,-4.05,-2.94,-0.67,1.04,0.08
-3.07,-5.51,-2.13,-0.83,0.94,0.06
-1.86,-4.51,-2.19,-0.94,0.75,-0.04
-1.39,-4.82,-1.08,-0.95,0.72,-0.11
-1.06,-4.36,-0.81,-0.73,0.80,-0.31
-1.03,-4.00,-1.10,-0.43,0.84,-0.61
-1.66,-4.38,-1.10,-0.17,0.87,-0.91
-1.35,-2.74,-0.99,0.03,0.85,-1.11
-2.04,-2.23,-1.72,0.20,0.76,-1.38
-2.13,-2.48,-1.54,0.20,0.71,-1.49
-2.02,-1.41,-2.48,0.18,0.53,-1.59
-2.14,-0.74,-2.15,0.11,0.24,-1.70
-1.81,-0.88,-1.71,0.18,0.13,-1.75
-1.20,-0.42,-1.81,0.33,-0.13,-1.80
-0.80,-0.35,-0.44,0.63,-0.15,-1.87
0.00,0.40,-0.24,1.04,-0.14,-1.89
0.22,1.52,-0.13,1.49,-0.21,-2.02
0.81,2.80,-1.09,1.92,-0.44,-2.12
1.77,4.12,-2.41,2.29,-1.04,-2.14
3.86,7.41,-2.96,2.50,-1.67,-2.37
4.90,10.58,-2.70,2.73,-2.01,-2.45
7.51,19.61,-1.18,2.93,0.46,-2.33
6.64,19.61,-2.53,2.26,0.33,-1.73
7.97,19.61,-2.73,1.64,-0.27,-1.28
6.75,19.41,-2.30,1.02,-0.43,-0.96
8.41,19.61,-4.41,0.50,-1.15,-0.74
7.86,19.61,-1.48,0.10,-1.17,-0.93
8.14,18.18,-2.36,-0.16,-0.97,-0.89
6.75,15.93,-1.69,-0.23,-0.84,-0.50
6.49,14.86,-1.18,-0.15,-0.42,-0.21
5.49,13.11,-1.91,-0.03,-0.29,0.09
4.48,13.07,-0.09,0.00,-0.14,0.77
4.59,11.81,-1.50,-0.09,-0.23,0.42
4.25,10.74,-2.16,-0.04,-0.08,0.42
3.47,10.69,-3.91,-0.21,-0.52,0.43
3.30,9.60,-1.59,-0.54,-0.60,0.52
3.39,9.15,-1.13,-0.80,-0.40,0.64
4.12,8.98,-1.07,-0.87,-0.26,0.57
3.98,8.75,-1.00,-0.82,-0.16,0.33
3.30,7.79,-1.01,-0.71,-0.15,0.23
3.27,7.73,-0.92,-0.56,-0.14,0.19
