acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
8.37,19.61,-14.70,3.93,3.71,3.15
8.22,19.61,-14.68,2.43,4.37,3.42
7.42,19.61,-19.61,0.88,4.37,3.41
6.39,19.61,-11.14,-0.38,4.37,2.58
3.58,19.61,-16.31,-1.72,4.37,1.47
-0.35,19.61,-14.25,-3.50,4.37,1.04
-1.23,18.71,-11.98,-4.37,4.37,1.11
-3.65,13.73,-9.59,-4.37,4.37,1.34
-3.14,10.54,-8.40,-4.37,3.98,1.54
-3.62,5.81,-6.29,-4.37,3.49,1.47
-3.87,2.31,-5.18,-4.37,2.91,1.47
-3.41,-0.70,-3.69,-4.37,2.17,1.49
-1.80,-2.89,-2.67,-4.37,1.67,1.40
-2.23,-3.97,-4.30,-4.37,1.20,1.27
0.65,-6.85,-1.55,-4.37,0.88,1.25
0.05,-8.33,0.48,-3.69,0.92,1.15
1.28,-8.24,0.70,-3.04,1.13,0.97
0.26,-8.93,-2.10,-2.63,0.70,0.58
-2.89,-10.81,-4.95,-2.97,-0.10,0.25
-3.72,-9.97,-4.58,-3.26,-0.37,-0.25
-2.47,-10.53,-6.52,-3.52,-0.75,-0.74
-2.08,-12.08,-4.64,-3.45,-0.85,-1.08
-2.34,-13.90,-3.74,-2.98,-0.54,-1.24
-3.05,-14.24,-1.91,-2.22,-0.03,-1.22
-3.34,-13.23,-0.75,-1.20,0.54,-1.34
-4.01,-11.43,-1.43,0.13,1.04,-1.55
-4.67,-10.07,-2.23,0.97,1.14,-1.80
-4.53,-7.69,-2.32,1.56,0.95,-2.11
-5.60,-6.18,-2.22,2.14,0.66,-2.43
-5.79,-5.08,-1.83,2.84,0.32,-2.60
-6.03,-4.99,-1.34,3.47,0.16,-2.53
-6.20,-3.92,-1.46,4.03,0.13,-2.16
-5.12,-1.91,-2.26,4.37,0.19,-1.80
-4.78,0.99,-4.07,4.37,0.14,-1.62
-4.24,4.19,-6.13,4.37,-0.20,-1.68
-4.21,10.72,-6.31,4.37,-0.74,-1.80
-0.95,13.84,-12.88,4.37,-1.10,-1.81
1.75,19.61,-6.70,4.37,-1.38,-1.36
10.02,19.61,-14.91,4.37,-1.99,-1.06
16.40,19.61,-15.33,4.37,-3.06,-0.73
17.32,19.61,-18.52,4.37,-3.85,-0.03
19.61,19.61,-19.51,4.37,-3.88,0.62
19.61,19.61,-6.02,4.37,-3.07,-0.34
19.61,19.61,-16.23,2.83,0.69,2.18
19.61,19.61,-12.92,1.63,-0.70,2.73
18.89,19.61,-11.47,-0.45,1.75,2.58
15.12,19.61,-19.03,-1.76,1.09,1.75
0.73,19.61,-14.78,-2.64,1.20,1.51
-1.42,17.77,-7.76,-4.06,3.49,2.57
1.13,12.10,-10.13,-4.29,4.27,2.39
2.77,11.77,-9.11,-4.37,3.50,2.21
-1.31,4.33,-6.18,-4.37,2.95,2.17
-2.12,0.00,-3.63,-4.37,2.35,2.07
-5.49,0.29,-10.98,-4.34,1.52,1.60
-4.44,-1.19,-5.24,-4.37,1.88,1.89
-1.69,-3.43,-2.96,-4.37,2.35,2.55
-1.27,-5.35,-1.98,-4.37,1.99,2.24
0.25,-7.41,-0.35,-4.37,1.59,1.52
-2.09,-7.00,-2.34,-3.52,0.75,0.71
-3.03,-8.39,-0.68,-3.09,0.29,0.23
-1.22,-6.67,2.34,-2.07,0.37,0.02
-0.69,-9.24,-1.54,-1.65,0.31,-0.55
-3.82,-9.23,-1.81,-1.35,-0.08,-1.05
-1.70,-8.42,-1.66,-0.92,-0.20,-1.24
-2.21,-8.19,-1.89,-0.47,-0.24,-1.31
-2.64,-8.76,-1.14,-0.54,-0.18,-1.44
-2.00,-7.67,0.29,0.24,0.11,-1.25
-0.36,-5.79,0.21,0.58,0.49,-1.47
-1.00,-4.69,-1.48,0.81,0.48,-1.61
-0.94,-3.66,-0.77,0.91,0.65,-1.84
-1.67,-3.14,-0.47,1.24,0.76,-2.26
-1.75,-3.09,-2.03,1.56,0.41,-2.56
-5.70,-2.46,2.00,2.11,0.02,-2.76
-4.42,-1.30,-1.29,2.82,0.03,-2.90
-2.70,-0.11,-2.38,3.29,-0.32,-2.36
-0.06,2.06,-1.38,3.82,-0.51,-2.17
1.87,5.56,-4.12,4.36,-0.80,-2.10
-0.47,12.07,-5.41,4.37,-1.29,-2.12
0.44,14.40,-4.99,4.37,-1.47,-1.87
5.65,18.50,-7.33,4.37,-1.35,-1.29
8.57,19.61,-7.32,3.78,-2.43,-0.41
10.13,19.61,-11.26,2.46,-1.78,-0.31
8.54,19.61,-11.24,1.24,-1.95,-0.14
8.01,19.61,-10.58,0.22,-1.88,0.20
9.19,19.61,-8.55,-0.39,-1.51,0.29
8.65,18.69,-6.39,-0.57,-0.99,0.02
7.43,16.45,-5.89,-0.81,-0.69,-0.12
6.87,14.14,-4.95,-0.83,-0.15,-0.14
5.40,12.54,-5.54,-0.82,0.14,-0.07
4.92,12.17,-5.16,-0.70,0.25,-0.06
3.92,10.76,-4.43,-0.56,0.30,0.01
4.17,10.34,-3.48,-0.43,0.55,0.12
3.35,10.03,-4.51,-0.27,0.44,0.14
2.65,9.70,-3.95,-0.29,0.38,0.25
2.45,9.72,-3.40,-0.41,0.40,0.35
3.15,9.18,-3.19,-0.43,0.41,0.24
2.73,8.71,-3.47,-0.38,0.44,0.28
3.23,8.19,-3.13,-0.32,0.46,0.23
1.08,8.11,-1.98,-0.20,0.28,0.18
2.03,7.80,-4.12,-0.06,-0.07,0.21
13.76,19.61,-8.97,1.53,1.11,1.71
12.77,19.61,-13.19,0.07,1.94,1.49
8.26,19.61,-14.65,-1.52,2.23,1.46
5.87,19.61,-13.51,-2.70,2.22,1.71
3.15,19.61,-12.77,-3.53,2.04,2.05
1.65,19.61,-9.88,-4.02,1.96,2.18
0.19,15.62,-7.53,-4.04,2.04,2.03
-1.81,11.17,-6.48,-4.06,2.01,1.82
-2.85,7.10,-6.22,-4.03,1.88,1.61
-3.67,2.89,-4.88,-4.20,1.82,1.32
-4.30,-2.76,-2.99,-4.14,1.57,1.12
-3.93,-5.64,-2.57,-3.86,1.14,1.06
-4.25,-9.21,-2.74,-3.59,0.69,1.06
-2.93,-12.41,-1.62,-3.34,0.28,1.03
-2.13,-13.62,-1.00,-3.11,0.19,0.73
1.52,-10.11,-0.69,-2.47,0.12,-0.23
-1.44,-15.36,0.47,-2.01,0.09,-0.34
-4.82,-19.22,-2.54,-1.98,0.04,-0.73
-4.78,-19.36,-2.18,-1.60,-0.29,-0.81
-4.56,-18.70,-1.01,-0.95,-0.43,-0.83
-2.76,-17.93,1.33,-0.05,-0.14,-0.88
-1.72,-15.58,2.19,1.22,0.30,-1.08
-2.95,-14.12,0.81,2.08,0.60,-1.20
-4.41,-12.66,0.64,2.70,0.68,-1.22
-6.34,-11.55,-0.72,3.12,0.50,-1.24
-5.66,-8.25,0.31,3.40,0.13,-1.43
-5.46,-6.21,-1.09,3.89,-0.11,-1.63
-6.33,-4.13,-3.04,4.12,-0.52,-1.77
-6.97,-1.67,-3.56,4.37,-0.73,-1.70
-5.76,2.16,-5.16,4.37,-0.83,-1.61
-3.85,8.41,-8.05,4.37,-1.08,-1.73
-1.00,14.56,-8.28,4.37,-1.58,-1.88
5.86,18.64,-6.96,4.37,-1.77,-1.05
6.88,19.61,-15.63,4.37,-1.98,-0.49
9.44,19.61,-19.61,4.37,-2.14,0.66
19.58,19.61,-19.61,4.37,-3.78,0.99
19.61,19.61,-19.61,3.66,-3.35,0.98
19.61,19.61,-19.61,1.82,-2.69,0.34
19.61,19.61,-19.61,0.63,-0.35,-0.52
17.79,19.61,-19.61,-0.44,0.70,-0.92
9.74,19.61,-19.61,-1.78,1.05,-0.36
3.61,19.61,-15.90,-3.11,2.30,0.77
7.01,19.61,-11.61,-3.92,3.61,1.68
5.83,19.61,-9.45,-4.30,4.01,1.51
-0.74,14.73,-9.32,-4.31,3.50,1.24
-1.42,11.94,-7.28,-4.06,3.27,1.43
-4.94,8.20,-7.89,-4.27,3.07,1.82
-4.03,4.74,-6.22,-4.37,3.00,2.05
-5.12,2.16,-5.46,-4.37,2.72,1.78
-5.52,-3.06,-4.53,-4.37,1.80,1.56
-7.67,-4.90,-2.43,-4.37,1.10,1.35
-6.21,-9.27,-0.63,-4.05,0.79,1.43
-4.33,-7.87,0.72,-3.14,0.29,1.17
-1.61,-7.02,0.50,-2.43,-0.03,0.60
-2.50,-8.49,0.28,-1.99,-0.41,0.48
-3.87,-9.47,-0.28,-1.52,-0.43,0.51
-2.09,-8.58,0.46,-1.32,-0.33,0.34
-4.89,-9.58,7.18,-1.13,-0.49,0.04
-0.22,-10.39,-0.50,-0.82,-0.02,-0.09
-1.96,-10.20,1.62,-0.45,-0.10,-0.08
-1.35,-8.64,0.70,-0.14,-0.04,-0.20
-0.82,-8.18,1.26,0.42,0.05,-0.53
-0.97,-6.99,0.51,0.71,0.01,-1.06
-1.83,-5.97,-0.17,0.84,-0.19,-1.46
-0.52,-5.77,1.01,0.94,-0.29,-1.74
-1.81,-5.48,-0.15,0.96,-0.55,-1.36
-0.35,-5.88,0.71,1.44,-0.10,-1.45
-1.04,-5.34,-0.53,2.09,-0.08,-1.49
-2.03,-3.51,-2.70,2.64,-0.29,-1.40
-1.53,-1.46,-3.26,3.00,-0.78,-1.42
0.83,1.43,-5.10,3.12,-1.17,-1.60
0.65,5.00,-3.41,3.00,-1.41,-1.86
2.51,8.15,-4.58,2.95,-1.49,-2.10
1.61,11.13,-3.82,3.03,-1.33,-2.20
0.46,14.03,-4.81,3.31,-1.16,-1.68
0.50,18.21,-6.57,3.75,-1.19,-1.29
1.92,19.61,-10.25,3.84,-1.56,-1.49
4.01,19.61,-11.42,3.21,-2.08,-1.52
4.67,19.61,-8.47,2.15,-1.85,-1.64
6.75,19.61,-10.44,1.37,-1.67,-1.23
7.46,19.61,-9.41,1.01,-1.80,-1.00
6.33,19.61,-8.54,0.95,-1.39,-0.79
3.80,19.61,-6.47,0.84,-1.10,-0.19
6.04,19.61,-10.73,0.48,-1.12,0.08
5.84,19.32,-6.67,0.15,-0.66,0.30
4.62,17.62,-6.95,0.02,-0.49,0.02
3.29,15.77,-5.60,-0.13,-0.43,0.24
4.35,13.78,-4.65,-0.26,-0.15,0.37
3.44,12.08,-4.31,-0.25,-0.13,0.48
3.11,10.87,-3.43,-0.15,0.04,0.54
3.23,10.87,-3.61,-0.06,0.14,0.51
2.59,10.09,-3.21,-0.06,0.17,0.49
2.59,9.51,-2.78,-0.06,0.32,0.46
2.44,9.39,-2.89,-0.05,0.35,0.37
2.01,8.97,-3.06,-0.07,0.26,0.26
2.13,8.64,-2.85,-0.14,0.20,0.14
1.82,8.56,-3.27,-0.19,0.15,0.10
1.84,8.72,-3.55,-0.26,0.01,0.02
1.89,8.18,-3.12,-0.29,-0.08,0.01
1.93,7.83,-3.02,-0.31,-0.10,0.09
9.67,19.61,-11.54,1.42,0.92,2.40
10.23,19.61,-11.25,0.59,1.21,2.22
8.16,19.61,-11.82,-0.04,1.73,1.74
6.50,19.61,-12.28,-0.68,1.80,1.57
3.26,19.61,-11.39,-1.26,1.88,1.69
1.53,18.54,-10.61,-1.73,1.74,2.02
0.76,14.94,-9.98,-2.38,1.52,2.37
-0.42,11.10,-7.51,-2.75,1.54,2.36
-1.51,9.04,-7.19,-3.13,1.48,2.15
-2.51,6.13,-6.62,-3.55,1.44,1.91
-2.61,3.20,-4.36,-3.90,1.55,1.72
-2.77,-0.86,-1.56,-3.88,1.76,1.60
-2.05,-4.26,0.25,-3.39,1.77,1.32
-2.55,-7.46,0.68,-2.71,1.51,0.93
-3.80,-9.75,0.67,-2.02,1.04,0.71
-3.17,-11.07,0.41,-1.68,0.69,0.46
-0.18,-9.32,0.96,-1.61,0.41,-0.08
-0.61,-10.20,1.66,-1.57,0.42,-0.51
-1.73,-11.07,1.94,-1.36,0.56,-0.93
-5.82,-14.04,-0.38,-1.09,0.53,-1.20
-5.89,-14.16,-0.57,-0.72,0.43,-0.96
-4.13,-14.84,-1.26,-0.89,0.28,-1.24
-5.38,-13.35,-0.38,-0.58,0.29,-1.25
-3.98,-12.27,-0.10,-0.19,0.46,-1.44
-3.57,-11.79,0.28,0.32,0.60,-1.91
-4.37,-11.36,1.00,0.96,0.69,-2.33
-5.77,-10.05,0.26,1.57,0.72,-2.64
-6.49,-8.92,-1.03,2.04,0.46,-2.74
-6.77,-6.80,-1.73,2.39,0.10,-2.78
-6.60,-5.60,-3.06,2.68,-0.19,-2.82
-6.54,-4.33,-3.92,3.08,-0.44,-2.73
-6.27,-2.24,-6.35,3.61,-0.71,-2.60
-5.68,1.09,-7.40,4.10,-0.91,-2.51
-4.24,6.30,-9.86,4.37,-1.04,-2.39
-2.26,15.39,-12.96,4.37,-1.29,-2.55
1.12,19.61,-12.93,4.37,-1.56,-2.26
2.39,19.61,-19.61,4.37,-1.57,-0.96
4.36,19.61,-19.61,4.37,-2.54,-0.33
7.00,19.61,-19.61,4.06,-3.45,0.85
12.56,19.61,-19.61,2.86,-4.37,1.45
19.61,19.61,-9.27,1.42,-2.53,-0.64
15.35,19.61,-16.40,0.16,0.24,-1.07
11.52,19.61,-14.60,-2.02,2.87,0.49
14.78,19.61,-12.57,-3.18,4.37,1.84
6.69,19.61,-15.47,-3.19,3.32,1.88
4.79,19.61,-11.42,-3.23,2.38,1.10
4.01,19.61,-8.52,-3.52,3.63,1.35
-0.71,18.55,-12.47,-3.67,4.23,1.33
-3.03,14.24,-15.53,-4.37,2.94,2.35
-2.11,6.10,-12.28,-4.37,1.55,2.62
-3.10,2.24,-5.86,-4.37,1.92,2.34
-2.67,-0.51,-4.89,-4.37,2.01,2.02
-1.35,-2.13,-4.63,-4.20,1.24,1.99
-1.47,-3.82,-1.70,-3.78,1.01,1.93
-1.65,-5.08,-1.74,-3.39,0.81,1.89
-0.45,-5.94,-0.45,-2.80,0.64,1.55
-1.21,-6.57,0.38,-1.93,0.47,1.43
-0.83,-10.96,-1.53,-1.39,0.19,1.26
-4.16,-14.93,-1.86,-1.48,-0.24,1.28
