acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
4.29,6.34,-6.95,0.0,0.03,0.05
4.32,6.57,-7.01,-0.05,0.01,0.04
4.34,6.36,-6.75,0.0,0.06,0.08
4.28,6.32,-6.94,0.0,0.02,0.05
4.5,6.26,-6.75,0.06,-0.03,0.04
4.32,6.44,-6.8,0.04,0.01,0.0
4.32,6.51,-6.93,-0.01,-0.04,-0.01
4.36,6.62,-6.78,0.0,-0.04,-0.02
4.29,6.53,-6.9,-0.03,-0.05,0.0
4.43,6.52,-6.8,-0.03,0.0,0.01
4.76,6.27,-6.67,0.1,0.03,-0.02
4.72,6.03,-6.66,0.07,0.01,0.03
4.56,6.27,-6.66,0.09,-0.03,-0.04
4.44,6.32,-6.46,0.02,-0.09,-0.05
4.38,6.36,-6.53,-0.09,-0.04,0.01
4.52,6.22,-6.75,0.01,-0.06,0.06
4.7,6.38,-6.85,0.12,-0.13,0.11
4.83,6.43,-6.72,0.0,-0.08,0.11
4.71,6.43,-7.08,0.06,-0.17,0.15
4.74,6.17,-6.98,0.07,-0.19,0.11
4.41,6.19,-7.52,-0.12,0.1,-0.18
4.33,6.08,-7.45,-0.7,-0.04,-0.13
4.44,6.07,-7.18,0.0,-0.03,-0.06
4.04,6.67,-7.51,0.23,0.03,-0.07
4.42,6.98,-7.63,0.93,0.13,0.01
4.43,7.17,-7.67,0.48,0.15,0.05
4.86,6.98,-7.94,0.04,0.0,0.06
5.18,6.32,-7.72,-0.3,0.0,-0.02
5.08,6.54,-7.94,-0.3,-0.11,-0.04
4.89,5.92,-8.07,-0.27,0.0,-0.06
3.49,7.22,-6.01,0.17,0.12,-0.04
3.52,7.34,-6.14,0.06,0.12,0.12
3.19,7.3,-6.59,-0.07,0.0,0.1
3.55,6.68,-6.38,-0.14,0.03,0.08
3.74,6.57,-6.5,0.09,0.02,0.1
3.44,6.6,-6.58,-0.06,0.01,-0.01
3.67,6.27,-6.45,0.09,0.13,0.01
3.39,6.58,-6.43,-0.1,0.13,0.0
3.64,6.66,-6.17,-0.07,-0.04,-0.02
3.64,6.53,-6.09,-0.01,-0.08,0.01
3.22,6.56,-7.41,-0.04,-0.02,0.01
3.37,5.39,-7.3,-0.04,0.0,-0.11
3.41,5.73,-6.48,0.11,-0.07,-0.11
3.79,6.64,-5.82,0.17,-0.09,0.0
3.76,7.07,-6.4,0.01,-0.01,0.03
3.88,7.22,-5.68,0.1,0.03,0.1
3.67,7.22,-6.15,0.0,0.0,0.11
3.7,6.44,-6.1,-0.01,0.03,0.12
3.34,6.84,-6.44,-0.08,0.11,0.12
3.79,6.27,-6.22,-0.02,-0.01,0.11
4.05,6.62,-6.76,0.12,-0.07,-0.07
4.03,6.95,-6.76,-0.08,-0.01,-0.06
4.06,6.52,-6.52,-0.18,0.05,-0.06
3.93,6.7,-6.53,-0.07,0.03,-0.01
3.64,6.33,-6.27,-0.07,0.0,0.0
3.47,6.78,-6.46,0.28,-0.3,0.11
4.42,7.2,-6.33,0.24,-0.27,0.11
4.47,6.19,-6.53,-0.09,-0.13,0.02
4.06,6.57,-6.63,-0.04,-0.27,-0.01
3.92,6.28,-6.83,-0.37,-0.34,-0.13
4.06,8.06,-6.59,-0.03,-0.04,0.03
3.71,7.17,-6.72,-0.05,0.17,0.12
3.25,6.77,-6.76,-0.12,0.18,0.13
3.3,6.37,-6.46,-0.13,0.03,0.14
3.59,6.06,-6.11,-0.07,-0.01,0.11
3.54,6.36,-6.31,-0.04,-0.11,0.04
4.15,6.38,-6.26,-0.05,-0.19,0.01
3.88,6.66,-6.51,-0.02,-0.19,0.01
3.96,6.93,-6.46,0.03,-0.08,-0.02
4.08,6.59,-6.47,0.0,-0.03,0.03
4.76,6.71,-6.27,0.01,-0.11,0.07
4.42,6.15,-6.07,-0.04,0.02,0.08
4.53,6.3,-6.25,-0.06,0.1,0.15
4.1,5.8,-5.97,-0.11,0.09,0.05
3.7,5.72,-5.68,-0.05,0.1,0.07
4.33,5.94,-5.94,0.0,0.0,0.03
4.79,5.79,-5.93,-0.01,-0.12,0.0
4.75,6.32,-6.0,0.18,-0.14,0.08
4.6,6.2,-6.09,-0.1,-0.04,0.03
4.64,6.16,-6.28,0.13,0.02,0.0
3.66,6.28,-6.63,0.11,0.07,0.08
3.95,6.8,-6.59,-0.01,0.17,-0.02
4.0,6.34,-6.55,-0.05,-0.05,-0.04
3.63,6.84,-6.49,-0.11,-0.24,-0.05
3.97,6.26,-6.55,0.18,-0.38,-0.01
3.91,6.61,-6.77,0.07,-0.28,0.02
3.95,6.66,-6.97,-0.07,-0.19,0.02
4.03,6.4,-6.85,0.01,-0.08,0.07
4.22,6.56,-6.85,0.0,-0.03,0.1
4.19,6.69,-6.78,-0.1,-0.07,0.02
4.37,5.75,-5.49,0.26,0.06,0.05
4.32,5.41,-5.56,0.26,0.08,0.12
4.45,6.03,-5.65,0.05,-0.07,0.07
4.51,5.5,-5.38,0.06,-0.07,0.05
4.44,5.52,-5.45,0.17,-0.05,0.07
4.55,5.49,-5.7,0.33,-0.09,0.03
4.71,6.28,-5.98,0.1,-0.15,0.0
4.62,6.02,-5.99,-0.08,-0.13,-0.05
4.54,6.11,-6.1,-0.03,-0.03,-0.03
4.41,5.6,-6.45,-0.07,-0.04,-0.07
3.86,6.63,-6.84,-0.07,-0.07,0.24
2.84,6.96,-7.21,0.0,-0.06,0.17
3.82,5.97,-6.84,-0.13,-0.03,-0.03
3.92,6.63,-7.24,0.03,-0.1,-0.12
4.01,7.05,-7.04,-0.36,-0.1,-0.24
