acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
3.75,8.76,-4.2,0.05,-0.69,-0.47
4.26,8.65,-5.29,-0.55,0.05,-0.52
3.8,6.45,-5.03,-0.24,0.21,-0.13
3.5,6.08,-5.27,-0.07,-0.03,0.11
3.5,5.83,-5.03,-0.16,0.03,0.05
3.54,5.2,-4.97,0.08,-0.04,0.09
3.58,5.68,-5.0,-0.03,-0.09,-0.02
3.33,6.12,-4.97,0.05,-0.13,0.0
4.17,6.07,-5.12,0.08,-0.26,0.0
3.47,5.68,-4.78,0.05,-0.18,-0.04
3.98,5.33,-4.39,-0.16,0.14,-0.11
3.82,5.48,-4.55,-0.01,0.05,-0.07
3.85,5.51,-4.43,0.1,-0.1,-0.01
3.99,5.36,-4.62,0.02,-0.1,-0.02
4.14,5.73,-4.47,0.16,-0.04,0.01
3.76,5.26,-4.47,-0.1,-0.1,-0.01
3.97,5.63,-4.73,0.13,-0.29,0.04
4.33,5.42,-5.0,0.15,-0.35,0.03
4.1,5.28,-5.26,0.0,-0.16,-0.09
4.6,5.49,-5.22,0.11,0.07,-0.2
3.72,5.86,-5.92,-0.39,-0.36,-0.02
3.32,5.97,-5.32,0.08,-0.07,-0.02
3.17,7.05,-5.73,-0.28,-0.15,0.0
3.25,6.6,-5.42,-0.24,-0.03,-0.09
3.44,6.46,-5.25,-0.08,-0.16,-0.13
3.42,6.16,-5.15,-0.14,-0.22,-0.04
3.09,6.1,-5.45,0.05,-0.15,-0.11
3.74,6.16,-5.39,-0.07,0.09,-0.1
3.01,6.55,-5.53,-0.05,0.21,-0.07
3.22,6.57,-5.21,-0.24,0.2,-0.07
2.95,5.54,-4.28,0.27,-0.12,-0.03
2.96,6.94,-5.52,0.51,-0.18,0.0
3.32,6.49,-5.25,0.21,-0.04,-0.04
3.36,6.48,-5.52,0.17,-0.14,0.0
3.5,5.8,-6.03,0.25,-0.32,-0.08
2.8,6.33,-5.97,0.61,-0.29,-0.28
2.73,7.13,-5.78,0.21,-0.19,-0.23
2.79,7.26,-6.22,-0.11,-0.07,-0.1
3.12,7.17,-5.64,-0.47,-0.11,0.06
2.51,5.83,-5.91,0.02,-0.22,0.16
3.36,5.98,-5.64,0.02,0.01,-0.04
2.75,5.86,-6.1,0.09,-0.03,0.04
3.54,6.86,-5.79,0.06,0.03,-0.04
3.59,6.6,-5.23,-0.03,0.02,-0.05
3.88,7.1,-5.23,0.0,-0.02,0.0
3.47,6.57,-5.21,0.13,0.0,0.03
3.11,5.91,-5.86,0.09,-0.06,-0.04
3.3,6.71,-5.99,0.21,0.01,-0.05
3.35,6.43,-6.01,-0.09,-0.03,-0.03
3.17,6.64,-5.94,0.01,-0.1,0.01
3.26,6.58,-5.17,-0.22,-0.07,-0.04
3.22,6.35,-4.94,-0.08,-0.02,0.0
3.61,6.46,-5.11,-0.06,0.06,0.02
3.25,6.07,-5.37,-0.25,-0.04,-0.07
3.2,5.84,-5.2,0.07,0.19,-0.07
3.19,5.17,-5.77,0.21,0.09,-0.11
3.12,5.81,-5.06,0.26,0.17,-0.14
3.02,7.17,-4.97,0.39,0.11,-0.06
3.42,7.45,-5.06,-0.05,-0.02,-0.06
3.08,6.77,-5.04,-0.14,-0.2,0.06
3.05,7.25,-5.6,0.1,-0.01,-0.26
2.58,7.27,-5.71,-0.05,0.09,-0.19
2.59,7.02,-5.24,0.13,0.0,-0.1
2.45,6.44,-5.42,0.28,0.03,-0.05
2.36,7.08,-5.2,0.0,0.01,-0.06
2.46,6.87,-5.25,-0.04,-0.12,0.01
2.48,6.37,-5.52,-0.05,-0.14,0.01
2.79,6.71,-5.22,0.14,-0.14,0.0
2.27,6.81,-6.01,-0.25,-0.06,-0.09
2.19,6.77,-5.49,-0.03,0.01,0.03
1.97,4.95,-4.98,0.21,-0.14,0.13
1.55,7.58,-5.16,0.01,-0.15,0.03
1.47,7.66,-4.19,-0.05,-0.04,-0.02
1.8,7.3,-4.19,-0.26,-0.34,0.08
2.65,5.65,-4.78,-0.1,-0.48,0.14
3.31,5.34,-5.58,0.29,-0.39,0.12
2.49,5.96,-5.71,0.37,0.34,0.02
1.47,7.45,-5.88,0.04,0.28,-0.02
1.95,7.27,-5.05,0.25,-0.09,0.16
2.26,7.35,-5.03,0.16,-0.2,0.15
2.79,6.49,-5.7,0.03,0.12,-0.19
2.6,6.92,-5.62,-0.49,0.2,-0.28
2.63,5.76,-5.26,-0.41,0.21,-0.13
3.21,6.7,-5.36,0.09,-0.04,0.07
2.84,6.45,-5.44,-0.08,-0.19,0.08
3.51,6.47,-5.36,0.12,-0.08,0.09
2.98,6.26,-5.29,-0.09,0.01,0.03
2.56,6.43,-5.13,0.01,-0.01,0.04
3.08,6.66,-5.24,-0.06,-0.08,0.04
3.33,6.23,-4.96,-0.07,-0.03,0.03
2.59,6.87,-5.74,0.05,-0.09,-0.21
2.73,6.68,-5.97,-0.22,0.0,-0.12
2.55,6.59,-5.85,0.1,0.22,-0.08
2.8,6.59,-5.87,0.12,0.05,-0.02
2.79,7.2,-5.72,0.09,0.16,0.0
2.49,6.65,-5.75,-0.13,0.15,0.03
2.58,6.81,-5.61,0.0,0.11,0.04
2.22,6.62,-5.45,-0.07,-0.07,0.06
2.76,6.85,-5.61,0.12,-0.08,0.02
2.38,6.78,-5.53,0.05,-0.03,0.02
