acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
5.93,4.51,-5.42,0.11,-0.01,-0.02
6.07,4.49,-5.69,0.24,0.0,0.04
5.98,4.59,-5.77,0.15,0.0,0.03
6.05,4.57,-5.63,0.0,0.12,0.01
5.77,4.33,-5.63,0.13,0.08,-0.02
5.83,4.66,-5.39,0.09,0.01,0.0
5.78,4.51,-5.72,0.13,-0.02,0.0
5.97,4.99,-5.72,0.06,-0.07,0.0
5.85,4.88,-5.72,0.03,-0.01,0.03
5.9,4.82,-5.57,0.0,0.0,0.01
14.87,18.07,8.54,0.18,1.39,-1.19
5.03,18.07,7.85,-1.59,0.4,2.94
-2.81,17.05,-4.62,-1.58,-2.58,4.38
-7.79,2.58,-15.44,-0.7,-1.74,4.38
-4.51,-7.81,-15.91,-0.63,-0.34,3.23
-0.49,-4.79,-8.61,-0.96,0.61,0.58
3.61,-0.97,-5.98,0.38,0.13,-0.34
7.57,3.32,-4.86,0.08,0.06,-0.65
7.11,4.69,-5.15,0.32,-0.3,-0.24
7.59,5.09,-5.4,0.11,0.03,-0.21
9.02,18.07,10.23,-0.35,2.31,-0.33
0.47,18.07,7.48,-0.92,-1.22,3.1
-3.5,13.16,-6.93,-1.35,-2.41,4.38
-6.05,0.53,-16.1,-1.23,-1.56,4.32
-2.58,-7.22,-13.81,-0.21,-0.63,2.4
-0.06,-6.76,-10.39,-0.82,0.41,-0.1
3.65,0.32,-6.2,0.06,0.13,-0.86
7.64,6.67,-4.73,0.14,0.02,-0.67
7.42,6.47,-5.38,0.32,-0.04,-0.1
6.9,6.12,-5.09,0.21,-0.02,0.07
1.81,18.07,-2.76,2.27,1.26,-3.88
8.38,18.07,10.23,-0.71,2.02,-0.03
0.53,18.07,8.02,-1.05,-1.11,3.53
-4.33,11.98,-6.17,-1.15,-3.28,4.38
-4.11,-1.23,-18.44,-0.57,-1.96,4.38
-0.89,-6.65,-15.12,-1.87,0.93,1.14
0.48,-5.42,-9.65,-0.43,0.72,-0.44
5.13,0.54,-4.77,-0.16,0.08,-0.61
6.09,4.78,-3.9,0.17,-0.08,-0.47
7.41,6.27,-4.74,0.44,-0.15,-0.25
5.11,18.07,9.36,-0.39,1.73,-0.34
0.8,18.07,9.4,-0.74,-0.76,2.92
-2.99,14.48,-2.03,-1.04,-3.23,4.14
-3.69,4.91,-13.32,-0.34,-2.52,4.38
-2.6,-7.0,-16.0,-0.79,-0.48,3.5
-0.33,-4.17,-10.23,-1.15,0.37,0.66
2.96,-2.87,-6.95,-0.24,0.26,-0.23
5.56,1.79,-5.24,0.09,0.22,-0.92
7.35,4.26,-4.84,0.07,-0.23,-0.5
7.59,5.7,-5.22,0.41,-0.14,-0.4
0.85,18.07,9.78,0.06,-0.42,2.32
-5.34,15.29,1.69,-1.4,-3.07,3.05
-3.62,9.6,-10.76,-0.42,-3.35,4.34
-3.61,0.4,-15.35,-0.69,-1.26,3.87
-1.61,-4.62,-12.72,-0.86,0.26,1.66
0.52,-4.57,-7.64,-0.87,0.72,-0.23
4.89,-0.01,-5.34,-0.22,0.22,-0.79
6.55,5.38,-4.25,0.4,-0.38,-0.5
7.17,6.73,-4.66,0.29,-0.14,-0.14
6.86,6.06,-4.68,0.17,-0.06,0.01
5.89,18.07,2.95,1.12,1.43,-2.93
9.34,18.07,10.12,0.59,0.0,1.8
2.31,18.07,2.95,-1.46,-1.39,3.9
-6.64,14.42,-9.97,-1.18,-1.97,4.38
-8.0,-0.03,-17.13,0.09,-1.17,4.38
-5.72,-10.53,-14.04,-1.52,0.97,2.24
-0.96,-4.37,-6.65,-0.98,0.91,-1.26
6.44,3.75,-5.08,0.08,-0.66,-0.56
7.81,6.23,-5.99,0.59,-0.45,-0.42
7.88,5.95,-6.06,0.1,0.02,0.0
-6.13,-5.93,-10.54,-0.73,0.98,-0.11
3.41,-1.27,-4.85,0.04,0.26,-0.77
10.22,6.06,-4.49,0.44,-0.74,-0.6
8.02,7.66,-5.93,0.47,-0.78,0.13
7.1,6.42,-6.65,0.09,0.21,-0.07
6.72,5.68,-5.73,-0.1,0.21,0.1
5.79,3.96,-6.18,0.04,0.08,0.09
6.09,4.23,-6.08,-0.04,0.01,0.04
6.13,4.39,-6.24,-0.1,0.04,-0.02
6.49,4.89,-6.03,0.17,-0.07,0.01
-2.81,-3.15,-8.16,-0.77,0.53,-0.09
5.87,1.29,-6.36,0.09,-0.44,-0.04
6.8,4.04,-5.75,0.33,0.04,-0.34
7.84,5.04,-5.74,0.22,-0.13,-0.16
7.26,5.21,-5.59,0.25,-0.06,-0.07
6.61,4.49,-5.82,-0.2,0.1,-0.05
6.33,4.23,-5.65,-0.05,0.08,-0.08
6.33,4.23,-5.75,-0.03,-0.02,-0.1
6.09,4.11,-5.92,0.13,-0.06,-0.09
6.49,4.4,-6.05,0.17,-0.09,-0.01
1.89,-2.3,-7.4,-0.4,0.58,-0.44
5.12,1.83,-6.04,-0.04,0.21,-0.5
7.5,3.36,-4.31,0.27,-0.05,-0.47
8.19,5.38,-4.6,0.35,-0.35,-0.31
7.53,5.43,-5.54,0.12,-0.02,-0.19
7.02,4.89,-5.3,-0.04,0.08,-0.09
6.24,3.56,-5.44,-0.03,0.01,-0.05
6.18,3.51,-5.67,0.17,-0.15,-0.05
6.26,3.68,-6.06,0.06,-0.13,-0.13
6.53,4.09,-5.69,-0.01,-0.06,-0.15
5.45,1.93,-3.62,0.45,-0.41,-0.34
6.84,4.09,-4.81,0.5,-0.59,-0.4
7.93,4.66,-6.22,0.46,-0.37,-0.34
7.76,5.16,-6.21,0.1,-0.1,-0.24
7.26,4.78,-6.2,0.12,-0.01,-0.1
6.83,4.11,-6.07,0.02,0.1,-0.05
6.55,3.78,-6.21,0.02,0.06,-0.06
6.54,3.43,-6.34,0.07,0.0,-0.1
6.78,4.15,-6.06,0.06,-0.03,-0.16
6.83,4.33,-6.17,0.03,0.01,-0.05
7.23,4.42,-5.04,0.05,0.03,-0.6
7.6,5.98,-5.26,0.26,-0.2,-0.35
7.54,6.07,-5.81,0.27,-0.19,-0.11
7.0,5.48,-6.52,0.03,-0.08,0.0
6.36,4.52,-6.81,-0.21,0.08,0.03
6.36,3.8,-6.55,-0.14,0.04,-0.06
6.19,3.77,-6.46,-0.11,0.03,-0.09
6.67,4.42,-6.2,0.08,-0.07,-0.11
6.73,4.73,-6.22,-0.21,-0.01,-0.04
6.56,4.69,-6.39,0.06,-0.06,-0.04
-3.87,-2.54,-13.85,-1.36,0.05,2.45
0.24,-4.32,-11.29,-0.48,0.62,1.12
1.74,-3.11,-7.02,-0.44,0.81,0.05
4.53,1.49,-3.77,-0.05,0.18,-0.1
6.24,3.09,-3.18,0.5,0.0,-0.35
7.12,5.6,-2.84,0.19,-0.12,-0.26
6.49,5.14,-3.66,0.33,-0.09,-0.07
6.17,4.4,-4.24,0.1,0.01,-0.02
5.6,3.64,-4.59,-0.07,0.06,-0.02
5.66,3.37,-4.53,-0.01,-0.01,0.0
7.04,5.52,-4.39,0.47,-0.16,-0.59
7.49,6.52,-4.54,0.46,-0.21,-0.35
7.28,7.49,-4.71,0.35,-0.05,-0.09
6.05,5.6,-5.26,-0.08,0.17,0.05
5.51,4.5,-5.33,-0.03,0.16,0.06
5.0,3.85,-5.66,0.0,0.05,0.07
5.33,4.0,-5.46,0.07,0.04,-0.03
5.68,4.51,-5.3,0.18,-0.04,-0.05
5.83,5.03,-5.26,0.23,-0.11,-0.04
5.85,5.09,-5.51,0.0,-0.06,-0.05
-3.52,-7.9,-14.24,-1.12,0.69,1.41
-2.42,-3.59,-10.29,-0.83,0.95,-0.53
2.85,2.03,-6.42,-0.07,0.52,-1.16
5.5,6.39,-4.21,0.25,0.15,-0.65
7.03,7.22,-4.41,0.6,-0.26,-0.31
6.42,7.95,-5.21,0.34,-0.2,-0.08
5.15,6.16,-5.84,0.09,0.03,-0.02
4.77,5.51,-5.98,0.06,0.14,0.05
5.01,4.82,-6.12,0.0,0.06,0.04
5.02,5.31,-5.92,0.01,0.02,-0.08
4.64,4.38,-5.31,0.13,-0.07,-0.87
6.91,6.8,-5.24,0.25,-0.05,-0.69
6.72,7.72,-5.29,0.22,-0.15,-0.22
5.86,7.03,-5.5,0.23,-0.07,-0.04
5.1,6.0,-5.76,-0.2,0.06,0.03
4.74,5.3,-6.04,0.01,-0.01,-0.01
5.03,5.21,-5.95,-0.18,0.05,0.0
4.87,4.51,-6.18,0.13,-0.01,-0.09
5.06,5.8,-5.84,-0.04,0.0,-0.06
4.95,5.17,-6.01,-0.09,0.02,-0.1
-7.47,4.49,-13.14,-0.59,-2.23,4.38
-6.77,-14.26,-18.34,0.52,-0.49,2.66
-9.18,-20.35,-16.37,-1.78,2.1,-3.23
-11.09,-4.88,-11.52,-1.03,2.94,-4.34
-6.21,18.07,-4.75,1.92,1.77,-4.34
4.8,18.07,6.75,0.45,2.32,-3.04
5.21,18.07,10.23,-0.65,0.6,1.37
1.06,16.06,1.66,-0.4,-2.37,3.2
-2.91,8.13,-9.01,-0.9,-2.33,3.65
-3.47,1.71,-13.28,-0.73,-1.74,3.53
-3.85,1.12,-9.67,0.15,1.41,-3.4
-4.18,12.29,-2.11,-0.4,1.39,-4.13
1.17,18.07,1.74,2.6,-0.32,-2.5
14.98,18.07,5.8,-0.61,-0.26,-0.33
5.8,18.07,0.82,-1.14,-1.01,3.52
-6.06,14.03,-8.7,-1.68,-1.34,4.38
-10.12,1.76,-12.63,-0.88,-1.26,4.38
-9.15,-14.53,-16.49,1.07,-0.23,1.95
-9.17,-16.97,-15.61,-0.31,1.06,-2.09
-9.67,-5.15,-13.57,0.48,1.8,-4.34
4.83,5.99,-6.39,0.09,-0.11,0.09
4.95,5.74,-6.43,0.04,-0.1,0.18
3.63,4.28,-6.84,0.06,-0.12,0.15
0.68,-4.03,-12.11,1.32,-0.34,-0.44
-2.31,-2.55,-14.31,0.47,0.25,-2.59
-6.8,0.21,-10.07,-0.42,2.43,-4.34
-3.35,16.23,-3.0,0.58,1.24,-3.48
0.8,18.07,3.16,0.42,0.56,-2.06
9.88,18.07,5.52,-0.01,-0.29,0.75
0.88,18.07,-0.88,-2.44,-0.67,3.54
5.03,5.63,-6.03,-0.01,0.02,-0.03
4.81,5.58,-6.06,0.05,-0.02,0.0
5.09,5.7,-5.87,-0.01,0.04,-0.03
4.87,5.59,-5.94,-0.02,0.02,-0.03
5.09,5.72,-5.81,0.02,-0.01,0.0
4.89,5.65,-6.04,-0.01,0.0,-0.02
4.96,5.7,-5.86,0.0,-0.01,0.03
4.93,5.52,-6.06,0.0,0.02,-0.01
4.91,5.62,-5.98,0.0,0.01,0.01
4.88,5.48,-5.96,0.04,0.02,-0.02
5.37,5.53,-6.25,0.09,-0.06,-0.03
5.38,5.63,-6.25,-0.04,-0.01,-0.03
5.41,5.53,-6.51,0.04,-0.01,-0.02
5.36,5.5,-6.24,-0.04,0.02,-0.02
5.37,5.47,-6.27,0.03,-0.04,0.0
5.38,5.56,-6.31,-0.01,-0.01,-0.01
5.29,5.32,-6.37,-0.02,0.01,0.0
5.41,5.53,-6.23,0.01,-0.02,-0.02
5.33,5.47,-6.39,0.0,-0.03,-0.03
5.35,5.75,-6.37,0.02,-0.02,-0.01
4.63,18.07,2.51,-0.93,-0.9,3.04
-3.34,10.39,-7.27,-1.27,-1.99,3.91
-4.36,0.45,-13.28,-1.16,-1.4,3.2
-2.0,-1.82,-13.33,-0.71,-0.31,1.67
1.17,-2.16,-9.76,-0.69,0.6,0.15
4.54,1.43,-5.92,0.22,0.02,-0.2
5.94,4.08,-5.24,0.01,-0.16,-0.35
6.13,4.82,-5.62,0.33,-0.17,-0.26
6.87,6.4,-5.24,0.08,-0.08,-0.15
5.91,5.43,-5.25,0.06,0.0,-0.04
-9.65,-17.79,-14.31,-0.33,0.58,-1.54
-8.86,-7.14,-12.61,-0.02,1.12,-4.34
-6.5,7.4,-13.03,1.7,0.73,-4.34
-4.52,18.07,-7.51,2.31,0.68,-3.26
15.1,18.07,5.87,0.56,1.37,-1.58
9.08,18.07,9.34,-0.59,0.6,2.44
-0.83,15.77,-3.15,-1.03,-2.01,3.72
-4.11,7.18,-11.37,-1.57,-1.43,4.08
-3.51,-3.12,-15.35,-0.64,-0.85,2.87
-0.87,-2.91,-12.18,-1.27,0.1,1.0
5.68,18.07,0.6,2.33,0.1,-2.03
10.36,18.07,5.79,0.03,0.49,-0.02
5.42,18.07,3.46,-0.89,-0.61,2.44
-0.97,17.12,-5.06,-1.03,-1.92,4.16
-5.54,6.82,-12.5,-1.2,-1.75,4.38
-5.21,-4.71,-14.68,-0.3,-1.03,3.52
-6.32,-18.78,-16.3,-0.41,0.85,-0.23
-10.06,-11.19,-14.81,-0.61,0.86,-4.34
-9.23,4.43,-13.93,1.35,1.38,-4.34
-4.79,18.07,-8.16,2.07,1.45,-4.34
5.48,5.41,-6.83,-0.03,-0.01,-0.05
5.58,5.5,-6.9,0.06,-0.04,-0.02
5.42,5.37,-6.94,0.01,-0.03,-0.07
5.48,5.56,-6.8,0.11,-0.06,-0.04
5.58,5.93,-7.01,0.07,0.0,-0.06
5.55,5.72,-6.88,0.01,0.02,-0.04
5.45,6.09,-6.96,0.47,-0.06,-0.05
5.67,6.18,-7.0,-0.11,0.0,0.06
5.31,5.64,-7.05,-0.01,0.0,0.04
5.44,5.66,-7.0,-0.07,0.0,0.04
5.39,5.41,-6.9,0.02,-0.16,0.0
5.51,5.73,-7.1,-0.04,-0.03,-0.05
5.34,5.55,-6.88,-0.07,-0.03,-0.07
5.34,5.68,-6.94,-0.01,-0.08,-0.05
5.4,5.71,-6.99,-0.08,-0.07,-0.08
5.43,5.61,-6.93,-0.05,-0.12,-0.05
5.51,5.65,-7.16,-0.04,-0.1,-0.05
5.32,5.72,-7.36,0.01,-0.12,-0.06
5.49,6.03,-7.21,0.02,-0.1,-0.03
5.38,5.73,-7.29,-0.04,-0.07,-0.04
-3.25,1.24,-14.99,-0.05,-0.98,3.44
-0.82,-1.14,-12.52,-0.56,0.01,2.03
1.11,-0.75,-7.62,-0.57,0.72,0.72
3.72,0.55,-5.81,0.03,0.03,-0.15
5.88,4.11,-5.8,0.13,-0.08,-0.41
6.65,5.26,-6.43,0.16,-0.14,-0.31
6.75,5.68,-6.57,0.07,-0.09,-0.38
6.25,5.57,-6.76,0.18,-0.1,-0.2
6.24,5.64,-6.93,-0.02,-0.09,-0.07
6.23,5.24,-7.1,-0.09,-0.03,-0.03
