acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
6.35,2.33,-4.29,0.11,-0.04,-0.07
6.47,3.27,-4.26,-0.18,-0.13,0.0
6.51,2.57,-4.5,0.19,-0.17,0.04
6.62,2.81,-4.51,0.0,0.15,-0.05
6.49,2.18,-4.18,0.0,0.0,-0.06
6.61,2.54,-3.93,0.01,-0.04,-0.03
6.81,2.79,-4.56,0.14,-0.19,-0.01
6.74,3.01,-4.6,-0.01,0.0,-0.04
6.76,2.99,-4.57,0.09,0.03,-0.01
6.56,2.83,-4.53,0.0,0.06,-0.02
8.0,4.0,-4.27,0.14,0.15,-0.27
6.78,2.98,-4.12,-0.18,0.19,-0.11
6.27,3.16,-4.21,0.12,0.03,0.01
6.22,2.54,-4.8,0.1,0.05,-0.06
6.19,2.61,-4.64,0.02,0.06,-0.09
6.34,2.68,-4.34,-0.1,-0.02,-0.14
6.55,3.94,-4.01,0.0,0.1,-0.08
6.35,3.04,-4.22,0.02,0.03,-0.03
6.15,3.37,-4.01,0.0,0.06,0.01
5.95,2.87,-4.1,0.13,0.0,0.06
7.05,2.94,-5.03,0.06,0.08,-0.08
7.17,2.6,-5.25,-0.03,-0.08,-0.07
7.06,2.98,-5.39,0.01,-0.05,-0.04
7.11,2.65,-5.55,0.0,0.14,-0.11
6.78,2.53,-5.17,-0.11,0.11,-0.07
7.02,2.82,-4.88,0.02,0.09,-0.08
6.79,2.47,-4.99,-0.03,0.01,-0.09
7.04,2.77,-4.84,0.02,0.04,-0.07
6.76,2.87,-4.81,0.0,0.07,-0.12
6.8,3.03,-4.69,0.1,0.03,-0.07
5.85,2.67,-2.97,0.26,0.01,0.02
5.93,2.21,-3.16,-0.07,-0.01,-0.19
6.0,2.45,-2.96,0.05,0.04,-0.06
5.85,2.24,-3.22,0.04,-0.09,-0.03
5.72,2.55,-3.26,0.29,-0.1,0.05
5.92,2.36,-3.62,0.07,-0.09,0.02
5.93,2.18,-3.61,-0.01,-0.07,-0.03
6.0,2.73,-3.52,0.21,0.01,0.0
5.91,2.47,-3.5,-0.02,0.02,-0.08
5.45,3.44,-3.29,0.0,0.02,-0.04
6.59,4.24,-5.84,0.01,0.17,-0.46
6.32,4.26,-6.26,-0.07,0.13,-0.44
6.5,5.7,-6.02,0.27,0.11,0.02
6.55,4.39,-5.16,-0.24,0.29,0.2
6.42,3.21,-4.41,-0.1,0.17,0.28
6.4,3.17,-4.59,0.08,0.04,0.09
6.54,3.19,-4.83,0.06,0.1,-0.01
6.5,3.25,-4.9,-0.07,0.13,-0.02
6.46,3.48,-4.75,0.02,0.08,-0.02
6.31,3.47,-4.88,0.06,0.0,0.0
7.99,4.37,-4.69,-0.04,0.04,-0.35
7.76,3.61,-6.2,0.71,0.08,-0.37
7.12,4.05,-5.17,-0.54,0.46,-0.22
6.17,2.54,-4.58,0.0,0.23,-0.17
6.06,3.83,-4.25,0.12,0.05,-0.17
6.12,3.26,-5.39,0.44,0.02,-0.09
6.12,3.61,-5.17,-0.04,0.33,-0.26
6.06,4.15,-4.58,-0.12,0.27,-0.17
5.94,3.63,-3.97,-0.06,0.12,-0.1
5.91,4.01,-4.07,0.0,-0.05,0.0
6.98,5.23,-6.25,0.03,0.3,-0.37
6.39,4.75,-5.1,-0.24,0.23,-0.26
6.1,4.58,-5.06,0.12,0.01,-0.18
5.96,4.49,-5.16,-0.05,0.08,-0.11
5.86,4.57,-5.23,0.01,-0.03,-0.06
6.01,4.09,-5.44,0.06,0.0,0.0
6.15,4.41,-5.11,-0.04,0.0,-0.03
6.03,4.18,-5.01,-0.04,0.09,-0.04
6.18,4.28,-4.86,-0.14,-0.03,0.0
6.02,4.02,-5.1,0.02,0.03,0.04
2.99,-1.79,-6.17,-0.48,0.03,-0.17
5.73,-1.25,-6.24,0.35,-0.42,-0.43
8.25,2.42,-5.2,-0.06,-0.08,-0.77
8.68,2.94,-5.24,-0.45,-0.03,-0.94
8.92,2.71,-5.32,0.0,-0.05,-0.58
8.72,3.2,-5.44,0.12,-0.07,-0.18
8.02,3.39,-5.49,0.22,-0.07,-0.1
7.16,3.33,-5.75,-0.01,-0.08,-0.12
6.65,3.55,-5.72,-0.15,-0.11,-0.1
7.08,3.15,-5.38,-0.19,-0.03,0.0
8.51,3.19,-4.88,-0.3,0.05,-0.65
7.45,3.94,-5.41,0.29,-0.05,-0.22
7.45,4.08,-5.21,0.0,0.1,-0.14
6.93,3.16,-5.58,0.04,-0.01,-0.02
7.15,3.53,-5.65,0.09,-0.18,0.0
7.24,3.21,-5.79,0.0,-0.02,-0.06
7.4,3.14,-6.16,0.09,-0.1,-0.01
7.5,3.14,-5.88,-0.04,0.09,-0.05
7.25,2.92,-5.8,0.0,0.06,-0.02
7.08,3.31,-5.42,-0.07,0.09,-0.02
7.53,4.88,-4.96,0.04,0.31,-0.91
5.91,4.79,-6.32,-0.13,-0.15,-0.39
5.68,5.14,-6.86,0.17,-0.47,-0.13
6.2,3.45,-7.35,0.16,-0.12,0.3
6.61,4.72,-6.71,0.37,-0.18,0.2
7.38,3.75,-6.56,0.02,-0.12,0.05
7.58,4.46,-6.37,0.12,0.17,-0.07
7.24,4.3,-6.39,-0.03,0.07,0.0
6.86,4.71,-6.38,-0.04,0.0,0.07
6.87,4.08,-6.61,0.02,0.07,0.03
6.45,5.53,-5.75,0.01,0.09,-0.1
5.69,4.47,-6.12,-0.05,0.13,0.03
6.02,4.53,-5.31,-0.02,0.04,0.11
6.32,3.92,-5.29,-0.09,0.0,0.03
6.29,4.31,-5.19,0.05,-0.1,0.04
6.48,4.26,-5.5,-0.06,-0.03,-0.03
6.37,4.19,-5.71,0.0,-0.01,-0.04
6.32,4.19,-5.67,-0.03,-0.03,0.01
6.23,4.28,-5.85,-0.01,0.04,-0.02
6.03,4.06,-5.7,0.06,0.1,-0.04
6.34,4.18,-5.96,-0.11,0.14,-0.09
6.57,3.83,-5.39,-0.04,-0.01,0.04
6.12,3.69,-5.84,0.0,-0.3,0.22
6.57,4.13,-6.23,0.32,-0.28,0.05
7.17,3.34,-5.73,-0.04,0.04,0.17
7.01,3.32,-5.66,0.13,0.0,0.06
7.34,3.78,-5.85,0.07,-0.08,-0.03
6.93,3.78,-5.93,0.01,0.06,-0.05
6.9,3.82,-5.99,0.02,-0.08,-0.03
6.7,3.77,-6.22,0.05,0.01,-0.04
6.63,6.32,-5.58,0.08,-0.27,-0.01
5.96,4.32,-6.03,-0.17,-0.24,0.1
6.15,4.95,-6.35,0.17,-0.33,0.06
6.25,4.23,-6.48,0.01,-0.07,0.03
6.38,4.58,-6.32,-0.01,-0.09,0.03
6.44,4.62,-6.06,-0.05,-0.05,-0.05
6.42,4.57,-5.99,0.0,0.04,0.02
6.29,4.22,-6.17,0.0,-0.01,0.15
6.35,4.54,-6.24,0.08,-0.18,0.13
6.5,4.02,-6.34,-0.06,-0.13,-0.02
7.93,4.47,-5.33,0.14,-0.05,-0.97
8.12,5.03,-6.49,0.34,-0.5,-0.75
7.54,5.19,-6.43,0.21,-0.14,-0.25
8.23,5.12,-7.35,0.15,-0.44,0.03
7.71,3.7,-7.21,-0.15,-0.12,-0.01
8.47,4.04,-7.28,-0.24,0.13,0.05
6.98,4.58,-6.45,-0.39,-0.05,-0.03
5.84,3.47,-6.57,-0.52,-0.74,0.02
7.92,2.64,-7.21,-0.1,-0.52,0.08
8.32,2.28,-7.06,0.31,-0.14,0.05
1.47,-4.13,-8.16,-0.57,0.0,0.58
4.0,-4.72,-8.13,0.51,-0.59,0.32
6.08,-0.3,-5.5,0.63,-0.21,-0.35
6.74,2.69,-3.29,0.17,0.03,-0.62
7.61,4.54,-2.77,0.26,-0.32,-0.47
7.89,5.21,-3.73,0.49,-0.4,-0.24
7.45,4.0,-5.58,0.41,-0.27,-0.08
6.84,3.66,-6.38,0.36,-0.17,-0.07
7.02,4.05,-6.04,-0.04,0.13,-0.2
6.7,4.14,-5.96,-0.03,-0.14,-0.22
4.06,-3.34,-6.94,0.29,-0.16,-0.63
7.9,-0.39,-5.42,0.21,0.33,-1.28
9.04,4.66,-3.42,-0.06,0.37,-1.38
8.79,5.37,-2.67,-0.04,0.1,-0.74
7.34,4.38,-3.21,0.23,0.03,-0.13
6.22,4.01,-4.22,0.14,-0.11,-0.03
6.25,4.06,-4.87,0.08,-0.06,0.08
6.52,3.29,-4.78,-0.09,-0.17,0.0
6.36,3.14,-5.0,0.16,-0.15,-0.07
6.65,3.86,-5.07,-0.04,-0.18,-0.15
7.64,5.42,-2.99,0.58,0.64,-0.58
6.09,4.84,-2.87,-0.03,0.0,-0.34
6.02,5.68,-3.52,0.3,-0.28,-0.11
5.76,4.71,-5.05,0.22,-0.34,0.05
5.91,4.78,-5.71,0.12,-0.28,0.08
6.1,3.96,-6.09,0.21,-0.13,0.06
6.34,4.7,-5.81,0.01,-0.16,0.0
6.48,3.85,-5.78,-0.02,0.0,-0.12
6.55,4.68,-5.6,0.03,-0.02,-0.09
6.35,4.62,-5.72,0.03,0.04,-0.05
6.94,3.37,-5.59,0.31,-0.24,-0.1
7.09,3.6,-4.93,-0.04,0.12,-0.04
6.95,3.58,-4.82,0.07,-0.09,-0.02
6.98,3.42,-4.95,0.07,0.01,-0.02
6.84,3.55,-5.27,0.01,-0.02,-0.01
6.55,3.35,-5.28,-0.13,0.05,-0.03
6.32,3.5,-5.1,-0.08,0.02,-0.06
6.6,3.47,-4.92,-0.1,0.02,-0.1
6.55,3.38,-5.04,0.03,-0.03,0.0
6.84,3.57,-5.1,0.06,-0.06,0.03
5.84,4.64,-5.04,0.11,-0.2,0.33
5.84,3.09,-5.64,-0.02,-0.03,0.33
5.34,3.32,-5.62,0.04,0.01,0.11
5.47,2.75,-5.72,-0.02,-0.13,-0.14
6.2,3.56,-5.54,0.16,-0.2,-0.15
6.18,4.21,-5.43,0.14,-0.23,-0.14
6.35,4.96,-5.64,0.29,-0.44,-0.05
6.86,4.72,-6.32,0.09,-0.22,0.05
7.15,4.64,-6.27,0.02,-0.17,0.11
6.78,4.04,-6.04,-0.14,0.02,0.02
6.1,0.99,-6.19,0.28,0.0,-0.39
7.94,1.87,-4.47,-0.05,0.03,-0.15
8.44,2.92,-4.84,0.88,0.0,-0.29
8.99,3.87,-4.34,0.17,0.16,-0.4
7.75,3.45,-5.48,0.31,-0.04,-0.33
7.22,4.38,-5.28,-0.01,-0.02,-0.19
6.87,2.11,-5.75,0.24,-0.23,0.13
7.1,3.74,-6.12,0.06,-0.23,-0.27
6.94,3.1,-5.86,-0.09,0.05,-0.41
7.05,4.16,-5.92,0.18,-0.12,-0.17
2.21,-4.96,-8.69,0.6,-0.35,-0.07
3.24,-0.78,-8.33,0.82,-0.36,-0.71
7.51,2.69,-5.36,0.07,0.15,-0.91
7.28,5.22,-4.6,0.33,-0.38,-0.16
9.3,6.58,-5.28,0.57,-0.47,-0.06
7.8,4.47,-6.44,-0.01,-0.08,0.0
6.84,3.7,-6.85,0.2,0.03,-0.02
6.54,3.51,-6.47,0.16,0.04,0.0
6.32,3.55,-6.51,0.17,-0.08,-0.09
6.79,4.94,-6.36,0.12,-0.11,-0.23
4.88,18.07,0.85,2.33,-0.66,-3.63
10.08,18.07,4.9,0.09,-0.24,0.55
5.3,18.07,0.79,-1.13,0.11,3.02
-0.45,16.16,-6.24,-2.46,-0.01,4.01
-3.33,4.03,-13.58,-0.95,-0.98,3.61
-2.17,-2.58,-12.37,-1.43,-0.07,2.68
-1.95,-5.04,-10.71,-1.29,0.25,1.54
0.44,-5.64,-9.41,-0.4,-0.63,0.6
3.71,-2.36,-7.26,0.24,-0.19,-0.16
7.32,-0.66,-5.19,0.15,0.16,-0.63
-6.41,3.95,-11.38,-1.12,-0.07,3.82
-8.45,-7.14,-8.51,-1.46,-0.79,3.94
-6.44,-13.64,-13.07,-0.2,-0.98,1.76
-4.93,-12.07,-15.72,1.15,-0.31,-1.18
-4.59,-7.38,-15.02,0.17,1.0,-2.73
-6.22,-7.11,-15.27,0.75,1.65,-4.34
-11.31,9.07,-9.4,-0.2,0.02,-4.34
5.47,18.07,8.38,0.03,-0.92,-4.26
18.79,18.07,7.62,2.47,-1.16,-0.32
9.87,18.07,0.36,-1.93,1.62,3.58
6.22,5.59,-6.68,0.05,0.26,0.12
7.13,6.03,-6.26,0.25,0.48,0.23
6.64,5.3,-5.6,-0.38,0.56,0.46
6.19,4.67,-5.59,0.0,0.06,0.31
5.95,3.68,-5.51,-0.08,0.09,0.4
5.8,3.19,-6.44,0.28,-0.11,0.24
6.21,3.35,-6.24,0.04,-0.03,0.09
5.8,3.96,-6.29,0.07,-0.09,0.0
6.79,4.52,-6.07,0.05,0.04,-0.18
6.89,4.31,-6.08,0.16,0.14,-0.01
7.11,3.56,-5.36,-0.11,-0.08,-0.3
6.98,4.47,-4.51,-0.39,0.08,-0.18
5.49,3.76,-4.96,-0.18,0.1,-0.08
5.81,3.01,-5.44,-0.3,-0.07,0.0
6.03,1.6,-5.26,-0.11,-0.01,-0.07
6.47,2.97,-5.49,-0.15,-0.14,-0.3
7.38,3.96,-4.33,0.5,0.16,-0.14
7.26,5.11,-4.37,-0.36,0.17,-0.13
6.55,4.1,-4.49,-0.15,0.14,-0.14
6.0,2.85,-5.26,-0.18,-0.08,0.05
4.39,4.91,-5.64,-0.09,-0.03,0.05
4.73,4.45,-6.27,0.26,-0.3,0.08
6.71,5.33,-5.47,0.17,-0.04,0.03
5.93,5.13,-4.61,0.12,0.11,0.23
5.12,5.67,-4.82,-0.07,-0.21,0.07
5.56,3.59,-5.27,-0.33,0.01,0.04
5.65,4.88,-5.34,-0.11,-0.11,0.0
6.27,4.41,-5.56,-0.02,-0.17,-0.17
5.9,4.63,-6.13,0.04,-0.12,-0.02
6.25,4.98,-6.18,0.19,-0.1,0.07
5.89,18.07,7.21,0.84,-0.12,0.59
3.76,18.07,1.31,-3.37,1.11,2.25
-2.23,13.74,-9.44,-3.42,0.63,1.64
-1.64,1.55,-13.26,-3.21,-1.11,1.5
-1.47,-2.07,-11.16,-1.38,0.14,1.19
-2.69,-2.49,-10.07,-1.02,-0.87,0.91
-0.68,-2.48,-8.57,0.75,-1.31,1.27
1.13,-2.53,-8.72,0.06,-1.19,0.56
6.13,-1.01,-6.8,-0.05,0.05,-0.02
7.53,1.35,-2.69,-0.36,1.01,-0.95
-8.04,-18.65,-16.79,0.03,0.12,-0.24
-8.41,-14.68,-16.9,1.24,0.94,-2.63
-6.71,-1.1,-13.82,3.31,0.45,-3.29
-0.84,16.49,-7.35,2.85,-0.9,-3.19
11.99,18.07,1.12,3.16,-1.83,-1.31
13.65,18.07,5.82,-2.14,1.59,-0.55
3.78,18.07,0.97,-2.3,0.26,2.19
0.11,11.5,-11.36,-3.37,-0.45,2.66
-3.15,-3.49,-13.27,-1.73,0.02,2.03
-3.43,-7.63,-11.96,-1.49,-1.09,1.36
9.16,18.07,6.06,0.38,-0.57,1.06
2.07,18.07,-1.59,-2.67,0.56,2.69
0.25,11.17,-11.11,-2.91,-0.01,3.62
-1.58,-0.79,-14.54,-2.9,-0.38,2.05
-2.91,-9.08,-12.37,-2.28,0.2,1.49
-6.7,-15.31,-18.13,0.3,-1.23,0.07
-6.9,-14.47,-19.08,1.2,-0.04,-1.1
-5.9,-7.91,-16.82,2.95,-0.25,-2.9
-2.0,11.46,-9.26,2.39,-0.25,-4.11
1.85,18.07,-3.3,2.9,-1.73,-2.58
4.97,4.88,-5.61,0.2,0.04,0.27
5.68,4.62,-5.7,0.49,0.03,0.16
5.9,6.0,-5.82,0.0,0.47,0.17
6.09,5.82,-5.35,0.04,0.15,-0.09
7.25,6.55,-4.82,-0.33,0.15,0.05
7.67,7.62,-4.1,-0.41,0.36,0.12
7.11,7.3,-4.75,-0.69,0.46,0.26
5.0,6.01,-6.31,-1.07,0.56,0.35
0.8,-0.51,-7.94,-0.18,0.24,0.57
-2.72,-5.67,-10.42,0.53,-0.06,0.56
5.57,5.6,-4.95,-0.07,-0.15,-0.13
5.18,5.51,-5.41,0.01,-0.11,0.05
4.98,5.04,-5.45,-0.03,-0.01,0.17
4.83,5.19,-5.04,-0.17,0.04,0.23
4.89,3.82,-4.76,0.05,-0.14,0.22
4.65,4.41,-4.8,-0.12,0.1,-0.03
5.36,4.0,-4.77,0.15,0.0,-0.01
5.53,4.8,-4.51,-0.14,-0.03,-0.04
5.52,4.94,-4.37,0.02,-0.02,-0.07
5.21,4.74,-4.37,-0.14,-0.01,-0.1
-2.02,-10.99,-9.75,1.88,-0.09,0.96
-1.19,-1.27,-7.12,2.77,-0.3,1.48
5.62,3.29,-5.47,0.79,-0.75,-0.98
8.06,5.38,-3.55,-1.31,-0.04,-1.75
