acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
7.04,4.05,-4.0,-0.13,-0.51,-0.16
7.76,3.39,-4.83,0.34,-0.66,-0.02
7.15,4.57,-4.15,0.37,-0.27,0.1
6.9,4.09,-5.24,-0.3,-0.19,-0.01
6.85,3.78,-5.67,-0.08,-0.17,-0.03
6.66,3.59,-5.85,0.2,-0.01,-0.12
6.43,3.74,-5.9,0.09,0.07,-0.17
6.55,4.01,-5.86,-0.02,0.07,-0.21
6.35,4.27,-5.64,-0.04,0.04,-0.16
6.39,4.3,-5.43,0.01,0.1,-0.08
-1.17,-3.26,-10.37,-0.82,-0.01,0.88
2.83,-0.09,-8.0,-0.69,-0.02,0.17
5.33,2.04,-6.8,0.4,0.0,-0.19
7.03,3.66,-5.39,0.33,0.09,-0.04
7.22,3.69,-5.44,0.39,0.1,-0.17
6.52,5.3,-5.09,0.32,0.18,-0.15
6.36,4.59,-5.66,0.25,0.15,-0.09
6.1,4.96,-5.43,0.26,0.21,-0.02
5.96,5.41,-5.66,0.29,0.21,0.06
6.13,5.36,-5.83,0.23,0.33,0.21
-5.01,16.72,-1.15,-1.59,-0.97,3.64
-6.86,5.54,-9.16,-0.28,-2.22,3.48
-4.29,0.91,-13.0,0.94,-1.29,3.42
-2.06,-2.02,-12.03,-0.14,-0.09,2.31
0.82,-2.43,-11.38,-0.47,0.03,0.87
4.31,0.37,-7.56,0.51,0.18,0.15
5.81,3.68,-6.18,-0.16,0.09,0.16
7.2,2.99,-5.31,0.01,0.11,0.01
7.42,3.97,-5.9,0.13,0.0,-0.15
6.73,4.13,-6.03,-0.04,0.0,-0.11
-1.29,16.34,-1.15,-2.03,1.02,3.75
-5.03,4.25,-8.03,-1.02,-1.45,3.46
-2.35,-1.41,-12.32,0.45,-1.1,2.7
-1.25,-3.9,-12.32,-0.81,0.23,1.32
1.83,-3.57,-8.2,-0.42,0.41,0.11
4.56,0.93,-5.8,0.14,-0.15,-0.12
7.29,4.52,-4.85,0.36,-0.22,-0.53
7.04,5.46,-5.68,0.1,-0.23,-0.46
6.68,6.37,-6.0,0.1,-0.21,-0.28
6.47,5.41,-5.95,-0.1,-0.04,-0.08
6.36,3.8,-5.03,-0.1,-0.08,-0.05
