acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-10.18,15.68,-1.95,-3.54,-1.61,3.75
-12.98,0.45,-20.91,-1.69,-3.19,4.38
-5.75,-17.14,-26.22,-0.06,0.87,1.98
-11.85,-21.15,-28.24,1.01,-1.84,0.48
4.25,0.51,5.28,-3.9,1.72,-4.34
-10.04,16.19,-7.76,4.43,-1.6,-4.34
17.78,18.07,-1.82,3.18,-1.04,-1.33
18.79,18.07,-9.19,1.0,-0.59,-0.22
7.36,18.07,7.0,-4.08,4.04,2.39
-6.19,7.68,-8.76,-1.09,-2.57,3.45
-4.88,18.07,10.23,2.3,-2.27,3.58
18.79,18.07,-4.51,4.43,-2.31,3.22
7.86,18.07,-2.64,-4.29,3.04,3.34
-10.78,8.76,-10.28,-3.06,-0.3,4.38
-12.76,-5.23,-22.05,-0.94,0.28,3.59
-8.85,-15.56,-28.99,-0.3,-0.73,-0.83
-20.43,-4.8,-23.89,-4.29,-0.68,-4.34
-11.28,6.66,-13.89,3.2,3.8,-3.97
2.6,18.07,-1.81,2.3,-1.69,-1.31
18.79,18.07,-10.11,3.09,-3.9,-1.43
18.79,18.07,-12.76,2.26,-1.25,-0.62
11.36,18.07,-3.89,-3.42,2.45,2.37
-3.04,17.53,-8.27,-2.31,0.17,4.38
-11.9,-3.24,-18.02,-1.7,0.65,4.09
-13.35,-21.15,-22.93,0.18,2.34,-0.02
-19.28,-21.15,-23.94,1.0,-0.62,-2.13
-20.43,-9.1,-28.99,3.73,2.98,-4.34
2.24,18.07,-3.92,0.79,-1.94,-2.6
18.79,18.07,-18.34,4.43,-4.38,2.93
18.79,18.07,-9.12,-3.29,4.22,2.02
3.26,1.5,-6.81,0.24,-0.5,-0.01
9.04,7.65,-8.5,0.71,-0.32,-0.17
7.38,5.72,-8.61,-0.23,0.32,-0.06
6.26,4.78,-7.05,-0.07,0.14,-0.22
6.15,4.94,-7.43,0.09,0.07,-0.11
5.97,5.15,-7.75,0.17,-0.04,-0.06
5.77,5.03,-7.64,-0.01,0.12,-0.15
5.83,5.66,-7.11,0.22,0.05,-0.09
5.95,5.54,-7.83,0.02,-0.04,-0.12
5.82,5.52,-7.35,0.21,0.04,-0.11
5.6,5.53,-7.46,0.0,0.0,-0.07
5.71,5.89,-7.42,0.01,-0.05,0.01
5.59,5.41,-7.25,-0.03,-0.03,-0.02
5.66,5.54,-7.68,-0.02,-0.05,-0.03
5.63,5.89,-7.44,-0.01,-0.02,-0.07
5.65,5.45,-7.87,-0.09,-0.03,-0.04
5.94,5.8,-7.63,0.01,-0.01,-0.05
5.9,5.65,-7.65,-0.01,0.01,0.01
5.61,5.79,-7.63,-0.04,0.03,0.02
5.6,5.58,-7.62,0.02,0.03,0.03
5.6,5.23,-7.55,-0.05,0.04,-0.07
5.73,5.47,-7.6,0.04,-0.06,-0.03
5.91,5.7,-7.68,0.05,-0.04,-0.09
5.66,5.71,-7.8,-0.07,-0.02,-0.04
5.84,5.47,-7.66,0.1,-0.09,-0.03
5.79,5.61,-7.69,0.06,-0.04,-0.06
5.86,5.96,-7.8,0.0,-0.05,-0.04
5.8,5.61,-7.76,-0.02,-0.04,-0.02
5.84,5.94,-7.96,-0.08,-0.02,-0.04
5.88,5.8,-7.5,-0.03,0.03,-0.02
-5.47,-5.73,-17.42,-2.59,2.12,1.69
-2.41,-4.12,-7.43,-0.49,1.03,0.19
-2.25,-1.71,-9.63,-0.55,-0.44,-0.65
4.76,3.84,-7.09,1.08,-0.7,0.29
5.82,5.54,-6.93,-0.03,-0.33,0.0
6.28,5.76,-8.2,0.28,-0.14,-0.31
6.19,6.62,-7.79,0.18,-0.25,0.21
5.51,5.72,-7.89,-0.35,0.15,-0.15
5.51,5.42,-7.82,0.17,-0.04,-0.03
5.57,5.81,-7.81,-0.01,0.12,-0.07
5.96,6.26,-7.91,-0.16,-0.24,-0.56
6.91,6.01,-8.08,0.21,0.01,0.02
6.7,5.87,-8.46,-0.24,0.1,-0.06
5.77,5.17,-7.78,0.06,0.16,-0.13
6.08,5.56,-7.77,0.09,-0.1,-0.06
5.97,5.79,-7.94,-0.04,0.06,-0.06
6.01,5.57,-7.6,0.12,0.04,0.01
5.79,5.41,-7.85,0.01,0.02,-0.02
6.07,6.0,-7.63,-0.02,0.0,0.03
5.74,5.28,-7.83,-0.12,0.05,-0.02
5.94,5.37,-9.0,0.0,-0.19,-0.22
6.16,5.85,-9.11,-0.07,-0.15,-0.06
5.96,5.38,-8.97,0.02,0.0,-0.07
6.3,5.64,-8.87,0.03,-0.06,-0.09
6.3,5.87,-8.78,-0.03,-0.02,0.0
5.93,5.65,-8.79,-0.11,0.01,-0.03
6.09,5.54,-8.74,-0.03,-0.04,0.02
5.97,5.64,-8.75,-0.02,-0.03,-0.02
6.21,5.87,-8.8,-0.05,-0.02,-0.02
5.99,5.66,-8.66,-0.04,-0.01,-0.05
9.29,5.48,-9.56,1.65,-1.53,1.42
4.18,6.25,-9.95,0.45,0.32,-0.91
5.96,7.61,-9.76,0.71,-0.55,0.23
5.14,8.05,-9.79,-0.41,0.05,-0.24
4.45,6.43,-9.67,-0.11,-0.01,0.2
4.63,6.25,-9.48,-0.28,0.16,-0.04
5.01,7.05,-9.2,0.01,0.23,-0.14
4.62,7.07,-8.96,-0.21,0.09,0.04
4.41,6.85,-9.15,-0.13,0.14,0.06
4.23,6.43,-8.7,-0.14,0.06,0.11
5.46,5.77,-8.53,0.01,0.01,-0.08
5.55,5.76,-8.18,0.07,0.0,-0.06
5.49,5.93,-8.33,0.0,-0.01,-0.09
5.6,6.33,-8.22,0.06,-0.09,-0.01
5.36,5.97,-8.44,-0.09,0.0,-0.01
5.45,5.7,-8.34,0.09,-0.08,0.0
5.48,6.24,-8.4,0.0,-0.07,-0.04
5.54,5.94,-8.47,-0.03,0.0,-0.04
5.72,6.25,-8.44,0.03,-0.04,-0.07
5.45,6.33,-8.38,-0.08,0.04,-0.03
5.4,5.8,-8.49,0.02,0.13,-0.03
5.12,6.96,-8.28,-0.08,0.22,0.0
4.75,5.71,-8.66,-0.2,0.11,0.01
4.83,5.2,-8.59,0.21,-0.25,-0.07
5.51,5.97,-8.94,0.35,-0.3,-0.11
5.86,7.05,-9.08,0.23,-0.21,-0.04
5.68,6.28,-9.13,-0.01,-0.04,0.0
5.32,6.27,-9.23,-0.01,0.01,-0.01
5.53,6.24,-9.18,0.08,0.02,0.0
5.34,6.55,-9.11,0.14,0.07,-0.03
6.02,5.05,-8.89,-0.27,0.07,-0.08
5.94,5.25,-8.93,0.02,-0.02,-0.13
6.15,5.54,-9.03,-0.06,-0.08,-0.16
5.95,5.57,-9.31,-0.15,-0.19,-0.11
6.07,5.92,-9.32,-0.03,-0.17,-0.04
6.11,5.63,-9.09,-0.1,-0.28,0.0
6.47,5.68,-9.16,-0.21,-0.24,0.14
6.19,5.62,-9.26,-0.29,-0.29,-0.16
6.09,5.84,-9.12,-0.22,-0.22,-0.17
6.08,5.56,-9.13,-0.11,-0.09,-0.11
6.08,12.13,-9.41,0.98,-0.68,-0.7
6.73,9.14,-8.32,0.0,-0.22,0.01
4.85,5.63,-8.28,-0.86,0.43,-0.14
4.57,5.92,-8.16,0.25,-0.01,-0.11
5.66,6.51,-8.34,0.07,-0.22,-0.01
5.02,5.87,-7.64,-0.08,0.0,-0.09
5.44,6.49,-7.92,-0.02,-0.05,-0.05
4.93,6.21,-8.06,0.04,-0.11,-0.01
5.4,6.53,-8.18,0.0,0.0,-0.09
5.03,6.33,-8.0,-0.07,0.05,-0.04
5.83,5.57,-7.85,-0.02,0.05,0.02
5.96,5.28,-7.38,-0.08,0.09,-0.08
5.82,5.42,-7.59,-0.05,-0.06,0.0
5.75,5.56,-7.49,0.0,-0.07,-0.12
5.9,5.53,-7.93,0.0,-0.09,-0.1
5.81,5.75,-7.82,0.07,-0.06,-0.07
5.93,5.87,-7.78,0.01,0.01,-0.08
5.98,6.07,-7.68,-0.01,0.02,0.0
5.57,5.78,-7.82,-0.11,0.05,0.02
5.48,5.48,-7.57,-0.07,0.03,-0.04
5.79,5.53,-8.89,-0.05,0.05,-0.02
5.73,5.56,-8.47,0.07,0.0,0.0
5.92,5.65,-8.75,0.02,-0.17,0.0
6.17,5.72,-8.89,0.02,-0.05,0.06
6.01,5.77,-8.99,0.0,-0.03,0.0
6.01,5.48,-8.61,0.05,0.04,-0.01
6.1,5.79,-8.87,0.04,-0.07,-0.02
6.16,5.87,-9.13,-0.04,0.0,-0.05
6.01,5.67,-8.96,0.03,0.02,-0.02
5.73,5.7,-8.76,0.02,0.01,-0.05
0.33,-2.17,-5.55,-0.52,0.37,-0.58
7.97,5.29,-8.99,1.28,-2.06,0.48
8.11,7.3,-9.8,-0.21,-0.09,-0.39
6.31,7.54,-8.15,-0.29,-0.01,0.14
5.5,5.58,-8.92,-0.3,-0.07,0.0
5.56,5.23,-8.65,-0.16,0.09,-0.17
5.64,6.24,-8.48,0.03,-0.14,-0.25
5.61,5.87,-8.3,-0.34,-0.14,-0.18
5.63,5.48,-8.72,-0.11,-0.2,-0.11
5.79,5.89,-8.79,-0.07,-0.18,-0.02
6.78,5.85,-9.56,-0.24,0.06,0.15
6.36,5.15,-9.38,-0.5,0.34,-0.1
6.17,5.13,-8.75,0.14,-0.01,0.0
6.19,5.59,-8.84,-0.11,-0.01,-0.03
6.21,5.25,-8.66,-0.1,0.01,0.0
6.19,5.23,-8.93,0.02,-0.07,-0.03
6.36,5.9,-8.53,-0.01,0.0,-0.06
6.27,5.43,-9.0,-0.09,-0.06,0.01
6.31,5.53,-8.83,0.0,-0.07,-0.03
6.34,5.63,-8.81,-0.07,-0.01,-0.01
6.11,5.55,-8.75,-0.39,-0.24,0.06
6.33,6.41,-8.48,-0.11,-0.33,-0.1
6.04,7.02,-8.43,-0.53,-0.13,-0.19
5.31,5.35,-8.43,-0.34,-0.06,-0.1
4.92,5.84,-8.04,0.03,-0.24,-0.24
5.78,6.76,-8.26,-0.03,0.06,-0.33
5.4,7.96,-7.52,-0.39,0.3,-0.45
4.89,7.54,-8.07,-1.05,0.39,0.14
4.62,4.69,-7.75,-1.13,0.52,0.08
4.02,4.2,-6.74,0.07,0.07,-0.09
11.03,18.07,-15.27,-1.59,2.78,4.24
-7.55,5.45,-11.91,-3.22,3.95,2.91
-20.43,-21.12,-26.62,-1.56,4.34,1.83
-7.64,-21.15,-9.4,1.14,2.09,-0.88
-15.04,-13.07,-1.53,2.88,-0.58,-4.34
-12.84,8.51,-22.66,3.16,-0.06,-3.88
11.03,18.07,-13.57,4.43,-3.33,0.7
18.79,18.07,-24.88,1.77,0.42,1.49
9.2,18.07,-10.19,-4.29,3.8,1.0
-5.82,8.88,-14.63,-3.23,2.56,3.87
0.17,-13.16,-13.6,-1.02,0.2,1.79
5.55,11.42,-13.12,-1.75,-3.11,4.38
-1.35,-8.41,-13.64,-0.68,1.41,1.49
0.11,-2.45,-8.49,-0.84,0.32,0.36
2.1,3.62,-6.24,-0.49,-0.4,-0.27
0.65,7.05,-8.44,0.9,-1.36,0.95
5.97,12.19,-10.36,0.73,-0.16,-0.18
5.06,6.14,-8.28,-0.11,-0.35,0.08
5.69,5.82,-9.2,-0.23,0.33,-0.25
5.94,6.85,-8.98,-0.06,-0.25,0.03
5.58,6.11,-8.72,-0.16,0.05,-0.1
5.73,5.89,-8.77,0.0,-0.03,-0.01
5.43,5.93,-9.03,-0.02,0.05,-0.05
5.64,5.64,-8.62,0.1,-0.02,-0.02
5.6,6.15,-8.83,0.0,-0.05,-0.06
5.73,5.93,-8.78,0.03,-0.09,-0.03
5.6,6.01,-9.07,0.03,-0.06,-0.09
5.68,6.13,-8.83,0.08,-0.04,-0.02
5.56,6.13,-8.8,0.0,-0.07,0.0
5.69,6.12,-8.9,0.02,-0.07,0.01
5.43,5.72,-7.88,0.25,0.06,-0.09
5.41,6.39,-7.95,-0.07,-0.04,-0.04
5.08,5.25,-7.74,-0.14,-0.07,0.0
5.34,5.77,-8.13,0.04,-0.13,-0.04
5.55,6.09,-8.31,0.0,-0.09,-0.01
5.7,6.22,-8.1,0.03,-0.02,-0.05
5.53,6.15,-8.09,-0.01,0.01,0.03
5.44,5.78,-8.13,0.05,-0.03,0.0
5.44,6.03,-8.2,-0.01,0.05,0.0
5.25,5.99,-8.1,0.01,0.0,-0.03
4.9,7.22,-10.11,-0.09,-0.09,-0.08
4.77,6.28,-10.19,-0.19,0.01,-0.11
4.98,6.6,-10.11,0.0,-0.02,-0.01
4.67,7.37,-9.78,-0.27,0.22,-0.1
4.65,6.56,-9.38,-0.23,0.12,-0.05
4.79,6.13,-9.44,-0.46,-0.09,0.11
4.75,5.95,-9.23,-0.29,-0.01,-0.07
4.74,6.66,-9.52,-0.17,-0.17,-0.05
5.0,7.1,-9.66,-0.05,0.1,-0.06
4.61,6.57,-8.88,-0.15,0.11,-0.01
5.28,6.08,-9.37,-0.22,-0.06,-0.19
5.15,7.65,-9.47,-0.45,0.03,0.18
4.93,5.45,-8.84,-0.47,0.08,-0.01
4.59,5.94,-8.51,0.04,-0.22,0.01
4.78,6.88,-8.97,0.06,-0.12,0.0
4.91,6.44,-8.91,0.02,-0.04,0.01
4.8,6.52,-9.04,-0.02,-0.03,-0.06
4.84,6.4,-9.14,0.01,-0.06,0.01
4.94,6.75,-9.1,-0.03,-0.09,0.03
5.05,6.6,-9.2,-0.22,-0.02,0.03
-2.47,-3.88,-6.18,-1.38,0.67,0.16
4.17,2.81,-8.38,1.02,-0.72,-0.27
6.29,6.03,-6.76,0.7,-0.88,-0.02
11.0,11.98,-10.64,0.54,-0.47,-0.67
6.0,6.9,-9.56,-0.85,0.09,0.01
5.36,5.43,-8.85,-0.7,0.43,-0.47
4.89,6.25,-8.12,0.14,-0.44,0.07
5.28,6.84,-8.6,-0.24,-0.01,-0.26
4.92,5.91,-8.45,-0.25,-0.17,-0.03
5.12,6.26,-8.55,-0.22,-0.09,0.02
-4.8,9.33,-15.06,-1.4,-0.26,3.78
-6.65,-9.83,-22.03,-2.03,0.46,3.89
-3.97,-3.18,-11.82,-1.0,-0.05,1.22
0.24,-4.17,-9.09,-0.65,0.15,-0.17
3.78,3.53,-7.85,-0.53,-0.39,-0.26
13.14,5.7,-9.91,1.57,-1.18,0.6
7.55,8.13,-9.84,-0.2,0.28,-0.31
5.37,5.75,-7.59,-0.38,0.56,-0.3
5.71,6.06,-8.27,0.43,-0.23,-0.1
5.09,6.09,-8.3,0.08,0.12,-0.34
5.44,4.23,-6.03,-0.27,-1.1,-0.86
6.29,6.82,-7.55,-0.37,-0.23,-0.25
7.12,5.46,-7.59,-0.02,-0.02,-0.16
5.89,5.48,-7.27,-0.2,0.24,-0.18
5.87,5.36,-7.14,0.18,0.16,-0.13
5.84,5.8,-6.72,-0.04,0.02,0.03
6.05,5.81,-7.02,-0.14,-0.05,0.0
5.97,5.69,-6.92,-0.17,0.15,0.38
5.59,5.13,-6.9,-0.62,0.5,0.16
5.43,4.76,-5.72,-0.9,0.31,0.36
18.04,18.07,-15.78,2.37,-0.79,-3.68
18.79,18.07,-19.16,-0.98,1.89,-0.42
-9.94,-21.15,10.23,-4.29,-1.87,-4.27
0.04,18.07,-22.87,2.44,0.54,4.21
-5.39,0.94,-18.11,-3.54,3.32,2.95
4.67,6.32,-9.13,-3.31,4.29,-1.75
-2.71,-9.32,-5.56,-0.65,-0.6,-0.11
1.97,-0.06,-6.26,-0.14,0.88,0.0
5.22,6.83,-7.03,0.31,-0.61,-0.29
3.14,5.94,-8.65,2.29,-2.04,1.67
5.86,5.26,-8.84,0.23,-0.03,0.15
5.16,4.61,-8.94,-0.11,0.67,-0.55
4.62,5.5,-8.23,0.82,-0.06,-0.17
5.89,6.71,-8.66,0.39,-0.14,-0.2
5.7,6.54,-8.49,0.17,-0.09,-0.27
5.11,6.2,-9.24,-0.17,-0.1,-0.15
5.4,6.47,-9.53,0.14,-0.25,-0.24
5.46,6.94,-9.29,-0.16,-0.09,-0.35
4.9,6.85,-9.21,-0.16,-0.18,-0.19
5.45,6.84,-8.95,-0.1,-0.1,-0.05
6.11,5.68,-9.09,-0.04,0.15,0.03
6.13,5.42,-8.89,-0.16,0.01,-0.02
6.06,5.37,-8.91,-0.06,0.02,-0.05
6.26,5.54,-9.02,0.0,0.05,-0.09
6.14,5.57,-8.97,-0.02,0.03,-0.08
5.98,5.76,-9.12,-0.01,0.03,-0.1
6.01,5.68,-8.9,0.03,0.04,-0.05
5.9,5.94,-8.91,0.01,0.01,-0.03
5.91,5.77,-8.7,0.0,-0.02,0.0
6.09,5.76,-9.02,0.03,-0.04,0.04
6.46,5.38,-9.45,-0.02,-0.02,-0.03
6.24,5.38,-9.21,-0.03,0.02,-0.03
6.44,5.54,-9.4,-0.03,-0.01,-0.01
6.4,5.49,-9.22,-0.09,0.0,0.02
6.4,5.39,-9.35,0.0,-0.01,0.01
6.52,5.56,-9.31,0.08,-0.03,0.03
6.49,5.5,-9.2,-0.05,0.04,0.01
6.37,5.19,-9.2,0.01,0.02,0.0
6.12,5.47,-9.03,-0.03,0.0,-0.02
6.39,5.68,-8.9,-0.13,0.0,0.0
5.77,5.85,-8.86,-0.02,-0.01,-0.02
5.66,5.99,-8.74,0.01,0.0,0.0
5.63,6.01,-8.89,0.03,-0.04,-0.02
5.79,5.87,-8.79,-0.04,0.0,0.0
5.81,6.13,-9.23,0.02,0.01,0.0
5.64,5.95,-8.63,0.05,0.18,-0.03
5.73,6.22,-8.69,-0.04,0.03,-0.05
5.63,5.7,-8.8,-0.02,-0.02,0.01
5.73,6.05,-8.78,0.04,-0.05,-0.02
5.67,6.04,-8.72,-0.09,-0.01,0.03
5.7,6.21,-9.8,-0.07,0.01,0.03
5.29,5.92,-9.43,0.19,-0.01,0.03
5.42,6.49,-9.67,0.12,-0.09,0.04
5.15,5.79,-9.64,0.04,-0.03,0.08
5.2,6.24,-9.76,0.09,-0.08,-0.01
5.74,6.62,-9.86,-0.01,-0.04,0.0
5.64,6.26,-10.2,-0.12,0.08,-0.09
5.23,6.21,-9.94,-0.11,0.02,-0.05
5.41,6.14,-9.77,-0.01,0.01,-0.03
5.35,6.28,-9.82,-0.07,0.01,-0.04
6.62,4.33,-9.71,0.07,0.56,-1.0
6.13,6.35,-7.55,0.56,-0.72,0.23
6.69,6.46,-9.17,0.03,-0.13,-0.13
5.67,5.66,-9.28,0.15,-0.17,-0.06
6.09,6.63,-9.1,0.06,-0.03,0.03
5.74,5.85,-8.59,-0.04,0.08,-0.03
5.7,5.64,-8.5,0.01,0.07,-0.11
5.45,5.85,-8.88,0.1,-0.02,-0.14
5.75,6.3,-8.94,0.08,-0.01,-0.03
5.58,6.02,-8.79,0.12,0.12,-0.06
-0.8,-1.51,-8.56,-0.06,-0.5,-0.26
4.23,7.93,-9.73,0.85,-0.31,-0.5
6.88,6.89,-8.64,0.32,-1.39,0.37
5.33,4.15,-10.32,-0.13,0.41,0.08
5.74,7.03,-9.77,0.0,-0.36,0.04
6.18,6.5,-10.05,-0.96,0.52,-0.22
5.24,5.2,-9.64,-0.11,0.0,0.01
5.76,5.97,-9.85,0.19,-0.12,-0.06
6.02,5.95,-9.46,0.01,-0.01,-0.06
5.46,6.44,-9.58,-0.21,0.01,-0.06
-1.16,-8.26,-13.38,-0.1,-0.47,1.63
3.23,-0.72,-5.23,0.14,-1.19,0.13
3.18,4.53,-8.89,1.49,-1.12,0.08
7.29,6.32,-9.86,0.73,-0.74,0.4
5.52,6.24,-9.48,-0.24,0.31,-0.19
6.58,6.35,-9.74,-0.12,0.04,-0.13
5.42,5.71,-9.24,-0.1,0.17,-0.4
5.92,5.54,-9.43,0.09,-0.11,0.0
5.74,5.51,-9.28,0.17,-0.1,-0.16
5.74,6.27,-9.67,0.05,-0.18,-0.12
6.1,4.59,-7.76,0.41,-0.06,-0.01
6.2,4.4,-7.06,0.36,0.21,-0.18
6.12,5.87,-7.58,0.48,0.16,-0.32
5.96,5.55,-7.39,0.34,-0.14,-0.12
6.68,4.5,-8.99,0.44,-0.23,-0.09
6.07,5.96,-9.02,0.39,-0.16,-0.09
6.27,5.99,-9.36,0.19,-0.19,-0.06
6.34,5.92,-8.77,0.02,0.0,0.0
6.21,6.04,-8.61,0.11,-0.13,0.0
6.47,5.78,-8.95,-0.05,-0.06,0.0
7.18,7.17,-10.3,-0.21,0.34,0.0
5.37,6.3,-10.45,-0.61,0.21,0.19
5.03,4.79,-9.12,-0.56,0.38,-0.19
4.87,5.91,-8.95,-0.22,0.07,-0.34
6.16,6.51,-9.18,-0.52,-0.05,-0.22
5.94,5.6,-9.32,-0.42,0.11,-0.17
5.62,6.19,-9.0,-0.12,-0.03,-0.06
5.79,5.67,-8.75,-0.08,-0.03,0.13
5.86,6.04,-8.87,-0.09,-0.05,0.16
5.3,5.9,-8.71,-0.26,-0.01,0.15
5.96,6.69,-9.53,0.04,-0.18,0.05
5.9,6.03,-8.9,-0.72,0.28,-0.19
5.5,5.06,-9.22,0.19,-0.31,-0.14
5.96,7.0,-9.3,0.01,-0.04,-0.13
5.74,6.09,-8.92,-0.39,0.17,0.03
5.78,5.61,-8.79,-0.11,-0.08,-0.05
5.84,5.55,-8.7,-0.01,-0.02,0.02
5.88,5.88,-8.8,0.12,-0.15,-0.02
5.86,6.25,-9.34,0.05,-0.13,0.09
5.85,6.0,-8.97,-0.2,0.05,0.14
6.31,4.77,-9.05,-0.3,0.11,0.0
6.08,5.7,-9.34,0.49,0.18,0.13
5.85,5.95,-9.26,0.45,0.19,-0.12
5.85,5.43,-9.32,0.04,0.09,-0.04
5.94,6.04,-9.59,-0.04,-0.03,-0.17
6.16,6.19,-9.44,-0.28,-0.01,-0.18
5.88,5.71,-9.6,-0.2,-0.01,-0.06
5.67,5.97,-8.96,-0.15,0.05,-0.07
5.79,6.12,-9.19,-0.15,-0.11,0.03
5.54,5.96,-8.99,-0.21,-0.01,0.01
5.58,5.91,-8.69,-0.18,0.31,0.08
5.25,5.94,-8.25,-0.08,0.5,-0.34
5.53,5.58,-8.64,0.02,0.36,-0.01
5.32,6.02,-8.58,-0.11,0.35,0.0
4.97,5.83,-8.41,-0.03,0.24,-0.06
