acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
9.65,1.04,-5.87,1.26,0.53,-0.63
9.24,-0.09,-5.69,-0.43,-0.06,0.59
9.62,-1.81,-6.17,-0.25,-0.24,0.34
9.29,-1.94,-6.68,-0.25,-0.05,0.32
9.05,-2.22,-6.57,0.01,-0.07,0.26
8.97,-1.97,-6.77,0.18,-0.07,0.08
9.06,-1.71,-6.81,0.13,-0.01,-0.05
9.15,-1.66,-6.74,-0.13,0.01,0.06
8.97,-1.95,-6.45,-0.08,-0.02,0.03
8.68,-1.95,-6.64,0.03,-0.04,-0.03
9.53,-1.91,-5.77,-0.17,-0.04,0.3
9.36,-1.91,-5.65,-0.04,-0.14,0.26
9.07,-1.87,-5.99,-0.26,-0.23,0.19
8.5,-1.97,-6.56,-0.23,-0.28,0.11
8.85,-2.22,-6.93,-0.16,-0.16,0.03
8.69,-2.32,-6.99,-0.02,-0.02,-0.05
8.81,-2.33,-6.86,-0.18,-0.08,0.05
8.84,-2.25,-6.82,-0.21,-0.05,0.0
8.52,-2.76,-7.17,0.08,0.02,-0.16
9.09,-1.25,-6.26,-0.09,0.1,-0.58
8.34,-1.6,-6.57,0.28,-0.03,-0.25
8.86,-1.69,-6.3,-0.25,-0.03,-0.04
8.8,-2.29,-6.26,-0.03,-0.04,0.01
8.9,-2.35,-6.23,0.02,-0.02,0.09
9.04,-2.52,-6.06,-0.01,-0.01,0.11
8.63,-2.57,-6.31,0.07,-0.1,0.07
8.68,-2.52,-6.53,0.03,-0.04,0.01
8.8,-2.75,-6.37,-0.09,-0.02,0.04
8.53,-2.72,-6.4,-0.21,-0.03,0.1
8.35,-3.23,-6.19,-0.35,0.01,0.13
8.9,-1.55,-5.49,-0.2,0.11,-0.1
8.67,-1.65,-5.43,-0.26,-0.02,0.25
8.99,-1.58,-5.36,0.02,-0.05,0.09
8.67,-1.73,-5.6,-0.03,-0.12,0.11
8.56,-1.77,-5.85,0.01,-0.08,0.02
8.57,-1.74,-5.7,-0.1,-0.1,0.08
8.46,-2.0,-5.83,-0.06,-0.14,0.1
8.47,-2.29,-5.94,-0.3,-0.13,0.18
8.61,-2.37,-6.59,-0.41,-0.12,0.07
8.23,-2.78,-6.2,-0.43,0.03,0.03
8.92,-2.56,-5.06,0.04,0.0,-0.15
8.34,-2.73,-5.22,-0.12,-0.1,0.12
8.43,-2.74,-5.56,-0.06,-0.02,0.21
8.2,-2.85,-5.24,-0.02,0.07,0.08
8.06,-2.8,-5.02,-0.05,-0.11,0.0
8.37,-2.54,-5.51,0.06,0.01,-0.04
8.34,-2.6,-5.48,-0.15,-0.03,0.12
8.38,-2.9,-5.6,-0.08,0.06,0.04
8.27,-3.22,-5.22,-0.16,0.0,0.04
8.16,-3.45,-5.46,-0.23,-0.03,-0.03
8.61,-4.81,-7.69,-0.15,0.0,0.03
8.64,-4.7,-7.73,-0.02,0.02,-0.05
8.3,-4.46,-7.96,-0.04,0.04,0.0
8.57,-4.47,-8.1,0.1,0.06,-0.06
8.78,-3.45,-7.45,0.12,0.18,-0.19
8.69,-4.46,-8.12,-0.33,0.09,0.0
8.94,-4.62,-7.64,-0.1,0.16,0.07
8.96,-4.59,-7.43,0.04,-0.02,0.21
8.91,-4.57,-7.43,0.09,-0.04,0.03
8.69,-4.47,-7.51,0.13,-0.12,0.0
7.91,-6.18,-8.75,-0.12,0.16,-0.05
7.86,-5.81,-8.44,-0.02,0.19,-0.23
8.47,-6.27,-8.43,0.06,0.19,-0.02
8.61,-5.93,-7.96,-0.08,0.06,0.0
8.71,-6.17,-8.3,-0.19,0.05,0.08
8.31,-6.22,-8.03,-0.03,0.0,0.08
8.14,-5.91,-8.58,0.0,-0.24,0.1
7.88,-5.96,-8.81,0.13,-0.08,0.05
8.28,-5.99,-8.99,0.1,-0.03,0.29
8.01,-6.45,-8.23,-0.03,0.19,0.36
8.97,-6.11,-7.21,-0.13,-0.14,0.54
8.03,-6.51,-7.41,-0.01,-0.12,0.25
7.9,-6.3,-7.34,-0.11,-0.15,0.05
7.71,-6.34,-7.74,0.06,-0.09,0.01
7.32,-5.8,-7.84,-0.1,-0.08,0.11
7.72,-6.0,-7.85,-0.06,0.17,0.0
7.54,-5.58,-7.61,-0.07,0.18,-0.01
8.09,-5.54,-7.29,0.0,0.29,-0.01
8.38,-6.83,-7.03,-0.2,0.28,0.2
7.66,-5.7,-6.5,0.1,0.23,0.22
7.47,-6.01,-7.22,0.11,0.04,-0.03
8.2,-5.55,-7.36,0.58,0.0,-0.1
8.27,-5.59,-6.73,-0.29,0.01,0.08
9.11,-4.16,-5.75,-0.68,0.31,0.11
7.76,-6.7,-7.32,-0.48,0.12,0.39
7.69,-6.98,-6.97,-0.3,0.14,0.49
7.51,-7.15,-6.94,-0.08,0.09,0.26
7.49,-6.65,-6.94,0.05,-0.04,-0.07
7.41,-6.15,-6.88,0.18,-0.21,-0.23
7.72,-6.22,-6.97,-0.07,-0.21,-0.12
