acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
9.65,1.04,3.9400000000000004,1.26,0.53,-0.63
9.24,-0.09,4.12,-0.43,-0.06,0.59
9.62,-1.81,3.6400000000000006,-0.25,-0.24,0.34
9.29,-1.94,3.130000000000001,-0.25,-0.05,0.32
9.05,-2.22,3.24,0.01,-0.07,0.26
8.97,-1.97,3.040000000000001,0.18,-0.07,0.08
9.06,-1.71,3.000000000000001,0.13,-0.01,-0.05
9.15,-1.66,3.0700000000000003,-0.13,0.01,0.06
8.97,-1.95,3.3600000000000003,-0.08,-0.02,0.03
8.68,-1.95,3.170000000000001,0.03,-0.04,-0.03
9.53,-1.91,4.040000000000001,-0.17,-0.04,0.3
9.36,-1.91,4.16,-0.04,-0.14,0.26
9.07,-1.87,3.8200000000000003,-0.26,-0.23,0.19
8.5,-1.97,3.250000000000001,-0.23,-0.28,0.11
8.85,-2.22,2.880000000000001,-0.16,-0.16,0.03
8.69,-2.32,2.8200000000000003,-0.02,-0.02,-0.05
8.81,-2.33,2.95,-0.18,-0.08,0.05
8.84,-2.25,2.99,-0.21,-0.05,0.0
8.52,-2.76,2.6400000000000006,0.08,0.02,-0.16
9.09,-1.25,3.5500000000000007,-0.09,0.1,-0.58
8.34,-1.6,3.24,0.28,-0.03,-0.25
8.86,-1.69,3.5100000000000007,-0.25,-0.03,-0.04
8.8,-2.29,3.5500000000000007,-0.03,-0.04,0.01
8.9,-2.35,3.58,0.02,-0.02,0.09
9.04,-2.52,3.750000000000001,-0.01,-0.01,0.11
8.63,-2.57,3.500000000000001,0.07,-0.1,0.07
8.68,-2.52,3.2800000000000002,0.03,-0.04,0.01
8.8,-2.75,3.4400000000000004,-0.09,-0.02,0.04
8.53,-2.72,3.41,-0.21,-0.03,0.1
8.35,-3.23,3.62,-0.35,0.01,0.13
8.9,-1.55,4.32,-0.2,0.11,-0.1
8.67,-1.65,4.380000000000001,-0.26,-0.02,0.25
8.99,-1.58,4.45,0.02,-0.05,0.09
8.67,-1.73,4.210000000000001,-0.03,-0.12,0.11
8.56,-1.77,3.960000000000001,0.01,-0.08,0.02
8.57,-1.74,4.11,-0.1,-0.1,0.08
8.46,-2.0,3.9800000000000004,-0.06,-0.14,0.1
8.47,-2.29,3.87,-0.3,-0.13,0.18
8.61,-2.37,3.2200000000000006,-0.41,-0.12,0.07
8.23,-2.78,3.6100000000000003,-0.43,0.03,0.03
8.92,-2.56,4.750000000000001,0.04,0.0,-0.15
8.34,-2.73,4.590000000000001,-0.12,-0.1,0.12
8.43,-2.74,4.250000000000001,-0.06,-0.02,0.21
8.2,-2.85,4.57,-0.02,0.07,0.08
8.06,-2.8,4.790000000000001,-0.05,-0.11,0.0
8.37,-2.54,4.300000000000001,0.06,0.01,-0.04
8.34,-2.6,4.33,-0.15,-0.03,0.12
8.38,-2.9,4.210000000000001,-0.08,0.06,0.04
8.27,-3.22,4.590000000000001,-0.16,0.0,0.04
8.16,-3.45,4.3500000000000005,-0.23,-0.03,-0.03
8.61,-4.81,2.12,-0.15,0.0,0.03
8.64,-4.7,2.08,-0.02,0.02,-0.05
8.3,-4.46,1.8500000000000005,-0.04,0.04,0.0
8.57,-4.47,1.7100000000000009,0.1,0.06,-0.06
8.78,-3.45,2.3600000000000003,0.12,0.18,-0.19
8.69,-4.46,1.6900000000000013,-0.33,0.09,0.0
8.94,-4.62,2.170000000000001,-0.1,0.16,0.07
8.96,-4.59,2.380000000000001,0.04,-0.02,0.21
8.91,-4.57,2.380000000000001,0.09,-0.04,0.03
8.69,-4.47,2.3000000000000007,0.13,-0.12,0.0
7.91,-6.18,1.0600000000000005,-0.12,0.16,-0.05
7.86,-5.81,1.370000000000001,-0.02,0.19,-0.23
8.47,-6.27,1.3800000000000008,0.06,0.19,-0.02
8.61,-5.93,1.8500000000000005,-0.08,0.06,0.0
8.71,-6.17,1.5099999999999998,-0.19,0.05,0.08
8.31,-6.22,1.7800000000000011,-0.03,0.0,0.08
8.14,-5.91,1.2300000000000004,0.0,-0.24,0.1
7.88,-5.96,1.0,0.13,-0.08,0.05
8.28,-5.99,0.8200000000000003,0.1,-0.03,0.29
8.01,-6.45,1.58,-0.03,0.19,0.36
8.97,-6.11,2.6000000000000005,-0.13,-0.14,0.54
8.03,-6.51,2.4000000000000004,-0.01,-0.12,0.25
7.9,-6.3,2.4700000000000006,-0.11,-0.15,0.05
7.71,-6.34,2.0700000000000003,0.06,-0.09,0.01
7.32,-5.8,1.9700000000000006,-0.1,-0.08,0.11
7.72,-6.0,1.9600000000000009,-0.06,0.17,0.0
7.54,-5.58,2.2,-0.07,0.18,-0.01
8.09,-5.54,2.5200000000000005,0.0,0.29,-0.01
8.38,-6.83,2.7800000000000002,-0.2,0.28,0.2
7.66,-5.7,3.3100000000000005,0.1,0.23,0.22
7.47,-6.01,2.5900000000000007,0.11,0.04,-0.03
8.2,-5.55,2.45,0.58,0.0,-0.1
8.27,-5.59,3.08,-0.29,0.01,0.08
9.11,-4.16,4.0600000000000005,-0.68,0.31,0.11
7.76,-6.7,2.49,-0.48,0.12,0.39
7.69,-6.98,2.8400000000000007,-0.3,0.14,0.49
7.51,-7.15,2.87,-0.08,0.09,0.26
7.49,-6.65,2.87,0.05,-0.04,-0.07
7.41,-6.15,2.9300000000000006,0.18,-0.21,-0.23
7.72,-6.22,2.8400000000000007,-0.07,-0.21,-0.12
8.07,-5.87,3.99,-0.17,-0.01,0.36
8.43,-5.94,3.49,-0.01,-0.01,0.25
8.04,-6.23,3.8900000000000006,-0.04,-0.09,0.31
7.94,-5.93,3.6900000000000004,-0.1,-0.06,0.12
