acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
8.88,-4.81,2.3100000000000005,-0.09,-0.04,0.16
8.57,-5.03,2.1800000000000006,-0.05,-0.01,0.05
8.56,-4.83,2.1900000000000004,-0.04,0.02,-0.09
8.68,-4.8,2.2,0.09,0.01,-0.14
8.77,-4.7,2.3500000000000005,0.0,0.02,-0.03
8.51,-4.88,2.3500000000000005,0.0,0.0,0.05
8.6,-4.75,2.4000000000000004,0.0,0.03,0.01
8.37,-4.72,2.24,-0.02,0.02,-0.01
8.55,-4.69,2.3500000000000005,-0.01,0.03,-0.05
8.66,-4.67,2.4700000000000006,0.0,0.04,-0.02
2.49,0.28,2.6500000000000004,-2.15,0.47,-1.12
7.17,4.2,2.87,-2.12,1.09,-0.85
10.11,3.06,3.9400000000000004,-0.49,0.44,-0.89
9.83,1.76,2.7800000000000002,-0.17,-0.14,-0.54
9.78,-0.85,2.7300000000000004,-0.24,-0.13,0.4
9.01,-2.5,1.9600000000000009,-0.4,0.1,0.75
8.21,-4.77,1.5600000000000005,-0.22,-0.07,0.65
8.44,-5.7,1.7599999999999998,0.01,-0.03,0.33
8.19,-5.91,1.3800000000000008,0.05,0.09,-0.02
8.63,-5.41,2.1900000000000004,0.0,0.33,-0.32
8.68,-3.99,2.250000000000001,0.11,-0.06,-0.03
8.16,-4.29,2.000000000000001,0.02,-0.14,-0.08
8.58,-4.63,1.9200000000000008,-0.04,0.0,0.07
8.69,-5.12,2.0300000000000002,-0.3,0.09,0.18
8.69,-4.79,2.6800000000000006,-0.13,0.12,0.0
8.96,-5.76,2.7700000000000005,0.06,-0.02,-0.29
7.91,-8.78,2.7800000000000002,0.17,-0.43,-0.45
5.42,-11.57,0.3200000000000003,-0.69,-0.55,0.12
2.73,-11.09,-0.7400000000000002,-2.19,0.55,0.09
-0.18,-7.41,1.4900000000000002,-2.79,1.81,-0.29
6.56,-14.45,1.790000000000001,-1.31,-0.6,0.75
1.12,-12.72,-1.1899999999999995,-2.07,0.77,-0.7
-2.49,-7.38,0.6600000000000001,-1.97,1.55,-1.31
-4.62,-3.09,1.5999999999999996,-2.22,2.11,-0.91
-8.16,5.3,4.8100000000000005,-3.15,3.77,-0.93
-3.6,7.37,10.68,-1.18,4.34,0.66
-4.89,6.63,14.940000000000001,-0.95,4.34,3.37
-2.94,3.58,20.04,1.0,4.34,4.05
4.66,6.61,20.04,2.89,3.15,3.64
2.37,2.87,20.04,2.17,1.13,4.38
0.56,0.87,20.04,2.07,-1.18,4.38
-10.55,-5.14,20.04,-0.34,-4.23,4.38
-18.74,-14.88,20.04,-1.57,-4.38,4.38
-12.48,-13.94,18.92,-2.82,-4.38,1.26
-9.81,-10.39,12.22,-2.9,-2.97,-1.08
-8.67,-8.5,7.280000000000001,-2.96,-2.37,-1.28
-5.46,-4.62,4.930000000000001,-3.33,-1.29,-1.78
-3.41,-3.08,3.000000000000001,-3.09,-0.48,-1.91
0.52,-1.18,1.9400000000000004,-2.87,-0.15,-1.67
4.63,1.8,1.83,-1.9,0.61,-1.13
6.06,1.65,2.1000000000000005,-2.18,1.06,-0.09
10.02,4.1,2.3900000000000006,-0.82,0.76,-0.9
9.03,0.44,1.67,-0.41,-0.01,-0.27
9.92,-1.3,1.8500000000000005,-0.4,0.25,0.57
10.36,-3.87,1.9600000000000009,-0.2,0.34,0.59
9.17,-4.67,1.6300000000000008,-0.14,0.02,0.32
9.09,-5.32,1.5700000000000003,0.16,0.08,-0.01
9.14,-4.82,1.5999999999999996,0.11,0.04,-0.19
8.6,-4.48,1.7400000000000002,0.02,0.0,-0.07
8.96,-4.65,1.8100000000000005,0.08,0.0,0.07
8.8,-4.82,1.8100000000000005,-0.11,0.08,0.13
8.61,-4.91,2.5300000000000002,-0.14,0.19,0.24
8.83,-5.04,1.8800000000000008,0.02,0.0,0.09
8.62,-3.8,1.8000000000000007,0.02,0.21,-0.29
7.8,-4.04,2.45,0.08,0.0,-0.3
9.08,-4.49,2.3000000000000007,0.24,-0.17,0.0
9.39,-5.29,2.0300000000000002,-0.02,0.0,0.39
9.16,-5.69,2.170000000000001,-0.1,-0.04,0.23
