acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
18.12,5.52,20.04,4.43,1.65,2.83
15.56,-2.42,20.04,2.77,-0.82,4.38
6.97,-10.45,20.04,0.39,-3.07,4.38
-2.12,-12.02,20.04,-1.01,-3.82,2.21
-5.49,-11.8,15.02,-2.32,-3.63,0.67
-6.78,-8.58,9.100000000000001,-2.14,-2.97,-1.14
-5.54,-6.26,1.42,-2.95,-2.81,-1.09
-3.33,-3.63,-1.8599999999999994,-3.35,-0.75,-1.04
-0.08,-0.19,-1.6899999999999995,-4.05,0.28,-0.24
5.8,4.21,0.14000000000000057,-2.51,1.44,-0.89
11.34,1.82,20.04,2.65,-0.98,4.38
6.62,-5.9,20.04,0.64,-2.47,4.38
-0.43,-6.12,20.04,-0.47,-4.15,3.18
-7.94,-9.01,20.04,-1.73,-4.38,1.52
-11.07,-9.8,9.780000000000001,-2.55,-4.13,-0.06
-8.63,-8.1,-0.8699999999999992,-3.74,-2.61,-0.69
-6.82,-1.92,-2.51,-4.2,-0.23,-1.15
-1.02,5.0,-2.33,-3.64,0.64,-1.02
8.5,9.95,-0.9299999999999997,-1.43,1.02,-1.08
11.24,5.01,0.8399999999999999,-0.6,0.63,-0.08
-11.28,-12.62,13.040000000000001,-1.91,-4.15,0.23
-9.67,-11.66,-0.15000000000000036,-3.52,-2.95,-0.32
-9.98,-3.87,-3.289999999999999,-4.23,0.01,-1.04
0.06,6.82,-3.6799999999999997,-3.34,1.18,-1.61
7.36,10.43,-0.41999999999999993,-1.18,0.82,-1.12
12.34,5.25,2.2200000000000006,-0.59,0.62,0.12
11.26,-0.03,2.7800000000000002,-0.06,0.55,0.13
11.11,-3.06,1.7300000000000004,0.05,0.1,0.33
9.01,-3.29,2.0500000000000007,0.03,0.52,-0.23
9.94,-1.73,2.6500000000000004,0.06,-0.01,-0.15
-11.88,-11.36,19.93,-1.52,-4.38,2.23
-10.38,-11.43,8.66,-2.19,-3.86,-0.34
-8.64,-8.53,0.4299999999999997,-3.95,-2.47,-0.53
-6.45,-2.16,-3.389999999999999,-4.29,-0.34,-0.67
-0.8,2.69,-3.5999999999999996,-3.99,0.55,-0.18
7.99,9.84,-1.0999999999999996,-1.72,1.36,-1.75
12.05,8.41,1.2700000000000014,-0.49,0.32,-0.56
11.9,2.9,0.05000000000000071,0.11,0.81,-0.3
10.71,0.26,1.9600000000000009,-0.02,0.19,0.62
9.92,-3.14,0.5600000000000005,0.09,0.36,0.57
-11.9,-11.24,6.880000000000001,-2.33,-4.12,-0.42
-7.83,-8.27,-2.0700000000000003,-3.94,-1.78,-0.98
-6.77,-1.85,-3.4499999999999993,-4.29,0.21,-1.35
2.7,4.43,-4.51,-2.99,1.01,-1.15
11.81,12.1,1.620000000000001,-1.04,1.56,-1.52
14.01,4.38,2.8000000000000007,-0.17,0.48,0.28
10.33,-1.99,2.7600000000000007,-0.46,0.87,0.68
10.45,-4.54,2.74,-0.04,-0.03,0.58
9.82,-4.84,1.5600000000000005,0.14,0.21,-0.16
9.05,-3.42,2.2700000000000005,0.12,0.25,-0.28
-11.0,-3.92,-1.7199999999999989,-4.29,-1.47,-1.8
-11.07,4.32,-6.409999999999998,-4.29,0.1,-1.69
6.1,11.13,-2.4000000000000004,-2.1,2.03,-1.31
12.29,8.66,1.0700000000000003,-0.87,1.17,-0.73
13.88,2.22,2.7,-0.25,0.74,0.43
11.15,-1.56,4.390000000000001,-0.04,0.49,0.41
11.54,-3.7,2.130000000000001,0.25,-0.1,0.32
9.41,-4.08,2.1500000000000004,-0.05,0.54,-0.02
