acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-4.83,-1.96,9.06,-1.64,-3.94,1.47
-3.63,-1.2,5.870000000000001,-1.81,-4.38,0.66
-0.67,-3.65,1.7200000000000006,-1.03,-3.0,-0.87
0.51,0.44,-0.9000000000000004,-0.55,-1.09,-1.6
2.99,2.36,-1.5700000000000003,1.5,-0.1,-1.59
5.25,0.67,-1.25,-3.03,0.41,-0.32
6.44,0.04,1.0500000000000007,-0.13,0.56,-1.02
6.74,-0.4,2.960000000000001,-0.72,0.59,-0.69
6.78,4.67,5.130000000000001,0.17,0.8,-0.62
7.43,1.85,5.140000000000001,0.4,0.58,-0.44
-0.76,2.93,-6.67,-1.78,1.12,-1.13
3.7,5.66,2.8100000000000005,-1.31,1.35,0.1
8.82,5.89,8.56,0.18,0.13,-0.21
9.66,3.81,7.530000000000001,0.39,0.18,-0.14
6.33,3.21,8.02,0.39,0.11,0.03
6.98,-0.1,7.5,-0.27,-0.05,0.39
6.04,1.69,7.73,0.44,-0.07,-0.03
6.73,1.34,6.73,-0.07,-0.27,0.44
6.37,1.31,5.880000000000001,0.18,0.03,0.01
5.99,0.66,6.15,-0.15,0.0,0.07
6.29,8.23,8.27,0.16,0.28,0.17
5.53,3.94,7.9,0.67,0.18,0.41
5.1,4.92,5.4,0.47,0.02,0.19
4.39,3.3,4.050000000000001,-0.18,0.16,0.15
4.22,3.58,5.03,0.05,0.39,0.04
4.16,4.49,6.8500000000000005,0.21,0.22,0.17
4.84,3.32,6.550000000000001,0.04,0.12,0.37
4.24,4.33,5.33,0.18,0.16,0.13
3.69,3.54,0.3800000000000008,-0.04,0.12,-0.07
4.41,4.0,6.720000000000001,0.15,0.97,0.53
-6.21,2.5,6.34,-1.32,-2.81,2.1
-0.85,1.33,2.920000000000001,-2.21,-2.31,1.49
0.07,-0.47,-1.6999999999999993,-0.72,1.34,-1.19
-3.04,-1.28,-2.7299999999999986,-4.24,1.96,-1.7
-0.99,-0.11,3.33,-0.93,0.89,-1.17
-2.13,4.07,7.58,1.0,1.0,-0.61
-2.54,4.77,8.47,1.95,0.74,0.02
-2.41,8.57,8.5,1.21,-0.99,-0.06
-0.79,7.21,7.050000000000001,0.42,-1.35,0.0
0.1,6.17,6.210000000000001,0.9,-0.2,0.18
1.38,3.02,8.290000000000001,0.06,-0.25,0.04
1.54,3.27,8.22,0.27,-0.2,0.05
1.58,2.9,7.790000000000001,0.09,-0.2,0.09
1.68,3.01,8.14,0.15,-0.17,0.14
1.89,2.94,7.8100000000000005,0.17,-0.14,0.02
2.08,2.98,7.880000000000001,-0.04,-0.02,0.03
1.78,3.08,7.720000000000001,0.08,-0.04,-0.03
2.1,3.01,7.920000000000001,0.02,-0.02,-0.03
1.8,3.21,8.24,0.15,0.02,0.05
2.09,3.55,8.52,0.04,-0.08,0.01
5.89,-0.74,5.33,-0.09,0.13,0.29
5.68,1.02,7.58,0.05,0.51,0.24
5.47,1.11,7.640000000000001,0.2,0.2,0.35
6.82,0.69,7.630000000000001,-0.03,0.24,0.16
6.46,0.15,7.32,0.27,-0.16,0.29
6.6,0.06,7.07,-0.06,0.03,0.22
5.89,-0.72,6.710000000000001,-0.03,0.06,0.12
5.86,-1.21,6.3500000000000005,-0.1,0.04,0.18
6.4,1.17,7.790000000000001,-0.56,-0.08,-0.23
6.44,0.03,7.3100000000000005,0.07,0.22,-0.31
6.4,0.14,5.94,-0.06,0.13,0.15
6.71,0.42,6.11,0.21,0.12,0.0
6.76,0.7,6.050000000000001,-0.01,0.14,0.03
6.78,0.62,6.1000000000000005,0.04,0.25,-0.06
6.72,1.01,6.130000000000001,-0.06,0.27,-0.09
6.85,0.64,7.17,-0.3,0.26,0.09
6.43,0.94,7.17,0.2,0.08,-0.18
6.53,1.33,7.0,0.01,-0.02,0.01
6.95,1.29,6.49,0.11,0.02,0.0
6.62,0.76,7.130000000000001,-0.25,0.19,0.21
7.23,1.19,5.8500000000000005,0.54,0.2,-0.17
7.08,0.77,6.5,0.76,0.09,-0.08
7.12,0.14,6.09,0.15,-0.01,0.08
5.96,-0.54,5.83,0.32,0.34,-0.07
5.44,0.72,5.92,0.08,0.03,-0.08
6.57,0.86,5.8100000000000005,0.01,-0.17,-0.15
6.93,1.43,5.970000000000001,0.3,0.31,-0.26
6.8,1.4,6.19,-0.21,0.14,0.09
6.74,1.35,6.24,0.11,0.41,-0.05
6.77,1.6,6.15,-0.04,0.23,0.17
7.05,0.81,5.880000000000001,0.33,0.48,-0.06
7.38,1.74,5.19,0.56,0.35,-0.06
7.4,3.58,5.710000000000001,-0.09,-0.18,-0.32
7.09,1.33,5.0600000000000005,-0.19,0.08,0.19
6.88,2.3,4.6000000000000005,-0.04,0.18,-0.25
6.5,1.86,4.9,0.0,0.33,-0.19
6.43,2.48,5.3100000000000005,0.12,0.1,-0.22
6.48,2.63,5.340000000000001,0.09,0.1,-0.11
6.85,2.81,5.510000000000001,-0.1,0.24,0.02
7.17,4.34,5.61,0.2,0.23,0.0
7.08,2.13,5.2700000000000005,0.33,0.31,0.26
6.28,2.13,5.91,0.02,0.16,0.06
6.66,0.99,5.5600000000000005,0.24,-0.01,0.03
6.49,2.18,5.630000000000001,0.14,-0.12,-0.13
6.68,2.28,5.24,0.31,-0.05,-0.18
6.6,3.11,5.2700000000000005,-0.07,0.0,-0.14
6.36,2.73,5.300000000000001,0.01,0.14,-0.06
