acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
9.1,-4.82,0.6100000000000012,-0.04,0.04,0.02
9.02,-4.79,0.5600000000000005,0.01,0.0,-0.03
9.1,-4.67,0.5200000000000014,-0.05,-0.02,-0.03
9.0,-4.55,0.5800000000000001,0.0,-0.05,-0.07
8.94,-4.55,0.5800000000000001,-0.03,-0.08,-0.02
8.95,-4.72,0.3200000000000003,0.01,-0.08,-0.04
8.84,-4.62,0.09999999999999964,0.03,-0.04,-0.06
8.84,-4.42,0.3600000000000012,-0.02,0.05,-0.04
8.93,-4.39,0.4299999999999997,0.03,0.09,0.0
8.87,-4.49,0.4800000000000004,-0.03,0.0,0.07
-7.35,8.77,-0.4599999999999991,-4.29,-0.8,-0.45
1.29,14.86,0.28000000000000114,-2.03,0.22,-0.47
9.25,7.69,-0.6099999999999994,-1.18,0.03,0.19
10.04,0.25,-1.0399999999999991,-0.6,-0.06,0.16
10.02,-3.01,0.040000000000000924,0.07,-0.28,-0.04
9.17,-4.23,-0.8099999999999987,0.35,-0.36,-0.16
8.67,-4.23,-0.8899999999999988,0.13,-0.1,0.01
8.75,-4.53,-0.27999999999999936,-0.01,-0.07,0.18
8.94,-4.51,-0.16000000000000014,0.05,-0.02,0.05
8.86,-4.38,0.0,-0.01,-0.03,0.09
-8.14,-2.55,10.14,-4.29,-3.52,0.21
-7.55,-1.54,4.920000000000001,-4.29,-2.08,-0.03
-4.28,2.36,1.1600000000000001,-3.94,-0.62,-0.82
1.38,6.46,-3.969999999999999,-2.59,0.12,-0.33
8.96,9.59,0.9600000000000009,-1.45,1.33,-0.81
10.57,4.58,-0.2400000000000002,-0.44,-0.17,-0.23
11.15,-0.58,-1.6600000000000001,0.04,-0.32,-0.32
9.4,-3.09,-2.129999999999999,0.39,-0.03,-0.42
9.07,-4.12,-1.2299999999999986,0.17,-0.08,-0.02
8.68,-4.13,-2.1899999999999995,0.19,-0.03,0.13
8.93,-4.32,-0.21999999999999886,0.16,-0.18,0.07
8.48,-4.34,-1.0199999999999996,0.08,-0.08,0.09
8.46,-4.69,-0.75,0.04,0.08,0.21
8.7,-4.81,-0.8499999999999996,-0.03,0.16,0.17
8.84,-4.59,-0.02999999999999936,0.07,0.09,0.17
9.15,-4.31,-0.6099999999999994,0.1,0.0,0.04
9.05,-4.56,-0.29999999999999893,0.23,0.0,-0.09
9.31,-4.54,-0.08000000000000007,0.17,0.03,0.0
9.22,-4.56,-0.15000000000000036,0.12,-0.04,0.06
9.22,-4.67,0.120000000000001,0.16,-0.08,0.04
8.63,-4.77,-1.7799999999999994,0.09,-0.12,0.09
8.52,-4.71,-1.6899999999999995,0.04,-0.01,0.08
8.27,-4.94,-1.75,0.03,0.04,0.04
8.39,-5.05,-1.6600000000000001,0.06,0.03,0.0
8.74,-4.78,-1.6999999999999993,0.06,0.08,-0.05
8.81,-4.73,-1.6399999999999988,0.0,0.05,0.0
8.77,-4.69,-1.4900000000000002,0.02,0.06,0.04
8.97,-4.72,-1.4699999999999989,0.01,0.04,0.08
8.88,-4.9,-1.2799999999999994,0.01,0.03,0.07
8.91,-5.09,-1.0399999999999991,0.0,0.02,0.1
9.3,-3.95,-1.6199999999999992,0.11,-0.29,0.17
9.37,-3.8,-1.1399999999999988,0.14,-0.03,0.32
8.73,-4.06,-1.3399999999999999,-0.13,-0.03,0.29
8.9,-4.1,-0.8300000000000001,0.18,0.08,0.29
8.79,-4.81,-1.0999999999999996,-0.19,-0.08,0.38
9.05,-5.27,-0.9799999999999986,-0.03,-0.02,0.28
8.75,-4.99,-1.1500000000000004,0.03,-0.11,0.09
8.65,-5.04,-1.0700000000000003,-0.14,-0.11,0.02
9.0,-4.81,-1.2899999999999991,0.02,-0.01,0.08
8.94,-4.84,-1.0399999999999991,-0.09,0.07,0.12
9.01,-4.49,-1.4499999999999993,0.5,0.13,0.05
9.34,-5.0,-1.5399999999999991,0.05,-0.22,0.1
8.74,-4.32,-1.2799999999999994,-0.04,0.0,0.05
8.51,-3.88,-0.75,0.2,-0.13,-0.09
8.07,-3.91,-1.7299999999999986,0.19,-0.13,-0.28
8.5,-4.43,-1.8099999999999987,0.49,0.1,-0.37
9.25,-4.76,-1.209999999999999,0.0,0.19,-0.35
8.95,-4.4,-0.10999999999999943,0.2,0.04,-0.16
9.36,-3.59,-0.7799999999999994,0.0,-0.21,0.04
9.64,-3.72,-0.8200000000000003,0.01,0.12,0.36
8.8,-4.21,-2.41,0.06,0.09,0.18
8.34,-4.34,-1.4399999999999995,-0.15,0.05,0.08
8.92,-4.04,-1.92,0.22,0.07,0.01
9.13,-4.52,-1.799999999999999,-0.18,-0.02,0.25
9.21,-4.53,-1.5399999999999991,0.0,0.12,0.18
8.85,-4.59,-1.549999999999999,0.0,0.07,-0.02
8.91,-4.89,-1.3099999999999987,0.18,0.07,0.11
8.68,-4.52,-1.4499999999999993,-0.06,-0.02,0.12
9.13,-4.57,-1.5,0.0,0.07,0.18
9.21,-4.79,-1.1999999999999993,-0.02,-0.03,0.17
10.18,-3.03,-1.0099999999999998,0.17,-0.1,-0.23
9.96,-5.22,-1.1500000000000004,-0.29,0.01,-0.25
9.08,-4.99,-1.1099999999999994,0.23,0.12,-0.57
9.32,-4.66,-0.9000000000000004,0.12,0.03,-0.43
8.89,-4.67,-1.0999999999999996,0.2,0.11,-0.36
