acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-18.79,5.80,6.59,-3.45,4.37,-0.26
-17.21,3.41,9.02,-3.56,4.18,0.61
-13.56,-0.13,12.83,-3.94,4.02,1.28
-12.49,-0.26,14.57,-3.76,4.09,1.60
-12.33,1.32,15.99,-3.55,4.29,1.50
-14.84,5.89,14.61,-3.73,4.37,1.42
-18.14,8.26,13.66,-3.96,3.96,1.67
-17.47,4.07,19.61,-2.92,3.22,2.63
-11.84,0.06,19.61,-2.47,2.94,3.84
-9.88,-1.76,19.61,-1.55,2.67,4.35
-9.00,-1.25,19.61,-0.86,2.42,4.26
-7.36,1.84,19.61,-0.07,2.30,3.57
-9.67,3.76,19.61,0.40,2.00,3.15
-12.58,4.46,19.61,0.45,1.58,3.36
-13.34,4.65,19.61,0.14,1.13,4.20
-13.83,3.16,19.61,-0.43,0.67,4.37
-11.74,1.02,19.61,-1.29,0.19,4.37
-11.84,-1.53,19.61,-2.25,-0.46,4.37
-11.75,-3.60,19.61,-2.87,-1.13,4.37
-13.40,-5.14,19.61,-2.96,-1.98,4.37
-11.74,-7.68,19.61,-2.27,-2.88,4.37
-8.46,-11.00,19.61,-1.14,-3.30,4.37
-4.53,-12.30,19.61,-0.40,-3.22,4.37
-3.22,-10.77,19.61,-0.35,-3.00,4.37
-8.31,-9.04,19.61,-0.72,-2.95,4.37
-11.90,-7.29,19.61,-1.34,-3.38,4.37
-13.49,-8.06,19.61,-1.89,-4.19,4.37
-13.89,-11.25,19.61,-1.92,-4.37,4.37
-11.40,-14.40,19.61,-1.43,-4.37,4.37
-7.82,-17.13,19.61,-0.56,-4.37,4.27
-5.98,-17.56,19.61,0.19,-4.37,3.05
-5.95,-15.72,19.61,0.88,-4.37,2.01
-7.70,-13.23,18.73,0.92,-4.37,1.39
-9.70,-12.08,18.50,0.59,-4.37,1.14
-12.14,-11.25,14.66,0.10,-4.37,1.13
-10.35,-10.65,13.60,-0.34,-4.37,1.02
-9.26,-10.24,12.63,-0.39,-4.37,0.93
-7.81,-9.16,13.82,-0.29,-4.37,0.72
-6.55,-7.51,12.42,-0.32,-4.37,0.38
-6.70,-6.77,11.00,-0.48,-4.37,0.20
-6.80,-6.29,10.16,-0.65,-4.29,0.07
-7.56,-6.49,9.12,-0.73,-4.13,-0.01
-7.95,-7.63,9.03,-0.57,-3.95,-0.11
-6.76,-7.54,5.39,-0.20,-3.71,-0.25
-6.56,-8.00,5.24,0.10,-3.41,-0.34
-5.52,-6.56,3.00,0.00,-3.30,-0.38
-4.64,-4.85,2.09,-0.68,-3.20,-0.46
-3.89,-5.37,2.60,-1.36,-3.27,-0.75
-4.17,-6.09,2.64,-1.60,-3.12,-1.00
-2.61,-7.19,3.52,-1.48,-2.56,-0.96
-1.88,-7.23,2.85,-1.14,-1.93,-1.14
-1.51,-6.08,1.29,-1.06,-1.59,-1.45
-0.33,-6.38,1.81,-1.02,-1.34,-1.89
0.32,-6.65,1.48,-0.77,-0.95,-2.38
0.26,-7.28,2.15,-0.59,-0.54,-2.85
-1.20,-8.43,1.77,-0.39,-0.26,-3.28
-4.64,-9.57,0.81,0.13,-0.72,-3.51
-7.22,-10.07,1.07,0.69,-1.42,-3.41
-5.51,-9.36,1.75,1.27,-1.46,-3.14
-4.17,-5.83,1.01,1.71,-1.51,-2.77
-3.62,-2.83,1.61,1.69,-1.26,-2.37
-3.23,-1.23,3.36,1.63,-0.64,-2.60
-2.78,0.50,-0.04,1.63,-0.43,-2.29
-4.57,1.18,-2.01,0.81,-0.13,-1.77
-9.32,0.83,-8.35,-1.06,1.88,-0.81
3.78,1.71,1.80,-2.20,1.43,-0.40
11.03,7.05,-6.06,-2.42,-2.36,-1.59
-0.36,-1.16,5.73,-2.78,-1.83,-1.58
-1.31,1.57,5.09,-2.13,-1.08,-1.58
3.11,3.39,1.25,-1.80,-0.64,-1.53
1.03,2.20,3.04,-1.63,0.10,-1.19
3.96,4.74,2.07,-1.49,0.82,-1.26
5.01,6.24,2.48,-1.44,1.29,-1.43
5.56,8.17,4.57,-1.32,1.69,-1.62
5.13,9.55,6.46,-1.49,1.77,-1.85
4.31,9.79,9.13,-1.26,1.64,-2.05
3.66,10.11,8.49,-0.56,1.29,-2.10
