acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-2.02,-1.86,3.70,-2.65,0.83,-1.62
-3.68,-2.47,4.26,-2.42,1.65,-2.03
-5.55,-3.07,2.68,-2.27,2.26,-2.20
-7.36,-2.72,4.13,-2.34,2.62,-2.25
-8.22,-1.80,5.16,-2.29,2.84,-2.62
-8.21,-1.74,5.83,-2.19,2.83,-3.15
-7.30,-1.78,6.07,-1.70,2.66,-3.57
-5.96,-1.39,6.57,-1.20,2.29,-3.83
-3.25,-0.20,7.82,-0.81,1.84,-3.65
1.89,4.17,10.87,-0.29,1.48,-3.32
4.79,8.22,12.28,0.80,1.07,-2.97
3.43,8.61,10.60,1.72,0.38,-2.35
0.49,5.54,7.07,1.56,-0.40,-1.13
0.52,4.06,5.67,0.47,-0.98,0.43
1.73,3.76,3.86,-1.27,-1.17,1.68
4.25,2.32,4.95,-2.82,-1.32,2.13
5.35,-0.00,5.41,-3.26,-1.32,1.86
5.66,-3.16,6.88,-2.83,-1.07,1.36
5.94,-5.76,8.60,-1.87,-0.69,0.98
7.16,-5.24,7.04,-0.79,-0.45,0.46
-7.32,-0.04,1.00,-2.23,1.62,-2.39
-6.95,0.41,1.65,-2.37,1.69,-2.03
-6.74,1.50,1.57,-2.53,1.80,-1.57
-6.19,2.56,2.36,-2.82,1.86,-1.21
-7.13,3.80,3.01,-3.20,2.14,-0.87
-7.97,4.19,4.84,-3.24,2.38,-0.50
-6.94,4.66,4.58,-3.19,2.48,-0.15
-8.40,4.96,6.61,-3.01,2.58,0.05
-5.38,4.56,9.11,-2.99,2.82,-0.06
-5.85,4.86,6.56,-2.99,3.19,-0.02
-6.82,4.11,6.97,-2.84,3.38,0.02
-6.08,4.29,9.51,-2.59,3.60,0.19
-6.08,4.65,9.65,-2.17,4.03,0.38
-5.79,5.40,10.19,-1.90,4.34,0.57
-5.67,5.49,12.03,-1.67,4.37,0.73
-4.94,5.49,11.75,-1.42,4.37,0.94
-5.10,5.92,13.77,-1.43,4.17,1.34
-4.40,6.14,16.87,-1.55,4.30,1.68
-4.19,7.03,17.06,-1.98,4.29,1.91
-3.54,7.95,18.93,-2.15,4.19,2.04
-4.70,8.40,19.61,-1.15,3.83,2.65
-4.25,7.35,19.61,-0.18,2.92,3.22
-2.98,6.03,19.61,0.74,1.94,3.61
-0.32,5.38,19.61,1.16,1.13,3.77
0.37,4.92,19.61,0.60,0.66,3.84
1.05,6.01,19.61,0.24,0.79,3.95
-1.65,6.46,19.61,0.23,1.04,4.10
